番号,単語,読み方（ひらがな）,翻訳,備考,例文
12,担当者,たんとうしゃ,ผู้รับผิดชอบ,,
13,スイッチ入れるな,すいっちいれるな,อย่าเปิดสวิตช์,,
14,スイッチ切るな,すいっちきるな,อย่าปิดสวิตช์,,
15,使用禁止,しようきんし,ห้ามใช้,,
1,5S,ごえす,5 ส,การฝึกวินัย 5 อย่างที่ประกอบไปด้วย สะสาง สะดวก สะอาด สุขลักษณะ สร้างนิสัย โดยอักษร S มาจาก ตัวอักษรแรกของแต่ละค า เป็นค าพูดที่ ใช้เพื่อปรับปรุงพื้นที่การท างาน,
2,整理,せいり,สะสาง,"แบ่งแยกระหว่างสิ่งจ าเปนและสิ่งไม่
จ าเป็นให้ชัดเจนแล้วแชร์ข้อมูลร่วมกัน เพื่อให้คุณภาพหรือความสามารถใน การพลิตสูงขึ้น",
3,整頓,せいとん,สะดวก,"ก าหนดที่จัดเก็บหรือการจัดวาง
สิ่งจ าเปนแล้วท าเครื่องหมายที่ชัดเจน เพื่อลดความไม่มีเหตุผลหรือความ สิ้นเปลือง",
4,清掃,せいそう,สะอาด,"ท าความสะอาดเพื่อให้พื้นที่การ
ท างานสะอาดและเข้าใจถึงสภาพที่ ถูกต้องได้ง่ายขึ้น",
5,清潔,せいけつ,สุขลักษณะ,ท าการสะสาง สะดวก สะอาด อย่าง จริงจังเพื่อรักษาสภาพที่สะอาดและ ถูกต้อง,
6,しつけ,しつけ,สร้างนิสัย,สร้างนิสัยเพื่อให้สามารถปฏิบัติตามที่ ก าหนดไว้แล้วสร้างธรรมเนียมในการ ช่วยเหลือซึ่งกันและกัน,
7,掃除（する）,そうじ（する）,การท าความสะอาด (ท า ความสะอาด),,
8,片づける,かたづける,จัดเก็บให้เข้าที่เข้าทาง,,
9,捨てる,すてる,ทิ้ง,,
10,汚い,きたない,สกปรก,,
11,汚れる,よごれる,เปรอะ,,
12,分別（する）,ぶんべつ（する）,"การแบ่งแยกประเภท
(แบ่งแยกประเภท)",,
13,燃えないごみ,もえないごみ,ขยะเผาไม่ได้,,
14,燃えるごみ,もえるごみ,ขยะเผาได้,,
15,挟まれる,はさまれる,ถูกหนีบ,,"き か い       て       はさ
機械に手が挟まれた"
16,巻き込まれる,まきこまれる,โดนเกี่ยว,,"き か い       て         ま        こ
1)機械に手が巻き込まれる
てぶくろ                         ばん      ま        こ
2)手袋がフライス盤に巻き込まれる"
17,やけど（する）,やけど（する）,แผลไฟลวก (โดนไฟลวก),,
18,落ちる,おちる,ตก,,"かいだん           お
階段から落ちる"
19,すべる,すべる,ลื่น,,"ゆか
床がすべる"
20,転ぶ,ころぶ,หกล้ม,,"こうじょう                         ころ
工場ですべって転んだ"
21,濡れる,ぬれる,เปยก,,
22,衛生,えいせい,อนามัย,,
23,避難（する）,ひなん（する）,การอพยพหนีภัย (อพยพ หนีภัย),,
24,救急車,きゅうきゅうしゃ,รถพยาบาล,,
25,災害,さいがい,ภัยพิบัติ,,
26,地震,じしん,แผ่นดินไหว,,"じ し ん        お
地震が起きる"
27,もぐる,もぐる,มุด,,"じ し ん         つくえ   した
地震だ！机の下にもぐれ！"
1,火気厳禁,かきげんきん,ห้ามใช้ไฟ,,
2,開放厳禁,かいほうげんきん,ห้ามเปิดทิ้งไว้,,
3,標識,ひょうしき,เครื่องหมาย,,
4,気をつける,きをつける,ระมัดระวัง,,
5,持ち込む,もちこむ,น าเข้าไป,,"こうじょう     けいたいでんわ       も        こ
工場に携帯電話を持ち込んではいけ
ない"
6,防ぐ,ふせぐ,ป้องกัน,,"あんぜんかくにん           じ   こ       ふせ
安全確認して事故を防ぐ"
7,火,ひ,ไฟ,,
8,煙,けむり,ควัน,,
9,消火,しょうか,ดับเพลิง,,
10,消火器,しょうかき,ถังดับเพลิง,,
11,非常ベル,ひじょうべる,กระดิ่งเตือนภัย,,
12,火災報知機,かさいほうちき,เครื่องเตือนอัคคีภัย,,
13,逃げる,にげる,หลบหนี,,
14,現場,げんば,หน้างาน,,
15,作業,さぎょう,งาน,,
16,ミーティング,みーてぃんぐ,มีตติ้ง,อาจเรียก การประชุม ประชุมช่วงเช้า ประชุมก่อนเลิกงาน ว่ามีตติ้งด้วย เช่นกัน,
17,研修（する）,けんしゅう（する）,การฝึกงาน (ฝึกงาน),,
18,実習（する）,じっしゅう（する）,การฝึกภาคปฏิบัติ (ฝึก ภาคปฏิบัติ),,
19,あいさつ,あいさつ,ทักทาย,,
20,確認（する）,かくにん（する）,การตรวจสอบ (ตรวจสอบ),,
21,報告（する）,ほうこく（する）,การรายงาน (รายงาน),,
22,連絡（する）,れんらく（する）,การติดต่อ (ติดต่อ),,
23,相談（する）,そうだん（する）,การปรึกษา (ปรึกษา),,
24,渡す,わたす,ยื่นให้,ใช้ในกรณีที่ยื่นของให้ใครซักคน,
25,申請書,しんせいしょ,ใบค าร้อง,,
26,寝坊（する）,ねぼう（する）,การตื่นสาย (ตื่นสาย),,
1,技能,ぎのう,,,
2,技能検定試験,ぎのうけんていしけん,,,
3,受検（する）,じゅけん（する）,,,
4,資格,しかく,,,
5,手当,てあて,,,
6,社員,しゃいん,,,
7,部長,ぶちょう,,,
8,課長,かちょう,,,
9,更衣室,こういしつ,,,
10,台車,だいしゃ,,,
11,床,ゆか,,,
12,出口,でぐち,,,
13,電気,でんき,,,
14,警報音,けいほうおん,,,
15,コンセント,こんせんと,,,
16,作業場,さぎょうば,,,
17,作業台,さぎょうだい,,,
18,工事現場,こうじげんば,,,
19,職長,しょくちょう,,,
20,作業責任者,さぎょうせきにんしゃ,,,
1,禁止,きんし,ห้าม,,
2,表示板,ひょうじばん,ป้ายประกาศ,,
3,禁止事項,きんしじこう,ข้อห้าม,,
4,避難訓練,ひなんくんれん,การฝึกหลบภัยหรือหนีภัย,,
5,感電（する）,かんでん（する）,"ไฟฟ้าดูด (ถูกไฟฟ้าดูด), ไฟฟ้าช็อต (ถูกไฟฟ้าช็อต)",,
6,防止（する）,ぼうし（する）,การป้องกันไม่ให้เกิด (ป้องกันไม่ให้เกิด),,
7,予防（する）,よぼう（する）,การป้องกันล่วงหน้า (ป้องกันล่วงหน้า),,
8,転倒（する）,てんとう（する）,"ล้ม (ล้ม), การหกล้ม (หก ล้ม)",,
9,挟まる,はさまる,"คั่น, หนีบ, ติดอยู่",,
10,足元,あしもと,ที่เท้า,,
11,不安定（な）,ふあんてい（な）,ไม่มั่นคง,,
12,後片付け,あとかたづけ,ท าความสะอาดและเก็บ เข้าที่,,
13,救急箱,きゅうきゅうばこ,กล่องปฐมพยาบาล,,
14,絆創膏,ばんそうこう,"พลาสเตอร์ยา, เทป ส าหรับปิดแผล",,
15,体調,たいちょう,สภาพร่างกาย,,
16,血,ち,เลือด,,
17,熱中症,ねっちゅうしょう,โรคลมแดด,,
18,吐き気,はきけ,คลื่นไส้,,
19,嘔吐（する）,おうと（する）,อาเจียน (อาเจียน),,
20,足がつる,あしがつる,มีอาการตะคริวที่ขา,,
21,気分が悪い,きぶんがわるい,รู้สึกไม่สบาย,,
22,寝不足,ねぶそく,นอนไม่พอ,,
23,安全ネット,あんぜんねっと,เครือข่ายความปลอดภัย,,
24,安全点検,あんぜんてんけん,การตรวจเช็คความ ปลอดภัย,,
1,KY活動（危険予知活動）,けーわいかつどう（きけ                     んよちかつどう）,กิจกรรมKY (กิจกรรมฝึก การคาดการณ์อันตราย ล่วงหน้า),,
2,危険,きけん,อันตราย,,
3,ぶつかる,ぶつかる,ชน,,トラクタショベルのバケットにぶつかってけがをした
4,当たる,あたる,"โดน, กระทบ",,"あ  し  ば                 お                               こ   う   ぐ         からだ        あ
足場から落ちてきた工具が体に当
たってけがをした"
5,下敷きになる,したじきになる,โดนทับ,,"じ ゅ う き         し   た  じ
重機の下敷きになる"
6,打つ,うつ,"ตี, ตอก, เคาะ",,"あやま                                                  て            う
誤ってハンマーで手を打ってしまっ                               た"
7,バランスを崩す,ばらんすをくずす,เสียการทรงตัว,,"う え                                           く ず              て ん ら く
はしごの上でバランスを崩して転落                               し
た"
8,倒れる,たおれる,"ล้ม, ล้มป่วย",,"た お                  ねっちゅうしょう        た お
はしごが倒れる、熱中症で倒れる"
9,転落（する）,てんらく（する）,การพลัดตกลงมา (พลัด ตกลงมา),,"う え                                           く ず              て ん ら く
はしごの上でバランスを崩して転落                               し
た"
10,指差呼称,しさこしょう,การท ามือชี้และปากย้ า เพื่อความปลอดภัย,,
11,ヒヤリハット,ひやりはっと,เหตุการณ์เกือบเกิด อุบัติเหตุ,,
12,原因,げんいん,สาเหตุ,,
13,対策,たいさく,การรับมือกับปัญหา,,
14,落下（する）,らっか（する）,"การหล่น (หล่น), การตก ลงมา (การตกลงมา)",,"あ し ば           こ う ぐ       ら っ か
足場から工具が落下した"
15,墜落（する）,ついらく（する）,"การตกลงมาจากที่สูง (ตก ลงมาจากที่สูง), การตกดิ่ง
(ตกดิ่ง)",,"か  い  こ  う  ぶ               つ い ら く
開口部から墜落した"
16,確認（する）,かくにん（する）,"การตรวจยืนยัน (ตรวจ ยืนยัน), การตรวจสอบ (ตรวจสอบ)",,"しゅうい      あんぜん    かくにん
周囲の安全を確認する"
1,作業着,さぎょうぎ,ชุดท ำงำน,,
2,作業服,さぎょうふく,ชุดใส่ปฏิบัติงำน,,
3,作業靴,さぎょうぐつ,รองเท้าปฏิบัติงาน,,
4,手袋,てぶくろ,ถุงมือ,,
5,帽子,ぼうし,หมวก,,
6,保護帽（ヘルメット）,ほごぼう（へるめっと）,หมวกนิรภัย (หมวกเซฟตี้),,
7,保護具,ほごぐ,อุปกรณ์ป้องกัน,,
8,あごひも,あごひも,สายรัดคาง,,
9,ボタン,ぼたん,กระดุม,,
10,ポケット,ぽけっと,กระเป๋า,,
11,保護メガネ,ほごめがね,แว่นตำป้องกัน,,
12,マスク,ますく,"หน้ากาก, หน้ากากอนามัย",,
13,耳栓,みみせん,ที่อุดหู,,
14,安全靴,あんぜんぐつ,รองเท้ำนิรภัย,,
15,墜落制止用器具（安全帯）,"ついらくせいしようきぐ
（あんぜんたい）",อุปกรณ์ป้องกันกำรตกจำกที่ สูง(สำยรัดตัวกันตก),,
16,業務,ぎょうむ,"งาน, ภาระหน้าที่",,
17,時間厳守,じかんげんしゅ,การตรงต่อเวลา,,
18,予定,よてい,ก าหนดการ,,
19,日付,ひづけ,วันที่,,
20,準備（する）,じゅんび（する）,(การ)เตรียม,,
21,会議,かいぎ,การประชุม,,
22,朝礼,ちょうれい,การประชุมเช้าก่อนเริ่มงาน,,
23,報告書,ほうこくしょ,หนังสือรายงาน,,
24,マニュアル,まにゅある,คู่มือ,,
25,作業手順書,さぎょうてじゅんしょ,คู่มือขั้นตอนการปฏิบัติงาน,,
26,調子,ちょうし,สภาพการท างานของ ร่างกายหรือเครื่องจักร,,
1,立入禁止,たちいりきんし,ห้ามเข้า,,
2,禁煙,きんえん,ห้ามสูบบุหรี่,,
3,火気厳禁,かきげんきん,ห้ามจุดไฟ,,
4,駐車禁止,ちゅうしゃきんし,ห้ามจอดรถ,,
5,足もと注意,あしもとちゅうい,ระวังสะดุด,,
6,開口部注意,かいこうぶちゅうい,ระวังช่องเปิด,,
7,感電注意,かんでんちゅうい,ระวังอันตรายจากไฟฟ้า ช็อต,,
8,堕落注意,ついらくちゅうい,ระวังตกจากที่สูง,,
9,頭上注意,ずじょうちゅうい,ระวังศีรษะ,,
10,警報設備,けいほうせつび,อุปกรณ์สัญญาณเตือนภัย ปุ่มขอความช่วยเหลือ,,
11,消火器,しょうかき,ถังดับเพลิง,,
12,AED設置場所,えーいーでぃーせっち                   ばしょ,จุดติดตั้งเคริ่องกระตุก หัวใจอัตโนมัติ,,
13,保護帽着用,ほごぼうちゃくよう,สวมหมวกนิรภัย,,
14,安全帯使用,あんぜんたいしよう,สวมสายรัดตัวนิรภัยกันตก,,
15,昇降階段,しょうこうかいだん,บันไดขึ้นลง,,
16,休憩所,きゅうけいじょ,ห้องนั่งพัก,,
17,最大積載荷重,さいだいせきさいかじゅう,รับน้ าหนักได้สูงสุด,,
18,喫煙所,きつえんじょ,ที่พักสูบบุหรี่,,
19,整理整頓,せいりせいとん,"สะสาง สะดวก, ซ้อนให้ถูกต้องสะดวกใช้ ปลอดภัย",,
20,安全通路,あんぜんつうろ,ทางเดินปลอดภัย,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
1,親綱,おやづな,เชือกป้องกันการตก (เชือกส าหรับเกี่ยวตะขอ สายรัดตัวกันตก),คือเชือกที่มีไว้เพื่อเกี่ยวสายรัดตัวกัน ตก(เข็มขัดที่มีเชือกช่วยชีวิตติดอยู่)ใน ไซต์งานก่อสร้าง และจะต้องติดตั้งอยู่ ระหว่างเสาโดยไม่ให้หย่อนยานเพื่อ ปกป้องชีวิตของผู้ท างานในไซต์งาน,"お やづな        あんぜんたい
親綱に安全帯をかける"
2,建枠（ビティ）,たてわく（びてぃ）,ขาตั้งนั่งร้าน,,"た て わ く                                   も ち               あ  し  ば         く  み  た
建枠（ビティ）を用いて足場を組立て
る"
3,メッシュシート,めっしゅしーと,ตาข่ายกันฝุ่น,เรียกอีกอย่างว่า「ผ้าใบกันฝุ่น (โยโจ ชีทโตะ)」「ตาข่ายป้องกันการฟุ้ง กระจาย (ฮิซันโบชิเน็ทโตะ)」,"あ  し  ば  わ く                                                           と          つ
足場枠にメッシュシートを取り付け                               る"
4,防音パネル,ぼうおんぱねる,แผงกันเสียง,,"そ う お ん た い さ く                   ぼ う お ん                             せ  っ  ち
騒音対策として防音パネルを設置す
る"
5,朝顔材,あさがおざい,ตาข่ายนิรภัย,,"あ さ がおざ い        ひ  ら  い  ら  っ  か  ぼ  う  し
朝顔材は飛来落下防止のためにつか
う"
6,架空線,かくうせん,สายไฟบนเสาไฟฟ้า,หากไปสัมผัสโดนมีโอกาสสูงที่จะท า ให้เกิดอุบัติเหตุไฟฟ้าช็อตได้เพราะ เป็นสายส่งไฟฟ้าแรงสูง,"か   く   う せ ん        せっしょく
架空線へ接触させないようにする"
7,幅木（仮設足場）,はばき（かせつあしば）,ขอบกันตกนั่งร้าน (นั่งร้าน ชั่วคราว),,"ろ う ど う し ゃ        つ い て ん ら く       き     ぐ           ら  っ  か  ぼ   う  し
労働者の墜転落・器具の落下防止の
あ  し  ば         は  ば  き        も う
ために足場に幅木を設ける"
8,単管,たんかん,ท่อเหล็ก,ย่อมาจาก「ท่อแป๊ปเหล็ก (ทังคัง ไพอิปุ)」 บางครั้งก็เรียกว่า「ท่อแป๊ป (ไพอิปุ)」,"たん かん        も ち                あ  し  ば           く             た
単管を用いて足場を組み立てる"
9,脚立,きゃたつ,"บันไดพาด, บันไดพับ",,
10,作業半径,さぎょうはんけい,รัศมีการท างาน,รัศมีการหมุนของเครื่องจักรกลหนัก ส่วนใหญ่จะห้ามเข้าใกล้เพื่อป้องกัน การเกิดอุบัติเหตุถูกชน,"じ ゅ う き さ ぎ ょ う         さ ぎ ょ う は ん け い          た           い               き ん
重機作業の作業半径に立ち入りを禁
し
止する"
11,仮ボルト,かりぼると,น็อตไว้ชั่วคราว,,"か り                            こ う ぞ う た い        か り         こ   て  い
仮ボルトで構造体を仮に固定する"
12,手直し,てなおし,แก้ไข,,"し  て  き                       ば  し  ょ         て  な  お
指摘された場所を手直しする"
13,面一,つらいち,ท าให้วัสดุสองชนิดเรียบ เสมอกัน,,"つ ら い ち
面一にそろえる"
14,点検事項,てんけんじこう,รายการตรวจเช็ค,,"し  よ   う               こ   う   ぐ        て ん け ん  じ   こ   う         も と                し
使用する工具は点検事項に基づき始
ぎょうま えて ん け ん
業前点検をおこなう"
15,積載荷重,せきさいかじゅう,น้ าหนักบรรทุก,,"せ き さ い か じ ゅ う         こ
トラックの積載荷重を超えないよう                               に
つ            こ
積み込む"
16,すき間,すきま,ช่องว่าง,,"ぼ う お ん                                         ま            あ
防音シートはすき間が空かないよう                               に
と          つ
取り付ける"
17,通りを見る,とおりをみる,"ตรวจยืนยัน, ตรวจยืนยันว่า เปนแนวตรง",,"かたど お              ね  ぎ  り           で     き                              と お
やり方通りで根切が出来ているか通
りをみる"
18,組立,くみたて,ประกอบ,,"あ  し  ば         く  み  た
足場を組立てる"
19,地組,じぐみ,ประกอบที่พื้น,,"し た          じ   ぐ み              あ  し  ば                                          あ
下で地組した足場をクレーンで上げ
う え          と          つ
て上で取り付ける"
20,天端,てんば,ระดับบนสุด,เรียกอีกชิ่อหนึ่งว่า 「ด้านบน (อุ วะบะ)」,"て  ん  ば                            へいかつ
コンクリートの天端をコテで平滑に                               な
らす"
21,玉掛け,たまかけ・たまがけ,การเกี่ยวเชือกเข้ากับและ ถอดเชือกออกจากตะขอ ปั้นจั่น,,"ざいりょう         つ          あ                さ い        あんぜん          い     ち
材料を吊り上げる際は安全な位置に
た ま か け
玉掛けをおこなう"
22,合図,あいず,การให้สัญญาน,,"じ ゅ う き さ ぎ ょ う        あ  い  ず                          あんぜん       おこな
重機作業は合図をもって安全に行う"
23,定格荷重,ていかくかじゅう,พิกัดน้ าหนัก,,"て い か く か じ ゅ う         こ                  つ                      さ ぎ ょ う
定格荷重を超えて吊りもの作業はお
こなわない"
24,たち,たち,แนวตั้งของเสา,,"あ  し  ば  し  ち  ゅ  う                              み             すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）"
25,職長,しょくちょう,หัวหน้างาน,,"あ  し  ば  く み た て        しょくちょう          し     じ          したが
足場組立は職長の指示に従う"
1,安全カバー,あんぜんかばー,ฝาครอบป้องกัน,ส่วนใหญ่หมายถึงฝาครอบที่ติดอยู่กับ เลื่อยวงเดือนไฟฟ้า เพื่อใช้ป้องกัน เลื่อยวงเดือนกระเด็นมาโดนร่างกาย ในกรณีเกิดการดีดตัวเวลาตัด,"あ  ん  ぜ ん                 し よ  う         じ こ         ふ  せ
安全カバーの使用で事故を防ぐ"
2,安全帯,あんぜんたい,"สายรัดตัวนิรภัย, ชุดเซฟตี้ กันตก",,"あんぜんたい        あ  し  ば          と          つ
安全帯を足場に取り付ける"
3,インサート,いんさーと,"พุกฝังคอนกรีต, ปลั๊กฝัง คอนกรีต",,"せ  っ  ち
インサートをコンクリートに設置す                               るた
か た わ く          う           こ
め、型枠に打ち込む"
4,スペーサ,すぺーさ,ลูกปูน,,"か た わ く                                            と          つ
型枠にスペーサを取り付ける"
5,鉄筋,てっきん,"เหล็กเสริม, เหล็กเสริมแรง",,"て っ き ん       か た わ く         す  き  ま        ちょうせい
鉄筋と型枠の隙間を調整する"
6,電工ドラム（ドラム）,でんこうどらむ（どらむ）,ล้อเก็บสายไฟ (โรล สายไฟ),,"で ん こ う                                                                  さ           こ
電工ドラムのコンセントに差し込む"
7,電動丸のこ（電のこ）,でんどうまるのこ（でんのこ）,"เลื่อยวงเดือนไฟฟ้า
(เลื่อยไฟฟ้า)",,"で ん ど う ま る                                                         せつだん
電動丸のこでコンパネを切断する"
8,パッキン,ぱっきん,วัสดุกันซึมรอยต่อ,,"し           こ
パッキンを敷き込む"
9,小バール,しょうばーる,ชะแลงขนาดเล็ก,,"しょう                               く ぎ          ぬ
小バールで釘を抜く"
10,大バール,だいばーる,ชะแลงขนาดใหญ่,,"か た わく かい たい        だい                               し   よ   う
型枠解体に大バールを使用する"
11,化粧合板,けしょうごうはん,ไม้อัดเคลือบ,,"ひょうめん          う          はな         し     あ                                けしょうごうばん
表面は打ち放し仕上げのため化粧合
し   よ   う
板を使用する"
12,普通合板,ふつうごうはん,ไม้อัดธรรมดา,,"はいめん          そ     じ     し     あ                                ふ  つ  う  ご う ば ん
背面は素地仕上げのため普通合板を
し  よ   う
使用する"
13,スタイロフォーム,すたいろふぉーむ,โฟม,,"か た わ くな い          と          つ
スタイロフォームを型枠内に取り付け
る"
14,面木,めんぎ,"สามเหลี่ยมลบมุม, บัวไม้ สามเหลี่ยม",,"か た わ く        めん   ぎ           と          つ
型枠に面木を取り付ける"
15,バイブレーター,ばいぶれーたー,เครื่องสั่นคอนกรีต,,"し          かた
バイブレーターでコンクリートを締め固
める"
16,剥離剤,はくりざい,น้ ายาถอดแบบ,,"か た わ く                                      よ
コンクリートと型枠のはなれを良くする
は   く  り ざ い        し  よ   う
ために剥離剤を使用する"
17,けこみ板,けこみいた,ไม้บันไดลูกตั้ง,,"い た         と          つ
けこみ板を取り付ける"
18,目地棒,めじぼう,วัสดุกั้นให้เกิดแนวร่อง รอยต่อ,,"か た わ く          め     じ   ぼ う         と          つ
型枠に目地棒を取り付ける"
19,コンクリート,こんくりーと,คอนกรีต,,"か た わ く                                                  なが         こ
型枠にコンクリートを流し込む"
20,コンベックス,こんべっくす,ตลับเมตร,,"す ん ぽ う       はか
コンベックスで寸法を測る"
21,作業用手袋,さぎょうようてぶくろ,ถุงมือส าหรับใช้ปฏิบัติงาน,,"さ ぎ ょ う よ う て ぶ く ろ       も ち              か た わ く さ ぎ ょ う
作業用手袋を用いて型枠作業をおこ
なう"
22,差金,さしがね,ฉากเหล็ก,,"さ し が ね        す ん ぽ う       はか
差金で寸法を測る"
23,水平器,すいへいき,"ระดับน้ า, เครื่องวัดระดับ",,"すい へい   き          かたむ           ちょうせい      すい へい
水平器で傾きを調整し水平にする"
24,墨さし,すみさし,ปากกาส าหรับใช้ตีเส้น,,"す み                   す み
墨さしを墨つぼにつける"
25,墨つぼ,すみつぼ,บักเต้าตีเส้น,,"す み                    す み
墨さしを墨つぼにつける"
1,"丸セパレーター
（丸セパ）","まるせぱれーたー
（まるせぱ）",อุปกรณ์ยึดแบบระบบ ฟอร์มไท (ฟอร์มไท),,"ま る                                                か た わ く        こ  て  い
丸セパレーターで型枠を固定する"
2,天端釘,てんばくぎ,หมุดช่วยในการปรับระดับ สันคอนกรีตฐานราก,,"て ん        て ん   ば   く ぎ          う
コンクリート天に天端釘を打つ"
3,ケレン,けれん,ท าความสะอาด,,"ひょうめん
コンパネの表面をけれんする"
4,型枠支保工,かたわくしほこう,ค้ ายัน,,"か  た  わ  く  し  ほ  こ  う         こ   う   じ        おこな
型枠支保工の工事を行う"
5,"基礎型枠
（メタルフォーム）","きそかたわく
（めたるふぉーむ）","แบบหล่อคอนกรีตฐานราก
(แบบเหล็ก)",,"き     そ   か た わ く        く  み  た
基礎型枠を組立てる"
