Annotasyon,Column_4,Column_6,Halimbawa,Larawan,No.,PDFページ番号,PDF表番号,Paano Magbasa,Pagsasalin,Palatandaan,Talasalitaan
"Ito ang bakasyon o leave na binabayaran
kahit na nagpapahinga sa trabaho.
Bayad na bakasyon. Ang maikling termino
para sa bayad na bakasyon ay 「有休｣
""Bakasyon na may bayad""",,"Sa susunod na linggo, kukuha ako
ng bakasyon na may bayad kaya
nagsumite ako ng aplikasyon.","らいしゅうゆうきゅう しんせいしょ だ
来週、有休をとるので申請書を出した",,3,4,1,ゆうきゅう,Bakasyon na may bayad,,有休
"Ito ang araw na makakapag-leave sa halip
kung nagtrabaho sa araw na walang pasok.",,,,,4,4,1,だいきゅう,Compensatory leave,,代休
"Ang batas ng Japan kung saan nakatakda
ang mga pamantayan tungkol sa labor.",,,,,5,4,1,ろうどうきじゅんほう,"The Labour Standards
Act",,労働基準法
,,,,,6,4,1,ろうどうじょうけん,Kondisyon sa trabaho,,労働条件
,,,,,7,4,1,ぜいきん,Buwis,,税金
"Buwis sa kita para sa isang taon na
suweldo",,,,,8,4,1,しょとくぜい,Buwis sa kita,,所得税
"Buwis na binabayaran sa munisipyo kung
saan nakatira",,,,,9,4,1,じゅうみんぜい,Buwis sa paninirahan,,住民税
"Pensiyon ng mga empleyado at
pampublikong empleyado na kung saan
makakatanggap ng mga benepisyo sa kaso
ng katandaan, kapansanan, o kamatayan",,,,,10,4,1,こうせいねんきん,"Employees’
pension insurance",,厚生年金
"Insurance upang makatanggap ng mga
benepisyo sa kaso ng kawalan ng trabaho
o tuwing sa paghahanap ng trabaho",,,,,11,4,1,こようほけん,Employment insurance,,雇用保険
"Insurance na nagpapahintulot sa mga
miyembro at pamilya na makatanggap ng
mga benepisyo kapag nangangailangan ng
pangangalagang medikal",,,,,12,5,1,けんこうほけん,Health insurance,,健康保険
"Ito ang tawag kapag tinutukoy ang Health
insurance, Employees' pension insurance,
Nursing insurance, Employment insurance,
Worker's accident compensation
insurance. Minsan ito din ay tumutukoy
tungkol sa Health insurance at Employees'
pension insurance para sa mga empleyado.",,,,,13,5,1,しゃかいほけん,Labour insurance,,社会保険
"Ang maikling termino para sa ""aksidenteng
dulot ng trabaho""
Ito ay tungkol sa pinsala habang nasa
trabaho o nagkasakit dahil sa trabaho.",,,,,14,5,1,ろうさい,Worker’s accident,,労災
"Insurance na nagbibigay ng
pansamantalang suporta sa gastos sa
pagpapagamot, sa mga panahon ng kawalan
ng kakayahang magtrabaho at sa
pagkabalda dulot ng trabaho",,,,,15,5,1,ろうさいほけん,"Worker’s accident
compensation insurance",,労災保険
,,,,,1,6,1,ちこく（する）,Huli (Mahuhuli),,遅刻（する）
,,,,,2,6,1,そうたい（する）,"Umalis ng maaga (Aalis ng
maaga)",,早退（する）
,,,,,3,6,1,きゅうけい（する）,Pahinga (Magpapahinga),,休憩（する）
,,,,,4,6,1,ざんぎょう（する）,"Overtime (Magtrabaho na
lampas sa takdang oras /
Magtrabaho ng overtime)",,残業（する）
"Nagpagdesisyunan na oras.
Pangunahing tumutukoy sa oras ng
pagpasok at pag-alis sa trabaho.",,"Uuwi ako ngayong araw sa takdang
oras.","き ょ う ていじ かえ
今日は定時に帰る",,5,6,1,ていじ,"Regular na oras / Takdang
oras",,定時
,,,,,6,6,1,きそく,Patakaran,,規則
,,,,,7,6,1,きゅうじつ,Day-off,,休日
,,,,,8,6,1,しぎょうじかん,Oras ng simula,,始業時間
,,,,,9,6,1,しゅうぎょうじかん,Oras ng katapusan,,終業時間
,,,,,10,6,1,しどういん,Tagapagturo,,指導員
,,,,,11,6,1,せいかつしどういん,"Tagapagturo ng
pamumuhay",,生活指導員
,,,,,12,6,1,たんとうしゃ,"Person in charge / Taong
namamahala",,担当者
,,,,,13,6,1,すいっちいれるな,Huwag i-on ang switch,,スイッチ入れるな
,,,,,14,6,1,すいっちきるな,Huwag i-off ang switch,,スイッチ切るな
,,,,,15,6,1,しようきんし,Bawal gamitin,,使用禁止
"Ang S ay ang unang letra ng bawat
salita ng mga sumusunod: Suriin,
Sinupin, Simutin, Siguruhin ang
kalinisan, Sariling Kusa. Ang limang
salitang ito ay ginagamit upang
mapanatili at mapabuti ang lugar ng
trabaho.",,,,,1,7,1,ごえす,5S,,5S
"Sa pamamagitan ng paglilinaw kung
ano ang kailangan at di-kailangan, at
sa pagbabahagi ng impormasyon ay
mapapabuti ang kalidad at pagiging
produktibo sa trabaho.",,,,,2,7,1,せいり,Suriin,,整理
"Tungkol ito sa pagpapasya kung saan
at kung paano ilalagay ang mga
kinakailangang aytem, at tiyakin na
ma-display ito ng maayos upang
mabawasan ang labis na pag aaksaya.",,,,,3,7,1,せいとん,Sinupin,,整頓
"Tungkol ito sa paglilinis at gawing
malinis upang madaling maunawaan
ang lugar ng trabaho.",,,,,4,7,1,せいそう,Simutin,,清掃
"Isagawa ng maayos ang Suriin,
Sinupin at Simutin upang mapanatili
ang malinis at normal na kondisyon sa
trabaho.",,,,,5,7,1,せいけつ,Siguruhin ang kalinisan,,清潔
"Ugaliin na ang gagawing trabaho o
gawain ay base sa napagpasyahan at
lumikha ng kultura sa trabaho na kung
saan magtutulungan ang bawat isa.",,,,,6,7,1,しつけ,Sariling Kusa,,しつけ
,,,,,7,7,1,そうじ（する）,Linis (Maglilinis),,掃除（する）
,,,,,8,8,1,かたづける,Iaayos,,片づける
,,,,,9,8,1,すてる,Itatapon,,捨てる
,,,,,10,8,1,きたない,Marumi / Madumi,,汚い
,,,,,11,8,1,よごれる,Marumihan,,汚れる
,,,,,12,8,1,ぶんべつ（する）,"Klasipikasyon
(Magbubukod)",,分別（する）
,,,,,13,8,1,もえないごみ,Basurang hindi sinusunog,,燃えないごみ
,,,,,14,8,1,もえるごみ,Basurang sinusunog,,燃えるごみ
,,Naipit ang aking kamay sa makina.,"きかい て はさ
機械に手が挟まれた",,15,8,1,はさまれる,Maiipit,,挟まれる
,,"1. Nakawit ang aking kamay sa
makina.
2. Nakawit ang aking guwantes sa
milling machine.","きかい て ま こ
1)機械に手が巻き込まれる
てぶくろ ばん ま こ
2)手袋がフライス盤に巻き込まれる",,16,8,1,まきこまれる,Makawit,,巻き込まれる
,,,,,17,8,1,やけど（する）,Paso (Mapaso),,やけど（する）
,,Mahulog sa hagdan.,"かいだん お
階段から落ちる",,18,8,1,おちる,Mahulog,,落ちる
,,Madulas ang sahig.,"ゆか
床がすべる",,19,8,1,すべる,Madulas,,すべる
,,"Nadulas at nadapa ako sa loob ng
pabrika.","こうじょう ころ
工場ですべって転んだ",,20,9,1,ころぶ,Madapa,,転ぶ
,,,,,21,9,1,ぬれる,Mabasa,,濡れる
,,,,,22,9,1,えいせい,"Kaligtasan / Pangangalaga
sa kalusugan",,衛生
,,,,,23,9,1,ひなん（する）,Paglisan (Lumikas),,避難（する）
,,,,,24,9,1,きゅうきゅうしゃ,Ambulansya,,救急車
,,,,,25,9,1,さいがい,Sakuna,,災害
,,May lindol na magaganap.,"じ しん お
地震が起きる",,26,9,1,じしん,Lindol,,地震
,,Lindol! Magtago sa ilalim ng desk!,"じ しん つくえ した
地震だ！机の下にもぐれ！",,27,9,1,もぐる,Sisisid / Punta sa ilalim,,もぐる
,,,,,1,10,1,かきげんきん,"Mahigpit na
ipinagbabawal ang",,火気厳禁
,,,,,2,10,1,かいほうげんきん,"Mahigpit na
ipinagbabawal ang",,開放厳禁
,,,,,3,10,1,ひょうしき,"Babala /
Tagapagpahiwatig",,標識
,,,,,4,10,1,きをつける,Mag-iingat,,気をつける
,,"Ipinagbabawal ang pagdadala ng
mobile phone sa loob ng pabrika.","こうじょう けいたいでんわ も こ
工場に携帯電話を持ち込んではいけ
ない",,5,10,1,もちこむ,Dadalhin sa loob,,持ち込む
,,"Suriin ang kaligtasan upang maiwasan
ang mga aksidente.","あんぜんかくにん じ こ ふせ
安全確認して事故を防ぐ",,6,10,1,ふせぐ,Iwasan,,防ぐ
,,,,,7,10,1,ひ,Apoy,,火
,,,,,8,10,1,けむり,Usok,,煙
,,,,,9,10,1,しょうか,Patayin ang apoy,,消火
,,,,,10,10,1,しょうかき,Fire extinguisher,,消火器
,,,,,11,10,1,ひじょうべる,Emergency bell,,非常ベル
,,,,,12,10,1,かさいほうちき,Fire alarm,,火災報知機
,,,,,13,10,1,にげる,Tumakbo palayo,,逃げる
,,,,,14,10,1,げんば,Lugar ng trabaho,,現場
,,,,,15,10,1,さぎょう,Trabaho,,作業
"Ang conference, pagpupulong sa
umaga at pagpupulong sa katapusan
ng araw ay maaring tawagin din na
miting.",,,,,16,10,1,みーてぃんぐ,Miting,,ミーティング
,,,,,17,10,1,けんしゅう（する）,Pagsasanay (Magsasanay),,研修（する）
,,,,,18,10,1,じっしゅう（する）,Training (Pagtratrain),,実習（する）
,,,,,19,11,1,あいさつ,Pagbati,,あいさつ
,,,,,20,11,1,かくにん（する）,"Check / Kumpirmasyon
(I-checheck / Susuriin)",,確認（する）
,,,,,21,11,1,ほうこく（する）,"Report / Ulat(Mag-report /
Ipagbigay-alam)",,報告（する）
,,,,,22,11,1,れんらく（する）,Kontak (Makipag-ugnayan),,連絡（する）
,,,,,23,11,1,そうだん（する）,Konsulta (Magkonsulta),,相談（する）
"Ginamit ito kapag nagbibigay ng isang
bagay sa isang tao.",,,,,24,11,1,わたす,Iaabot,,渡す
,,,,,25,11,1,しんせいしょ,Pormat ng aplikasyon,,申請書
,,,,,26,11,1,ねぼう（する）,"Nagising ng tanghali
(Magigising ng tanghali)",,寝坊（する）
,,,,,1,12,1,ぎのう,pagsasanay,,技能
,,,,,2,12,1,ぎのうけんていしけん,Trade Skills Test,,技能検定試験
,,,,,3,12,1,じゅけん（する）,Pagkuha ng pagsusulit,,受検（する）
,,,,,4,12,1,しかく,kwalipikasyon,,資格
,,,,,5,12,1,てあて,allowance,,手当
,,,,,6,12,1,しゃいん,empleyado,,社員
,,,,,7,12,1,ぶちょう,hepe ng departamento,,部長
,,,,,8,12,1,かちょう,hepe ng seksyon,,課長
,,,,,9,12,1,こういしつ,silid bihisan,,更衣室
,,,,,10,12,1,だいしゃ,kariton,,台車
,,,,,11,12,1,ゆか,sahig,,床
,,,,,12,12,1,でぐち,labasan,,出口
,,,,,13,12,1,でんき,kuryente,,電気
,,,,,14,12,1,けいほうおん,babalang ingay,,警報音
,,,,,15,12,1,こんせんと,saksakan ng kuryente,,コンセント
,,,,,16,12,1,さぎょうば,lugar ng trabaho,,作業場
,,,,,17,12,1,さぎょうだい,lamesa ng trabaho,,作業台
,,,,,18,12,1,こうじげんば,lugar ng konstruksyon,,工事現場
,,"Sumunod sa utos ng foreman sa
pagbubuo ng scaffolding","あしばくみたて しょくちょう し じ したが
足場組立は 職長の指示に従う",,19,12,1,しょくちょう,foreman,,職長
,,,,,20,12,1,さぎょうせきにんしゃ,tagapangasiwa ng trabaho,,作業責任者
,,,,,1,13,1,きんし,bawal,,禁止
,,,,,2,13,1,ひょうじばん,karatula,,表示板
,,,,,3,13,1,きんしじこう,bagay na bawal gawin,,禁止事項
,,,,,4,13,1,ひなんくんれん,evacuation drill,,避難訓練
,,,,,5,13,1,かんでん（する）,pagkakuryente / makuryente,,感電（する）
,,,,,6,13,1,ぼうし（する）,pagpigil / pigilan,,防止（する）
,,,,,7,13,1,よぼう（する）,pag-iwas / iwasan,,予防（する）
,,,,,8,13,1,てんとう（する）,pagbagsak / bumagsak,,転倒（する）
,,,,,9,13,1,はさまる,maipit,,挟まる
,,,,,10,13,1,あしもと,paanan,,足元
,,,,,11,13,1,ふあんてい（な）,hindi matatag,,不安定（な）
,,,,,12,13,1,あとかたづけ,pagliligpit pagkatapos,,後片付け
,,,,,13,13,1,きゅうきゅうばこ,first-aid kit,,救急箱
,,,,,14,13,1,ばんそうこう,panakip sa sugat,,絆創膏
,,,,,15,13,1,たいちょう,pisikal na kondisyon,,体調
,,,,,16,13,1,ち,dugo,,血
,,,,,17,13,1,ねっちゅうしょう,heatstroke,,熱中症
,,,,,18,13,1,はきけ,alibadbad,,吐き気
,,,,,19,13,1,おうと（する）,pagsusuka / magsusuka,,嘔吐（する）
,,,,,20,13,1,あしがつる,namumulikat ang paa,,足がつる
,,,,,21,13,1,きぶんがわるい,hindi maganda ang pakiramdam,,気分が悪い
,,,,,22,13,1,ねぶそく,kulang sa tulog,,寝不足
,,,,,23,13,1,あんぜんねっと,safety net,,安全ネット
,,,,,24,13,1,あんぜんてんけん,inspeksyon para sa kaligtasan,,安全点検
,,,,,1,14,1,"けーわいかつどう（きけん
よちかつどう）","Aktibidad ng KY (Aktibidad
para Kilalanin ang
Panganib)",,KY活動（危険予知活動）
,,,,,2,14,1,きけん,panganib,,危険
,,"Nabangga sa bucket ng tractor shovel
at nasugatan","トラクタショベルのバケットにぶつかっ
てけがをした",,3,14,1,ぶつかる,mabangga,,ぶつかる
,,"Tumama sa katawan ang kagamitang
nahulog mula sa scaffolding at
nasugatan","あ し ば お こ う ぐ からだ あ
足場から落ちてきた工具が体に当たっ
てけがをした",,4,14,1,あたる,tumama,,当たる
,,Nadaganan ng mabigat na makina,"じゅうき し た じ
重機の下敷きになる",,5,14,1,したじきになる,madaganan,,下敷きになる
,,"Nagkamali at tumama ang martilyo sa
kamay","あやま て う
誤ってハンマーで手を打ってしまった",,6,14,1,うつ,tamaan,,打つ
,,"Nawala ang balanse sa taas ng hagdan
at nahulog","うえ くず てんらく
はしごの上でバランスを崩して転落し
た",,7,14,1,ばらんすをくずす,mawala ang balanse,,バランスを崩す
,,"Bumagsak ang hagdan, bumagsak dahil
sa heatstroke","たお ねっちゅうしょう たお
はしごが倒れる、熱中症で倒れる",,8,14,1,たおれる,bumagsak,,倒れる
,,"Nawala ang balanse sa taas ng hagdan
at nahulog","うえ くず てんらく
はしごの上でバランスを崩して転落し
た",,9,14,1,てんらく（する）,pagkahulog / mahulog,,転落（する）
,,,,,10,14,1,しさこしょう,pagturo at pagtawag,,指差呼称
,,,,,11,14,1,ひやりはっと,"muntikang aksidente
(Hiyari-hatto)",,ヒヤリハット
,,,,,12,14,1,げんいん,sanhi,,原因
,,,,,13,14,1,たいさく,hakbang upang labanan,,対策
,,"Nahulog ang kagamitan mula sa
scaffolding","あしば こ う ぐ らっか
足場から工具が落下した",,14,14,1,らっか（する）,pagkahulog / mahulog,,落下（する）
,,Bumagsak sa butas,"か い こ う ぶ ついらく
開口部から墜落した",,15,14,1,ついらく（する）,pagbagsak / bumagsak,,墜落（する）
,,Tiyakin na ligtas ang paligid,"しゅうい あんぜん かくにん
周囲の安全を確認する",,16,14,1,かくにん（する）,pagtiyak / tiyakin,,確認（する）
,,,,,16,16,1,ぎょうむ,trabaho,,業務
,,,,,17,16,1,じかんげんしゅ,laging nasa oras,,時間厳守
,,,,,18,16,1,よてい,iskedyul,,予定
,,,,,19,16,1,ひづけ,petsa,,日付
,,,,,20,16,1,じゅんび（する）,paghahanda / maghanda,,準備（する）
,,,,,21,16,1,かいぎ,pagpupulong,,会議
,,,,,22,16,1,ちょうれい,pagbati sa umaga,,朝礼
,,,,,23,16,1,ほうこくしょ,ulat,,報告書
,,,,,24,16,1,まにゅある,manuwal,,マニュアル
,,,,,25,16,1,さぎょうてじゅんしょ,proseso ng paggawa,,作業手順書
,,,,,26,16,1,ちょうし,kalagayan,,調子
,,,,,1,17,1,たちいりきんし,Bawal Pumasok,,立入禁止
,,,,,2,17,1,きんえん,Bawal Manigarilyo,,禁煙
,,,,,3,17,1,かきげんきん,"Mapanganib: Bawal ang
Apoy",,火気厳禁
,,,,,4,17,1,ちゅうしゃきんし,Bawal Pumarada,,駐車禁止
,,,,,5,17,1,あしもとちゅうい,Ingatan ang Hakbang!,,足もと注意
,,,,,6,17,1,かいこうぶちゅうい,"Mapanganib: May Butas
sa Sahig",,開口部注意
,,,,,7,17,1,かんでんちゅうい,"Mapanganib: May
Kuryente",,感電注意
,,,,,8,17,1,ついらくちゅうい,"Mapanganib: May
Maaaring Bumagsak",,堕落注意
,,,,,9,17,1,ずじょうちゅうい,Ingatan ang Ulo!,,頭上注意
,,,,,10,17,1,けいほうせつび,Sistemang Pang-alarma,,警報設備
,,,,,11,18,1,しょうかき,Pang-apula ng Apoy,,消火器
,,,,,12,18,1,"えーいーでぃーせっちば
しょ",May Nakahandang AED,,AED設置場所
,,,,,13,18,1,ほごぼうちゃくよう,Magsuot ng Helmet,,保護帽着用
,,,,,14,18,1,あんぜんたいしよう,"Magsuot ng Sinturong
Pangkaligtasan",,安全帯使用
,,,,,15,18,1,しょうこうかいだん,"Hagdanan na Pang-
Scaffolding",,昇降階段
,,,,,16,18,1,きゅうけいじょ,Pahingahan,,休憩所
,,,,,17,18,1,さいだいせきさいかじゅう,"Maximum na kapasidad sa
pag-load",,最大積載荷重
,,,,,18,18,1,きつえんじょ,"Lugar para sa
Paninigarilyo",,喫煙所
,,,,,19,18,1,せいりせいとん,Panatilihing Maayos,,整理整頓
,,,,,20,18,1,あんぜんつうろ,"Ligtas na Daanan /
Safety Passage",,安全通路
,,"Kinokonekta ang mga single pipe
gamit ang triple clamp.","さんれん たんかん けつごう
三連クランプで単管を結合する",,1,19,1,さんれんくらんぷ,triple clamp,,三連クランプ
,,"Idadala sa lugar ang lupa gamit ang
belt conveyor","つち こ う ん ぱ ん
ベルトコンベアで土を小運搬する",,2,19,1,"べるとこんべあ
（べるこん）",belt conveyor,,"ベルトコンベア
（ベルコン）"
"Malaking mallet. Tinatawag din
itong “Narimono,” “Oonari.” Ang
masong ginagamit sa dalawang
kamay ay tinatawag na “kakeya,”
ang mallet na ginagamit sa isang
kamay ay “kizuchi” o “konekiri.”",,"Pupukpukin ang poste gamit ang
maso (kakeya).","くい う こ
かけやで杭を打ち込む",,3,19,1,かけや,maso,,かけや
Ito ay tamping rammer.,,"Magsisiksik ng lupa gamit ang
pambayo.","じ ば ん し かた
ランマで地盤を締め固める",,4,19,1,らんま,pambayo,,ランマ
"Ginagamit ito sa pagbigkis sa mga
single pipes, at para sa
pagpapatatag ng slope.
Sa scaffolding, tinatawag na
“sujikai” (diagonal) ang
pagpapatatag ng slope.",,"Bibigkisin ang single pipe gamit ang
movable clamp.","じ ざ い もち たんかん きんけつ
自在クランプを用いて単管を緊結する",,5,19,1,じざいくらんぷ,movable clamp,,自在クランプ
,,"Bibigkisin ang single pipe gamit ang
catch clamp.","もち たんかん てっこつ
キャッチクランプを用いて単管と鉄骨
きんけつ
を緊結する",,6,19,1,きゃっちくらんぷ,catch clamp,,キャッチクランプ
,,"Bibigkisin ang single pipe gamit ang
pangbuhat","つ あ よう もち きんけつ
吊り上げ用クランプを用いて緊結した
たんかん つ あ
単管を吊り上げる",,7,19,1,つりあげようくらんぷ,clamp para sa pagbuhat,,吊り上げ用クランプ
,,"Bibigkisin ang single pipe gamit ang
right angle clamp","ちょっこう もち たんかん きんけつ
直交クランプを用いて単管を緊結す
る",,8,19,1,ちょっこうくらんぷ,right angle clamp,,直交クランプ
,,Isasabit ang wire rope sa hook.,ワイヤーロープをフックにかける,,9,19,1,ふっく,kawit / hook,,フック
,,"Isasabit ang wire sa straight
shackle.","ワイヤーをストレートシャックルにかけ
る",,10,20,1,すとれーとしゃっくる,straight shackle,,ストレートシャックル
,,"Bubuhatin ang mga materyales
gamit ang kalo.","かっしゃ ざいりょう つ あ
滑車で材料を吊り上げる",,11,20,1,かっしゃ,kalo / pulley,,滑車
,,"Bubuhatin ang mga materyales
gamit ang crane.","し ざ い つ あ
クレーンで資材を吊り上げる",,12,20,1,くれーん,crane,,クレーン
,,"Bubuhatin ang mga materyales
gamit ang movable crane.","い ど う しき し ざ い つ あ
移動式クレーンで資材を吊り上げる",,13,20,1,いどうしきくれーん,mobile crane,,移動式クレーン
,,"Babawasan ang pag-ugoy ng karga
gamit ang guy rope.","かい に も つ ふ
介しゃくロープで荷物の振れをおさえ
る",,14,20,1,かいしゃくろーぷ,guy rope,,介しゃくロープ
,,"Gumamit ng hagdanan na pang-
scaffolding kapag aakyat sa itaas
ng scaffolding.","あ し ばじょうそう のぼ しょうこうかいだん つか
足場上層に上るには昇降階段を使う",,15,20,1,しょうこうかいだん,"Hagdanan na Pang-
Scaffolding",,昇降階段
,,"Ipasok ang strut end pin at
baluktutin","すじ と さ こ お ま
筋かい止めピンを差し込み折り曲げ
ておく",,16,20,1,すじかいとめぴん,strut end pin,,筋かい止めピン
,,"Ipasok ang stud joint hanggang sa
dulo.","きゃくちゅう さ い ご さ こ
脚柱ジョイントは最後まで差し込む",,17,20,1,きゃくちゅうじょいんと,stud joint,,脚柱ジョイント
,,"Ipasok ang connecting pin
hanggang sa dulo.","れんけつ さ い ご さ こ
連結ピンは最後まで差し込む",,18,20,1,れんけつぴん,connecting pin,,連結ピン
,,"Siguraduhing ilagay hanggang sa
dulo ang joint mettal fitting.","か な ぐ かくじつ さ い ご
ジョイント金具は確実に最後まではめ
る",,19,20,1,じょいんとかなぐ,joint metal fitting,,ジョイント金具
,,"Ipirmi ang materyales gamit ang
lever block.","し ざ い こ て い
レバーブロックで資材を固定する",,20,21,1,ればーぶろっく,lever block,,レバーブロック
,,"Gumamit ng circular saw para sa
pagtabas ng form","かたわく せつだん まる し よ う
型枠の切断は丸のこを使用する",,21,21,1,でんどうのこ（まるのこ）,"electric circular saw
(circular saw)",,電動のこ（丸のこ）
"Tinatawag din itong “monkey
wrench.”",,"Higpitan/luwagan ang nut gamit
ang monkey wrench.","し ゆる
モンキースパナでナットを締める・緩
める",,22,21,1,もんきーすぱな,monkey spanner,,モンキースパナ
,,"Maglagay ng anchor post kung saan
hihigpitan ang pangunahing lubid.","おやづな は い ち おやづなしちゅう と つ
親綱を張る位置に親綱支柱を取り付
ける",,23,21,1,おやづなしちゅう,"poste ng pangunahing
lubid",,親綱支柱
"Tinatawag din itong “mochi-okuri”
(console).",,Magkabit ng bracket sa scaffolding.,"あ し ば と つ
足場にブラケットを取り付ける",,24,21,1,ぶらけっと,bracket,,ブラケット
,,,,,25,21,1,はしご,hagdan,,梯子
"Lubid kung saan sinasabit ang
sinturong pangkaligtasan (sinturong
may lifeline) sa lugar ng
konstrusksyon. Ilagay ito nang hindi
lumalaylay sa pagitan ng mga poste
upang maprotektahan ang mga
manggagawa sa lugar ng trabaho.",,"Isabit ang sinturong pangkaligtasan
sa pangunahing lubid","おやづな あんぜんたい
親綱に安全帯をかける",,1,22,1,おやづな,safety line,,親綱
,,"Magbuo ng scaffolding gamit ang
standard scaffold (Beatty)","たてわく もち あ し ば く み た
建枠（ビティ）を用いて足場を組立て
る",,2,22,1,たてわく（びてぃ）,standard scaffold (Beatty),,建枠（ビティ）
"Tinatawag din itong “curing sheet”
at “scattering-proof net”, “yojo-
shiito”, “hisan-boushi-shiito”.",,"Magkabit ng mesh sheet sa
scaffolding frame","あ し ばわく と つ
足場枠にメッシュシートを取り付ける",,3,22,1,めっしゅしーと,mesh sheet,,メッシュシート
,,"Mag-install ng soundproofing panel
bilang hakbang laban sa ingay","そうおんたいさく ぼうおん せ っ ち
騒音対策として防音パネルを設置す
る",,4,22,1,ぼうおんぱねる,soundproof panel,,防音パネル
,,"Gumamit ng protective shelf material
upang maiwasan ang pagtalsik at
pagkahulog ng mga bagay","あさがおざい ひ ら い ら っ か ぼ う し
朝顔材は飛来落下防止のためにつか
う",,5,22,1,あさがおざい,protective shelf material,,朝顔材
