Annotasyon,Anotasi,Cara membaca (Hiragana),Column_4,Column_6,Contoh,Foto,Kosakata,No.,PDFページ番号,PDF表番号,Tanda,Terjemahan
,"にゅうこくかんりちょう
Singkatan untuk 「入国管理庁」
にゅうこくかんりきょく
""Badan Imigrasi""、「入国管理局」
""Biro Imigrasi"".",にゅうかん,,,,,入管,8,3,1,,Imigrasi
,,ざいりゅうきかん,,,,,在留期間,9,3,1,,Periode tinggal
,,こようけいやく,,,,,雇用契約,10,3,1,,Kontrak kerja
,,きゅうよめいさい,,,,,給与明細,11,3,1,,Slip gaji
,,きゅうりょう,,,,,給料,12,3,1,,Gaji
,,ざんぎょうてあて,,,,,残業手当,13,3,1,,Tunjangan lembur
,,ろうどうじかん,,,,,労働時間,14,3,1,,Jam kerja
,"Pengurangan sejumlah uang dari total
uang yang ditentukan sebelumnya.
Biasanya digunakaan pada saat
pemotongan pajak.",こうじょ（する）,,"Orang yang sudah berkeluarga,
bisa mendapatkan pengurangan
tanggungan.","かぞく やしな ひと ふようこうじょ
家族を養っている人は、「扶養控除」
う ばあい
を受けられる場合がある",,控除（する）,1,4,1,,"Pengurangan
(Mengurangi)"
,,ぼーなす,,,,,ボーナス,2,4,1,,Bonus
,"Upah tetap dibayarkan walaupun libur.
Cuti tahunan berbayar. Cuti tahunan
ゆうきゅう
berbayar disingkat menjadi 「有休」.",ゆうきゅう,,"Saya sudah memberikan formulir
pendaftaran untuk mengambil
Cuti tahunan berbayar minggu
depan.","らいしゅうゆうきゅう しんせいしょ だ
来週、有休をとるので申請書を出した",,有休,3,4,1,,Cuti tahunan
,"Libur pengganti ketika masuk kerja di
hari libur.",だいきゅう,,,,,代休,4,4,1,,Libur pengganti
,"Peraturan standar Jepang yang
mengatur ketenagakerjaan.",ろうどうきじゅんほう,,,,,労働基準法,5,4,1,,"Peraturan standar
ketenagakerjaan"
,,ろうどうじょうけん,,,,,労働条件,6,4,1,,Kondisi kerja
,,ぜいきん,,,,,税金,7,4,1,,Pajak
,Pajak penghasilan selama satu tahun.,しょとくぜい,,,,,所得税,8,4,1,,Pajak penghasilan
,"Pajak yang harus dibayarkan ke wilayah
tempat tinggal.",じゅうみんぜい,,,,,住民税,9,4,1,,Pajak penduduk
,"Uang yang didapatkan oleh pegawai
swasta atau negeri pada saat pensiun,
cacat, atau meninggal.",こうせいねんきん,,,,,厚生年金,10,4,1,,Uang pensiun
,"Uang asuransi yang diberikan ketika
kehilangan pekerjaan atau ketika
memulai proses mencari pekerjaan
baru.",こようほけん,,,,,雇用保険,11,4,1,,"Asuransi
ketenagakerjaan"
,"Uang asuransi yang diberikan ketika
orang yang bersangkutan atau
keluarganya mendapat perawatan.",けんこうほけん,,,,,健康保険,12,4,1,,Asuransi kesehatan
,"Sebutan untuk gabungan dari Asuransi
kesehatan, Asuransi Pensiun, Asuransi
Perawatan, Asuransi ketenagakerjaan,
Asuransi kecelakaan kerja. Bisa juga
digunakan untuk asuransi yang pada
umumnya digunakan oleh para
pegawai, yaitu Asuransi kesehatan dan
Uang pensiun.",しゃかいほけん,,,,,社会保険,13,5,1,,Asuransi sosial
,"ろうどうさいがい
Singkatan dari 「労働災害」""Kecelakaan
kerja"". Mengacu pada luka atau
penyakit yang disebabkan oleh
pekerjaan.",ろうさい,,,,,労災,14,5,1,,Kecelakaan kerja
,"Uang asuransi yang diberikan apabila
pekerja mengalami kecelakaan saat
kerja yang menjamin pekerja untuk
mendapatkan perawatan, untuk tidak
bekerja dalam jangka waktu tertentu,
karena akibat yang ditimbulkan dari
kecelakaan tersebut seperti cacat dan
sebagainya.",ろうさいほけん,,,,,労災保険,15,5,1,,"Asuransi kecelakaan
kerja"
,,ちこく（する）,,,,,遅刻（する）,1,6,1,,"Keterlambatan
(Terlambat)"
,,そうたい（する）,,,,,早退（する）,2,6,1,,"Kepulangan cepat
(Pulang cepat)"
,,きゅうけい（する）,,,,,休憩（する）,3,6,1,,Istirahat (Beristirahat)
,,ざんぎょう（する）,,,,,残業（する）,4,6,1,,"Pekerjaan lembur
(Lembur)"
,"Waktu yang ditentukan. Umumnya
merujuk pada waktu pulang kerja
yang sudah ditentukan.",ていじ,,Hari ini pulang tepat waktu.,"き ょ う ていじ かえ
今日は定時に帰る",,定時,5,6,1,,Tepat waktu
,,きそく,,,,,規則,6,6,1,,Aturan
,,きゅうじつ,,,,,休日,7,6,1,,Hari libur
,,しぎょうじかん,,,,,始業時間,8,6,1,,Jam mulai kerja
,,しゅうぎょうじかん,,,,,終業時間,9,6,1,,Jam usai kerja
,,しどういん,,,,,指導員,10,6,1,,Instruktur
,,せいかつしどういん,,,,,生活指導員,11,6,1,,"Pembimbing kehidupan
sehari-hari"
,,たんとうしゃ,,,,,担当者,12,6,1,,Penanggungjawab
,,すいっちいれるな,,,,,スイッチ入れるな,13,6,1,,Jangan dinyalakan
,,すいっちきるな,,,,,スイッチ切るな,14,6,1,,Jangan dimatikan
,,しようきんし,,,,,使用禁止,15,6,1,,Dilarang menggunakan
,"Merupakan akronim dari 5 kata
yang dimulai dari huruf S: yang
dalam bahasa Jepang dikenal
dengan Seiri, Seiton, Seiso,
Seiketsu, Shitsuke. Kata ini
digunakan untuk meningkatkan
produktivitas kerja.",ごえす,,,,,5S,1,7,1,,"5S (Di Indonesia 5R
:Ringkas, Rapi, Resik,
Rawat, Rajin)"
,"Merupakan kegiatan
menyingkirkan barang-barang
yang tidak diperlukan sehingga
segala barang yang ada di lokasi
kerja hanya ada barang yang
benar-benar dibutuhkan dalam
aktivitas kerja",せいり,,,,,整理,2,7,1,,Ringkas
,"Menyimpan barang yang tepat
atau dalam tata letak yang benar
sehingga dapat dipergunakan saat
mendadak. Ini merupakan cara
untuk menghilangkan pemborosan
waktu dan tenaga dalam proses
pencarian",せいとん,,,,,整頓,3,7,1,,Rapi
,"Merupakan kegiatan
membersihkan peralatan dan
tempat kerja hingga segala
peralatan kerja tetap terjaga dalam
kondisi yang baik. Secara konkrit,
seperti membuang sampah,
kotoran dan benda-benda asing
serta membersihkan segala
sesuatu.",せいそう,,,,,清掃,4,7,1,,Resik
,"Menjaga kondisi tetap baik setelah
melakukan Ringkas, Rapi, Resik.",せいけつ,,,,,清潔,5,8,1,,Rawat
,"Membiasakan diri menjalankan
sesuatu sesuai dengan yang telah
ditetapkan, untuk menciptakan
budaya kerja bersama.",しつけ,,,,,しつけ,6,8,1,,Rajin
,,そうじ（する）,,,,,掃除（する）,7,8,1,,"Pembersihan
(Membersihkan)"
,,かたづける,,,,,片づける,8,8,1,,Membereskan
,,すてる,,,,,捨てる,9,8,1,,Membuang
,,きたない,,,,,汚い,10,8,1,,Kotor
,,よごれる,,,,,汚れる,11,8,1,,Kotor
,,ぶんべつ（する）,,,,,分別（する）,12,8,1,,"Pemisahan
(Memisahkan)"
,,もえないごみ,,,,,燃えないごみ,13,8,1,,"Sampah tak mudah
terbakar"
,,もえるごみ,,,,,燃えるごみ,14,8,1,,Sampah mudah terbakar
,,はさまれる,,Tangan saya terjepit mesin.,"きかい て はさ
機械に手が挟まれた",,挟まれる,15,8,1,,Terjepit
,,まきこまれる,,"1)Tangan terlilit di mesin.
2)Sarung tangan terlilit di mesin
frais.","きかい て ま こ
1)機械に手が巻き込まれる
てぶくろ ばん ま こ
2)手袋がフライス盤に巻き込まれる",,巻き込まれる,16,8,1,,Terlilit
,,やけど（する）,,,,,やけど（する）,17,8,1,,Luka bakar (Terbakar)
,,おちる,,Jatuh dari tangga.,"かいだん お
階段から落ちる",,落ちる,18,9,1,,Jatuh
,,すべる,,Lantainya licin.,"ゆか
床がすべる",,すべる,19,9,1,,Terpeleset/Licin
,,ころぶ,,Jatuh terpeleset di pabrik.,"こうじょう ころ
工場ですべって転んだ",,転ぶ,20,9,1,,Terjatuh
,,ぬれる,,,,,濡れる,21,9,1,,Basah
,,えいせい,,,,,衛生,22,9,1,,Kebersihan
,,ひなん（する）,,,,,避難（する）,23,9,1,,Evakuasi (Mengevakuasi)
,,きゅうきゅうしゃ,,,,,救急車,24,9,1,,Ambulans
,,さいがい,,,,,災害,25,9,1,,Bencana
,,じしん,,Terjadi gempa bumi,"じ しん お
地震が起きる",,地震,26,9,1,,Gempa bumi
,,もぐる,,"Gempa bumi ! Menyelinap ke
bawah meja !","じ しん つくえ した
地震だ！机の下にもぐれ！",,もぐる,27,9,1,,Menyelinap
,,かきげんきん,,,,,火気厳禁,1,10,1,,"Dilarang menggunakan
api"
,,かいほうげんきん,,,,,開放厳禁,2,10,1,,Dilarang membuka
,,ひょうしき,,,,,標識,3,10,1,,Tanda
,,きをつける,,,,,気をつける,4,10,1,,Berhati-hati
,,もちこむ,,"Dilarang membawa masuk telepon
genggam ke pabrik.","こうじょう けいたいでんわ も こ
工場に携帯電話を持ち込んではいけ
ない",,持ち込む,5,10,1,,Membawa masuk
,,ふせぐ,,"Konfirmasikan keselamatan untuk
mencegah kecelakaan.","あんぜんかくにん じ こ ふせ
安全確認して事故を防ぐ",,防ぐ,6,10,1,,Mencegah
,,ひ,,,,,火,7,10,1,,Api
,,けむり,,,,,煙,8,10,1,,Asap
,,しょうか,,,,,消火,9,10,1,,Pemadam kebakaran
,,しょうかき,,,,,消火器,10,10,1,,"Alat pemadam
kebakaran"
,,ひじょうべる,,,,,非常ベル,11,10,1,,Bel darurat
,,かさいほうちき,,,,,火災報知機,12,10,1,,Alarm kebakaran
,,にげる,,,,,逃げる,13,10,1,,Melarikan diri
,,げんば,,,,,現場,14,10,1,,Tempat kerja/Pabrik
,,さぎょう,,,,,作業,15,10,1,,Pekerjaan
,"Rapat, Rapat Pagi, Rapat Akhir juga
disebut dengan rapat (meeting).",みーてぃんぐ,,,,,ミーティング,16,10,1,,Rapat/Meeting
,,けんしゅう（する）,,,,,研修（する）,17,10,1,,"Pelatihan/Training
(Berlatih)"
,,じっしゅう（する）,,,,,実習（する）,18,10,1,,Pelatihan (Berlatih)
,,あいさつ,,,,,あいさつ,19,11,1,,Salam
,,かくにん（する）,,,,,確認（する）,20,11,1,,"Konfirmasi
(Mengkonfirmasikan)"
,,ほうこく（する）,,,,,報告（する）,21,11,1,,Laporan (Melaporkan)
,,れんらく（する）,,,,,連絡（する）,22,11,1,,Kontak (Menghubungi)
,,そうだん（する）,,,,,相談（する）,23,11,1,,"Konsultasi
(Berkonsultasi)"
,"Digunakan ketika menyerahkan
sesuatu ke orang lain.",わたす,,,,,渡す,24,11,1,,Menyerahkan
,,しんせいしょ,,,,,申請書,25,11,1,,Surat permohonan
,,ねぼう（する）,,,,,寝坊（する）,26,11,1,,"Kesiangan (Bangun
kesiangan)"
,,ぎのう,,,,,技能,1,12,1,,Keahlian
,,ぎのうけんていしけん,,,,,技能検定試験,2,12,1,,Ujian keahlian teknis
,,じゅけん（する）,,,,,受検（する）,3,12,1,,Ujian
,,しかく,,,,,資格,4,12,1,,Kualifikasi
,,てあて,,,,,手当,5,12,1,,Tunjangan
,,しゃいん,,,,,社員,6,12,1,,Pegawai
,,ぶちょう,,,,,部長,7,12,1,,Kepala bidang
,,かちょう,,,,,課長,8,12,1,,Kepala Seksi
,,こういしつ,,,,,更衣室,9,12,1,,Ruang ganti
,,だいしゃ,,,,,台車,10,12,1,,Troli
,,ゆか,,,,,床,11,12,1,,Lantai
,,でぐち,,,,,出口,12,12,1,,Pintu keluar
,,でんき,,,,,電気,13,12,1,,Listrik
,,けいほうおん,,,,,警報音,14,12,1,,Bunyi peringatan
,,こんせんと,,,,,コンセント,15,12,1,,Stop kontak
,,さぎょうば,,,,,作業場,16,12,1,,Tempat kerja
,,さぎょうだい,,,,,作業台,17,12,1,,Meja kerja
,,こうじげんば,,,,,工事現場,18,12,1,,Lokasi kerja
,,しょくちょう,,"Perakitan perancah mengikuti
instruksi pengawas kerja.","あしばくみたて しょくちょう し じ したが
足場組立は 職長の指示に従う",,職長,19,12,1,,Pengawas kerja
,,さぎょうせきにんしゃ,,,,,作業責任者,20,12,1,,Petugas kerja
,,きんし,,,,,禁止,1,13,1,,Pelarangan
,,ひょうじばん,,,,,表示板,2,13,1,,Papan pengumuman
,,きんしじこう,,,,,禁止事項,3,13,1,,Larangan penggunaan
,,ひなんくんれん,,,,,避難訓練,4,13,1,,Latihan evakuasi
,,かんでん（する）,,,,,感電（する）,5,13,1,,Tersengat listrik
,,ぼうし（する）,,,,,防止（する）,6,13,1,,Mencegah
,,よぼう（する）,,,,,予防（する）,7,13,1,,Mencegah
,,てんとう（する）,,,,,転倒（する）,8,13,1,,Jatuh
,,はさまる,,,,,挟まる,9,13,1,,Terjepit
,,あしもと,,,,,足元,10,13,1,,Langkah kaki
,,ふあんてい（な）,,,,,不安定（な）,11,13,1,,Tidak stabil
,,あとかたづけ,,,,,後片付け,12,13,1,,Pembenahan
,,きゅうきゅうばこ,,,,,救急箱,13,13,1,,Kotak P3K
,,ばんそうこう,,,,,絆創膏,14,13,1,,Plester
,,たいちょう,,,,,体調,15,13,1,,Kondisi badan
,,ち,,,,,血,16,13,1,,Darah
,,ねっちゅうしょう,,,,,熱中症,17,13,1,,Dehidrasi
,,はきけ,,,,,吐き気,18,13,1,,Mual
,,おうと（する）,,,,,嘔吐（する）,19,13,1,,Muntah
,,あしがつる,,,,,足がつる,20,13,1,,Kram
,,きぶんがわるい,,,,,気分が悪い,21,13,1,,Tidak enak badan
,,ねぶそく,,,,,寝不足,22,13,1,,Kurang tidur
,,あんぜんねっと,,,,,安全ネット,23,13,1,,Jaring pengaman
,,あんぜんてんけん,,,,,安全点検,24,13,1,,Pemeriksaan keselamatan
,,"けーわいかつどう（きけん
よちかつどう）",,,,,KY活動（危険予知活動）,1,14,1,,Kegiatan latihan prediksi bahaya
,,きけん,,,,,危険,2,14,1,,Bahaya
,,ぶつかる,,"Telah luka tertabrak pengeruk
traktor shovel.","トラクタショベルのバケットにぶつかってけが
をした",,ぶつかる,3,14,1,,Tertabrak
,,あたる,,"Tubuh luka terkena alat kerja
yang jatuh dari perancah.","あ し ば お こ う ぐ からだ あ
足場から落ちてきた工具が体に当たってけが
をした",,当たる,4,14,1,,Kena
,,したじきになる,,Terlindas alat berat.,"じゅうき し た じ
重機の下敷きになる",,下敷きになる,5,14,1,,Terlindas
,,うつ,,"Tangan terpukul palu karena
khilaf.","あやま て う
誤ってハンマーで手を打ってしまった",,打つ,6,14,1,,Memukul
,,ばらんすをくずす,,"Terjatuh karena kehilangan
keseimbangan di atas tangga.","うえ くず てんらく
はしごの上でバランスを崩して転落した",,バランスを崩す,7,14,1,,Hilang keseimbangan
,,たおれる,,"Tangga terjatuh, jatuh karena
dehidrasi.","たお ねっちゅうしょう たお
はしごが倒れる、熱中症で倒れる",,倒れる,8,14,1,,Jatuh
,,てんらく（する）,,"Terjatuh karena kehilangan
keseimbangan di atas tangga.","うえ くず てんらく
はしごの上でバランスを崩して転落した",,転落（する）,9,14,1,,Jatuh dari atas
,,しさこしょう,,,,,指差呼称,10,14,1,,"Aba-aba tunjuk pencegahan
bahaya"
,,ひやりはっと,,,,,ヒヤリハット,11,14,1,,Kondisi bahaya/Gerakan bahaya
,,げんいん,,,,,原因,12,14,1,,Faktor/Penyebab
,,たいさく,,,,,対策,13,14,1,,Penanganan
,,らっか（する）,,Alat kerja jatuh dari perancah.,"あしば こ う ぐ らっか
足場から工具が落下した",,落下（する）,14,14,1,,Jatuh
,,ついらく（する）,,Terperosok ke lubang.,"か い こ う ぶ ついらく
開口部から墜落した",,墜落（する）,15,14,1,,Terperosok
,,かくにん（する）,,Konfirmasi keselamatan sekitar.,"しゅうい あんぜん かくにん
周囲の安全を確認する",,確認（する）,16,14,1,,Konfirmasi
,,ぎょうむ,,,,,業務,16,16,1,,Kerja
,,じかんげんしゅ,,,,,時間厳守,17,16,1,,Disiplin waktu
,,よてい,,,,,予定,18,16,1,,Jadwal
,,ひづけ,,,,,日付,19,16,1,,"Tanggal, bulan dan tahun"
,,じゅんび（する）,,,,,準備（する）,20,16,1,,Persiapan
,,かいぎ,,,,,会議,21,16,1,,"Rapat, pertemuan"
,,ちょうれい,,,,,朝礼,22,16,1,,Apel pagi
,,ほうこくしょ,,,,,報告書,23,16,1,,Surat laporan
,,まにゅある,,,,,マニュアル,24,16,1,,Buku pedoman
,,さぎょうてじゅんしょ,,,,,作業手順書,25,16,1,,Lembaran prosedur kerja.
,,ちょうし,,,,,調子,26,16,1,,Kondisi
,,たちいりきんし,,,,,立入禁止,1,17,1,,Dilarang masuk
,,きんえん,,,,,禁煙,2,17,1,,Dilarang merokok
,,かきげんきん,,,,,火気厳禁,3,17,1,,Dilarang menggunakan api
,,ちゅうしゃきんし,,,,,駐車禁止,4,17,1,,Dilarang parkir
,,あしもとちゅうい,,,,,足もと注意,5,17,1,,Awas langkah kaki
,,かいこうぶちゅうい,,,,,開口部注意,6,17,1,,Awas ada lubang
,,かんでんちゅうい,,,,,感電注意,7,17,1,,"Awas bahaya sengatan
listrik"
,,ついらくちゅうい,,,,,堕落注意,8,17,1,,Awas jatuh terpeleset
,,ずじょうちゅうい,,,,,頭上注意,9,17,1,,Awas bagian atas kepala
,,けいほうせつび,,,,,警報設備,10,17,1,,"Peralatan Tanda Bahaya
（Alarm）"
,,しょうかき,,,,,消火器,11,18,1,,Alat Pemadam Kebakaran
,,"えーいーでぃーせっちば
しょ",,,,,AED設置場所,12,18,1,,"Tempat Instalasi peralatan
AED"
,,ほごぼうちゃくよう,,,,,保護帽着用,13,18,1,,Gunakan topi pelindung
,,あんぜんたいしよう,,,,,安全帯使用,14,18,1,,Gunakan Sabuk Pengaman
,,しょうこうかいだん,,,,,昇降階段,15,18,1,,Tangga naik turun
,,きゅうけいじょ,,,,,休憩所,16,18,1,,Tempat istirahat
,,さいだいせきさいかじゅう,,,,,最大積載荷重,17,18,1,,"Kapasitas berat beban
maksimum"
,,きつえんじょ,,,,,喫煙所,18,18,1,,Dilarang merokok
,,せいりせいとん,,,,,整理整頓,19,18,1,,Rapikan dengan teratur
,,あんぜんつうろ,,,,,安全通路,20,18,1,,Jalur aman
,,さんれんくらんぷ,,"Menyatukan pipa tunggal
dengan klam tripel.","さんれん たんかん けつごう
三連クランプで単管を結合する",,三連クランプ,1,19,1,,Klam tripel.
,,"べるとこんべあ
（べるこん）",,"Mengangkut tanah volume kecil
dengan konveyor sabuk.","つち こ う ん ぱ ん
ベルトコンベアで土を小運搬する",,"ベルトコンベア
（ベルコン）",2,19,1,,"Konveyor sabuk (Ban
berjalan)"
,"Palu kayu berat. Juga dikenal
sebagai suara kencang atau
keras. Palu kayu berat yang
digunakan dengan kedua belah
tangan disebut “Kakeya”,
sedangkan palu kayu yang
digunakan dengan sebelah
tangan disebut “Konekiri”.",かけや,,"Mengetuk paku dengan palu
kayu.","くい う こ
かけやで杭を打ち込む",,かけや,3,19,1,,Palu kayu berat
,Mesin Stamper kuda.,らんま,,"Memadatkan kuat-kuat tanah
dengan stamper kuda.","じ ば ん し かた
ランマで地盤を締め固める",,ランマ,4,19,1,,Stamper kuda
,"Ini digunakan untuk mengikat
pipa tunggal satu dengan lainnya
menjadi satu dan untuk
menambah penguatan diagonal.
Pada perancah, tulangan
diagonal disebut sebagai "" Ikatan
diagonal"".",じざいくらんぷ,,"Tunggal menggunakan Klam
universal.","じ ざ い もち たんかん きんけつ
自在クランプを用いて単管を緊結する",,自在クランプ,5,19,1,,Klam universal
,,きゃっちくらんぷ,,"Menghubungkan pipa tunggal
dan rangka baja menggunakan
jepitan pancingan.","もち たんかん てっこつ
キャッチクランプを用いて単管と鉄骨
きんけつ
を緊結する",,キャッチクランプ,6,19,1,,Jepitan pancingan
,,つりあげようくらんぷ,,"Mengangkat pipa tunggal yang
telah dihubungkan dengan lifting
klam.","つ あ よう もち きんけつ
吊り上げ用クランプを用いて緊結した
たんかん つ あ
単管を吊り上げる",,吊り上げ用クランプ,7,19,1,,Lifting klam
,,ちょっこうくらんぷ,,"Mengikat pipa tunggal dengan
Jepitan.","ちょっこう もち たんかん きんけつ
直交クランプを用いて単管を緊結す
る",,直交クランプ,8,19,1,,Jepitan
,,ふっく,,Memasang tali kawat pada kait.,ワイヤーロープをフックにかける,,フック,9,20,1,,Kait
,,すとれーとしゃっくる,,"Memasang tali kawat baja ke
mata-rantai lurus.","ワイヤーをストレートシャックルにかけ
る",,ストレートシャックル,10,20,1,,Mata-rantai lurus
,,かっしゃ,,Menaikkan bahan dengan katrol.,"かっしゃ ざいりょう つ あ
滑車で材料を吊り上げる",,滑車,11,20,1,,Katrol/Puli
,,くれーん,,Menaikkan material dengan kren.,"し ざ い つ あ
クレーンで資材を吊り上げる",,クレーン,12,20,1,,Kren
,,いどうしきくれーん,,"Mengangkat material dengan
Derek berjalan.","い ど う しき し ざ い つ あ
移動式クレーンで資材を吊り上げる",,移動式クレーン,13,20,1,,Kren jalan
,,かいしゃくろーぷ,,"Menahan getaran barang
dengan tali teraju.","かい に も つ ふ
介しゃくロープで荷物の振れをおさえ
る",,介しゃくロープ,14,20,1,,Tali teraju
,,しょうこうかいだん,,"Untuk menaiki bagian atas
perancah menggunakan tangga
turun-naik.","あ し ばじょうそう のぼ しょうこうかいだん つか
足場上層に上るには昇降階段を使う",,昇降階段,15,20,1,,Tangga naik turun
,,すじかいとめぴん,,"Selipkan tap ikatan diagonal lalu
tekukkan.","すじ と さ こ お ま
筋かい止めピンを差し込み折り曲げ
ておく",,筋かい止めピン,16,20,1,,Tap ikatan diagonal
,,きゃくちゅうじょいんと,,"Menyematkan betul sambungan
tiang kaki.","きゃくちゅう さ い ご さ こ
脚柱ジョイントは最後まで差し込む",,脚柱ジョイント,17,20,1,,Sambungan tiang kaki
,,れんけつぴん,,"Menyematkan betul pena
hubung.","れんけつ さ い ご さ こ
連結ピンは最後まで差し込む",,連結ピン,18,20,1,,Pena hubung
,,じょいんとかなぐ,,"Memasang secara benar dan
pasti alat logam penyambung.","か な ぐ かくじつ さ い ご
ジョイント金具は確実に最後まではめ
る",,ジョイント金具,19,21,1,,"Alat logam
penyambung"
,,ればーぶろっく,,"Menguatkan bahan-bahan
bangunan dengan Blok tuas.","し ざ い こ て い
レバーブロックで資材を固定する",,レバーブロック,20,21,1,,Blok tuas
,,でんどうのこ（まるのこ）,,"Menggunakan gergaji listrik
untuk memotong cetakan.","かたわく せつだん まる し よ う
型枠の切断は丸のこを使用する",,電動のこ（丸のこ）,21,21,1,,Gergaji listrik
,"Juga disebut sebagai ""Kunci
sekrup"".",もんきーすぱな,,"Menguatkan dan mengendurkan
mur dengan kunci Inggris .","し ゆる
モンキースパナでナットを締める・緩
める",,モンキースパナ,22,21,1,,Kunci Inggris
,,おやづなしちゅう,,"Memasang tiang pendukung tali
induk pada posisi rentangnya tali
induk.","おやづな は い ち おやづなしちゅう と つ
親綱を張る位置に親綱支柱を取り付
ける",,親綱支柱,23,21,1,,"Tiang pendukung tali
induk"
,"Juga disebut sebagai
""Penyangga"".",ぶらけっと,,"Memasang braket pada
perancah.","あ し ば と つ
足場にブラケットを取り付ける",,ブラケット,24,21,1,,Braket/penopang
,,はしご,,,,,梯子,25,21,1,,Tangga
,"Tali untuk mengaitkan sabuk
pengaman (sabuk dengan tali
penolong) di lokasi konstruksi.
Untuk melindungi nyawa pekerja di
lapangan, dipasang agar tidak
melorot di antara pilar.",おやづな,,"Memasang sabuk pengaman pada
tali induk","おやづな あんぜんたい
親綱に安全帯をかける",,親綱,1,22,1,,Tali induk
,,たてわく（びてぃ）,,"Merakit perancah menggunakan
rangka sekeliling bangunan.","たてわく もち あ し ば く み た
建枠（ビティ）を用いて足場を組立て
る",,建枠（ビティ）,2,22,1,,"Rangka sekeliling
bangunan"
,"Atau disebut juga sebagai
“lembaran pencegah kerusakan”,
atau “jaring pelindung”.",めっしゅしーと,,"Memasang jaring pelindung pada
perancah bingkai.","あ し ばわく と つ
足場枠にメッシュシートを取り付ける",,メッシュシート,3,22,1,,Jaring pelindung
,,ぼうおんぱねる,,"Memasang panel kedap suara
untuk menangkal suara kebisingan.","そうおんたいさく ぼうおん せ っ ち
騒音対策として防音パネルを設置す
る",,防音パネル,4,22,1,,Panel kedap suara
,,あさがおざい,,"Jaring pengaman digunakan untuk
mencegah terbang dan
kejatuhannya benda.","あさがおざい ひ ら い ら っ か ぼ う し
朝顔材は飛来落下防止のためにつか
う",,朝顔材,5,22,1,,Jaring pengaman
,"Karena ada arus listrik
berketekanan tinggi, maka bila
menyentuh nya besar
kemungkinan mengalami
kecelakaan sengatan listrik.",かくうせん,,"Usahakan agar kabel udara tidak
tersentuh perancah.","か く うせん せっしょく
架空線へ接触させないようにする",,架空線,6,22,1,,Kabel udara
