,単語,再翻訳,類似度_claude
404,油圧ポンプ,油圧ポンプ,100%
405,水漏れ,水漏れ,100%
406,油漏れ,オイル漏れ,100%
407,冷却水,冷却剤,100%
408,ブレーキ液,ブレーキフルード,100%
409,燃料タンク,燃料タンク,100%
410,ファンベルト,ファンベルト,100%
411,空気圧,空気圧,100%
412,クラッチ,クラッチ,100%
413,発進,スタート（出発）,100%
414,アイドリング,アイドリング,100%
415,走行,旅行 / 運転,90%
416,旋回,スイング/回転,100%
417,安全ロック,安全ロック,100%
418,安全支柱,安全支柱/サポート,100%
419,補給（する）,補充/補充,100%
420,駐車（する）,公園 / 駐車場,40%
421,歩行者,歩行者,100%
422,車両,車両,100%
423,死ℝ,死角,100%
424,斜面,スロープ,100%
425,転圧（する）,圧縮/コンパクト,100%
426,接触（する）,接触/タッチ,100%
427,作動（する）,操作/運用,100%
428,整備（する）,サービス/メンテナンス,100%
429,点検（する）,検査/検査,100%
430,動かす,移動/操作,100%
431,運転（する）,操作/運転,100%
432,測る,測定,100%
433,操作（する）,操作/運用,100%
434,停止（する）,停止/一時停止,100%
435,切る,カット/オフ,100%
436,回す,回転,100%
437,押す,押す/押す,100%
438,集める,集める/収集する,100%
439,触る,触る,100%
440,縛る,結ぶ/縛る,100%
441,揃える,整列/配置,100%
442,結ぶ,ネクタイ/結び目,100%
443,しゃがむ,しゃがむ,100%
444,調整（する）,調整/調整,100%
445,閉じる,閉じる,100%
446,取り出す,テイクアウト,100%
447,戻す,返品する,100%
448,仕上げる,仕上げる,100%
449,折れる,ブレーク/スナップ,100%
450,欠ける,チップ/チップされる,100%
451,近づく,アプローチ,100%
452,電源を入れる,電源を入れる,100%
453,電源を落とす,電源を切る,100%
454,スイッチを切る,スイッチをオフにする,100%
455,固定（する）,修正/保護,95%
456,ゆるめる,緩める,100%
457,伸ばす,伸ばす/伸ばす,100%
458,外す,取り除く,100%
459,曲げる,曲げる,100%
460,出す,出す/取り出す,100%
461,乾かす,ドライ,100%
462,数える,カウント,100%
463,運ぶ,持ち運び/輸送,100%
464,積む,ロード/スタック,100%
465,下ろす,荷降ろし/降ろし,100%
466,離れる,立ち去る,100%
467,位置,位置,100%
468,寸法,寸法,100%
469,測定（する）,測定/測定,100%
470,計測（する）,測定/測定,100%
471,計測器,測定器,100%
472,温度,温度,100%
473,高さ,身長,100%
474,長さ,長さ,100%
475,重さ,重さ,100%
476,厚さ,厚さ,100%
477,硬さ,硬度,100%
478,深さ,深さ,100%
479,表面,表面,100%
480,すきま,隙間/クリアランス,100%
481,中心,中心,100%
482,値,価値,80%
483,安定（する）,安定性/安定化,100%
484,大きさ,サイズ,100%
485,数,数量,100%
486,誤差,エラー/許容範囲,100%
487,中,内側/真ん中,100%
488,反対,反対,100%
489,周り,周辺,100%
490,尺,尺（伝統的な単位）/長さ,100%
491,青,青,100%
492,赤,赤,100%
493,白,白,100%
494,黄色,黄色,100%
495,捨てる,処分する,100%
496,掃く,スイープ,100%
497,持ち上げる,リフト,100%
498,束ねる,バンドル,100%
499,足をくじく,足首を捻挫する,100%
