,単語,再翻訳,類似度_claude,スコア
234,かけや,木槌（かけや）,100%,
235,ランマ,ハンドタンピングランマー,100%,
236,自在クランプ,スイベルクランプ,100%,
237,キャッチクランプ,キャッチクランプ,100%,
238,吊り上げ用クランプ,リフティングクランプ,100%,
239,直交クランプ,直角クランプ,100%,
240,フック,フック,100%,
241,ストレートシャックル,ストレートシャックル,100%,
242,滑車,ブロック/プーリー,100%,
243,クレーン,クレーン,100%,
244,移動式クレーン,移動式クレーン,100%,
245,介しゃくロープ,タグラインロープ,100%,
246,筋かい止めピン,ブレースピン,100%,
247,脚柱ジョイント,ポストジョイント,100%,
248,連結ピン,接続ピン,100%,
249,ジョイント金具,ジョイントフィッティング,100%,
250,レバーブロック,レバーホイスト（レバーブロック）,100%,
251,電動のこ（丸のこ）,丸鋸（電動）,100%,
252,モンキースパナ,モンキーレンチ,100%,
253,親綱支柱,ライフラインポスト,100%,
254,ブラケット,ブラケット,100%,
255,梯子,ラダー,100%,
256,親綱,ライフライン,100%,
257,建枠（ビティ）,フレーム足場（けんわく）,100%,
258,メッシュシート,メッシュシート（ネット）,100%,
259,防音パネル,防音パネル,100%,
260,朝顔材,キャノピーブラケット（デブリネットサポート）,100%,
261,架空線,架空線,100%,
262,幅木（仮設足場）,つま先板（足場）,100%,
263,単管,鋼管（単管）,100%,
264,脚立,踏み台,100%,
265,作業半径,作業半径,100%,
266,仮ボルト,仮ボルト,100%,
267,手直し,修正/タッチアップ,100%,
268,面一,フラッシュ（表面レベル）,100%,
269,点検事項,検査項目,100%,
270,積載荷重,耐荷重,100%,
271,すき間,ギャップ,100%,
272,通りを見る,アライメントを確認する,100%,
273,組立,組み立て/設置,100%,
274,地組,地上集合,100%,
275,天端,最上層 / 上面,100%,
276,玉掛け,スリング/リギング,100%,
277,合図,信号,100%,
278,定格荷重,定格荷重,100%,
279,たち,垂直性,100%,
280,安全帯,安全ベルト/ハーネス,100%,
281,インサート,入れる,90%,
282,スペーサ,スペーサー,100%,
283,鉄筋,鉄筋,100%,
284,電工ドラム（ドラム）,ケーブルリール/延長リール,100%,
285,電動丸のこ（電のこ）,丸鋸（電動）,100%,
286,パッキン,パッキン/ガスケット,100%,
287,小バール,小型バール,100%,
288,大バール,大型バール,100%,
289,化粧合板,装飾合板,100%,
290,普通合板,標準合板,100%,
291,スタイロフォーム,押出ポリスチレンフォーム,100%,
292,面木,面取りストリップ,100%,
293,バイブレーター,コンクリートバイブレーター,100%,
294,剥離剤,離型剤,100%,
295,けこみ板,ライザーボード,100%,
296,目地棒,ジョイントロッド/ダボ,100%,
297,コンクリート,コンクリート,100%,
298,コンベックス,巻尺（凸型）,100%,
299,作業用手袋,作業用手袋,100%,
300,差金,カーペンターズスクエア,100%,
301,水平器,レベル,100%,
302,墨さし,インクマーカー/インクブラシ,100%,
303,墨つぼ,チョークライン / インク壺,100%,
304,"丸セパレーター
（丸セパ）",丸型セパレーター（スペーサー）,100%,
305,天端釘,レベリングネイル/トップレベルネイル,100%,
306,ケレン,チッピング/スクレーピング（ケレン）,100%,
307,型枠支保工,型枠サポート,100%,
308,"基礎型枠
（メタルフォーム）",基礎型枠（金属型枠）,100%,
309,釘仕舞い,ネイルフィニッシュ/ネイルセット,100%,
310,スラブ天端,スラブトップレベル,100%,
311,高さ（タッパ）,身長,60%,
312,建込み,設定/インストール,100%,
313,通り,ライン/アライメント,100%,
314,蹴上げ,ライザー（階段）,100%,
315,蹴込み,トレッドノーズ/キックインボード,100%,
316,工具の手入れ,ツールのメンテナンス,100%,
317,下げ振り,プランボブ,100%,
318,地墨,ベンチマークライン/グラウンドマーク,100%,
319,捨てコンクリート,目くらましのコンクリート,100%,
320,はね出し,オーバーハング/カンチレバー,100%,
321,はらみ,膨らんだ,100%,
322,前面,正面 / 対面,90%,
323,養生,保護/硬化,100%,
324,レベル,レベル,100%,
325,割付,レイアウト/間隔,100%,
326,埋め込み金物,埋め込み金具,100%,
327,解体する（バラス）,解体/撤去,100%,
328,かぶり寸法,コンクリートかぶり厚さ,100%,
329,異形棒鋼,異形鉄筋,100%,
330,結束線,結束ワイヤー,100%,
331,結束工具,結束具 / ツイスター,100%,
332,鉄筋切断機,鉄筋カッター,100%,
333,鉄筋曲げ加工機,鉄筋曲げ機,100%,
334,アンカー,アンカー,100%,
335,加工場,製造ヤード,100%,
336,スペーサ―,スペーサー,100%,
337,ドーナツ,ドーナツスペーサー,100%,
338,加工配筋図,鉄筋製作図,100%,
339,配筋詳細図,鉄筋詳細図,100%,
340,開口補強筋,オープニング強化,100%,
341,幅止め筋,スペーサーバー（幅キーパー）,100%,
342,差筋,ダボバー,100%,
343,柱主筋,メインカラムバー,100%,
344,柱配筋,柱の補強,100%,
345,スラブ筋,スラブ補強,100%,
346,ベース筋,基礎補強,100%,
347,帯筋（フープ）,フープ/タイ,100%,
348,下端筋,下部バー,100%,
349,上端筋,トップバー,100%,
350,主筋,メインバー,100%,
351,あばら筋,あぶみ,100%,
352,はかま筋,ハウンチバー,100%,
353,縦筋,縦棒,100%,
354,下筋,下のバー,100%,
355,横筋,横バー,100%,
356,腹筋,配信バー（Webバー）,100%,
357,配力筋,流通強化,100%,
358,上筋,上部バー,100%,
359,スパイラル筋,スパイラル補強,100%,
360,鉄筋径,鉄筋直径,100%,
361,かぶり厚さ,カバー厚,100%,
362,ℝ度,R（半径）サイズ,100%,
363,シングル,シングル,100%,
364,ダブル,ダブル,100%,
365,千鳥結束,ずらし結び,100%,
366,切断寸法,カット長さ,100%,
367,加工寸法,製作長さ,100%,
368,重ね継手,ラップスプライス,100%,
369,圧接継手,圧力溶接スプライス,100%,
370,開口部,オープニング,100%,
371,溶接金網,溶接金網,100%,
372,搬出,持ち出す/発送する,100%,
373,搬入,持ち込み・配達,100%,
374,基礎,財団,95%,
375,機械式継手,メカニカルスプライス,100%,
376,配筋検査,鉄筋検査,100%,
377,トラクタ,トラクター,100%,
378,ブルドーザ,ブルドーザー,100%,
379,トラクタショベル,トラックローダー,100%,
380,ホイルローダ,ホイールローダー,100%,
381,ダンプトラック,ダンプトラック,100%,
382,油圧ショベル,油圧ショベル,100%,
383,バックホウ,バックホー,100%,
384,ローディングショベル,ローディングショベル,100%,
385,ローラ,ローラー,100%,
386,バケット,バケツ,100%,
387,ブーム,ブーム,100%,
388,アーム,アーム,100%,
389,ブレード（排土板）,ブレード（ドーザーブレード）,100%,
390,タイヤ,タイヤ,100%,
391,クローラ,トラック/クローラー,100%,
392,キー（鍵）,鍵,100%,
393,"作業装置
（アタッチメント）",添付ファイル,80%,
394,エンジン,エンジン,100%,
395,ディーゼルエンジン,ディーゼルエンジン,100%,
396,エンジンオイル,エンジンオイル,100%,
397,"オルタネータ
（充電発電機）",オルタネーター,100%,
398,バッテリ,バッテリー,100%,
399,燃料,燃料,100%,
400,軽油,ディーゼル燃料,100%,
401,ブレーキ,ブレーキ,100%,
402,油圧シリンダ,油圧シリンダー,100%,
403,油圧モータ,油圧モーター,100%,
404,油圧ポンプ,油圧ポンプ,100%,
405,水漏れ,水漏れ,100%,
406,油漏れ,オイル漏れ,100%,
407,冷却水,冷却剤,100%,
408,ブレーキ液,ブレーキフルード,100%,
409,燃料タンク,燃料タンク,100%,
410,ファンベルト,ファンベルト,100%,
411,空気圧,空気圧,100%,
412,クラッチ,クラッチ,100%,
413,発進,スタート（出発）,100%,
414,アイドリング,アイドリング,100%,
415,走行,旅行 / 運転,90%,
416,旋回,スイング/回転,100%,
417,安全ロック,安全ロック,100%,
418,安全支柱,安全支柱/サポート,100%,
419,補給（する）,補充/補充,100%,
420,駐車（する）,公園 / 駐車場,40%,
421,歩行者,歩行者,100%,
422,車両,車両,100%,
423,死ℝ,死角,100%,
424,斜面,スロープ,100%,
425,転圧（する）,圧縮/コンパクト,100%,
426,接触（する）,接触/タッチ,100%,
427,作動（する）,操作/運用,100%,
428,整備（する）,サービス/メンテナンス,100%,
429,点検（する）,検査/検査,100%,
430,動かす,移動/操作,100%,
431,運転（する）,操作/運転,100%,
432,測る,測定,100%,
433,操作（する）,操作/運用,100%,
434,停止（する）,停止/一時停止,100%,
435,切る,カット/オフ,100%,
436,回す,回転,100%,
437,押す,押す/押す,100%,
438,集める,集める/収集する,100%,
439,触る,触る,100%,
440,縛る,結ぶ/縛る,100%,
441,揃える,整列/配置,100%,
442,結ぶ,ネクタイ/結び目,100%,
443,しゃがむ,しゃがむ,100%,
444,調整（する）,調整/調整,100%,
445,閉じる,閉じる,100%,
446,取り出す,テイクアウト,100%,
447,戻す,返品する,100%,
448,仕上げる,仕上げる,100%,
449,折れる,ブレーク/スナップ,100%,
450,欠ける,チップ/チップされる,100%,
451,近づく,アプローチ,100%,
452,電源を入れる,電源を入れる,100%,
453,電源を落とす,電源を切る,100%,
454,スイッチを切る,スイッチをオフにする,100%,
455,固定（する）,修正/保護,95%,
456,ゆるめる,緩める,100%,
457,伸ばす,伸ばす/伸ばす,100%,
458,外す,取り除く,100%,
459,曲げる,曲げる,100%,
460,出す,出す/取り出す,100%,
461,乾かす,ドライ,100%,
462,数える,カウント,100%,
463,運ぶ,持ち運び/輸送,100%,
464,積む,ロード/スタック,100%,
465,下ろす,荷降ろし/降ろし,100%,
466,離れる,立ち去る,100%,
467,位置,位置,100%,
468,寸法,寸法,100%,
469,測定（する）,測定/測定,100%,
470,計測（する）,測定/測定,100%,
471,計測器,測定器,100%,
472,温度,温度,100%,
473,高さ,身長,100%,
474,長さ,長さ,100%,
475,重さ,重さ,100%,
476,厚さ,厚さ,100%,
477,硬さ,硬度,100%,
478,深さ,深さ,100%,
479,表面,表面,100%,
480,すきま,隙間/クリアランス,100%,
481,中心,中心,100%,
482,値,価値,80%,
483,安定（する）,安定性/安定化,100%,
484,大きさ,サイズ,100%,
485,数,数量,100%,
486,誤差,エラー/許容範囲,100%,
487,中,内側/真ん中,100%,
488,反対,反対,100%,
489,周り,周辺,100%,
490,尺,尺（伝統的な単位）/長さ,100%,
491,青,青,100%,
492,赤,赤,100%,
493,白,白,100%,
494,黄色,黄色,100%,
495,捨てる,処分する,100%,
496,掃く,スイープ,100%,
497,持ち上げる,リフト,100%,
498,束ねる,バンドル,100%,
499,足をくじく,足首を捻挫する,100%,
500,一輪車,手押し車,95%,95.0
501,支柱,投稿 / サポート,0%,0.0
502,ショベル,シャベル,95%,95.0
503,翻訳サイネージ,Multilingual translation system,95%,95.0
504,技能実習,技能訓練,95%,95.0
505,技能実習生,スキルインターンシップ,95%,95.0
506,危険（な）,危険な,78%,78.0
507,服装,服,85%,85.0
508,安全カバー,安全カバー,100%,100.0
509,けがをする,負傷,95%,95.0
510,ルールを守る,ルールを守る,100%,100.0
511,機械を止める,エンジンを停止する,28%,28.0
512,やって,する,0%,0.0
513,取って,取る,28%,28.0
514,だめ（な）,すべきではない,11%,11.0
515,技能実習期間,スキルインターンシップ期間,14%,14.0
516,職種,仕事の種類,19%,19.0
517,在留資格,居住許可のステータス,0%,0.0
518,在留カード,居住許可カード,63%,63.0
519,入管,移民,0%,0.0
520,給料,賃金,0%,0.0
521,控除（する）,切断,0%,0.0
522,代休,代替休暇,70%,70.0
523,税金,税,85%,85.0
524,住民税,人口税,23%,23.0
525,厚生年金,厚生年金（厚生年金）,85%,85.0
526,労災保険,労働災害保険,80%,80.0
527,遅刻（する）,遅い,17%,17.0
528,早退（する）,早く帰ってきて,10%,10.0
529,休憩（する）,休む,17%,17.0
530,残業（する）,時間とともに,0%,0.0
531,定時,通常の勤務時間,15%,15.0
532,規則,規制,63%,63.0
533,始業時間,仕事開始時間,67%,67.0
534,終業時間,勤務時間終了,67%,67.0
535,指導員,インストラクター,0%,0.0
536,生活指導員,ライフコーチ,0%,0.0
537,担当者,責任者,23%,23.0
538,スイッチ切るな,スイッチを切らないでください,67%,67.0
539,使用禁止,使用禁止,100%,100.0
540,5S,5S,100%,100.0
541,整理,整理（せいり）,85%,85.0
542,整頓,アレンジメント（整頓）,85%,85.0
543,清掃,清掃（せいそう）,85%,85.0
544,清潔,清潔（せいけつ）,85%,85.0
545,しつけ,躾（しつけ）,85%,85.0
546,掃除（する）,クリーン,0%,0.0
547,分別（する）,分別（ゴミ）,70%,70.0
548,燃えないごみ,ゴミは燃えない,67%,67.0
549,燃えるごみ,可燃性廃棄物,12%,12.0
550,挟まれる,立ち往生,0%,0.0
551,巻き込まれる,興味がある / 絡み合う,7%,7.0
552,やけど（する）,バーンズ/バーンズ,0%,0.0
553,すべる,滑った,0%,0.0
554,転ぶ,落下,0%,0.0
555,濡れる,濡れた,70%,70.0
556,もぐる,下に隠れる,17%,17.0
557,開放厳禁,開封禁止,63%,63.0
558,標識,標識・マーク,85%,85.0
559,火,火,100%,100.0
560,消火,消火,100%,100.0
561,消火器,消火器（APAR）,85%,85.0
562,非常ベル,緊急ベル,63%,63.0
563,逃げる,自分を救う,0%,0.0
564,現場,勤務地,0%,0.0
565,作業,仕事,0%,0.0
566,研修（する）,トレーニング,0%,0.0
567,実習（する）,練習する,67%,67.0
568,あいさつ,よろしく,0%,0.0
569,確認（する）,確認・確認,25%,25.0
570,連絡（する）,接触,0%,0.0
571,渡す,届ける,0%,0.0
572,寝坊（する）,遅く起きる,12%,12.0
573,技能検定試験,スキル認定試験,32%,32.0
574,部長,部門マネージャー,14%,14.0
575,更衣室,更衣室,100%,100.0
576,台車,カート,0%,0.0
577,電気,電気,100%,100.0
578,コンセント,電気ソケット,12%,12.0
579,作業台,ワークベンチ,0%,0.0
580,作業責任者,作業担当者,67%,67.0
581,禁止,禁断,63%,63.0
582,表示板,看板,28%,28.0
583,禁止事項,禁止されているもの,21%,21.0
584,感電（する）,感電した,28%,28.0
585,防止（する）,防止,85%,85.0
586,予防（する）,防止,17%,17.0
587,転倒（する）,つまずく/転倒,21%,21.0
588,挟まる,立ち往生,0%,0.0
589,足元,踏み場,0%,0.0
590,後片付け,最終的な整理,0%,0.0
591,救   箱,救急箱,70%,70.0
592,絆創膏,石膏,28%,28.0
593,嘔吐（する）,吐瀉物,15%,15.0
594,安全点検,安全確認,63%,63.0
595,KY活動（危険予知活動）,KY（危険予知）活動,100%,100.0
596,ぶつかる,衝突/衝突,0%,0.0
597,当たる,影響を受ける/懸念される,9%,9.0
598,下敷きになる,ヒット,0%,0.0
599,打つ,打つ,100%,100.0
600,バランスを崩す,バランスの喪失,66%,66.0
601,倒れる,折りたたまれた/折りたたまれた,7%,7.0
602,原因,理由,0%,0.0
603,落下（する）,秋,0%,0.0
604,墜落（する）,落下（高所からの落下）,24%,24.0
605,確認（する）,確認する,80%,80.0
606,作業靴,作業靴,100%,100.0
607,帽子,帽子,100%,100.0
608,保護メガネ,保護メガネ,100%,100.0
609,マスク,フェイスマスク,85%,85.0
610,栓,プラグ/カバー,0%,0.0
611,墜落制止用器具（安全帯）,墜落制止用器具（安全ハーネス）,80%,80.0
612,業務,タスク/ジョブ,0%,0.0
613,時間厳守,時間通りに,31%,31.0
614,準備（する）,準備 / 準備中,19%,19.0
615,会議,ミーティング,0%,0.0
616,朝礼,朝の点呼 / 朝のブリーフィング,7%,7.0
617,作業手順書,標準操作手順（SOP）,26%,26.0
618,調子,状態 / パフォーマンス,0%,0.0
619,足もと注意,足元に注意してください,26%,26.0
620,開口部注意,開口部/穴に注意,78%,78.0
621,感電注意,感電に注意してください,64%,64.0
622,堕落注意,高所からの落下に注意してください,21%,21.0
623,頭上注意,落下物にご注意ください（上）,15%,15.0
624,警報設備,警報装置,63%,63.0
625,保護帽着用,安全ヘルメットの着用は義務付けられています,10%,10.0
626,昇降階段,階段の上り下り,25%,25.0
627,整理整頓,整頓と整理,95%,95.0
628,安全通路,安全ライン,31%,31.0
629,ランマ,ハンドコンパクター（ランマー）,85%,85.0
630,キャッチクランプ,フッククランプ,76%,76.0
631,直交クランプ,角度/垂直クランプ,70%,70.0
632,滑車,滑車,100%,100.0
633,介しゃくロープ,キャッチフレーズ,9%,9.0
634,脚柱ジョイント,ポール接続,0%,0.0
635,ジョイント金具,接続継手,0%,0.0
636,レバーブロック,レバーブロック（レバーハンドル）,85%,85.0
637,電動のこ（丸のこ）,電動丸鋸,65%,65.0
638,モンキースパナ,レンチ,14%,14.0
639,親綱支柱,ライフラインポール,0%,0.0
640,建枠（ビティ）,足場フレーム,0%,0.0
641,メッシュシート,防護ネット（メッシュシート）,85%,85.0
642,朝顔材,アサガオ（保護用の天蓋）,0%,0.0
643,架空線,架空ケーブル,31%,31.0
644,幅木（仮設足場）,足場の縁板（つま先板）,22%,22.0
645,単管,足場管（単管）,85%,85.0
646,脚立,折りたたみはしご,0%,0.0
647,手直し,手直し/軽微な修理,85%,85.0
648,面一,フラッシュサーフェス,0%,0.0
649,積載荷重,負荷負荷,17%,17.0
650,通りを見る,真直度の確認,0%,0.0
651,地組,地上組み立て,63%,63.0
652,天端,トップレベル,0%,0.0
653,玉掛け,荷役,0%,0.0
654,定格荷重,公称容量,0%,0.0
655,たち,垂直/真直度,0%,0.0
656,インサート,挿入/アンカー,23%,23.0
657,電工ドラム（ドラム）,電気ケーブルリール,7%,7.0
658,電動丸のこ（電のこ）,電動丸鋸,65%,65.0
659,パッキン,ガスケット,15%,15.0
660,小バール,ジェミー,17%,17.0
661,大バール,大きなバール,80%,80.0
662,スタイロフォーム,発泡スチロール（XPS/EPS）,17%,17.0
663,面木,面取り刃,23%,23.0
664,けこみ板,ライザーボード（階段）,0%,0.0
665,目地棒,ジョイントロッド,0%,0.0
666,コンベックス,ロールメーター,0%,0.0
667,差金,大工の定規,0%,0.0
668,水平器,ウォーターパス,0%,0.0
669,墨さし,インクマーカーツール,0%,0.0
670,墨つぼ,チョークラインツール,0%,0.0
671,"丸セパレーター
（丸セパ）",丸型セパレーター,78%,78.0
672,天端釘,水平調整釘,17%,17.0
673,ケレン,削り取り/清掃（クール）,0%,0.0
674,釘仕舞い,釘付けの暖炉,14%,14.0
675,スラブ天端,スラブの最上層,63%,63.0
676,建込み,インストール,0%,0.0
677,通り,線/直線性,0%,0.0
678,蹴込み,トレッド面積,0%,0.0
679,下げ振り,振り子（下げ振り）,85%,85.0
680,地墨,土地基準線,19%,19.0
681,捨てコンクリート,コンクリート作業床,76%,76.0
682,はね出し,カンチレバー,0%,0.0
683,前面,正面,63%,63.0
684,割付,部門・レイアウト,0%,0.0
685,埋め込み金物,アンカー/埋め込み鉄,63%,63.0
686,解体する（バラス）,開梱,0%,0.0
687,結束工具,製本ツール,0%,0.0
688,鉄筋曲げ加工機,鉄筋ベンダー,21%,21.0
689,加工場,製作ワークショップ,0%,0.0
690,配筋詳細図,補強の詳細画像,23%,23.0
691,開口補強筋,開口部補強補強,80%,80.0
692,幅止め筋,幅広の区切り線,12%,12.0
693,柱主筋,主柱補強,66%,66.0
694,スラブ筋,プレート補強（スラブ）,28%,28.0
695,帯筋（フープ）,フープ,85%,85.0
696,下端筋,下部補強,19%,19.0
697,上端筋,上部補強,19%,19.0
698,主筋,主な補強,23%,23.0
699,はかま筋,臀部の補強,0%,0.0
700,縦筋,縦方向の補強,17%,17.0
701,下筋,下部補強,23%,23.0
702,横筋,横方向の補強,17%,17.0
703,腹筋,体の骨（ウェブ）,0%,0.0
704,上筋,上部補強,23%,23.0
705,かぶり厚さ,毛布の厚さ,28%,28.0
706,ℝ度,Rサイズ（半径）,0%,0.0
707,千鳥結束,交互結び,17%,17.0
