Column_4,Column_6,Example,How to read (Hiragana),No.,Note,PDFページ番号,PDF表番号,Picture,Sign,Translation,Word/Phrase
,,,けんこうほけん,12,"Insurance to support the insured person
and his/her families in receiving medical
care.",4,1,,,Health insurance,健康保険
,,,しゃかいほけん,13,"Name that covers health, welfare pension,
nursing care, employment, and industrial
accident compensation insurances. It may
also be used to indicate health and welfare
pension insurances by which the majority
of company workers are covered.",5,1,,,Social insurance,社会保険
,,,ろうさい,14,"ろうどうさいがい
Abbreviation for ""労働災害."" Includes
injuries during working hours and
sicknesses due to working.",5,1,,,Industrial accident,労災
,,,ろうさいほけん,15,"Insurance that provides a lump-sum
payment or the like to cover the payment
to hospitals to treat an injury or sickness
and daily costs incurred during the
unworkable period due to an industrial
accident and to compensate unrecoverable
disability if admitted.",5,1,,,"Industrial accident
compensation insurance",労災保険
,,,ちこく（する）,1,,6,1,,,Late arrival (be late),遅刻（する）
,,,そうたい（する）,2,,6,1,,,"Leaving early (to leave
early)",早退（する）
,,,きゅうけい（する）,3,,6,1,,,Break (to take a break),休憩（する）
,,,ざんぎょう（する）,4,,6,1,,,"Overtime work (to work
overtime)",残業（する）
,"I will leave the office at the regular
leaving time today.","き ょ う ていじ かえ
今日は定時に帰る",ていじ,5,"Stipulated hours. In working places,
mainly indicate the regular times to
come to and leave the working place.",6,1,,,Regular hours,定時
,,,きそく,6,,6,1,,,Regulation; rule,規則
,,,きゅうじつ,7,,6,1,,,Non-working day,休日
,,,しぎょうじかん,8,,6,1,,,Starting time of work,始業時間
,,,しゅうぎょうじかん,9,,6,1,,,Ending time of work,終業時間
,,,しどういん,10,,6,1,,,Instructor,指導員
,,,せいかつしどういん,11,,6,1,,,Life advisor,生活指導員
,,,たんとうしゃ,12,,6,1,,,Person in charge,担当者
,,,すいっちいれるな,13,,6,1,,,Do not switch on.,スイッチ入れるな
,,,すいっちきるな,14,,6,1,,,Do not switch off.,スイッチ切るな
,,,しようきんし,15,,6,1,,,Do not use.,使用禁止
,,,ごえす,1,"Seiri (sorting), Seiton (set in order),
Seiso (shine), Seiketsu (standardize),
and Shitsuke (sustain). Each of these
five words starts with S. 5S is used to
improve the work environment and
maintain the improved work
environment.",7,1,,,5S,5S
,,,せいり,2,"To identify what are necessary and
unnecessary and share the results to
improve quality and productivity.",7,1,,,Seiri (Sorting),整理
,,,せいとん,3,"To determine where and how to store
necessary tools and materials and
indicate them properly to reduce
unreasonable or wasteful motions.",7,1,,,Seiton (Set in order),整頓
,,,せいそう,4,"To clean the workplace to make the
right workplace condition easily
identifiable.",7,1,,,Seisou (Shine),清掃
,,,せいけつ,5,"To thoroughly implement Seiri,
Seiton, and Seisou to keep the clean
and normal condition.",7,1,,,Seiketsu (standardize),清潔
,,,しつけ,6,"To create an atmosphere in which
workers discipline themselves to
follow the rules and cooperate each
other.",7,1,,,Shitsuke (Sustain),しつけ
,,,そうじ（する）,7,,7,1,,,Cleaning (to clean),掃除（する）
,,,かたづける,8,,8,1,,,To tidy up,片づける
,,,すてる,9,,8,1,,,To throw away,捨てる
,,,きたない,10,,8,1,,,Dirty,汚い
,,,よごれる,11,,8,1,,,To get dirty,汚れる
,,,ぶんべつ（する）,12,,8,1,,,To sort waste,分別（する）
,,,もえないごみ,13,,8,1,,,Nonburnable waste,燃えないごみ
,,,もえるごみ,14,,8,1,,,Burnable waste,燃えるごみ
,"My hand got sandwiched in the
machine.","きかい て はさ
機械に手が挟まれた",はさまれる,15,,8,1,,,"To get sandwiched in
between",挟まれる
,"1) Hands may get caught in the
machine.
2) A glove may get caught in the
milling machine.","きかい て ま こ
1)機械に手が巻き込まれる
てぶくろ ばん ま こ
2)手袋がフライス盤に巻き込まれる",まきこまれる,16,,8,1,,,To get caught in,巻き込まれる
,,,やけど（する）,17,,8,1,,,Burn (to get burned),やけど（する）
,Fall from the stairs.,"かいだん お
階段から落ちる",おちる,18,,8,1,,,To fall,落ちる
,The floor is slippery.,"ゆか
床がすべる",すべる,19,,8,1,,,To slip,すべる
,I slipped and stumbled in the factory.,"こうじょう ころ
工場ですべって転んだ",ころぶ,20,,9,1,,,To fall; stumble,転ぶ
,,,ぬれる,21,,9,1,,,To get wet,濡れる
,,,えいせい,22,,9,1,,,Sanitation,衛生
,,,ひなん（する）,23,,9,1,,,Evacuation (to evacuate),避難（する）
,,,きゅうきゅうしゃ,24,,9,1,,,Ambulance,救急車
,,,さいがい,25,,9,1,,,Disaster,災害
,An earthquake occurs.,"じ しん お
地震が起きる",じしん,26,,9,1,,,Earthquake,地震
,Earthquake! Hide under the desk!,"じ しん つくえ した
地震だ！机の下にもぐれ！",もぐる,27,,9,1,,,To hide; dive,もぐる
,,,かきげんきん,1,,10,1,,,No fire,火気厳禁
,,,かいほうげんきん,2,,10,1,,,Keep closed.,開放厳禁
,,,ひょうしき,3,,10,1,,,Sign,標識
,,,きをつける,4,,10,1,,,To pay attention,気をつける
,"Do not bring your cell phone in the
factory.","こうじょう けいたいでんわ も こ
工場に携帯電話を持ち込んではいけ
ない",もちこむ,5,,10,1,,,To bring in,持ち込む
,Prevent accidents by checking safety.,"あんぜんかくにん じ こ ふせ
安全確認して事故を防ぐ",ふせぐ,6,,10,1,,,To prevent,防ぐ
,,,ひ,7,,10,1,,,Fire,火
,,,けむり,8,,10,1,,,Smoke,煙
,,,しょうか,9,,10,1,,,Fire extinguishing,消火
,,,しょうかき,10,,10,1,,,Fire extinguisher,消火器
,,,ひじょうべる,11,,10,1,,,Emergency alarm,非常ベル
,,,かさいほうちき,12,,10,1,,,Fire alarm,火災報知機
,,,にげる,13,,10,1,,,To escape,逃げる
,,,げんば,14,,10,1,,,Site; shop floor,現場
,,,さぎょう,15,,10,1,,,Work,作業
,,,みーてぃんぐ,16,"Conferences, morning gatherings, and
evening gatherings can also be called
a ""ミーティング.""",10,1,,,Meeting,ミーティング
,,,けんしゅう（する）,17,,10,1,,,"Training (to train/be
trained)",研修（する）
,,,じっしゅう（する）,18,,11,1,,,"Practical training (to
give/receive practical
training)",実習（する）
,,,あいさつ,19,,11,1,,,Greeting,あいさつ
,,,かくにん（する）,20,,11,1,,,Check (to check),確認（する）
,,,ほうこく（する）,21,,11,1,,,Report (to report),報告（する）
,,,れんらく（する）,22,,11,1,,,"Communication (to
communicate)",連絡（する）
,,,そうだん（する）,23,,11,1,,,Consultation (to consult),相談（する）
,,,わたす,24,"Refers to passing something to
somebody.",11,1,,,To hand over,渡す
,,,しんせいしょ,25,,11,1,,,Application,申請書
,,,ねぼう（する）,26,,11,1,,,"Oversleeping (to
oversleep)",寝坊（する）
,,,ぎのう,1,,12,1,,,Skills,技能
,,,ぎのうけんていしけん,2,,12,1,,,Skill proficiency test,技能検定試験
,,,じゅけん（する）,3,,12,1,,,Exam (Take an Exam),受検（する）
,,,しかく,4,,12,1,,,Qualifications,資格
,,,てあて,5,,12,1,,,Allowance,手当
,,,しゃいん,6,,12,1,,,Employee,社員
,,,ぶちょう,7,,12,1,,,Department manager,部長
,,,かちょう,8,,12,1,,,Section manager,課長
,,,こういしつ,9,,12,1,,,Dressing room,更衣室
,,,だいしゃ,10,,12,1,,,Cart,台車
,,,ゆか,11,,12,1,,,Floor,床
,,,でぐち,12,,12,1,,,Exit,出口
,,,でんき,13,,12,1,,,Electricity,電気
,,,けいほうおん,14,,12,1,,,Alarm sound,警報音
,,,こんせんと,15,,12,1,,,Electric outlet,コンセント
,,,さぎょうば,16,,12,1,,,Workshop,作業場
,,,さぎょうだい,17,,12,1,,,Workbench,作業台
,,,こうじげんば,18,,12,1,,,Construction site,工事現場
,"Follow foreman's instructions when
assembling scaffolding","あしばくみたて しょくちょう し じ したが
足場組立は 職長の指示に従う",しょくちょう,19,,12,1,,,Foreman,職長
,,,さぎょうせきにんしゃ,20,,12,1,,,Work supervisor,作業責任者
,,,きんし,1,,13,1,,,Prohibition,禁止
,,,ひょうじばん,2,,13,1,,,Display board,表示板
,,,きんしじこう,3,,13,1,,,Prohibited items,禁止事項
,,,ひなんくんれん,4,,13,1,,,Evacuation drill,避難訓練
,,,かんでん（する）,5,,13,1,,,"Electric shock (Get an
electric shock)",感電（する）
,,,ぼうし（する）,6,,13,1,,,Prevention (Prevent),防止（する）
,,,よぼう（する）,7,,13,1,,,"Precaution (Take
precautions)",予防（する）
,,,てんとう（する）,8,,13,1,,,Falling (Fall),転倒（する）
,,,はさまる,9,,13,1,,,Get caught,挟まる
,,,あしもと,10,,13,1,,,Footsteps,足元
,,,ふあんてい（な）,11,,13,1,,,Instability (Unstable),不安定（な）
,,,あとかたづけ,12,,13,1,,,Cleanup,後片付け
,,,きゅうきゅうばこ,13,,13,1,,,First aid kit,救急箱
,,,ばんそうこう,14,,13,1,,,Adhesive plaster,絆創膏
,,,たいちょう,15,,13,1,,,Physical condition,体調
,,,ち,16,,13,1,,,Blood,血
,,,ねっちゅうしょう,17,,13,1,,,Heatstroke,熱中症
,,,はきけ,18,,13,1,,,Nausea,吐き気
,,,おうと（する）,19,,13,1,,,Vomiting (Vomit),嘔吐（する）
,,,あしがつる,20,,13,1,,,Have a leg cramp,足がつる
,,,きぶんがわるい,21,,13,1,,,Feel sick,気分が悪い
,,,ねぶそく,22,,13,1,,,Lack of sleep,寝不足
,,,あんぜんねっと,23,,13,1,,,Safety net,安全ネット
,,,あんぜんてんけん,24,,13,1,,,Safety inspection,安全点検
,,,"けーわいかつどう（きけん
よちかつどう）",1,,14,1,,,"KY Activities (Hazard
prediction activities)",KY活動（危険予知活動）
,,,きけん,2,,14,1,,,Hazard,危険
,"Got injured when bumped into the
tractor shovel's bucket","トラクタショベルのバケットにぶつかっ
てけがをした",ぶつかる,3,,14,1,,,Bump into,ぶつかる
,"Got injured when a tool fell from the
scaffold and hit my body","あ し ば お こ う ぐ からだ あ
足場から落ちてきた工具が体に当たっ
てけがをした",あたる,4,,14,1,,,Hit,当たる
,"Became trapped under heavy
machinery(cid:9)","じゅうき し た じ
重機の下敷きになる",したじきになる,5,,14,1,,,Become trapped under,下敷きになる
,"Accidentally struck my hand with a
hammer","あやま て う
誤ってハンマーで手を打ってしまった",うつ,6,,14,1,,,Strike,打つ
,"Lost my balance on the ladder and fell
off","うえ くず てんらく
はしごの上でバランスを崩して転落し
た",ばらんすをくずす,7,,14,1,,,Lost one's balance,バランスを崩す
,"Ladder collapsed / Collapsed due to
heatstroke(cid:9)","たお ねっちゅうしょう たお
はしごが倒れる、熱中症で倒れる",たおれる,8,,14,1,,,Collapse,倒れる
,"Lost my balance on the ladder and fell
off","うえ くず てんらく
はしごの上でバランスを崩して転落し
た",てんらく（する）,9,,14,1,,,Falling off ( Fall off),転落（する）
,,,しさこしょう,10,,14,1,,,Pointing and calling,指差呼称
,,,ひやりはっと,11,,14,1,,,"""Hiyari-Hatto"" (Near-miss
incident)",ヒヤリハット
,,,げんいん,12,,14,1,,,Cause,原因
,,,たいさく,13,,14,1,,,Countermeasure,対策
,Tool fell from the scaffold,"あしば こ う ぐ らっか
足場から工具が落下した",らっか（する）,14,,14,1,,,Falling (Fall),落下（する）
,Fell down through an opening,"かいこうぶ ついらく
開口部から墜落した",ついらく（する）,15,,14,1,,,Falling down (Fall down),墜落（する）
,Check the safety of the surroundings,"しゅうい あんぜん かくにん
周囲の安全を確認する",かくにん（する）,16,,14,1,,,Check (Check),確認（する）
,,,ぎょうむ,16,,16,1,,,Work,業務
,,,じかんげんしゅ,17,,16,1,,,Punctuality,時間厳守
,,,よてい,18,,16,1,,,Schedule,予定
,,,ひづけ,19,,16,1,,,Date,日付
,,,じゅんび（する）,20,,16,1,,,Preparation (Prepare),準備（する）
,,,かいぎ,21,,16,1,,,Meeting,会議
,,,ちょうれい,22,,16,1,,,Morning meeting,朝礼
,,,ほうこくしょ,23,,16,1,,,Report,報告書
,,,まにゅある,24,,16,1,,,Manual,マニュアル
,,,さぎょうてじゅんしょ,25,,16,1,,,Operating procedures,作業手順書
,,,ちょうし,26,,16,1,,,Condition,調子
,,,たちいりきんし,1,,17,1,,,DO NOT ENTER,立入禁止
,,,きんえん,2,,17,1,,,NO SMOKING,禁煙
,,,かきげんきん,3,,17,1,,,NO OPEN FLAMES,火気厳禁
,,,ちゅうしゃきんし,4,,17,1,,,NO PARKING,駐車禁止
,,,あしもとちゅうい,5,,17,1,,,WATCH YOUR STEP,足もと注意
,,,かいこうぶちゅうい,6,,17,1,,,"DANGER
OPEN HOLE",開口部注意
,,,かんでんちゅうい,7,,17,1,,,"DANGER
ELECTRIC SHOCK RISK",感電注意
,,,ついらくちゅうい,8,,17,1,,,"DANGER
FALL HAZARD(cid:9)",堕落注意
,,,ずじょうちゅうい,9,,17,1,,,WATCH YOUR HEAD,頭上注意
,,,けいほうせつび,10,,17,1,,,ALARM SYSTEM,警報設備
,,,しょうかき,11,,18,1,,,FIRE EXTINGUISHER,消火器
,,,"えーいーでぃーせっちば
しょ",12,,18,1,,,AED INSIDE,AED設置場所
,,,ほごぼうちゃくよう,13,,18,1,,,WEAR SAFETY HELMET,保護帽着用
,,,あんぜんたいしよう,14,,18,1,,,WEAR SAFETY HARNESS,安全帯使用
,,,しょうこうかいだん,15,,18,1,,,STAIRWAY,昇降階段
,,,きゅうけいじょ,16,,18,1,,,BREAK AREA,休憩所
,,,さいだいせきさいかじゅう,17,,18,1,,,"MAXIMUM LOAD
CAPACITY",最大積載荷重
,,,きつえんじょ,18,,18,1,,,SMOKING AREA,喫煙所
,,,せいりせいとん,19,,18,1,,,KEEP IN ORDER,整理整頓
,,,あんぜんつうろ,20,,18,1,,,SAFETY PASSAGE,安全通路
,"Connect single pipes with triple
clamps","さんれん たんかん けつごう
三連クランプで単管を結合する",さんれんくらんぷ,1,,19,1,,,Triple clamp,三連クランプ
,"Transport soil with a conveyor belt
for a short distance","つち こうんぱん
ベルトコンベアで土を小運搬する","べるとこんべあ
（べるこん）",2,,19,1,,,Conveyor belt,"ベルトコンベア
（ベルコン）"
,"Drive in piles with a ""kakeya""","くい う こ
かけやで杭を打ち込む",かけや,3,"It is a large wooden mallet and is
also known as ""Narimono"" and ""O-
nari."" The one held with both
hands is called ""Kakeya,"" and the
one held with one hand is called
""Kizuchi"" or ""Konekiri"".",19,1,,,Wooden mallet,かけや
,"Compact the ground with a
rammer","じばん し かた
ランマで地盤を締め固める",らんま,4,It is a tamping rammer.,19,1,,,Rammer,ランマ
,"Bind single pipes with swivel
clamps","じざい もち たんかん きんけつ
自在クランプを用いて単管を緊結す
る",じざいくらんぷ,5,"It is used to connect single pipes
for diagonal reinforcement.
In scaffolding, diagonal
reinforcement is called ""cross
bracing (Sujikai).""",19,1,,,Swivel clamp,自在クランプ
,"Bind a single pipe to a steel frame
with a catch clamp","もち たんかん てっこつ
キャッチクランプを用いて単管と鉄骨
きんけつ
を緊結する",きゃっちくらんぷ,6,,19,1,,,Catch clamp,キャッチクランプ
,"Lift bound single pipes with a
lifting clamp","つ あ よう もち きんけつ
吊り上げ用クランプを用いて緊結し
たんかん つ あ
た単管を吊り上げる",つりあげようくらんぷ,7,,19,1,,,Lifting clamp,吊り上げ用クランプ
,Bind single pipes with fixed clamps,"ちょっこう もち たんかん きんけつ
直交クランプを用いて単管を緊結す
る",ちょっこうくらんぷ,8,,19,1,,,Fixed clamp,直交クランプ
,Put a wire rope on a hook,ワイヤーロープをフックにかける,ふっく,9,,19,1,,,Hook,フック
,Hang a wire on a straight shackle,"ワイヤーをストレートシャックルにかけ
る",すとれーとしゃっくる,10,,19,1,,,Straight shackle,ストレートシャックル
,Lift materials with a pulley,"かっしゃ ざいりょう つ あ
滑車で材料を吊り上げる",かっしゃ,11,,20,1,,,Pulley,滑車
,Hoist materials with a crane,"しざい つ あ
クレーンで資材を吊り上げる",くれーん,12,,20,1,,,Crane,クレーン
,"Hoist materials with a mobile
crane","いどうしき しざい つ あ
移動式クレーンで資材を吊り上げる",いどうしきくれーん,13,,20,1,,,Mobile crane,移動式クレーン
,"Control the swing of the load with
a guide rope","かい にもつ ふ
介しゃくロープで荷物の振れをおさ
える",かいしゃくろーぷ,14,,20,1,,,Guide rope,介しゃくロープ
,"Use the stairway to climb up the
scaffold","あしばじょうそう のぼ しょうこうかいだん つか
足場上層に上るには昇降階段を使
う",しょうこうかいだん,15,,20,1,,,Stairway,昇降階段
,"Insert cross bracing pins and bent
them","すじ と さ こ お ま
筋かい止めピンを差し込み折り曲げ
ておく",すじかいとめぴん,16,,20,1,,,Cross bracing pin,筋かい止めピン
,Insert leg column joints to the end,"きゃくちゅう さいご さ こ
脚柱ジョイントは最後まで差し込む",きゃくちゅうじょいんと,17,,20,1,,,Leg column joint,脚柱ジョイント
,Insert coupling pins to the end,"れんけつ さいご さ こ
連結ピンは最後まで差し込む",れんけつぴん,18,,20,1,,,Coupling pin,連結ピン
,Fix joint fittings firmly to the end,"かなぐ かくじつ さいご
ジョイント金具は確実に最後までは
める",じょいんとかなぐ,19,,20,1,,,Joint fitting,ジョイント金具
,Secure materials with a lever block,"しざい こてい
レバーブロックで資材を固定する",ればーぶろっく,20,,20,1,,,Lever block,レバーブロック
,"Use a circular saw to cut the
formwork","かたわく せつだん まる しよう
型枠の切断は丸のこを使用する","でんどうのこ（まるの
こ）",21,,20,1,,,"Electric saw (Circular
saw)",電動のこ（丸のこ）
,"Tighten or loosen nuts with an
adjustable wrench","し ゆる
モンキースパナでナットを締める・緩
める",もんきーすぱな,22,"It is also called ""Monkey
wrench.""",21,1,,,Adjustable wrench,モンキースパナ
,"Set up main rope posts where
main ropes are used","おやづな は い ち おやづなしちゅう と
親綱を張る位置に親綱支柱を取り
つ
付ける",おやづなしちゅう,23,,21,1,,,Main rope post,親綱支柱
,Attach brackets to the scaffold,"あしば と つ
足場にブラケットを取り付ける",ぶらけっと,24,"It is also called ""Mochiokuri.""",21,1,,,Bracket,ブラケット
,,,はしご,25,,21,1,,,Ladder,梯子
,Hook the safety belt to the main rope,"おやづな あんぜんたい
親綱に安全帯をかける",おやづな,1,"It is a rope used to hook a safety belt
(a belt with a safety rope) at a
construction site. It is stretched
tightly between posts without
slacking to protect workers' lives at
the site.",22,1,,,Main rope,親綱
,"Assemble a scaffold using standard
scaffold frames (Beatty frames)","たてわく もち あ し ば く み た
建枠（ビティ）を用いて足場を組立て
る",たてわく（びてぃ）,2,,22,1,,,"Standard scaffold frame
(Beatty frame)",建枠（ビティ）
,"Cover the fabricated frame scaffold
with mesh sheets","あ し ばわく と つ
足場枠にメッシュシートを取り付ける",めっしゅしーと,3,"It is also called a ""curing sheet"" or
""scattering prevention net.""",22,1,,,Mesh sheet(cid:9),メッシュシート
,"Install soundproof panels to reduce
noise","そうおんたいさく ぼうおん せ っ ち
騒音対策として防音パネルを設置す
る",ぼうおんぱねる,4,,22,1,,,Soundproof panel,防音パネル
,"Use protective shelves to prevent
flying and falling objects","あさがおざい ひ ら い ら っ か ぼ う し
朝顔材は飛来落下防止のためにつか
う",あさがおざい,5,,22,1,,,Protective shelf,朝顔材
,"Prevent the scaffold from contacting
overhead power lines","か く うせん せっしょく
架空線へ接触させないようにする",かくうせん,6,"There is a high possibility of an
electric shock accident if you touch an
overhead power line because of the
high voltage electricity.",22,1,,,Overhead power line,架空線
,"Install baseboards on the scaffold to
prevent workers and equipment from
falling","ろうどうしゃ ついてんらく き ぐ ら っ か ぼ う し
労働者の墜転落・器具の落下防止の
あ し ば は ば き もう
ために足場に幅木を設ける",はばき（かせつあしば）,7,,22,1,,,"Baseboard (Temporary
scaffolding)",幅木（仮設足場）
,Build scaffold using single pipes,"たんかん もち あ し ば く た
単管を用いて足場を組み立てる",たんかん,8,"""Tankan"" is an abbreviation of
""tankan pipe."" It is also called a
""pipe.""",22,1,,,Single pipe(cid:9),単管
,,,きゃたつ,9,,22,1,,,Stepladder,脚立
,"Forbid entry into the operating radius
of heavy machinery","じゅうきさぎょう さぎょうはんけい た い きん
重機作業の作業半径に立ち入りを禁
し
止する",さぎょうはんけい,10,"It is a radius of heavy machinery's
rotation. The area is often forbidden
to enter to prevent contact accidents.",22,1,,,Operating radius,作業半径
,"Temporarily fix the structure with
temporary bolts","かり こうぞうたい かり こ て い
仮ボルトで構造体を仮に固定する",かりぼると,11,,23,1,,,Temporary bolt,仮ボルト
,Rework the areas pointed out,"し て き ば し ょ て な お
指摘された場所を手直しする",てなおし,12,,23,1,,,Rework(cid:9),手直し
,Arrange them to be flush,"つらいち
面一にそろえる",つらいち,13,,23,1,,,Flushness,面一
,"Inspect the tools to use before
starting work according to the
inspection list","し よ う こ う ぐ てんけんじ こ う もと し
使用する工具は点検事項に基づき始
ぎょうまえてんけん
業前点検をおこなう",てんけんじこう,14,,23,1,,,Inspection list(cid:9),点検事項
,"Load the truck without exceeding the
loading capacity","せきさいかじゅう こ
トラックの積載荷重を超えないように
つ こ
積み込む",せきさいかじゅう,15,,23,1,,,Loading capacity,積載荷重
,"Install soundproofing sheets without
clearances","ぼうおん ま あ
防音シートはすき間が空かないように
と つ
取り付ける",すきま,16,,23,1,,,Clearance,すき間
,"Check if the pits are correctly
excavated following the stake base
lines","かたどお ね ぎ り で き とお
やり方通りで根切が出来ているか通
りをみる",とおりをみる,17,,23,1,,,Check correctness,通りを見る
,Assemble scaffolding,"あ し ば く み た
足場を組立てる",くみたて,18,,23,1,,,Assembly,組立
,"Lift basic scaffolding assembled on
the ground with a crane and install
them above","した じ ぐみ あ し ば あ
下で地組した足場をクレーンで上げ
うえ と つ
て上で取り付ける",じぐみ,19,,23,1,,,"Basic assembly on the
ground",地組
,"Smooth and level the concrete top
surface with a trowel","て ん ば へいかつ
コンクリートの天端をコテで平滑にな
らす",てんば,20,"It is also called a ""Uwaba.""",23,1,,,Top surface,天端
,"When lifting materials, sling them to a
safe position","ざいりょう つ あ さい あんぜん い ち
材料を吊り上げる際は安全な位置に
たまかけ
玉掛けをおこなう",たまかけ・たまがけ,21,,24,1,,,Slinging,玉掛け
,"Work with heavy machinery safely
with signals","じゅうきさぎょう あ い ず あんぜん おこな
重機作業は合図をもって安全に行う",あいず,22,,24,1,,,Signal,合図
,"Do not exceed the rated load when
working with lifting equipment","ていかくかじゅう こ つ さぎょう
定格荷重を超えて吊りもの作業はお
こなわない",ていかくかじゅう,23,,24,1,,,Rated load,定格荷重
,"Check the verticality of scaffolding
posts (""tachi"" means verticality.)","あ しばしち ゅ う み すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",たち,24,,24,1,,,Verticality,たち
,"Follow foreman's instructions when
assembling scaffolding (cid:9)","あ し ばくみたて しょくちょう し じ したが
足場組立は職長の指示に従う",しょくちょう,25,,24,1,,,Foreman,職長
,"Use the safety cover to prevent
accidents","あんぜん しよう じこ ふせ
安全カバーの使用で事故を防ぐ",あんぜんかばー,1,"A cover attached to an electric
circular saw. It prevents the circular
saw from flying into your body due to
kickback during cutting.",25,1,,,Safety cover(cid:9),安全カバー
,"Attaching the safety belt to the
scaffold(cid:9)","あんぜんたい あ し ば と つ
安全帯を足場に取り付ける",あんぜんたい,2,,25,1,,,Safety belt,安全帯
