,単語,再翻訳,類似度_claude,スコア
848,指差呼称,指差し呼び出し,100%,100
849,落下（する）,落下/落下,100%,100
850,墜落（する）,墜落/高所からの落下,100%,100
851,作業靴,作業靴・安全靴,100%,100
852,帽子,キャップ,100%,100
853,保護具,個人用保護具,100%,100
854,ボタン,ボタン/ボタン,100%,100
855,ポケット,バッグ,50%,50
856,マスク,マスク,100%,100
857,業務,仕事/サービス,95%,95
858,朝礼,朝の会議 / 朝のブリーフィング,100%,100
859,調子,州,0%,0
860,立入禁止,アクセス禁止,100%,100
861,足もと注意,どこに足を踏み入れるか注意してください。,100%,100
862,開口部注意,隙間に注意,100%,100
863,堕落注意,落下の危険に注意してください,95%,95
864,頭上注意,上からの危険に注意してください,100%,100
865,保護帽着用,安全ヘルメットを着用してください。,100%,100
866,昇降階段,階段,95%,95
867,整理整頓,清潔さと秩序,100%,100
868,安全通路,安全な廊下,95%,95
