番号,単語,翻訳
10,大バール,ផ្ ករស់ធំ
11,化粧合板,កាា បនទ ោះត្ុបផ្ត្ង
12,普通合板,កាា បនា ោះធរមតា
13,スタイロフォーム,បនទ ោះសនា
14,面木,ស ើបសងាើត្សលទរុខ្សៅម្ ុង
15,バイブレーター,ម៉ា ស៊ីុនរំញ៉ារ័
16,剥離剤,ថ្នា ំសំណក
17,けこみ板,កាា បញ្ឈរ
18,目地棒, ំបូងោក់កាច់ម្ ុង
19,コンクリート,សបត្ុង
20,コンベックス,ឧបករណ៏វាស់ផ្វង
21,作業用手袋,សម្នរស ការង្ករ
22,差金,ផ្ កបញ្ូច ល
23,水平器,ផ្រ៉ាម្ត្សទ ង់
24,墨さし,បិចសធវើព៊ីឬស៊ីែ
25,墨つぼ,ប្ទ  ត្់ផ្ខ្ែ
1,"丸セパレーター
（丸セパ）","ឧបករណ៏បំបបករូបរាងមូល
(ម៉ា រ៉ុ សេប៉ា )"
2,天端釘,"បែកសោលបនែកខាងសលើនៃ
េំណង់"
3,ケレン,ការេំសលៀង
4,型枠支保工,េ៉ុ មេរមប់ចាក់សបត៉ុង
5,"基礎型枠
（メタルフォーム）",េ៉ុ មរ្រោះ(សមតាលហ្វ ម)
6,釘仕舞い,េំរួលបែកសោល
7,スラブ天端,រកឡាបនែកខាងសលើនៃេំណង់
8,高さ（タッパ）,កំពេ់
9,建込み,សលើកយួរសហ្ើយោក់
10,通り,នូល  វលំ
11,蹴上げ,កំពេ់ជំហាៃកាំជសណា ើរ
12,蹴込み,បនែកខាងកន គងសៅកាំជសណា ើរ
13,工具の手入れ,សរៀបេំោតឧបករណ៏
14,下げ振り,ឧបករណ៏វាេ់បញ្ឈររតង់
15,地墨,សាែ មេញ្ជា  កំណត់រីតាំង
16,捨てコンクリート,ចាក់សបត៉ុងសេា ើង(សបត៉ុង សចាល)
17,はね出し,ការសចញកាា ពីបសគោ ល
18,はらみ,ភ្ជពសប៉ា ងច៉ុោះ
19,前面,ននៃខាងម៉ុខ
20,養生,រ៉ុុំព័រធ
21,レベル,កំពេ់
22,割付,បបងបចក
23,埋め込み金物,ឧបករណ៏បែកបងោប់
24,解体する（バラス）,ការបំបបក
25,かぶり寸法,ករមេ់រ្ប
1,異形棒鋼,ឧបករណ៏ពង្រឹរបបតុរ រូបរារពិបេេ
2,結束線,ដសែរឹតចំណរ
3,結束工具,ឧបករណ៏រឹតចរ
4,鉄筋切断機,ម  េ៊ីុនកាត់េរសេដែក
5,鉄筋曲げ加工機,ម  េ៊ីុនពត់េរសេដែក
6,フック,េំពក់
7,保護帽（ヘルメット）,ម្ួកការពារ
8,アンカー,ដែកយុថាា
9,加工場,កដនល រដកសនែ
10,スペーサ―,ឧបករណ៏រកាចប្ល  ះ
11,ドーナツ,ឧបករណ៏រកាចប្ល  ះរារ ជាររវរ់(ែូណាត់)
12,加工配筋図,បល រ់ោក់េសេដែកដកសនែ
13,配筋詳細図,បល រ់លំអិតោក់េរសេដែក
14,開口補強筋,េរសេដែកពង្រឹរដនែក បបើកចំ រ
15,幅止め筋,េរសេដែកពង្រឹរ
16,差筋,េរសេដែកចប្ល  ះេំណរ់
17,柱主筋,េរសេដែកេេរបម្
18,柱配筋,ោក់េរសេដែកកន គរេេរ
19,スラブ筋,េរសេង្កឡា
20,ベース筋,េរសេង្គឹះ
21,帯筋（フープ）,េរសេដែកេប់េល់ការ ដបកបបតុរេេរ( ឺវ ប ពុ)
22,下端筋,េរសេខារបង្កាម្ខារចុរ
23,上端筋,េរសេខារចុរខារបលើ
24,主筋,េរសេបម្
25,あばら筋,េរសេដែកលកា ណ:នឹអ រជំនឺ
1,はかま筋,សរសសដែកលកខ ណ:កន្រ្ត ក
2,縦筋,សរសសដែកបញ្ឈរ
3,下筋,សរសសដែកខាងឡន្កាម
4,横筋,សរសសដែកឡផតក
5,腹筋,សរសសដែកដាក់ទទឹង
6,配力筋,សរសសដែកដាក់ឈរន្តង់
7,上筋,សរសសដែកខាងឡលើ
8,スパイラル筋,សរសសដែកលកខ ណ:រងវង់
9,鉄筋径,វិជាមាន្តសរសសដែក
10,かぶり厚さ,កមាល  ស់ន្គប
11,角度,មុុំ
12,シングル,ឯក
13,ダブル,ឡទវ
14,千鳥結束,ចុំណងចឡ្ល  ោះគ្នា
15,切断寸法,ទុំហុំដផាកកាត់
16,加工寸法,ទុំហុំដកសនា
17,重ね継手,តុំណជា្់គ្នា
18,圧接継手,តុំណគ្នប
19,開口部,ដផាកឡបើកចុំហរ
20,溶接金網,សុំណាញ់ដែកផា
21,搬出,ការែឹកឡចញ
22,搬入,ការែឹកចូល
23,基礎,ន្គឹោះ
24,機械式継手,តុំណឡដាយមា៉ា សីុ្
25,配筋検査,ការន្តួតពិ្ិតយការដាក់ សរសសដែក
1,トラクタ,ត្រាក់ទរ័
2,ブルドーザ,គត្រេឿងចត្រករុញែី
3,トラクタショベル,ត្រាក់ទ័រឈូសែី
4,ホイルローダ,រ ឡូូ   កិនែី
5,ダンプトラック,ត្រាក់ទ័រែឹកែី
6,油圧ショベル,គត្រេឿងចត្រកកាយែីអីុត្រែូ លិក
7,バックホウ,ត្រាក់ទរ័កាយែី(គអសស្កា )
8,ローディングショベル,គត្រេឿងចត្រកចូកែី
9,ローラ,រ ឡូូ   កិន
10,バケット,ដប៉ាលចូក
11,ブーム,ែងសនទ ចូ
12,アーム,ដែគលើក
13,ブレード（排土板）,ដប៉ាលរុញ(ដប៉ាលរុញែី)
14,タイヤ,សំបកកង់
15,クローラ,ត្រចវាក់
16,キー（鍵）,គស្ក
17,"作業装置
（アタッチメント）","ឧបករណ៏ការងារ
(attachment)"
18,エンジン,ម៉ា សុីន
19,ディーゼルエンジン,ម៉ា សុីនគត្របើម៉ា សូ រ
20,エンジンオイル,គត្របងម៉ា សុីន
21,"オルタネータ
（充電発電機）",ម៉ា សុីនស្កកថ្ម
22,バッテリ,អាេុយ
23,燃料,គត្របងឥណឌ ន:
24,軽油,គត្របងត្រស្កល(ម៉ា សូ រ)
25,ブレーキ,ត្រ្ំវ ង
1,油圧シリンダ,ស៊ី ឡាំងអ៊ី ដ្រូលិក
2,油圧モータ,ម៉ូ ទ័រអ៊ី ដ្រូលិក
3,油圧ポンプ,សន ប់ប៉ូមអ៊ី ដ្រូលិក
4,水漏れ,លលចធ្លា យទឹក
5,油漏れ,លលចធ្លា យលដ្បង
6,冷却水,"ទឹកដាក់ឱ្យដ្រជាក់
(ម  ស៊ី ន)"
7,ブレーキ液,លដ្បងដ្្រ ាំង
8,燃料タンク,ធ ងឥនធ នៈ
9,ファンベルト,ខ្សែពានកង្ហា រ
10,空気圧,សមា  ធសយល់
11,クラッチ,អាំដ្ាយ 
12,急発進,ចាប់ល្តើមលលឿន
13,急ブレーキ,ចាប់ដ្្រ ាំងបន្ទា  ន់
14,アイドリング,បល្ឆ េះលចាល
15,走行,លបើកបរ
16,旋回,បរ់
17,安全ロック,លោស វរិថភាេ
18,安全支柱,សសរស វរិថភាេ
19,補給（する）,(ោរ)បខ្នថ ម
20,駐車（する）,(ោរ)ចររថយនត
21,歩行者,អន កលថមើរល ើង
22,車両,រថយនត
23,死角,ដ្ ុងលមើលមិនល ើញ
24,斜面, ដ្មល
25,転圧（する）,(ោរ)រលមៀល
1,接触（する）,(ការ)ប ៉ះទង្ិគច
2,作動（する）,(ការ)ដំដ ើរការ
3,整備（する）,(ការ)ដរៀបចំថែសំរួល
4,点検（する）,(ការ)ត្រួរពិនិរយ
5,動かす,បត រូកថនែ ង្
6,運転（する）,(ការ)ដបើកបរ
7,測る,វាស់
8,操作（する）,(ការ)ត្បរិបរិតការ
9,停止（する）,(ការ)ឈប់
10,切る,ការ់ ឬ ពនែ រ់
11,回す,បង្ិវល
12,押す,រ ញ
13,集める,ត្បមូល
14,触る,ស្ទា ប
15,縛る,ចង្ជាប់
16,揃える,រត្មឹម
17,結ぶ,ចង្
18,しゃがむ,អង្គ ុយ(ដចាង្ដោង្)
19,調整（する）,(ការ)ថកសំរួល
20,閉じる,បិទ
1,取り出す,យកចេញ
2,戻す,ដាក់ចៅវិញ
3,仕上げる,ច្វើចោយច ើយ
4,折れる,បាក់
5,欠ける,ដែប
6,近づく,ចៅជិត
7,電源を入れる,ចបើកថាមពលច្ែើង
8,電源を落とす,បិទថាមពលច្ែើង
9,スイッチを切る,បិទកុងតាក់
10,固定（する）,(ការ)េងភ្ជា  ប់
11,ゆるめる,បនធ រូ
12,伸ばす,ពនល តូ
13,外す,ចដាោះ
14,曲げる,ពត់
15,出す,បចចេ ញ
16,乾かす,សមង តួ
17,数える,រាប់
18,運ぶ,ចលើក
19,積む,លុទ ក
20,下ろす,ដាក់េុោះ
21,離れる,ឃ្លែ  តចេញ
1,位置,
2,寸法,
3,測定（する）,
4,計測（する）,
5,計測器,
6,温度,
7,高さ,
8,長さ,
9,重さ,
10,厚さ,
11,硬さ,
12,深さ,
13,表面,
14,すきま,
15,中心,
16,値,
17,安定（する）,
18,大きさ,
19,数,
20,誤差,
21,中,
22,反対,
23,周り,
24,尺,
25,青,
26,赤,
27,白,
28,黄色,
1,片づける,
2,捨てる,
3,掃く,
4,持ち上げる,
5,束ねる,
6,足をくじく,
1,一輪車,
2,支柱,
3,ショベル,
4,かけや,
