日本語,pdfplumber値,PyMuPDF値,Page,No
整理,មាៃរបបៀប,មៃា របបៀប,7,2
清潔,ស្ថា ត,សា ត្ថ,7,5
掃除（する）,(ប្វីការ)សមាា ត,(ប្វីករា )សមា តា,7,7
片づける,បរៀបចាំ,រ ៀបចំ,46,1
捨てる,បចល,រោល,46,2
汚い,ក្ខ្វក្់,កខ្ វក្ ់្,8,10
汚れる,្បលាក្់,្បលកា ់្,8,11
分別（する）,(ប្វីការ)ដបងដចក្,(ប្វីករា )ដបងដចក្,8,12
燃えないごみ,ស្មាមមិៃប ះ,ស្មមា មិៃប ះ,8,13
燃えるごみ,ស្មាមប ះ,ស្មមា ប ះ,8,14
挟まれる,គ្នប,គប្ន,8,15
巻き込まれる,្តវូ ាៃពាក្់ព័ៃធ,្តវូ ាៃពកា ់ព្ ័ៃធ,8,16
やけど（する）,(មាៃ)រលាក្,(មៃា )រលកា ្,8,17
衛生,អនាម័យ,អនមា ័យ,9,22
避難（する）,(ប្វីការ)្បមែៀស,(ប្វីករា )្បមែៀស,9,23
救急車,ឡាៃសប្ងាគ ះបនាា ៃ់,ឡៃា សប្ងគះា បនា ៃា ់,9,24
災害,ប្គ្នះមហៃតោយ,ប្គះ្នមហៃតោយ,9,25
地震,ការរញ្ជ យួ ែី,ករា រញជ្យួ ែី,9,26
火気厳禁,ហាមដាច់ខាតប្រើប្លើង,ហមា ដចា ់ខតា ប្រើប្លើង,10,1
火気厳禁,ហាមដាច់ខាតប្រើប្លើង,ហមា បងា ត្ក់ភ្លើង,17,3
開放厳禁,ហាមដាច់ខាតបរើកចំហ,ហមា ដចា ់ខតា បរើកចំហ,10,2
標識,សញ្ញា,សញា ្ញ,10,3
防ぐ,រង្កា រ,រងា រ្ក,10,6
煙,ផ្សែង,ផស្ ែង,10,8
消火,ព្នលត់អគ្គិ្័យ,ព្នលត់អគគិ្ ័យ,10,9
消火器,ឧរករណ៍ព្នលត់អគ្គិ្័យ,ឧរករណ៍ព្នលត់អគគិ្ ័យ,10,10
消火器,ឧរករណ៍ព្នលត់អគ្គិ្័យ,បំពង់​ពលលត់​អគគិ្ ័យ,18,11
非常ベル,កណតឹងអាសនន,កណតឹងអសា នន,10,11
火災報知機,កណតឹង្រកាសអគ្គិ្័យ,កណតឹង្រកសា អគគិ្ ័យ,10,12
逃げる,រត់បគ្ច,រត់បគច្,10,13
現場,កផ្នលងការង្ករ,កផន្ លងករា ងរ្ក,10,14
作業,ការង្ករ,ករា ងរ្ក,10,15
ミーティング,ការ្រជុំ,ករា ្រជុំ,10,16
研修（する）,(ប្វើការ)កមមសិកា,(ប្វើករា )កមសិកា,10,17
実習（する）,(ប្វើការ)សិកា,(ប្វើករា )សិកា,11,18
あいさつ,ររវកិចច,ររវកិច,11,19
確認（する）,(ប្វើការ)រញ្ញា ក់,(ប្វើករា )រញា ក្ញ ់,11,20
確認（する）,(ប្វើការ)រញ្ញា ក់,(ករា )បញា ក្ជ់,14,16
報告（する）,(ប្វើការ)ការោយការណ៍,(ប្វើករា )ករា ោយករា ណ៍,11,21
連絡（する）,(ប្វើការ)ទាក់ទង,(ប្វើករា )ទកា ់ទង,11,22
相談（する）,(ប្វើការ)ព្ិភាកា,(ប្វើករា )ពិ្ភកា ា,11,23
渡す,ឆ្លងកាត់,ឆលង្ កតា ់,11,24
申請書,ពាកែបសនើសុំ,ពកា ែបសនើសុំ,11,25
寝坊（する）,(ប្វើការ)បគ្ង្ជលុ,(ប្វើករា )បគង្ ្ជលុ,11,26
技能,ជំនាញ,ជំនញា,12,1
技能検定試験,ប្រឡងសមត្ថិភាពជំនាញ,បរ្ ឡងសមតថិភ្ ពា ជំនញា,12,2
受検（する）,(ធ្វើ)ការប្រឡង,(ធ្វើ)ករា បរ្ ឡង,12,3
資格,សមត្ថភាព(ជំនាញ),សមតថភ្ ពា (ជំនញា ),12,4
手当,ប្ាក់ឧរត្ថមភ,បា្ ក់ឧរតថម្ ភ,12,5
社員,រុគ្គលកិ ប្កមុ ហ ុន,រុគគល្ កិ បក្ មុ ហ ុន,12,6
部長,ប្រធានផ្នែក,បរ្ ធនា ផន្ ែក,12,7
課長,ប្រធានការយាិ លយ័,បរ្ ធនា ការយិ លា យ័,12,8
更衣室,រនទរផ្ល់ ា ស់សធមាៀករំពាក់,រនទរផ់ ា ស្ល់សធមាៀករំពកា ់,12,9
床,កប្ាល,កបា្ ល,12,11
出口,ប្រកធរញ,បរ្ កធរញ,12,12
電気,អគ្គីសនី,អគគីស្ នី,12,13
警報音,សធមាងប្រកាសអាសនែ,សធមាងបរ្ កសា អសា នែ,12,14
コンセント,ប្ពីធ្ាើង,បព្ ីធ្ាើង,12,15
作業場,កផ្នាងធ្វើការ,កផន្ ាងធ្វើករា,12,16
作業台,ត្ុធ្វើការ,តុធ្ ្វើករា,12,17
工事現場,ការដ្ឋា នសំណង់,ករា ដា ន្ឋ សំណង់,12,18
職長,អែកដឹកនាំប្កមុ,អែកដឹកនំាបក្ មុ,12,19
職長,អែកដឹកនាំប្កមុ,មេករា,24,25
作業責任者,អែកទទួលខុសប្ត្វូ ការងារ,អែកទទួលខុសបត្ វ្ូ ករា ងរា,12,20
禁止,ហាម,ហមា,13,1
表示板,ផ្ទ ងាំ បង្ហា ញព័ត៍មាន,ផទង្ាំ បងា ញ្ហព័ត៍មនា,13,2
禁止事項,ប្បការហាមឃាត់,បប្ ករា ហមា ឃតា ់,13,3
避難訓練,ហ្វកឹ ហាត់ជមមលៀសមេញ,ហវកឹ្ ហតា ់ជមមលៀសមេញ,13,4
挟まる,គាប,គបា,13,9
足元,មជើងមប្កាម,មជើងមបក្ មា,13,10
後片付け,ការមរៀបេាំមពលមប្កាយ,ករា មរៀបេាំមពលមបក្ យា,13,12
救急箱,ប្បអប់សមប្ង្ហគ ោះបន្ទទ ន់,បប្ អប់សមបង្ គោ្ហបះ នទន្ទ់,13,13
絆創膏,បនទោះបិទមលើស្នា មរបួស,បនទោបះ ិទមលើសា ម្នរបួស,13,14
体調,ស្នេ នភាពសុខភាពខល នួ,សេ្នភពា សុខភពា ខលនួ,13,15
血,ឈាម,ឈមា,13,16
熱中症,ការដួលសនលបម់ ោយស្នរ កមតៅ,"ករា ដួលសនលបម់ ោយសរ្ន
កមតៅ",13,17
吐き気,េង់កអ តួ,េង់កអតួ,13,18
気分が悪い,មិនប្សួលខល នួ,មិនបស្ ួលខលនួ,13,21
寝不足,មគ្ងមិនប្គ្ប់,មគ្ងមិនបគ្ ប្ ់,13,22
安全ネット,សាំណាញ់សុវតេិភាព,សាំណញា ់សុវតេិភពា,13,23
安全点検,ប្តួតពិនិតយសុវតេិភាព,បត្ ួតពិនិតយសុវតេិភពា,13,24
KY活動（危険予知活動）,សកម្មភាពKY (សកម្មភាពពាករណ៏ហា នីភយ)័,"សកមមភ្ ពា KY
(សកមមភ្ ពា ពាករណ៏ហា
នីភយ)័",14,1
危険,គ្រោះថ្នា ក់,គ្រោះថា ក្ន់,14,2
ぶつかる,ប ោះទង្គិច,ប ោទះ ងគិច្,14,3
下敷きになる,កិនសង្ារ់,កិនសងារ្ ់,14,5
バランスを崩す,បារ់បង្់រ លយភាព,បរា ់បង់រ្ លយភពា,14,7
指差呼称,ចង្អ ុលគៅគ្ម ោះ,ចងអុល្ គៅគ្មោះ,14,10
ヒヤリハット,គសទើបរនឹង្មនគ្រោះថ្នា ក់,គសទើបរនឹងម្ នគ្រោះថា ក្ន់,14,11
原因,ម្ូលគេរ,មូល្ គេរ,14,12
対策,វធ្លិ នការ,វធិ ន្លករា,14,13
作業着,សម្លៀកបំពាក់ម្វើការ,សម្លៀកបំពកា ់ម្វើករា,15,1
作業服,សម្លៀកបំពាក់ការងារ,សម្លៀកបំពកា ់ករា ងរា,15,2
作業靴,ស្សែកម ើងការងារ,សស្ ែកម ើងករា ងរា,15,3
保護帽（ヘルメット）,្ួកការពារ(្ួកបងាា រ មររោះថ្នា ក់),"្ួកករា ពរា (្ួកបងា រា
មររោះថា ក្ន់)",15,6
保護帽（ヘルメット）,្ួកការពារ(្ួកបងាា រ មររោះថ្នា ក់),មួ្កករា ពរា,31,7
保護具,ឧបករណ៏បងាា រមររោះថ្នា ក់,ឧបករណ៏បងា រា មររោះថា ក្ន់,15,7
あごひも,ស្សែរកវ៉ាត់ចងាា រ,សស្ ែរកវ៉ាត់ចងា រា,15,8
保護メガネ,ស្វនតាការពារ,សវ្ នតកា រា ពរា,15,11
耳栓,ឆ្ន ុករតមចៀក,ឆនុក្ រតមចៀក,15,13
安全靴,ស្សែកម ើងសុវតថភាិ ព,សស្ ែកម ើងសុវតថភិ ពា,15,14
業務,កិចចការ,កិចករា,16,16
時間厳守,របកាន់មពលមវលាខាា ប់សជ នួ,របកនា ់មពលមវលខា ា បា ់សជនួ,16,17
日付,កាលបរមិចេទ,កលា បរមិចេទ,16,19
準備（する）,(ការ)មរតៀ្,(ករា )មរតៀ្,16,20
会議,ការរប ុំ,ករា រប ុំ,16,21
朝礼,ការរប ុំមពលរពឹក,ករា រប ុំមពលរពឹក,16,22
報告書,មសចកតរាី យការណ៏,មសចកតរី យា ករា ណ៏,16,23
マニュアル,មសៀវមៅស្ណនំ,មសៀវមៅសណ្ នំ,16,24
作業手順書,ឯកោរនីតិវ្ិ ីការងារ,ឯកោរនីតិវ្ិ ីករា ងរា,16,25
調子,ចលនកន ុងសល នួ,ចលនកនុងសលនួ,16,26
立入禁止,ហាមចូល,ហមា ចូល,17,1
禁煙,ហាមជក់បារី,ហមា ជក់បារី,17,2
駐車禁止,ហាមចត,ហមា ចត,17,4
足もと注意,ប្បយ័តនប ៉ះភជើង,បប្ យ័តនប ៉ភះជើង,17,5
開口部注意,ប្បយ័តនផ្ននកភបើកចំហ,បប្ យ័តនផន្ កភបើកចំហ,17,6
感電注意,ប្បយ័តនឆក់,បប្ យ័តនឆក់,17,7
堕落注意,ប្បយ័តនធ្លល ក់,បប្ យ័តនធលក្ល់,17,8
頭上注意,ប្បយ័តនភលើកាល,បប្ យ័តនភលើកាល,17,9
警報設備,កផ្លលងចុចប្បកាសអាសលន,កផល្ លងចុចបប្ កសា អសា លន,17,10
AED設置場所,ទីតងំ បំពាកA់ ED,ទីតងំ បំពកា A់ ED,18,12
保護帽着用,ពាក់មួកការពារ(មួក បង្កា រភប្រ៉ះថ្នន ក់),"ពកា ់មួកករា ពរា (មួក
បងា រ្កភបរ្ ៉ថះ នក្ន់)",18,13
安全帯使用,ភប្បើផ្សែប្កវ៉ាត់សុវតថិភាព,ភបប្ ើផស្ ែបក្ វ៉ាត់សុវតថិភពា,18,14
昇降階段,ជភ្តើរភ ើងចុ៉ះ,ȗំជេណɱ ̶រេឡ̶ងចុះ,20,15
休憩所,កផ្លលងសប្ាក,កផល្ លងសបា្ ក,18,16
最大積載荷重,សមតថភាពនទកុ អតិបរា,សមតថភពា នទកុ អតិបរា,18,17
喫煙所,កផ្លលងជក់បារី,កផល្ លងជក់បារី,18,18
整理整頓,ភរៀបចំ សណ្តត ប់ធ្លន ប់,ភរៀបចំ សណតប្ត់ធនប្ល់,18,19
安全通路,នល វូ សុវតថិភាព,នលវូ សុវតថិភពា,18,20
三連クランプ,ដង(cid:544)៣(cid:814)(cid:671)(cid:572)ំ ប់(cid:545)(cid:645),ដងȠ៣ ̮ʟȼំ ប់ȡʅ,19,1
かけや,ញញ(cid:819)រេឈ(cid:822),ញញ̳ រេឈ̶,19,3
かけや,ញញ(cid:819)រេឈ(cid:822),ញញួ រ ើ,47,4
ランマ,(cid:676)៉សុីនប(cid:559)(cid:726)ប់ដី,ʤ៉សុីនបȯ˖ ប់ដី,19,4
自在クランプ,ដង(cid:544)(cid:814)ំេសរ(cid:801),ដងȠ ̮ំេសរ̡,19,5
キャッチクランプ,ដង(cid:544)(cid:814)ំ(cid:564)ប់,ដងȠ ̮ំȴប់,19,6
吊り上げ用クランプ,ដង(cid:544)(cid:814)ំស(cid:688)(cid:676)ប់ស(cid:636) (cid:817)ចេ,ដងȠ ̮ំសʰʤប់សɼ ̱ចេ,19,7
直交クランプ,ដង(cid:544)(cid:814)ំ(cid:598)ក់(cid:688)តង់,ដងȠ ̮ំɖក់ʰតង់,19,8
フック,ទំពក់,េំពក់,31,6
ストレートシャックル,តួ(cid:676)៉សុីន(cid:719)(cid:698)ន(cid:690)ង(cid:688)តង់,តួʤ៉សុីនˏʺ នʲងʰតង់,19,10
滑車,ឧបករណ៏រ(cid:843)ក,ឧបករណ៏រ͋ក,20,11
クレーン,(cid:676)៉សុីនស(cid:636) (cid:817)ច,ʤ៉សុីនសɼ ̱ច,20,12
移動式クレーン,(cid:676)៉សុីនស(cid:636) (cid:817)ចចល័ត,ʤ៉សុីនសɼ ̱ចចល័ត,20,13
介しゃくロープ,ែខ(cid:717)ពួរជំនួយ,ែខˍពួរជំនួយ,20,14
筋かい止めピン,(cid:540)(cid:635)ស់(cid:671)(cid:572) ប់ឧបករណ៏ (cid:598)ក់ចេ(cid:647)(cid:693) ះសសរ,"Ȝɻ ស់ʟȼ ប់ឧបករណ៏
ɖក់ចេʇʵ ះសសរ",20,16
脚柱ジョイント,តំណេជ(cid:822)ង,តំណេជ̶ង,20,17
連結ピン,(cid:540)(cid:645)ស់ត(cid:671)(cid:572) ប់,Ȝʅ ស់តʟȼ ប់,20,18
レバーブロック,ប(cid:694)(cid:814)ក(cid:676)នដង,បʶ ̮កʤនដង,20,20
電動のこ（丸のこ）,(cid:676)៉សុីនរ(cid:622)រ,ʤ៉សុីនរɮរ,20,21
モンキースパナ,ឧបករណ៏េ(cid:598)ះប៊ូឡ(cid:813) ង,ឧបករណ៏េɖះប៊ូឡ̭ ង,21,22
親綱支柱,(cid:688)បព័ន(cid:640)ែខ(cid:717)សុវត(cid:630)ិ(cid:671)ព,ʰបព័នʀែខˍសុវតɶិʟព,21,23
ブラケット,ែកង(cid:688)ទ,ែកងʰទ,21,24
梯子,ជេណ(cid:625)(cid:822)រ(cid:598)ក់,ជេណɱ ̶រɖក់,21,25
親綱,ខ្សែពួរមេ,ខស្ ែពួរមេ,22,1
建枠（ビティ）,គំរបឈ្នន ន់(ប ៊ី្ី),គំរបឈន្ន់(ប ៊ី្ី),22,2
メッシュシート,ក្កណាត់សំណាញ់,កក្ ណតា ់សំណញា ់,22,3
防音パネル,ផ្ា ងំ ប់សមេលង,ផា ្ងំ ប់សមេលង,22,4
朝顔材,ផ្ា ងំ មក្ៅសក្ម្ខប់ការពារ,ផា ្ងំ មកៅ្ សកម្ ប្ខ់ករា ពរា,22,5
架空線,ខ្សែមលើ,ខស្ ែមលើ,22,6
幅木（仮設足場）,កាត របងំ មជើង(កខ្នលង ដ្ឋក់មជើងបមណាត ះោសនន),"កតរា បងំ មជើង(កខន្ លង
ដក្ឋ ់មជើងបមណតះា ោសនន)",22,7
脚立,ជមណតើរមកាង,ជមណតើរមកងា,22,9
作業半径,កាក្ំ បតិបតតិការងារ,កកំា ប្ តិបតិករា ងរា,23,10
仮ボルト,បូ ុ ងបមណាត ះោសនន,បូ ុ ងបមណតះា ោសនន,23,11
手直し,ខ្កម ើងវញិ,ខក្ ម ើងវញិ,23,12
点検事項,ក្បការក្តួតពិនិតយ,កប្ ករា កត្ ួតពិនិតយ,23,14
積載荷重,េងន់ចំណុ ះដ្ឋក់,េងន់ចំណុ ះដក្ឋ ់,23,15
すき間,ចមន្ទល ះ,ចមនលះ្ទ,23,16
通りを見る,ពិនិតយផល វូ ថ្នល់,ពិនិតយផលវូ ថនល្ ់,23,17
地組,ការផ្ គំេូលដ្ឋា ន,ករា ផ្ គំេូលដា ន្ឋ,23,19
天端,ខ្ផនកខ្ទងមលើននសំណង់,ខផ្ នកខង្ទមលើននសំណង់,24,20
合図,សញ្ញា,សញា ្ញ,24,22
定格荷重,េងន់តេខ្ទន ត,េងន់តេខនត្ទ,24,23
たち,បញ្ឈរ,បញឈ្ រ,24,24
安全帯,ផ្ខ្ែម្កវា៉ាត្់សុវត្ថិភាព,ផខ្ ែ្ មក្ វ៉ាតា ់្សុវតថិ្ភពា,25,2
インサート,បញ្ច លូ,បញចល្ូ,25,3
スペーサ,ឧបករណ៏រកាចស្ែ ោះ,ឧបករណ៏រកាចស្ែោះ,25,4
鉄筋,សរសសផ្ ក,សរសសផ ្ ក,25,5
電工ドラム（ドラム）,ផ្ខ្ែស្ែើងរំផ្វង( ូ រ៉ារ រ ុ ),ផខ្ ែ្ ស្ែើងរំផវ្ ង( ូ រ៉ារ រ ុ ),25,6
電動丸のこ（電のこ）,រណាម៉ា សុ៊ីន(ស ង ណូ កូ ),រណមា ៉ា សុ៊ីន(ស ង ណូ កូ ),25,7
パッキン,ថ្នា បំ ិទ ិត្,ថា ្នបំ ិទ ិត្,25,8
小バール,ផ្ ករស់ត្ូច,ផ ្ ករស់តូ្ច,25,9
大バール,ផ្ ករស់ធំ,ផ ្ ករស់ធំ,25,10
化粧合板,កាា បនទោះត្ុបផ្ត្ង,កា បា នទោះតុ្បផត្ ្ង,26,11
普通合板,កាា បនាោះធរមតា,កា បា នាោះធរមតា,26,12
面木,ស ើបសងាើត្សលទរុខ្សៅម្ ងុ,ស ើបសងាើត្សលទរុខស្ ៅម ្ ងុ,26,14
剥離剤,ថ្នា សំ ំណក,ថា ្នសំ ំណក,26,16
けこみ板,កាា បញ្ឈរ,កា បា ញឈ្ រ,26,17
目地棒,ំបូងោក់កាច់ម្ ងុ,ំបូងោក់កចា ់ម ្ ងុ,26,18
コンクリート,សបត្ុង,សបតុ្ង,26,19
コンベックス,ឧបករណ៏វាស់ ផ្វង,ឧបករណ៏វសា ់ ផវ្ ង,26,20
作業用手袋,សម្នរស ការង្ករ,សមន្ រស ករា ងរ្ក,27,21
差金,ផ្ កបញ្ច លូ,ផ ្ កបញចល្ូ,27,22
水平器,ផ្រ៉ាម្ត្សទង់,ផរ្ ៉ាមត្ ្សទង់,27,23
墨つぼ,ប្ទ ត្់ ផ្ខ្ែ,ប្ទត់ ផ្ ខ្ ែ្,27,25
天端釘,បែកសោលបនែកខាងសលើនៃ េំណង់,"បែកសោលបនែកខងា សលើនៃ
េំណង់",28,2
型枠支保工,េ ៉ុមេរមប់ចាក់សបត៉ុង,េ ៉ុមេរមប់ចកា ់សបត៉ុង,28,4
スラブ天端,រកឡាបនែកខាងសលើនៃេំណង់,រកឡបា នែកខងា សលើនៃេំណង់,28,7
建込み,សលើកយួរសហ្ើយោក់,សលើកយួរសហើ្យោក់,28,9
通り,នល វូ លំ,នលវូ លំ,29,10
蹴上げ,កំពេ់ជំហាៃកាជំ សណាើរ,កំពេ់ជំហៃា កជំា សណាើរ,29,11
蹴込み,បនែកខាងកន គងសៅកាំជសណាើរ,បនែកខងា កនគងសៅកំជា សណាើរ,29,12
下げ振り,ឧបករណ៏វាេ់បញ្ឈររតង់,ឧបករណ៏វេា ់បញឈ្ ររតង់,29,14
地墨,សាែ មេញ្ជា កំណត់រីតាងំ,សែមា េញា ក្ជំណត់រីតងំា,29,15
捨てコンクリート,ចាក់សបត៉ុងសេាើង(សបត៉ុង សចាល),"ចកា ់សបត៉ុងសេាើង(សបត៉ុង
សចលា )",29,16
はね出し,ការសចញកាា ពបី សគោ ល,ករា សចញកា ពា បី សគោ ល,29,17
はらみ,ភ្ជពសប៉ា ងច៉ុោះ,ភព្ជសប៉ា ងច៉ុោះ,29,18
前面,ននៃខាងម៉ុខ,ននៃខងា ម៉ុខ,30,19
養生,រ៉ុុំព័រធ,រ៉ុព័រធ,30,20
解体する（バラス）,ការបំ បបក,ករា បំ បបក,30,24
異形棒鋼,ឧបករណ៏ពង្រឹរបបតុរ របូ រារពិបេេ,"ឧបករណ៏ពងរ្ ឹរបបតុរ
របូ ររា ពិបេេ",31,1
鉄筋切断機,ម េុ៊ីនកាត់េរសេដែក,ម េុ៊ីនកតា ់េរសេដែក,31,4
アンカー,ដែកយុថាា,ដែកយុថា ា,31,8
スペーサ―,ឧបករណ៏រកាចប្ល ះ,ឧបករណ៏រកាចប្លះ,31,10
ドーナツ,ឧបករណ៏រកាចប្ល ះរារ ជាររវរ់(ែូណាត់),"ឧបករណ៏រកាចប្លះររា
ជរា រវរ់(ែូណតា ់)",32,11
開口補強筋,េរសេដែកពង្រឹរដនែក បបើកចំ រ,"េរសេដែកពងរ្ ឹរដនែក
បបើកចំ រ",32,14
幅止め筋,េរសេដែកពង្រឹរ,េរសេដែកពងរ្ ឹរ,32,15
差筋,េរសេដែកចប្ល ះេំណរ់,េរសេដែកចប្លះេំណរ់,32,16
柱配筋,ោក់េរសេដែកកន គរេេរ,ោក់េរសេដែកកនគរេេរ,32,18
スラブ筋,េរសេង្កឡា,េរសេងក្ ឡា,32,19
ベース筋,េរសេង្គឹះ,េរសេងគ្ ឹះ,32,20
帯筋（フープ）,េរសេដែកេប់េល់ការ ដបកបបតុរេេរ( វឺប ព)ុ,"េរសេដែកេប់េល់ករា
ដបកបបតុរេេរ( វឺប ព)ុ",33,21
下端筋,េរសេខារបង្កាម្ខារចុរ,េរសេខរា បងក្ មា ្ខរា ចុរ,33,22
