,単語,再翻訳
376,配筋検査,鉄筋検査
377,トラクタ,トラクター
378,ブルドーザ,ブルドーザー
379,トラクタショベル,トラックローダー
380,ホイルローダ,ホイールローダー
381,ダンプトラック,ダンプトラック
382,油圧ショベル,油圧ショベル
383,バックホウ,バックホー
384,ローディングショベル,ローディングショベル
385,ローラ,ローラー
386,バケット,バケツ
387,ブーム,ブーム
388,アーム,アーム
389,ブレード（排土板）,ブレード（ドーザーブレード）
390,タイヤ,タイヤ
391,クローラ,トラック/クローラー
392,キー（鍵）,鍵
393,"作業装置
（アタッチメント）",添付ファイル
394,エンジン,エンジン
395,ディーゼルエンジン,ディーゼルエンジン
396,エンジンオイル,エンジンオイル
397,"オルタネータ
（充電発電機）",オルタネーター
398,バッテリ,バッテリー
399,燃料,燃料
400,軽油,ディーゼル燃料
401,ブレーキ,ブレーキ
402,油圧シリンダ,油圧シリンダー
403,油圧モータ,油圧モーター
404,油圧ポンプ,油圧ポンプ
405,水漏れ,水漏れ
406,油漏れ,オイル漏れ
407,冷却水,冷却剤
408,ブレーキ液,ブレーキフルード
409,燃料タンク,燃料タンク
410,ファンベルト,ファンベルト
411,空気圧,空気圧
412,クラッチ,クラッチ
413,発進,スタート（出発）
414,アイドリング,アイドリング
415,走行,旅行 / 運転
416,旋回,スイング/回転
417,安全ロック,安全ロック
418,安全支柱,安全支柱/サポート
419,補給（する）,補充/補充
420,駐車（する）,公園 / 駐車場
421,歩行者,歩行者
422,車両,車両
423,死ℝ,死角
424,斜面,スロープ
425,転圧（する）,圧縮/コンパクト
426,接触（する）,接触/タッチ
427,作動（する）,操作/運用
428,整備（する）,サービス/メンテナンス
429,点検（する）,検査/検査
430,動かす,移動/操作
431,運転（する）,操作/運転
432,測る,測定
433,操作（する）,操作/運用
434,停止（する）,停止/一時停止
435,切る,カット/オフ
436,回す,回転
437,押す,押す/押す
438,集める,集める/収集する
439,触る,触る
440,縛る,結ぶ/縛る
441,揃える,整列/配置
442,結ぶ,ネクタイ/結び目
443,しゃがむ,しゃがむ
444,調整（する）,調整/調整
445,閉じる,閉じる
446,取り出す,テイクアウト
447,戻す,返品する
448,仕上げる,仕上げる
449,折れる,ブレーク/スナップ
450,欠ける,チップ/チップされる
451,近づく,アプローチ
452,電源を入れる,電源を入れる
453,電源を落とす,電源を切る
454,スイッチを切る,スイッチをオフにする
455,固定（する）,修正/保護
456,ゆるめる,緩める
457,伸ばす,伸ばす/伸ばす
458,外す,取り除く
459,曲げる,曲げる
460,出す,出す/取り出す
461,乾かす,ドライ
462,数える,カウント
463,運ぶ,持ち運び/輸送
464,積む,ロード/スタック
465,下ろす,荷降ろし/降ろし
466,離れる,立ち去る
467,位置,位置
468,寸法,寸法
469,測定（する）,測定/測定
470,計測（する）,測定/測定
471,計測器,測定器
472,温度,温度
473,高さ,身長
474,長さ,長さ
475,重さ,重さ
476,厚さ,厚さ
477,硬さ,硬度
478,深さ,深さ
479,表面,表面
480,すきま,隙間/クリアランス
481,中心,中心
482,値,価値
483,安定（する）,安定性/安定化
484,大きさ,サイズ
485,数,数量
486,誤差,エラー/許容範囲
487,中,内側/真ん中
488,反対,反対
489,周り,周辺
490,尺,尺（伝統的な単位）/長さ
491,青,青
492,赤,赤
493,白,白
494,黄色,黄色
495,捨てる,処分する
496,掃く,スイープ
497,持ち上げる,リフト
498,束ねる,バンドル
499,足をくじく,足首を捻挫する
