Biển báo,Chú thích,Column_4,Column_6,Cách đọc (Hiragana),Dịch,PDFページ番号,PDF表番号,Số,Từ vựng,Ví dụ câu,Ảnh
,,,Bị ngã trong nhà máy do trơn trượt.,ころぶ,Bị ngã,9,1,20,転ぶ,"こうじょう ころ
工場ですべって転んだ",
,,,,ぬれる,Bị ướt,9,1,21,濡れる,,
,,,,えいせい,Vệ sinh,9,1,22,衛生,,
,,,,ひなん（する）,"(động từ) Sơ tán, lánh nạn",9,1,23,避難（する）,,
,,,,きゅうきゅうしゃ,Xe cứu thương,9,1,24,救急車,,
,,,,さいがい,Thảm họa,9,1,25,災害,,
,,,Xảy ra động đất.,じしん,Động đất,9,1,26,地震,"じ しん お
地震が起きる",
,,,Có động đất! Hãy nấp dưới gầm bàn!,もぐる,Chui xuống,9,1,27,もぐる,"じ しん つくえ した
地震だ！机の下にもぐれ！",
,,,,かきげんきん,Cấm lửa,10,1,1,火気厳禁,,
,,,,かいほうげんきん,Cấm mở,10,1,2,開放厳禁,,
,,,,ひょうしき,Bảng hiệu,10,1,3,標識,,
,,,,きをつける,"Chú ý, cẩn thận",10,1,4,気をつける,,
,,,"Không được mang điện thoại di động v
ào trong nhà máy.",もちこむ,Mang vào,10,1,5,持ち込む,"こうじょう けいたいでんわ も こ
工場に携帯電話を持ち込んではいけ
ない",
,,,"Kiểm tra an toàn để phòng ngừa tai
nạn.",ふせぐ,Phòng ngừa,10,1,6,防ぐ,"あんぜんかくにん じ こ ふせ
安全確認して事故を防ぐ",
,,,,ひ,Lửa,10,1,7,火,,
,,,,けむり,Khói,10,1,8,煙,,
,,,,しょうか,Chữa cháy,10,1,9,消火,,
,,,,しょうかき,Bình chữa cháy,10,1,10,消火器,,
,,,,ひじょうべる,Chuông khẩn cấp,10,1,11,非常ベル,,
,,,,かさいほうちき,Thiết bị báo cháy,10,1,12,火災報知機,,
,,,,にげる,Trốn chạy,10,1,13,逃げる,,
,,,,げんば,Hiện trường,10,1,14,現場,,
,,,,さぎょう,Thao tác,10,1,15,作業,,
,"Họp, họp đầu giờ sáng, họp cuối giờ ,
v.v cũng có trường hợp được gọi là ""
ミーティング (Meeting)"".",,,みーてぃんぐ,Cuộc họp,10,1,16,ミーティング,,
,,,,けんしゅう（する）,(động từ) Đào tạo,10,1,17,研修（する）,,
,,,,じっしゅう（する）,(động từ) Thực tập,11,1,18,実習（する）,,
,,,,あいさつ,Chào hỏi,11,1,19,あいさつ,,
,,,,かくにん（する）,"(động từ) Kiểm tra, xác
nhận",11,1,20,確認（する）,,
,,,,ほうこく（する）,(động từ) Báo cáo,11,1,21,報告（する）,,
,,,,れんらく（する）,(động từ) Liên lạc,11,1,22,連絡（する）,,
,,,,そうだん（する）,(động từ) Thảo luận,11,1,23,相談（する）,,
,Sử dụng khi đưa đồ vật cho ai đó.,,,わたす,Đưa,11,1,24,渡す,,
,,,,しんせいしょ,Đơn xin,11,1,25,申請書,,
,,,,ねぼう（する）,(động từ) Ngủ quên,11,1,26,寝坊（する）,,
,,,,ぎのう,Kỹ năng,12,1,1,技能,,
,,,,ぎのうけんていしけん,Kỳ thi kiểm tra kỹ năng,12,1,2,技能検定試験,,
,,,,じゅけん,"(danh từ) Sự dự thi, thi",12,1,3,受検（する）,,
,,,,じゅけん（する）,"(động từ) Dự thi, thi",12,1,,,,
,,,,しかく,Tư cách,12,1,4,資格,,
,,,,てあて,Trợ cấp,12,1,5,手当,,
,,,,しゃいん,Nhân viên công ty,12,1,6,社員,,
,,,,ぶちょう,Trưởng ban,12,1,7,部長,,
,,,,かちょう,Trưởng phòng,12,1,8,課長,,
,,,,こういしつ,Phòng thay đồ,12,1,9,更衣室,,
,,,,だいしゃ,Xe đẩy,12,1,10,台車,,
,,,,ゆか,Sàn,12,1,11,床,,
,,,,でぐち,Cửa ra,12,1,12,出口,,
,,,,でんき,Điện,12,1,13,電気,,
,,,,けいほうおん,Âm thanh báo động,12,1,14,警報音,,
,,,,こんせんと,Ổ cắm,12,1,15,コンセント,,
,,,,さぎょうば,Nơi làm việc,12,1,16,作業場,,
,,,,さぎょうだい,Bàn thao tác,12,1,17,作業台,,
,,,,こうじげんば,Công trường,12,1,18,工事現場,,
,,,"Lắp ráp dàn giáo theo chỉ thị của tổ
trưởng",しょくちょう,Tổ trưởng,12,1,19,職長,"あしばくみたて しょくちょう し じ したが
足場組立は 職長の指示に従う",
,,,,さぎょうせきにんしゃ,Người phụ trách công việc,12,1,20,作業責任者,,
,,,,きんし,Cấm,13,1,1,禁止,,
,,,,ひょうじばん,Biển báo,13,1,2,表示板,,
,,,,きんしじこう,Những điều bị cấm,13,1,3,禁止事項,,
,,,,ひなんくんれん,"Huấn luyện lánh nạn
/sơ tán",13,1,4,避難訓練,,
,,,,かんでん,(danh từ) Sự bị điện giật,13,1,5,感電,,
,,,,かんでんする,(động từ) Bị điện giật,13,1,,感電する,,
,,,,ぼうし,(danh từ) Sự ngăn chặn,13,1,6,防止,,
,,,,ぼうしする,(động từ) Ngăn chặn,13,1,,防止する,,
,,,,よぼう,(danh từ) Sự phòng ngừa,13,1,7,予防,,
,,,,よぼうする,(động từ) Phòng ngừa,13,1,,予防する,,
,,,,てんとう,"(danh từ) Sự ngã, đổ",13,1,8,転倒,,
,,,,てんとうする,"(động từ) Ngã, đổ",13,1,,転倒する,,
,,,,はさまる,"Kẹp, kẹp vào",13,1,9,挟まる,,
,,,,あしもと,Dưới chân,13,1,10,足元,,
,,,,ふあんてい,"(danh từ) Sự không ổn đ
ịnh, không vững",13,1,11,不安定,,
,,,,ふあんていな,"(tính từ) Không ổn định,
không vững",13,1,,不安定な,,
,,,,あとかたづけ,Dọn dẹp,13,1,12,後片付け,,
,,,,きゅうきゅうばこ,Hộp sơ cứu,14,1,13,救急箱,,
,,,,ばんそうこう,Băng dán vết thương,14,1,14,絆創膏,,
,,,,たいちょう,Thể trạng,14,1,15,体調,,
,,,,ち,Máu,14,1,16,血,,
,,,,ねっちゅうしょう,"Sốc nhiệt, say nắng",14,1,17,熱中症,,
,,,,はきけ,"Buồn nôn, buồn ói",14,1,18,吐き気,,
,,,,おうと,"(danh từ) Sự nôn, ói",14,1,19,嘔吐,,
,,,,おうとする,"(động từ) Nôn, ói",14,1,,嘔吐する,,
,,,,あしがつる,Chân bị chuột rút,14,1,20,足がつる,,
,,,,きぶんがわるい,"Không khỏe, khó ở",14,1,21,気分が悪い,,
,,,,ねぶそく,Thiếu ngủ,14,1,22,寝不足,,
,,,,あんぜんねっと,Lưới an toàn,14,1,23,安全ネット,,
,,,,あんぜんてんけん,Kiểm tra an toàn,14,1,24,安全点検,,
,,,,"けーわいかつどう（きけん
よちかつどう）","Hoạt động KY (Hoạt động
dự báo nguy hiểm)",15,1,1,KY活動（危険予知活動）,,
,,,,きけん,Nguy hiểm,15,1,2,危険,,
,,,Va vào gầu máy xúc và bị thương,ぶつかる,"Va, đụng phải",15,1,3,ぶつかる,"トラクタショベルのバケットにぶつかっ
てけがをした",
,,,"Bị thương vì bị dụng cụ từ trên giàn gi
áo rơi trúng người",あたる,"Đụng, trúng",15,1,4,当たる,"あ し ば お こ う ぐ からだ あ
足場から落ちてきた工具が体に当
たってけがをした",
,,,Bị máy hạng nặng đè lên,したじきになる,Bị đè/cán lên,15,1,5,下敷きになる,"じゅうき し た じ
重機の下敷きになる",
,,,Đập nhầm búa vào tay,うつ,"Đập, nện",15,1,6,打つ,"あやま て う
誤ってハンマーで手を打ってしまった",
,,,Bị mất thăng bằng và ngã khỏi thang,ばらんすをくずす,Mất thăng bằng,15,1,7,バランスを崩す,"うえ くず てんらく
はしごの上でバランスを崩して転落し
た",
,,,Thang đổ. Ngã vật ra vì say nắng,たおれる,"Đổ, sập, ngã nằm xuống",15,1,8,倒れる,"たお ねっちゅうしょう たお
はしごが倒れる、熱中症で倒れる",
,,,Bị mất thăng bằng và ngã khỏi thang,てんらく,"(danh từ) Sự rơi, ngã
xuống",15,1,9,転落,"うえ くず てんらく
はしごの上でバランスを崩して転落し
た",
,,,,てんらくする,"(động từ) Rơi, ngã xuống",15,1,,転落する,,
,,,,しさこしょう,Chỉ tay gọi tên,15,1,10,指差呼称,,
,,,,ひやりはっと,"Sự cố (tiềm ẩn nguy cơ
nhưng chưa gây ra thiệt
hại).",15,1,11,ヒヤリハット,,
,,,,げんいん,Nguyên nhân,15,1,12,原因,,
,,,,たいさく,"Giải pháp, biện pháp",15,1,13,対策,,
,,,Dụng cụ rơi từ trên giàn giáo xuống,らっか,(danh từ) Sự rơi xuống,15,1,14,落下,"あしば こ う ぐ らっか
足場から工具が落下した",
,,,,らっかする,(động từ) Rơi xuống,15,1,,落下する,,
,,,Rơi từ lỗ mở xuống,ついらく,"(danh từ) Sự rơi (từ trên
cao) xuống",16,1,15,墜落,"か い こ う ぶ ついらく
開口部から墜落した",
,,,,ついらくする,"(động từ) Rơi (từ trên cao)
xuống",16,1,,墜落する,,
,,,Kiểm tra an toàn ở xung quanh,かくにん,"(danh từ) Sự kiểm tra, xác
nhận",16,1,16,確認,"しゅうい あんぜん かくにん
周囲の安全を確認する",
,,,,かくにんする,"(động từ) Kiểm tra, xác
nhận",16,1,,確認する,,
,,,,ぎょうむ,Nghiệp vụ,18,1,16,業務,,
,,,,じかんげんしゅ,Tuân thủ giờ giấc,18,1,17,時間厳守,,
,,,,よてい,Dự định,18,1,18,予定,,
,,,,ひづけ,Ngày tháng,18,1,19,日付,,
,,,,じゅんび,(danh từ) Sự chuẩn bị,18,1,20,準備,,
,,,,じゅんび（する）,(động từ) Chuẩn bị,18,1,,準備（する）,,
,,,,かいぎ,Cuộc họp,18,1,21,会議,,
,,,,ちょうれい,Họp đầu giờ sáng,18,1,22,朝礼,,
,,,,ほうこくしょ,Bản báo cáo,18,1,23,報告書,,
,,,,まにゅある,Tài liệu hướng dẫn,18,1,24,マニュアル,,
,,,,さぎょうてじゅんしょ,Bản trình tự thao tác,18,1,25,作業手順書,,
,,,,ちょうし,"Tình trạng, tình hình",18,1,26,調子,,
,,,,たちいりきんし,Cấm vào,19,1,1,立入禁止,,
,,,,きんえん,Cấm hút thuốc,19,1,2,禁煙,,
,,,,かきげんきん,Cấm lửa,19,1,3,火気厳禁,,
,,,,ちゅうしゃきんし,Cấm đỗ xe,19,1,4,駐車禁止,,
,,,,あしもとちゅうい,Chú ý dưới chân,19,1,5,足もと注意,,
,,,,かいこうぶちゅうい,Chú ý lỗ mở,19,1,6,開口部注意,,
,,,,かんでんちゅうい,Chú ý điện giật,19,1,7,感電注意,,
,,,,ついらくちゅうい,Chú ý rơi ngã,19,1,8,堕落注意,,
,,,,ずじょうちゅうい,Chú ý trên đầu,19,1,9,頭上注意,,
,,,,けいほうせつび,Thiết bị báo động,19,1,10,警報設備,,
,,,,しょうかき,Bình chữa cháy,20,1,11,消火器,,
,,,,"えーいーでぃーせっちば
しょ",Nơi đặt máy AED,20,1,12,AED設置場所,,
,,,,ほごぼうちゃくよう,Đội mũ bảo hộ,20,1,13,保護帽着用,,
,,,,あんぜんたいしよう,Sử dụng dây đai an toàn,20,1,14,安全帯使用,,
,,,,しょうこうかいだん,Cầu thang bộ,20,1,15,昇降階段,,
,,,,きゅうけいじょ,Khu vực nghỉ ngơi,20,1,16,休憩所,,
,,,,さいだいせきさいかじゅう,Tải trọng tối đa,20,1,17,最大積載荷重,,
,,,,きつえんじょ,Khu vực hút thuốc,20,1,18,喫煙所,,
,,,,せいりせいとん,Sắp xếp chỉnh đốn,20,1,19,整理整頓,,
,,,,あんぜんつうろ,Lối đi an toàn,20,1,20,安全通路,,
,,,"Dùng kẹp ba để kết nối các ống thé
p",さんれんくらんぷ,Kẹp ba,21,1,1,三連クランプ,"さんれん たんかん けつごう
三連クランプで単管を結合する",
,,,Dùng băng tải để vận chuyển đất,"べるとこんべあ
（べるこん）","Băng tải (gọi tắt là
Berukon)",21,1,2,"ベルトコンベア
（ベルコン）","つち こうんぱん
ベルトコンベアで土を小運搬する",
,"Búa gỗ lớn, còn được gọi là
Narimono hoặc Oonari.
Loại dùng bằng hai tay gọi là
Kakeya, loại dùng bằng một tay gọi
là Kizuchi hoặc Konekiri.",,Dùng búa để đóng cọc,かけや,Búa,21,1,3,かけや,"くい う こ
かけやで杭を打ち込む",
,"Cách gọi tắt của máy đầm Tamping
Rammer",,"Dùng máy đầm rung để đầm chặt
nền đất",らんま,Máy đầm rung,21,1,4,ランマ,"じばん し かた
ランマで地盤を締め固める",
,"Được sử dụng khi liên kết các ống
thép để gia cố chéo.
Trong công tác giàn giáo, việc gia
cố chéo được gọi là ""Sujikai"".",,"Dùng kẹp xoay để liên kết các ống
thép",じざいくらんぷ,"Kẹp xoay, khóa xoay",21,1,5,自在クランプ,"じざい もち たんかん きんけつ
自在クランプを用いて単管を緊結す
る",
,,,"Dùng kẹp để liên kết các ống thép
với khung thép",きゃっちくらんぷ,"Kẹp, khóa",21,1,6,キャッチクランプ,"もち たんかん てっこつ
キャッチクランプを用いて単管と鉄骨
きんけつ
を緊結する",
,,,"Dùng kẹp nâng Renfroe để nâng cá
c ống thép đã được liên kết với
nhau lên",つりあげようくらんぷ,Kẹp nâng Renfroe,21,1,7,吊り上げ用クランプ,"つ あ よう もち きんけつ
吊り上げ用クランプを用いて緊結し
たんかん つ あ
た単管を吊り上げる",
,,,"Dùng kẹp cố định để liên kết các
ống ống thép",ちょっこうくらんぷ,"Kẹp cố định, khóa cố đ
ịnh",21,1,8,直交クランプ,"ちょっこう もち たんかん きんけつ
直交クランプを用いて単管を緊結す
る",
,,,Móc dây cáp thép vào cái móc,ふっく,Móc,21,1,9,フック,ワイヤーロープをフックにかける,
,,,"Móc dây cáp thép vào cái móc
thẳng",すとれーとしゃっくる,Móc thẳng (hình chữ U),21,1,10,ストレートシャックル,"ワイヤーをストレートシャックルにかけ
る",
,,,Dùng ròng rọc để nâng vật liệu lên,かっしゃ,"Ròng rọc, Puli",22,1,11,滑車,"かっしゃ ざいりょう つ あ
滑車で材料を吊り上げる",
,,,"Dùng cần cẩu để nâng vật liệu xây
dựng lên",くれーん,"Cần cẩu, cần trục",22,1,12,クレーン,"しざい つ あ
クレーンで資材を吊り上げる",
,,,Dùng xe cẩu tự hành để cẩu vật liệu,いどうしきくれーん,Xe cẩu tự hành,22,1,13,移動式クレーン,"いどうしき しざい つ あ
移動式クレーンで資材を吊り上げる",
,,,"Dùng cáp đuôi để hạn chế hàng
rung lắc",かいしゃくろーぷ,"Cáp đuôi, cáp kéo lùi",22,1,14,介しゃくロープ,"かい にもつ ふ
介しゃくロープで荷物の振れをおさ
える",
,,,"Sử dụng cầu thang bộ để đi lên các
tầng trên của giàn giáo",しょうこうかいだん,Cầu thang bộ,22,1,15,昇降階段,"あしばじょうそう のぼ しょうこうかいだん つか
足場上層に上るには昇降階段を使
う",
,,,"Cài chốt khóa thanh giằng chéo và
bẻ xuống",すじかいとめぴん,"Chốt khóa thanh giằng
chéo",22,1,16,筋かい止めピン,"すじ と さ こ お ま
筋かい止めピンを差し込み折り曲げ
ておく",
,,,Ấn chốt liên kết vào đến tận cùng,きゃくちゅうじょいんと,Chốt liên kết,22,1,17,脚柱ジョイント,"きゃくちゅう さいご さ こ
脚柱ジョイントは最後まで差し込む",
,,,Ấn chốt nối vào đến tận cùng,れんけつぴん,Chốt nối,22,1,18,連結ピン,"れんけつ さいご さ こ
連結ピンは最後まで差し込む",
,,,Lắp khớp kim loại thật khít,じょいんとかなぐ,"Khớp kim loại để kết
nối ống thép",22,1,19,ジョイント金具,"かなぐ かくじつ さいご
ジョイント金具は確実に最後までは
める",
,,,"Dùng kích xích căng dây để cố định
vật liệu",ればーぶろっく,"Kích xích căng dây, tă
ng đơ xích",22,1,20,レバーブロック,"しざい こてい
レバーブロックで資材を固定する",
,,,Dùng máy cưa đĩa để cắt ván khuôn,"でんどうのこ（まるの
こ）",Máy cưa đĩa,22,1,21,電動のこ（丸のこ）,"かたわく せつだん まる しよう
型枠の切断は丸のこを使用する",
,"Còn gọi là ""Monki-renchi""",,"Dùng mỏ lết có điều chỉnh để
mở/vặn đai ốc",もんきーすぱな,Mỏ lết có điều chỉnh,23,1,22,モンキースパナ,"し ゆる
モンキースパナでナットを締める・緩
める",
,,,"Gắn cột giăng dây neo vào vị trí giă
ng dây neo",おやづなしちゅう,Cột giăng dây neo,23,1,23,親綱支柱,"おやづな は い ち おやづなしちゅう と
親綱を張る位置に親綱支柱を取り
つ
付ける",
,"Còn gọi là ""Mochiokuri""",,Gắn dầm hẫng vào giàn giáo,ぶらけっと,"Dầm hẫng, công son,
thanh giằng chống giữ
tường",23,1,24,ブラケット,"あしば と つ
足場にブラケットを取り付ける",
,,,,はしご,Thang,23,1,25,梯子,,
,"Là dây thừng dùng để móc dây đai an
toàn (đai có gắn dây bảo hộ) tại công
trường, được căng giữa các cột trụ sao
cho không bị chùng xuống.",,Móc dây đai an toàn vào dây neo,おやづな,Dây neo,24,1,1,親綱,"おやづな あんぜんたい
親綱に安全帯をかける",
