Page,Table,Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12
7,1,1,5S,ごえす,5 ส,"การฝึกวนิ ัย 5 อยา่ งทปี่ ระกอบไปดว้ ย
สะสาง สะดวก สะอาด สขุ ลักษณะ
สรา้ งนสิ ยั โดยอกั ษร S มาจาก
ตัวอกั ษรแรกของแตล่ ะค า เป็นค าพดู ที่
ใชเ้พอื่ ปรับปรงุ พนื้ ทกี่ ารท างาน",,,,,,,,
7,1,2,整理,せいり,สะสาง,"แบง่ แยกระหวา่ งสงิ่ จ าเป็นและสงิ่ ไม่
จ าเป็นใหช้ ดั เจนแลว้ แชรข์ อ้ มลู รว่ มกนั
เพอื่ ใหค้ ณุ ภาพหรอื ความสามารถใน
การพลติ สงู ขนึ้",,,,,,,,
7,1,3,整頓,せいとん,สะดวก,"ก าหนดทจี่ ัดเกบ็ หรอื การจัดวาง
สงิ่ จ าเป็นแลว้ ท าเครอื่ งหมายทชี่ ดั เจน
เพอื่ ลดความไมม่ เี หตผุ ลหรอื ความ
สนิ้ เปลอื ง",,,,,,,,
7,1,4,清掃,せいそう,สะอาด,"ท าความสะอาดเพอื่ ใหพ้ นื้ ทกี่ าร
ท างานสะอาดและเขา้ ใจถงึ สภาพที่
ถกู ตอ้ งไดง้ า่ ยขนึ้",,,,,,,,
7,1,5,清潔,せいけつ,สขุ ลักษณะ,"ท าการสะสาง สะดวก สะอาด อยา่ ง
จรงิ จังเพอื่ รักษาสภาพทสี่ ะอาดและ
ถกู ตอ้ ง",,,,,,,,
7,1,6,しつけ,しつけ,สรา้ งนสิ ยั,"สรา้ งนสิ ยั เพอื่ ใหส้ ามารถปฏบิ ัตติ ามที่
ก าหนดไวแ้ ลว้ สรา้ งธรรมเนียมในการ
ชว่ ยเหลอื ซงึ่ กนั และกนั",,,,,,,,
7,1,7,掃除（する）,そうじ（する）,"การท าความสะอาด (ท า
ความสะอาด)",,,,,,,,,
8,1,8,片づける,かたづける,จัดเกบ็ ใหเ้ขา้ ทเี่ ขา้ ทาง,,,,,,,,,
8,1,9,捨てる,すてる,ทงิ้,,,,,,,,,
8,1,10,汚い,きたない,สกปรก,,,,,,,,,
8,1,11,汚れる,よごれる,เปรอะ,,,,,,,,,
8,1,12,分別（する）,ぶんべつ（する）,"การแบง่ แยกประเภท
(แบง่ แยกประเภท)",,,,,,,,,
8,1,13,燃えないごみ,もえないごみ,ขยะเผาไมไ่ ด้,,,,,,,,,
8,1,14,燃えるごみ,もえるごみ,ขยะเผาได้,,,,,,,,,
8,1,15,挟まれる,はさまれる,ถกู หนีบ,,"きかい て はさ
機械に手が挟まれた",มอื ถกู เครอื่ งจักรหนีบ,,,,,,
8,1,16,巻き込まれる,まきこまれる,โดนเกยี่ ว,,"きかい て ま こ
1)機械に手が巻き込まれる
てぶくろ ばん ま こ
2)手袋がフライス盤に巻き込まれる","1)ถกู เครอื่ งจักรเกยี่ วเอามอื เขา้ ไป
2)ถงุ มอื ถกู เครอื่ งไสเกยี่ วเขา้ ไป",,,,,,
8,1,17,やけど（する）,やけど（する）,แผลไฟลวก (โดนไฟลวก),,,,,,,,,
8,1,18,落ちる,おちる,ตก,,"かいだん お
階段から落ちる",ตกบันได,,,,,,
8,1,19,すべる,すべる,ลนื่,,"ゆか
床がすべる",พนื้ ลนื่,,,,,,
9,1,20,転ぶ,ころぶ,หกลม้,,"こうじょう ころ
工場ですべって転んだ",ลนื่ หกลม้ ทโี่ รงงาน,,,,,,
9,1,21,濡れる,ぬれる,เปียก,,,,,,,,,
9,1,22,衛生,えいせい,อนามัย,,,,,,,,,
9,1,23,避難（する）,ひなん（する）,"การอพยพหนีภัย (อพยพ
หนีภัย)",,,,,,,,,
9,1,24,救急車,きゅうきゅうしゃ,รถพยาบาล,,,,,,,,,
9,1,25,災害,さいがい,ภัยพบิ ัติ,,,,,,,,,
9,1,26,地震,じしん,แผน่ ดนิ ไหว,,"じ しん お
地震が起きる",เกดิ แผน่ ดนิ ไหว,,,,,,
9,1,27,もぐる,もぐる,มดุ,,"じ しん つくえ した
地震だ！机の下にもぐれ！",แผน่ ดนิ ไหว ! มดุ ใตโ้ ตะ๊ !,,,,,,
10,1,1,火気厳禁,かきげんきん,หา้ มใชไ้ ฟ,,,,,,,,,
10,1,2,開放厳禁,かいほうげんきん,หา้ มเปิดทงิ้ ไว้,,,,,,,,,
10,1,3,標識,ひょうしき,เครอื่ งหมาย,,,,,,,,,
10,1,4,気をつける,きをつける,ระมัดระวัง,,,,,,,,,
10,1,5,持ち込む,もちこむ,น าเขา้ ไป,,"こうじょう けいたいでんわ も こ
工場に携帯電話を持ち込んではいけ
ない",หา้ มน าโทรศัพทม์ อื ถอื เขา้ ไปในโรงงาน,,,,,,
10,1,6,防ぐ,ふせぐ,ป้องกนั,,"あんぜんかくにん じ こ ふせ
安全確認して事故を防ぐ","ตรวจสอบความปลอดภัยเพอื่ ป้องกนั
อบุ ัตเิ หตุ",,,,,,
10,1,7,火,ひ,ไฟ,,,,,,,,,
10,1,8,煙,けむり,ควัน,,,,,,,,,
10,1,9,消火,しょうか,ดับเพลงิ,,,,,,,,,
10,1,10,消火器,しょうかき,ถังดับเพลงิ,,,,,,,,,
10,1,11,非常ベル,ひじょうべる,กระดงิ่ เตอื นภัย,,,,,,,,,
10,1,12,火災報知機,かさいほうちき,เครอื่ งเตอื นอคั คภี ัย,,,,,,,,,
10,1,13,逃げる,にげる,หลบหนี,,,,,,,,,
10,1,14,現場,げんば,หนา้ งาน,,,,,,,,,
10,1,15,作業,さぎょう,งาน,,,,,,,,,
10,1,16,ミーティング,みーてぃんぐ,มตี ตงิ้,"อาจเรยี ก การประชมุ ประชมุ ชว่ งเชา้
ประชมุ กอ่ นเลกิ งาน วา่ มตี ตงิ้ ดว้ ย
เชน่ กนั",,,,,,,,
10,1,17,研修（する）,けんしゅう（する）,การฝึกงาน (ฝึกงาน),,,,,,,,,
10,1,18,実習（する）,じっしゅう（する）,"การฝึกภาคปฏบิ ัต ิ(ฝึก
ภาคปฏบิ ัต)ิ",,,,,,,,,
10,1,19,あいさつ,あいさつ,ทักทาย,,,,,,,,,
10,1,20,確認（する）,かくにん（する）,การตรวจสอบ (ตรวจสอบ),,,,,,,,,
11,1,21,報告（する）,ほうこく（する）,การรายงาน (รายงาน),,,,,,,,,
11,1,22,連絡（する）,れんらく（する）,การตดิ ตอ่ (ตดิ ตอ่ ),,,,,,,,,
11,1,23,相談（する）,そうだん（する）,การปรกึ ษา (ปรกึ ษา),,,,,,,,,
11,1,24,渡す,わたす,ยนื่ ให้,ใชใ้ นกรณีทยี่ นื่ ของใหใ้ ครซกั คน,,,,,,,,
11,1,25,申請書,しんせいしょ,ใบค ารอ้ ง,,,,,,,,,
11,1,26,寝坊（する）,ねぼう（する）,"่ ่
การตนื สาย (ตนื สาย)",,,,,,,,,
12,1,1,技能,ぎのう,ทกั ษะทางเทคนิค,,,,,,,,,
12,1,2,技能検定試験,ぎのうけんていしけん,"การสอบวดั ระดับทกั ษะ
ทางเทคนคิ",,,,,,,,,
12,1,3,受検（する）,じゅけん（する）,การเขา้ สอบ (เขา้ สอบ),,,,,,,,,
12,1,4,資格,しかく,คณุ สมบัติ,,,,,,,,,
12,1,5,手当,てあて,"เบยี้ เลยี้ ง, เงนิ ชว่ ยเหลอื",,,,,,,,,
12,1,6,社員,しゃいん,พนักงานบรษิ ัท,,,,,,,,,
12,1,7,部長,ぶちょう,หัวหนา้ ฝ่าย,,,,,,,,,
12,1,8,課長,かちょう,หัวหนา้ แผนก,,,,,,,,,
12,1,9,更衣室,こういしつ,หอ้ งเปลยี่ นเสอื้ ผา้,,,,,,,,,
12,1,10,台車,だいしゃ,รถเข็น,,,,,,,,,
12,1,11,床,ゆか,พนื้,,,,,,,,,
12,1,12,出口,でぐち,ทางออก,,,,,,,,,
12,1,13,電気,でんき,ไฟฟ้า,,,,,,,,,
12,1,14,警報音,けいほうおん,เสยี งสัญญานเตอื นภัย,,,,,,,,,
12,1,15,コンセント,こんせんと,"ปล๊กั ไฟ(ตัวเมยี ), เตา้ เสยี บ",,,,,,,,,
12,1,16,作業場,さぎょうば,สถานทปี่ ฏบิ ัตงิ าน,,,,,,,,,
12,1,17,作業台,さぎょうだい,โตะ๊ ท างานชา่ ง,,,,,,,,,
12,1,18,工事現場,こうじげんば,สถานทกี่ อ่ สรา้ ง,,,,,,,,,
12,1,19,職長,しょくちょう,หัวหนา้ งาน,,"あしばくみたて しょくちょう し じ したが
足場組立は 職長の指示に従う","การประกอบนั่งรา้ นใหป้ ฏบิ ัตติ าม
ค าสงั่ ของหัวหนา้ งาน",,,,,,
12,1,20,作業責任者,さぎょうせきにんしゃ,ผรู้ ับผดิ ชอบงาน,,,,,,,,,
13,1,1,禁止,きんし,หา้ ม,,,,,,,,,
13,1,2,表示板,ひょうじばん,ป้ายประกาศ,,,,,,,,,
13,1,3,禁止事項,きんしじこう,ขอ้ หา้ ม,,,,,,,,,
13,1,4,避難訓練,ひなんくんれん,การฝึกหลบภัยหรอื หนีภัย,,,,,,,,,
13,1,5,感電（する）,かんでん（する）,"ไฟฟ้าดดู (ถกู ไฟฟ้าดดู ),
ไฟฟ้าช็อต (ถกู ไฟฟ้าช็อต)",,,,,,,,,
13,1,6,防止（する）,ぼうし（する）,"การป้องกนั ไมใ่ หเ้กดิ
(ป้องกนั ไมใ่ หเ้กดิ )",,,,,,,,,
13,1,7,予防（する）,よぼう（する）,"การป้องกนั ลว่ งหนา้
(ป้องกนั ลว่ งหนา้ )",,,,,,,,,
13,1,8,転倒（する）,てんとう（する）,"ลม้ (ลม้ ), การหกลม้ (หก
ลม้ )",,,,,,,,,
13,1,9,挟まる,はさまる,"คั่น, หนีบ, ตดิ อยู่",,,,,,,,,
13,1,10,足元,あしもと,ทเี่ ทา้,,,,,,,,,
13,1,11,不安定（な）,ふあんてい（な）,ไมม่ ั่นคง,,,,,,,,,
13,1,12,後片付け,あとかたづけ,"ท าความสะอาดและเกบ็
เขา้ ที่",,,,,,,,,
13,1,13,救急箱,きゅうきゅうばこ,กลอ่ งปฐมพยาบาล,,,,,,,,,
13,1,14,絆創膏,ばんそうこう,"พลาสเตอรย์ า, เทป
สา หรับปิดแผล",,,,,,,,,
13,1,15,体調,たいちょう,สภาพรา่ งกาย,,,,,,,,,
14,1,16,血,ち,เลอื ด,,,,,,,,,
14,1,17,熱中症,ねっちゅうしょう,โรคลมแดด,,,,,,,,,
14,1,18,吐き気,はきけ,คลนื่ ไส้,,,,,,,,,
14,1,19,嘔吐（する）,おうと（する）,อาเจยี น (อาเจยี น),,,,,,,,,
14,1,20,足がつる,あしがつる,มอี าการตะครวิ ทขี่ า,,,,,,,,,
14,1,21,気分が悪い,きぶんがわるい,รสู้ กึ ไมส่ บาย,,,,,,,,,
14,1,22,寝不足,ねぶそく,นอนไมพ่ อ,,,,,,,,,
14,1,23,安全ネット,あんぜんねっと,เครอื ขา่ ยความปลอดภัย,,,,,,,,,
14,1,24,安全点検,あんぜんてんけん,"การตรวจเช็คความ
ปลอดภัย",,,,,,,,,
15,1,1,KY活動（危険予知活動）,"けーわいかつどう（きけん
よちかつどう）","กจิ กรรมKY (กจิ กรรมฝึก
การคาดการณ์อนั ตราย
ลว่ งหนา้ )",,,,,,,,,
15,1,2,危険,きけん,อนั ตราย,,,,,,,,,
15,1,3,ぶつかる,ぶつかる,ชน,,"トラクタショベルのバケットにぶつかっ
てけがをした",บาดเจ็บเพราะไปชนบงุ้ กร๋ี ถตัก,,,,,,
15,1,4,当たる,あたる,"โดน, กระทบ",,"あ し ば お こ う ぐ からだ あ
足場から落ちてきた工具が体に当
たってけがをした","บาดเจ็บเพราะเครอื่ งมอื ตกจากนั่งรา้ น
มาโดนตัว",,,,,,
15,1,5,下敷きになる,したじきになる,โดนทับ,,"じゅうき し た じ
重機の下敷きになる",โดนเครอื่ งจักรกลหนักทับ,,,,,,
15,1,6,打つ,うつ,"ต,ี ตอก, เคาะ",,"あやま て う
誤ってハンマーで手を打ってしまった",ใชค้ อ้ นพลาดตโี ดนมอื,,,,,,
15,1,7,バランスを崩す,ばらんすをくずす,เสยี การทรงตัว,,"うえ くず てんらく
はしごの上でバランスを崩して転落し
た","ตกลงมาเพราะเสยี การทรงตัวบน
บันไดพับ",,,,,,
15,1,8,倒れる,たおれる,"ลม้ , ลม้ ป่วย",,"たお ねっちゅうしょう たお
はしごが倒れる、熱中症で倒れる","บันไดพับลม้ , ลม้ ป่วยเพราะเป็นลมแดด",,,,,,
15,1,9,転落（する）,てんらく（する）,"การพลัดตกลงมา (พลัด
ตกลงมา)",,"うえ くず てんらく
はしごの上でバランスを崩して転落し
た","พลัดตกลงมาเพราะเสยี การทรงตัวบน
บันไดพับ",,,,,,
15,1,10,指差呼称,しさこしょう,"การท ามอื ชแี้ ละปากย ้า
เพอื่ ความปลอดภัย",,,,,,,,,
15,1,11,ヒヤリハット,ひやりはっと,"เหตกุ ารณ์เกอื บเกดิ
อบุ ัตเิ หตุ",,,,,,,,,
15,1,12,原因,げんいん,สาเหตุ,,,,,,,,,
15,1,13,対策,たいさく,การรับมอื กบั ปัญหา,,,,,,,,,
15,1,14,落下（する）,らっか（する）,"การหลน่ (หลน่ ), การตก
ลงมา (การตกลงมา)",,"あしば こ う ぐ らっか
足場から工具が落下した",เครอื่ งมอื หลน่ ลงมาจากนั่งรา้ น,,,,,,
15,1,15,墜落（する）,ついらく（する）,"การตกลงมาจากทสี่ งู (ตก
ลงมาจากทสี่ งู ), การตกดงิ่
(ตกดงิ่ )",,"か い こ う ぶ ついらく
開口部から墜落した",ตกลงมาจากชอ่ งเปิด,,,,,,
15,1,16,確認（する）,かくにん（する）,"การตรวจยนื ยนั (ตรวจ
ยนื ยนั ), การตรวจสอบ
(ตรวจสอบ)",,"しゅうい あんぜん かくにん
周囲の安全を確認する",ตรวจยนื ยนั ความปลอดภัยรอบขา้ ง,,,,,,
16,1,1,作業着,さぎょうぎ,ชดุ ทำ งำน,,"ชดุ ใส่ปฏบิ ตั งิ าน
สวมใส่ชดุ ทสี่ ะอาดและพอดตี วั ชายเสอื้ นอกให้",,,"ใชห้ มวกทไี ดม้ าตรฐานเหมาะกบั งาน และ
ปรบั สายรดั คางใหแ้ น่น ไม่ใหห้ มวกนิรภยั",,,,
16,1,2,作業服,さぎょうふく,ชดุ ใสป่ ฏบิ ตั งิ ำน,,"ใส่ไวใ้ นกางเกง และตดิ กระดมุ แขนเสอื้ ส่วน
้",,,เคลอื่ นเวลาขยบั ศรษี ะซา้ ยขวาบนล่าง,,,,
16,1,3,作業靴,さぎょうぐつ,รองเทา้ ปฏบิ ัตงิ าน,ชายกางเกงก็ตอ้ งไม่ลากพนื,ชายกางเกงก็ตอ้ งไม่ลากพนื,,,,,,,
16,1,4,手袋,てぶくろ,ถุงมอื,,,,,,,11.保護メガネแวน่ ตาป้องกนั,,
16,1,5,帽子,ぼうし,หมวก,,４．手袋 ถงุ มอื,,,,,"ใชเ้พอื่ ป้องกนั ตาจากเศษวัสดตุ ดั
กลงึ และอนื่ ๆทอี่ าจปลวิ เขา้ ตา",,
16,1,6,保護帽（ヘルメット）,ほごぼう（へるめっと）,"้
หมวกนิรภยั (หมวกเซฟต)ี",,"ใชเ้พอื่ ป้องกนั การบาดเจ็บก็จรงิ
่ ่ ่",,,,,หรอื สารเคม ี เป็นตน้,,
16,1,7,保護具,ほごぐ,อปุ กรณ์ป้องกัน,,"แต่หา้ มสวมในเวลาทใี ชเ้ครอื งมอื ที
มกี ารหมนุ ดว้ ยไฟฟ้า เชน่ เลอื่ ยวง",,,,,,,
16,1,8,あごひも,あごひも,สายรัดคาง,,"เดอื น สว่านไฟฟ้า เป็นตน้ เพราะ
อาจเขา้ ไปพนั ตดิ อยู่ในส่วนทหี ่ มนุ",,,,15.墜落制止用器具（安全帯）,,,
16,1,9,ボタン,ぼたん,กระดมุ,,ได้,,,,อปุ กรณป์ ้องกนั การตกจากทสี่ งู (สายรดั,,,
16,1,10,ポケット,ぽけっと,กระเป๋า,,,,,,ตวั กนั ตก),,,
16,1,11,保護メガネ,ほごめがね,แวน่ ตำป้องกนั,,14.安全靴 รองเทา้ นิรภยั,,,,"การท างานในสถานทที่ ไี่ ม่มพี นื้ ซงึ่ สงู
้",,,
16,1,12,マスク,ますく,"หนา้ กาก, หนา้ กากอนามัย",,"เพอื่ ป้องกนั อนั ตรายจากการเหยยี บ
่",,,,"เกนิ ２ｍขนึ ไป จะตอ้ งใส่อปุ กรณ์
ป้องกนั การตกจากทสี่ งู (สายรดั ตวั กนั",,,
16,1,13,耳栓,みみせん,ทอี่ ดุ หู,,"ตะปแู ละของทตี กหล่นลงมา เป็นตน้
ตอ้ งผูกเชอื กรองเทา้ ใหแ้ น่น สวมใส่",,,,ตก) ตามหลกั การบงั คบั ใหต้ อ้ งใส่,,,
16,1,14,安全靴,あんぜんぐつ,รองเทำ้ นิรภยั,,รองเทา้ ทเี่หมาะกบั การปฏบิ ตั งิ าน,,,,"อปุ กรณป์ ้องกนั การตกจากทสี่ งู (สายรดั
ตวั กนั ตก)ชนิดต็มตวั (full body",,,
16,1,15,"墜落制止用器具（安全
帯）","ついらくせいしようきぐ
（あんぜんたい）","่
อปุ กรณป์ ้องกนั กำรตกจำกที
สงู (สำยรดั ตวั กนั ตก)",harness),,,,,harness),,,
17,1,16,業務,ぎょうむ,"งาน, ภาระหนา้ ที่",,,,,,,,,
17,1,17,時間厳守,じかんげんしゅ,การตรงตอ่ เวลา,,,,,,,,,
