,単語,再翻訳,類似度_claude
270,積載荷重,耐荷重,100%
271,すき間,ギャップ,100%
272,通りを見る,アライメントを確認する,100%
273,組立,組み立て/設置,100%
274,地組,地上集合,100%
275,天端,最上層 / 上面,100%
276,玉掛け,スリング/リギング,100%
277,合図,信号,100%
278,定格荷重,定格荷重,100%
279,たち,垂直性,100%
280,安全帯,安全ベルト/ハーネス,100%
281,インサート,入れる,90%
282,スペーサ,スペーサー,100%
283,鉄筋,鉄筋,100%
284,電工ドラム（ドラム）,ケーブルリール/延長リール,100%
285,電動丸のこ（電のこ）,丸鋸（電動）,100%
286,パッキン,パッキン/ガスケット,100%
287,小バール,小型バール,100%
288,大バール,大型バール,100%
289,化粧合板,装飾合板,100%
290,普通合板,標準合板,100%
291,スタイロフォーム,押出ポリスチレンフォーム,100%
292,面木,面取りストリップ,100%
293,バイブレーター,コンクリートバイブレーター,100%
294,剥離剤,離型剤,100%
295,けこみ板,ライザーボード,100%
296,目地棒,ジョイントロッド/ダボ,100%
297,コンクリート,コンクリート,100%
298,コンベックス,巻尺（凸型）,100%
299,作業用手袋,作業用手袋,100%
