No.,Kosakata,Cara membaca (Hiragana),,,Terjemahan,,,,,Anotasi,,,,,,,Contoh,,,,,,,,,,,,
3,技能実習期間,ぎのうじっしゅうきかん,,,Periode pelatihan kerja,,,,,,,,,,,,,,,,,,,,,,,,
4,職種,しょくしゅ,,,Pekerjaan,,,,,,,,,,,,,,,,,,,,,,,,
5,在留資格,ざいりゅうしかく,,,Status tinggal,,,,,,,,,,,,,,,,,,,,,,,,
6,パスポート,ぱすぽーと,,,Paspor,,,,,,,,,,,,,,,,,,,,,,,,
7,在留カード,ざいりゅうかーど,,,Kartu izin tinggal,,,,,,,,,,,,,,,,,,,,,,,,
8,入管,にゅうかん,,,Imigrasi,,,,,"にゅうこくかんりちょう
Singkatan untuk 「入国管理庁」
にゅうこくかんりきょく
""Badan Imigrasi""、「入国管理局」
""Biro  Imigrasi"".",,,,,,,,,,,,,,,,,,,
9,在留期間,ざいりゅうきかん,,,Periode tinggal,,,,,,,,,,,,,,,,,,,,,,,,
10,雇用契約,こようけいやく,,,Kontrak kerja,,,,,,,,,,,,,,,,,,,,,,,,
11,給与明細,きゅうよめいさい,,,Slip gaji,,,,,,,,,,,,,,,,,,,,,,,,
12,給料,きゅうりょう,,,Gaji,,,,,,,,,,,,,,,,,,,,,,,,
13,残業手当,ざんぎょうてあて,,,Tunjangan lembur,,,,,,,,,,,,,,,,,,,,,,,,
14,労働時間,ろうどうじかん,,,Jam kerja,,,,,,,,,,,,,,,,,,,,,,,,
1,控除（する）,こうじょ（する）,,,Pengurangan (Mengurangi),,,"Pengurangan sejumlah uang dari total uang yang ditentukan sebelumnya.
Biasanya digunakaan pada saat pemotongan pajak.",,,,,,,,,,,,"か ぞ く      やしな                 ひと             ふ よ うこうじょ
家族を養っている人は、「扶養控除                               」
う                      ばあい
を受けられる場合がある",,,,,,,"Orang yang sudah berkeluarga, bisa mendapatkan pengurangan tanggungan.",,
2,ボーナス,ぼーなす,,,Bonus,,,,,,,,,,,,,,,,,,,,,,,,
3,有休,ゆうきゅう,,,Cuti tahunan,,,"Upah tetap dibayarkan walaupun libur.
Cuti tahunan berbayar. Cuti tahunan
ゆうきゅう
berbayar disingkat menjadi 「有休」.",,,,,,,,,,,,"らいしゅう ゆうきゅう                        しんせいしょ       だ
来週、有休をとるので申請書を出し                               た",,,,,,,Saya sudah memberikan formulir pendaftaran untuk mengambil Cuti tahunan berbayar minggu depan.,,
4,代休,だいきゅう,,,Libur pengganti,,,Libur pengganti ketika masuk kerja di hari libur.,,,,,,,,,,,,,,,,,,,,,
5,労働基準法,ろうどうきじゅんほう,,,Peraturan standar ketenagakerjaan,,,Peraturan standar Jepang yang mengatur ketenagakerjaan.,,,,,,,,,,,,,,,,,,,,,
6,労働条件,ろうどうじょうけん,,,Kondisi kerja,,,,,,,,,,,,,,,,,,,,,,,,
7,税金,ぜいきん,,,Pajak,,,,,,,,,,,,,,,,,,,,,,,,
8,所得税,しょとくぜい,,,Pajak penghasilan,,,Pajak penghasilan selama satu tahun.,,,,,,,,,,,,,,,,,,,,,
9,住民税,じゅうみんぜい,,,Pajak penduduk,,,Pajak yang harus dibayarkan ke wilayah tempat tinggal.,,,,,,,,,,,,,,,,,,,,,
10,厚生年金,こうせいねんきん,,,Uang pensiun,,,"Uang yang didapatkan oleh pegawai swasta atau negeri pada saat pensiun, cacat, atau meninggal.",,,,,,,,,,,,,,,,,,,,,
11,雇用保険,こようほけん,,,Asuransi ketenagakerjaan,,,Uang asuransi yang diberikan ketika kehilangan pekerjaan atau ketika memulai proses mencari pekerjaan baru.,,,,,,,,,,,,,,,,,,,,,
12,健康保険,けんこうほけん,,,Asuransi kesehatan,,,Uang asuransi yang diberikan ketika orang yang bersangkutan atau keluarganya mendapat perawatan.,,,,,,,,,,,,,,,,,,,,,
13,社会保険,しゃかいほけん,,,Asuransi sosial,,,"Sebutan untuk gabungan dari Asuransi kesehatan, Asuransi Pensiun, Asuransi Perawatan, Asuransi ketenagakerjaan, Asuransi kecelakaan kerja. Bisa juga digunakan untuk asuransi yang pada umumnya digunakan oleh para pegawai, yaitu Asuransi kesehatan dan Uang pensiun.",,,,,,,,,,,,,,,,,,,,,
14,労災,ろうさい,,,Kecelakaan kerja,,,"ろうどうさいがい
Singkatan dari 「労働災害」""Kecelakaan
kerja"". Mengacu pada luka atau
penyakit yang disebabkan oleh pekerjaan.",,,,,,,,,,,,,,,,,,,,,
15,労災保険,ろうさいほけん,,,Asuransi kecelakaan kerja,,,"Uang asuransi yang diberikan apabila pekerja mengalami kecelakaan saat kerja yang menjamin pekerja untuk mendapatkan perawatan, untuk tidak bekerja dalam jangka waktu tertentu, karena akibat yang ditimbulkan dari kecelakaan tersebut seperti cacat dan sebagainya.",,,,,,,,,,,,,,,,,,,,,
1,遅刻（する）,ちこく（する）,,,"Keterlambatan
(Terlambat)",,,,,,,,,,,,,,,,,,,,,,,,
2,早退（する）,そうたい（する）,,,Kepulangan cepat (Pulang cepat),,,,,,,,,,,,,,,,,,,,,,,,
3,休憩（する）,きゅうけい（する）,,,Istirahat (Beristirahat),,,,,,,,,,,,,,,,,,,,,,,,
4,残業（する）,ざんぎょう（する）,,,Pekerjaan lembur (Lembur),,,,,,,,,,,,,,,,,,,,,,,,
5,定時,ていじ,,,Tepat waktu,,,,,Waktu yang ditentukan. Umumnya merujuk pada waktu pulang kerja yang sudah ditentukan.,,,,,,,"き ょ う       て い じ      かえ
今日は定時に帰る",,,,,,,,Hari ini pulang tepat waktu.,,,,
6,規則,きそく,,,Aturan,,,,,,,,,,,,,,,,,,,,,,,,
7,休日,きゅうじつ,,,Hari libur,,,,,,,,,,,,,,,,,,,,,,,,
8,始業時間,しぎょうじかん,,,Jam mulai kerja,,,,,,,,,,,,,,,,,,,,,,,,
9,終業時間,しゅうぎょうじかん,,,Jam usai kerja,,,,,,,,,,,,,,,,,,,,,,,,
10,指導員,しどういん,,,Instruktur,,,,,,,,,,,,,,,,,,,,,,,,
11,生活指導員,せいかつしどういん,,,Pembimbing kehidupan sehari-hari,,,,,,,,,,,,,,,,,,,,,,,,
12,担当者,たんとうしゃ,,,Penanggungjawab,,,,,,,,,,,,,,,,,,,,,,,,
13,スイッチ入れるな,すいっちいれるな,,,Jangan dinyalakan,,,,,,,,,,,,,,,,,,,,,,,,
14,スイッチ切るな,すいっちきるな,,,Jangan dimatikan,,,,,,,,,,,,,,,,,,,,,,,,
15,使用禁止,しようきんし,,,Dilarang menggunakan,,,,,,,,,,,,,,,,,,,,,,,,
1,5S,ごえす,,,"5S (Di Indonesia 5R
:Ringkas, Rapi, Resik, Rawat, Rajin)",,,,,"Merupakan akronim dari 5 kata yang dimulai dari huruf S: yang dalam bahasa Jepang dikenal dengan Seiri, Seiton, Seiso, Seiketsu, Shitsuke. Kata ini digunakan untuk meningkatkan produktivitas kerja.",,,,,,,,,,,,,,,,,,,
2,整理,せいり,,,Ringkas,,,,,Merupakan kegiatan menyingkirkan barang-barang yang tidak diperlukan sehingga segala barang yang ada di lokasi kerja hanya ada barang yang benar-benar dibutuhkan dalam aktivitas kerja,,,,,,,,,,,,,,,,,,,
3,整頓,せいとん,,,Rapi,,,,,Menyimpan barang yang tepat atau dalam tata letak yang benar sehingga dapat dipergunakan saat mendadak. Ini merupakan cara untuk menghilangkan pemborosan waktu dan tenaga dalam proses pencarian,,,,,,,,,,,,,,,,,,,
4,清掃,せいそう,,,Resik,,,,,"Merupakan kegiatan membersihkan peralatan dan tempat kerja hingga segala peralatan kerja tetap terjaga dalam kondisi yang baik. Secara konkrit, seperti membuang sampah, kotoran dan benda-benda asing serta membersihkan segala sesuatu.",,,,,,,,,,,,,,,,,,,
5,清潔,せいけつ,,,Rawat,,,,,"Menjaga kondisi tetap baik setelah melakukan Ringkas, Rapi, Resik.",,,,,,,,,,,,,,,,,,,
6,しつけ,しつけ,,,Rajin,,,,,"Membiasakan diri menjalankan sesuatu sesuai dengan yang telah ditetapkan, untuk menciptakan budaya kerja bersama.",,,,,,,,,,,,,,,,,,,
7,掃除（する）,そうじ（する）,,,Pembersihan (Membersihkan),,,,,,,,,,,,,,,,,,,,,,,,
8,片づける,かたづける,,,Membereskan,,,,,,,,,,,,,,,,,,,,,,,,
9,捨てる,すてる,,,Membuang,,,,,,,,,,,,,,,,,,,,,,,,
10,汚い,きたない,,,Kotor,,,,,,,,,,,,,,,,,,,,,,,,
11,汚れる,よごれる,,,Kotor,,,,,,,,,,,,,,,,,,,,,,,,
12,分別（する）,ぶんべつ（する）,,,Pemisahan (Memisahkan),,,,,,,,,,,,,,,,,,,,,,,,
13,燃えないごみ,もえないごみ,,,"Sampah tak mudah
terbakar",,,,,,,,,,,,,,,,,,,,,,,,
14,燃えるごみ,もえるごみ,,,Sampah mudah terbakar,,,,,,,,,,,,,,,,,,,,,,,,
15,挟まれる,はさまれる,,,Terjepit,,,,,,,,,,,,"き か い       て       はさ
機械に手が挟まれた",,,,,,,,Tangan saya terjepit mesin.,,,,
16,巻き込まれる,まきこまれる,,,Terlilit,,,,,,,,,,,,"き か い       て         ま        こ
1)機械に手が巻き込まれる
てぶくろ                         ばん      ま        こ
2)手袋がフライス盤に巻き込まれる",,,,,,,,"1)Tangan terlilit di mesin.
2)Sarung tangan terlilit di mesin frais.",,,,
17,やけど（する）,やけど（する）,,,Luka bakar (Terbakar),,,,,,,,,,,,,,,,,,,,,,,,
18,落ちる,おちる,,,Jatuh,,,,,,,,,,,,"かいだん           お
階段から落ちる",,,,,,,,Jatuh dari tangga.,,,,
19,すべる,すべる,,,Terpeleset/Licin,,,,,,,,,,,,"ゆか
床がすべる",,,,,,,,Lantainya licin.,,,,
20,転ぶ,ころぶ,,,Terjatuh,,,,,,,,,,,,"こうじょう                         ころ
工場ですべって転んだ",,,,,,,,Jatuh terpeleset di pabrik.,,,,
21,濡れる,ぬれる,,,Basah,,,,,,,,,,,,,,,,,,,,,,,,
22,衛生,えいせい,,,Kebersihan,,,,,,,,,,,,,,,,,,,,,,,,
23,避難（する）,ひなん（する）,,,Evakuasi (Mengevakuasi),,,,,,,,,,,,,,,,,,,,,,,,
24,救急車,きゅうきゅうしゃ,,,Ambulans,,,,,,,,,,,,,,,,,,,,,,,,
25,災害,さいがい,,,Bencana,,,,,,,,,,,,,,,,,,,,,,,,
26,地震,じしん,,,Gempa bumi,,,,,,,,,,,,"じ し ん        お
地震が起きる",,,,,,,,Terjadi gempa bumi,,,,
27,もぐる,もぐる,,,Menyelinap,,,,,,,,,,,,"じ し ん         つくえ   した
地震だ！机の下にもぐれ！",,,,,,,,Gempa bumi !  Menyelinap ke bawah meja !,,,,
1,火気厳禁,かきげんきん,,,Dilarang menggunakan api,,,,,,,,,,,,,,,,,,,,,,,,
2,開放厳禁,かいほうげんきん,,,Dilarang membuka,,,,,,,,,,,,,,,,,,,,,,,,
3,標識,ひょうしき,,,Tanda,,,,,,,,,,,,,,,,,,,,,,,,
4,気をつける,きをつける,,,Berhati-hati,,,,,,,,,,,,,,,,,,,,,,,,
5,持ち込む,もちこむ,,,Membawa masuk,,,,,,,,,,,,"こうじょう     けいたいでんわ       も        こ
工場に携帯電話を持ち込んではいけ
ない",,,,,,,,Dilarang membawa masuk telepon genggam ke pabrik.,,,,
6,防ぐ,ふせぐ,,,Mencegah,,,,,,,,,,,,"あんぜんかくにん           じ   こ       ふせ
安全確認して事故を防ぐ",,,,,,,,Konfirmasikan keselamatan untuk mencegah kecelakaan.,,,,
7,火,ひ,,,Api,,,,,,,,,,,,,,,,,,,,,,,,
8,煙,けむり,,,Asap,,,,,,,,,,,,,,,,,,,,,,,,
9,消火,しょうか,,,Pemadam kebakaran,,,,,,,,,,,,,,,,,,,,,,,,
10,消火器,しょうかき,,,Alat pemadam kebakaran,,,,,,,,,,,,,,,,,,,,,,,,
11,非常ベル,ひじょうべる,,,Bel darurat,,,,,,,,,,,,,,,,,,,,,,,,
12,火災報知機,かさいほうちき,,,Alarm kebakaran,,,,,,,,,,,,,,,,,,,,,,,,
13,逃げる,にげる,,,Melarikan diri,,,,,,,,,,,,,,,,,,,,,,,,
14,現場,げんば,,,Tempat kerja/Pabrik,,,,,,,,,,,,,,,,,,,,,,,,
15,作業,さぎょう,,,Pekerjaan,,,,,,,,,,,,,,,,,,,,,,,,
16,ミーティング,みーてぃんぐ,,,Rapat/Meeting,,,,,"Rapat, Rapat Pagi, Rapat Akhir juga disebut dengan rapat (meeting).",,,,,,,,,,,,,,,,,,,
17,研修（する）,けんしゅう（する）,,,Pelatihan/Training (Berlatih),,,,,,,,,,,,,,,,,,,,,,,,
18,実習（する）,じっしゅう（する）,,,Pelatihan (Berlatih),,,,,,,,,,,,,,,,,,,,,,,,
19,あいさつ,あいさつ,,,Salam,,,,,,,,,,,,,,,,,,,,,,,,
20,確認（する）,かくにん（する）,,,Konfirmasi (Mengkonfirmasikan),,,,,,,,,,,,,,,,,,,,,,,,
21,報告（する）,ほうこく（する）,,,Laporan (Melaporkan),,,,,,,,,,,,,,,,,,,,,,,,
22,連絡（する）,れんらく（する）,,,Kontak (Menghubungi),,,,,,,,,,,,,,,,,,,,,,,,
23,相談（する）,そうだん（する）,,,"Konsultasi
(Berkonsultasi)",,,,,,,,,,,,,,,,,,,,,,,,
24,渡す,わたす,,,Menyerahkan,,,,,Digunakan ketika menyerahkan sesuatu ke orang lain.,,,,,,,,,,,,,,,,,,,
25,申請書,しんせいしょ,,,Surat permohonan,,,,,,,,,,,,,,,,,,,,,,,,
26,寝坊（する）,ねぼう（する）,,,Kesiangan (Bangun kesiangan),,,,,,,,,,,,,,,,,,,,,,,,
1,技能,ぎのう,,,,,Keahlian,,,,,,,,,,,,,,,,,,,,,,
2,技能検定試験,ぎのうけんていしけん,,,,,Ujian keahlian teknis,,,,,,,,,,,,,,,,,,,,,,
3,受検（する）,じゅけん（する）,,,,,Ujian,,,,,,,,,,,,,,,,,,,,,,
4,資格,しかく,,,,,Kualifikasi,,,,,,,,,,,,,,,,,,,,,,
5,手当,てあて,,,,,Tunjangan,,,,,,,,,,,,,,,,,,,,,,
6,社員,しゃいん,,,,,Pegawai,,,,,,,,,,,,,,,,,,,,,,
7,部長,ぶちょう,,,,,Kepala bidang,,,,,,,,,,,,,,,,,,,,,,
8,課長,かちょう,,,,,Kepala Seksi,,,,,,,,,,,,,,,,,,,,,,
9,更衣室,こういしつ,,,,,Ruang ganti,,,,,,,,,,,,,,,,,,,,,,
10,台車,だいしゃ,,,,,Troli,,,,,,,,,,,,,,,,,,,,,,
11,床,ゆか,,,,,Lantai,,,,,,,,,,,,,,,,,,,,,,
12,出口,でぐち,,,,,Pintu keluar,,,,,,,,,,,,,,,,,,,,,,
13,電気,でんき,,,,,Listrik,,,,,,,,,,,,,,,,,,,,,,
14,警報音,けいほうおん,,,,,Bunyi peringatan,,,,,,,,,,,,,,,,,,,,,,
15,コンセント,こんせんと,,,,,Stop kontak,,,,,,,,,,,,,,,,,,,,,,
16,作業場,さぎょうば,,,,,Tempat kerja,,,,,,,,,,,,,,,,,,,,,,
17,作業台,さぎょうだい,,,,,Meja kerja,,,,,,,,,,,,,,,,,,,,,,
18,工事現場,こうじげんば,,,,,Lokasi kerja,,,,,,,,,,,,,,,,,,,,,,
19,職長,しょくちょう,,,,,Pengawas kerja,,,,,,,,,,,"あ し ばくみたて        しょくちょう    し   じ       したが
足場組立は  職長の指示に従う",,,,,,,Perakitan perancah mengikuti instruksi pengawas kerja.,,,,
20,作業責任者,さぎょうせきにんしゃ,,,,,Petugas kerja,,,,,,,,,,,,,,,,,,,,,,
1,禁止,きんし,,Pelarangan,,,,,,,,,,,,,,,,,,,,,,,,,
2,表示板,ひょうじばん,,Papan pengumuman,,,,,,,,,,,,,,,,,,,,,,,,,
3,禁止事項,きんしじこう,,Larangan penggunaan,,,,,,,,,,,,,,,,,,,,,,,,,
4,避難訓練,ひなんくんれん,,Latihan evakuasi,,,,,,,,,,,,,,,,,,,,,,,,,
5,感電（する）,かんでん（する）,,Tersengat listrik,,,,,,,,,,,,,,,,,,,,,,,,,
6,防止（する）,ぼうし（する）,,Mencegah,,,,,,,,,,,,,,,,,,,,,,,,,
7,予防（する）,よぼう（する）,,Mencegah,,,,,,,,,,,,,,,,,,,,,,,,,
8,転倒（する）,てんとう（する）,,Jatuh,,,,,,,,,,,,,,,,,,,,,,,,,
9,挟まる,はさまる,,Terjepit,,,,,,,,,,,,,,,,,,,,,,,,,
10,足元,あしもと,,Langkah kaki,,,,,,,,,,,,,,,,,,,,,,,,,
11,不安定（な）,ふあんてい（な）,,Tidak stabil,,,,,,,,,,,,,,,,,,,,,,,,,
12,後片付け,あとかたづけ,,Pembenahan,,,,,,,,,,,,,,,,,,,,,,,,,
13,救急箱,きゅうきゅうばこ,,Kotak P3K,,,,,,,,,,,,,,,,,,,,,,,,,
14,絆創膏,ばんそうこう,,Plester,,,,,,,,,,,,,,,,,,,,,,,,,
15,体調,たいちょう,,Kondisi badan,,,,,,,,,,,,,,,,,,,,,,,,,
16,血,ち,,Darah,,,,,,,,,,,,,,,,,,,,,,,,,
17,熱中症,ねっちゅうしょう,,Dehidrasi,,,,,,,,,,,,,,,,,,,,,,,,,
18,吐き気,はきけ,,Mual,,,,,,,,,,,,,,,,,,,,,,,,,
19,嘔吐（する）,おうと（する）,,Muntah,,,,,,,,,,,,,,,,,,,,,,,,,
20,足がつる,あしがつる,,Kram,,,,,,,,,,,,,,,,,,,,,,,,,
21,気分が悪い,きぶんがわるい,,Tidak enak badan,,,,,,,,,,,,,,,,,,,,,,,,,
22,寝不足,ねぶそく,,Kurang tidur,,,,,,,,,,,,,,,,,,,,,,,,,
23,安全ネット,あんぜんねっと,,Jaring pengaman,,,,,,,,,,,,,,,,,,,,,,,,,
24,安全点検,あんぜんてんけん,,Pemeriksaan keselamatan,,,,,,,,,,,,,,,,,,,,,,,,,
1,KY活動（危険予知活動）,,けーわいかつどう（きけんよちかつどう）,,,Kegiatan latihan prediksi bahaya,,,,,,,,,,,,,,,,,,,,,,,
2,危険,,きけん,,,Bahaya,,,,,,,,,,,,,,,,,,,,,,,
3,ぶつかる,,ぶつかる,,,Tertabrak,,,,,,,,,,,,,,,,,トラクタショベルのバケットにぶつかってけがをした,,,,,Telah luka tertabrak pengeruk traktor shovel.,
4,当たる,,あたる,,,Kena,,,,,,,,,,,,,,,,,"あ  し  ば                 お                               こ   う   ぐ         からだ        あ
足場から落ちてきた工具が体に当たってけが
をした",,,,,Tubuh luka terkena alat kerja yang jatuh dari perancah.,
5,下敷きになる,,したじきになる,,,Terlindas,,,,,,,,,,,,,,,,,"じ ゅ う き         し   た   じ
重機の下敷きになる",,,,,Terlindas alat berat.,
6,打つ,,うつ,,,Memukul,,,,,,,,,,,,,,,,,"あやま                                                  て            う
誤ってハンマーで手を打ってしまった",,,,,Tangan terpukul palu karena khilaf.,
7,バランスを崩す,,ばらんすをくずす,,,Hilang keseimbangan,,,,,,,,,,,,,,,,,"う え                                           く ず              て ん ら く
はしごの上でバランスを崩して転落した",,,,,Terjatuh karena kehilangan keseimbangan di atas tangga.,
8,倒れる,,たおれる,,,Jatuh,,,,,,,,,,,,,,,,,"た お                   ねっちゅうしょう        た お
はしごが倒れる、熱中症で倒れる",,,,,"Tangga terjatuh, jatuh karena dehidrasi.",
9,転落（する）,,てんらく（する）,,,Jatuh dari atas,,,,,,,,,,,,,,,,,"う え                                           く ず              て ん ら く
はしごの上でバランスを崩して転落した",,,,,Terjatuh karena kehilangan keseimbangan di atas tangga.,
10,指差呼称,,しさこしょう,,,Aba-aba tunjuk  pencegahan bahaya,,,,,,,,,,,,,,,,,,,,,,,
11,ヒヤリハット,,ひやりはっと,,,Kondisi bahaya/Gerakan bahaya,,,,,,,,,,,,,,,,,,,,,,,
12,原因,,げんいん,,,Faktor/Penyebab,,,,,,,,,,,,,,,,,,,,,,,
13,対策,,たいさく,,,Penanganan,,,,,,,,,,,,,,,,,,,,,,,
14,落下（する）,,らっか（する）,,,Jatuh,,,,,,,,,,,,,,,,,"あ し ば           こ う ぐ       ら っ か
足場から工具が落下した",,,,,Alat kerja jatuh dari perancah.,
15,墜落（する）,,ついらく（する）,,,Terperosok,,,,,,,,,,,,,,,,,"か  い  こ  う  ぶ               つ い ら く
開口部から墜落した",,,,,Terperosok ke lubang.,
16,確認（する）,,かくにん（する）,,,Konfirmasi,,,,,,,,,,,,,,,,,"しゅうい      あんぜん    かくにん
周囲の安全を確認する",,,,,Konfirmasi keselamatan sekitar.,
1,作業着,さぎょうぎ,,,Pakaian kerja,,,,,,,,,,,,,,,,,,,,,,,,
2,作業服,さぎょうふく,,,Baju kerja,,,,,,,,,,,,,,,,,,,,,,,,
3,作業靴,さぎょうぐつ,,,Sepatu kerja,,,,,,,,,,,,,,,,,,,,,,,,
4,手袋,てぶくろ,,,Sarung tangan,,,,,,,,,,,,,,,,,,,,,,,,
5,帽子,ぼうし,,,Topi,,,,,,,,,,,,,,,,,,,,,,,,
6,保護帽（ヘルメット）,ほごぼう（へるめっと）,,,Topi pelindung(Helem),,,,,,,,,,,,,,,,,,,,,,,,
7,保護具,ほごぐ,,,Alat pelindung,,,,,,,,,,,,,,,,,,,,,,,,
8,あごひも,あごひも,,,Tali dagu,,,,,,,,,,,,,,,,,,,,,,,,
9,ボタン,ぼたん,,,Kancing/tombol,,,,,,,,,,,,,,,,,,,,,,,,
10,ポケット,ぽけっと,,,Kantong,,,,,,,,,,,,,,,,,,,,,,,,
11,保護メガネ,ほごめがね,,,Kacamata pelindung,,,,,,,,,,,,,,,,,,,,,,,,
12,マスク,ますく,,,Masker,,,,,,,,,,"15 墜落制止用器具（安全帯）
Sistem perlindungan bahaya jatuh (Sabuk pengaman) Sistem perlindungan bahaya jatuh (sabuk pengaman) sangat perlu digunakan saat bekerja di tempat yang jauh
dengan ketinggian 2 m atau lebih dari lantai. Pada
prinsipnya, kita wajib mengenakan sistem perlindungan bahaya jatuh (sabuk pengaman) tipe multifungsi.",,,,,,,,,,,,,,
13,耳栓,みみせん,,,Penyumbat telinga,,,,,,,,,,,,,,,,,,,,,,,,
14,安全靴,あんぜんぐつ,,,Sepatu pengaman,,,,,,,,,,,,,,,,,,,,,,,,
15,墜落制止用器具（安全帯）,"ついらくせいしようきぐ
（あんぜんたい）",,,Sistem perlindungan bahaya jatuh (Sabuk pengaman),,,,,,,,,,,,,,,,,,,,,,,,
16,業務,ぎょうむ,,,Kerja,,,,,,,,,,,,,,,,,,,,,,,,
17,時間厳守,じかんげんしゅ,,,Disiplin waktu,,,,,,,,,,,,,,,,,,,,,,,,
18,予定,よてい,,,Jadwal,,,,,,,,,,,,,,,,,,,,,,,,
19,日付,ひづけ,,,"Tanggal, bulan dan tahun",,,,,,,,,,,,,,,,,,,,,,,,
20,準備（する）,じゅんび（する）,,,Persiapan,,,,,,,,,,,,,,,,,,,,,,,,
21,会議,かいぎ,,,"Rapat, pertemuan",,,,,,,,,,,,,,,,,,,,,,,,
22,朝礼,ちょうれい,,,Apel pagi,,,,,,,,,,,,,,,,,,,,,,,,
23,報告書,ほうこくしょ,,,Surat laporan,,,,,,,,,,,,,,,,,,,,,,,,
24,マニュアル,まにゅある,,,Buku pedoman,,,,,,,,,,,,,,,,,,,,,,,,
25,作業手順書,さぎょうてじゅんしょ,,,Lembaran prosedur kerja.,,,,,,,,,,,,,,,,,,,,,,,,
26,調子,ちょうし,,,Kondisi,,,,,,,,,,,,,,,,,,,,,,,,
1,立入禁止,たちいりきんし,,,Dilarang masuk,,,,,,,,,,,,,,,,,,,,,,,,
2,禁煙,きんえん,,,Dilarang merokok,,,,,,,,,,,,,,,,,,,,,,,,
3,火気厳禁,かきげんきん,,,Dilarang menggunakan api,,,,,,,,,,,,,,,,,,,,,,,,
4,駐車禁止,ちゅうしゃきんし,,,Dilarang parkir,,,,,,,,,,,,,,,,,,,,,,,,
5,足もと注意,あしもとちゅうい,,,Awas langkah kaki,,,,,,,,,,,,,,,,,,,,,,,,
6,開口部注意,かいこうぶちゅうい,,,Awas ada lubang,,,,,,,,,,,,,,,,,,,,,,,,
7,感電注意,かんでんちゅうい,,,Awas bahaya sengatan listrik,,,,,,,,,,,,,,,,,,,,,,,,
