言語,Page,番号,単語,翻訳
ベトナム語,12,1,技能,Kỹ năng
ベトナム語,12,2,技能検定試験,Kỳ thi kiểm tra kỹ năng
ベトナム語,12,3,受検（する）,"(danh từ) Sự dự thi, thi"
ベトナム語,12,,,"(động từ) Dự thi, thi"
ベトナム語,12,4,資格,Tư cách
ベトナム語,12,5,手当,Trợ cấp
ベトナム語,12,6,社員,Nhân viên công ty
ベトナム語,12,7,部長,Trưởng ban
ベトナム語,12,8,課長,Trưởng phòng
ベトナム語,12,9,更衣室,Phòng thay đồ
ベトナム語,12,10,台車,Xe đẩy
ベトナム語,12,11,床,Sàn
ベトナム語,12,12,出口,Cửa ra
ベトナム語,12,13,電気,Điện
ベトナム語,12,14,警報音,Âm thanh báo động
ベトナム語,12,15,コンセント,Ổ cắm
ベトナム語,12,16,作業場,Nơi làm việc
ベトナム語,12,17,作業台,Bàn thao tác
ベトナム語,12,18,工事現場,Công trường
ベトナム語,12,19,職長,Tổ trưởng
ベトナム語,12,20,作業責任者,Người phụ trách công việc
ベトナム語,13,1,禁止,Cấm
ベトナム語,13,2,表示板,Biển báo
ベトナム語,13,3,禁止事項,Những điều bị cấm
ベトナム語,13,4,避難訓練,Huấn luyện lánh nạn /sơ tán
ベトナム語,13,5,感電,(danh từ) Sự bị điện giật
ベトナム語,13,,感電する,(động từ) Bị điện giật
ベトナム語,13,6,防止,(danh từ) Sự ngăn chặn
ベトナム語,13,,防止する,(động từ) Ngăn chặn
ベトナム語,13,7,予防,(danh từ) Sự phòng ngừa
ベトナム語,13,,予防する,(động từ) Phòng ngừa
ベトナム語,13,8,転倒,"(danh từ) Sự ngã, đổ"
ベトナム語,13,,転倒する,"(động từ) Ngã, đổ"
ベトナム語,13,9,挟まる,"Kẹp, kẹp vào"
ベトナム語,13,10,足元,Dưới chân
ベトナム語,13,11,不安定,"(danh từ) Sự không ổn đ ịnh, không vững"
ベトナム語,13,,不安定な,"(tính từ) Không ổn định, không vững"
ベトナム語,13,12,後片付け,Dọn dẹp
ベトナム語,14,13,救急箱,Hộp sơ cứu
ベトナム語,14,14,絆創膏,Băng dán vết thương
ベトナム語,14,15,体調,Thể trạng
ベトナム語,14,16,血,Máu
ベトナム語,14,17,熱中症,"Sốc nhiệt, say nắng"
ベトナム語,14,18,吐き気,"Buồn nôn, buồn ói"
ベトナム語,14,19,嘔吐,"(danh từ) Sự nôn, ói"
ベトナム語,14,,嘔吐する,"(động từ) Nôn, ói"
ベトナム語,14,20,足がつる,Chân bị chuột rút
ベトナム語,14,21,気分が悪い,"Không khỏe, khó ở"
ベトナム語,14,22,寝不足,Thiếu ngủ
ベトナム語,14,23,安全ネット,Lưới an toàn
ベトナム語,14,24,安全点検,Kiểm tra an toàn
ベトナム語,15,1,KY活動（危険予知活動）,Hoạt động KY (Hoạt động dự báo nguy hiểm)
ベトナム語,15,2,危険,Nguy hiểm
ベトナム語,15,3,ぶつかる,"Va, đụng phải"
ベトナム語,15,4,当たる,"Đụng, trúng"
ベトナム語,15,5,下敷きになる,Bị đè/cán lên
ベトナム語,15,6,打つ,"Đập, nện"
ベトナム語,15,7,バランスを崩す,Mất thăng bằng
ベトナム語,15,8,倒れる,"Đổ, sập, ngã nằm xuống"
ベトナム語,15,9,転落,"(danh từ) Sự rơi, ngã xuống"
ベトナム語,15,,転落する,"(động từ) Rơi, ngã xuống"
ベトナム語,15,10,指差呼称,Chỉ tay gọi tên
ベトナム語,15,11,ヒヤリハット,Sự cố (tiềm ẩn nguy cơ nhưng chưa gây ra thiệt hại).
ベトナム語,15,12,原因,Nguyên nhân
ベトナム語,15,13,対策,"Giải pháp, biện pháp"
ベトナム語,15,14,落下,(danh từ) Sự rơi xuống
ベトナム語,15,,落下する,(động từ) Rơi xuống
ベトナム語,16,15,墜落,(danh từ) Sự rơi (từ trên cao) xuống
ベトナム語,16,,墜落する,(động từ) Rơi (từ trên cao) xuống
ベトナム語,16,16,確認,"(danh từ) Sự kiểm tra, xác nhận"
ベトナム語,16,,確認する,"(động từ) Kiểm tra, xác nhận"
ベトナム語,17,1,作業着,Trang phục lao động
ベトナム語,17,,,
ベトナム語,17,2,作業服,Trang phục lao động
ベトナム語,17,3,作業靴,Giày lao động
ベトナム語,17,4,手袋,Găng tay
ベトナム語,17,,,
ベトナム語,17,5,帽子,Mũ
ベトナム語,17,6,保護帽（ヘルメット）,Mũ bảo hộ
ベトナム語,17,7,保護具,Dụng cụ bảo hộ
ベトナム語,17,,,
ベトナム語,17,8,あごひも,Quai mũ
ベトナム語,17,9,ボタン,"Nút, khuy"
ベトナム語,17,10,ポケット,Túi
ベトナム語,17,,,
ベトナム語,17,11,保護メガネ,Kính bảo hộ
ベトナム語,17,12,マスク,Khẩu trang
ベトナム語,17,13,耳栓,Nút tai
ベトナム語,17,14,安全靴,Giày bảo hộ
ベトナム語,17,15,墜落制止用器具（安全 帯）,Dây đai an toàn
ベトナム語,18,16,業務,Nghiệp vụ
ベトナム語,18,17,時間厳守,Tuân thủ giờ giấc
ベトナム語,18,18,予定,Dự định
ベトナム語,18,19,日付,Ngày tháng
ベトナム語,18,20,準備,(danh từ) Sự chuẩn bị
ベトナム語,18,,準備（する）,(động từ) Chuẩn bị
ベトナム語,18,21,会議,Cuộc họp
ベトナム語,18,22,朝礼,Họp đầu giờ sáng
ベトナム語,18,23,報告書,Bản báo cáo
ベトナム語,18,24,マニュアル,Tài liệu hướng dẫn
ベトナム語,18,25,作業手順書,Bản trình tự thao tác
ベトナム語,18,26,調子,"Tình trạng, tình hình"
ベトナム語,19,1,立入禁止,Cấm vào
ベトナム語,19,2,禁煙,Cấm hút thuốc
ベトナム語,19,3,火気厳禁,Cấm lửa
ベトナム語,19,4,駐車禁止,Cấm đỗ xe
ベトナム語,19,5,足もと注意,Chú ý dưới chân
ベトナム語,19,6,開口部注意,Chú ý lỗ mở
ベトナム語,19,7,感電注意,Chú ý điện giật
ベトナム語,19,8,堕落注意,Chú ý rơi ngã
ベトナム語,19,9,頭上注意,Chú ý trên đầu
ベトナム語,19,10,警報設備,Thiết bị báo động
ベトナム語,20,11,消火器,Bình chữa cháy
ベトナム語,20,12,AED設置場所,Nơi đặt máy AED
ベトナム語,20,13,保護帽着用,Đội mũ bảo hộ
ベトナム語,20,14,安全帯使用,Sử dụng dây đai an toàn
ベトナム語,20,15,昇降階段,Cầu thang bộ
ベトナム語,20,16,休憩所,Khu vực nghỉ ngơi
ベトナム語,20,17,最大積載荷重,Tải trọng tối đa
ベトナム語,20,18,喫煙所,Khu vực hút thuốc
ベトナム語,20,19,整理整頓,Sắp xếp chỉnh đốn
ベトナム語,20,20,安全通路,Lối đi an toàn
ベトナム語,21,1,三連クランプ,Kẹp ba
ベトナム語,21,2,ベルトコンベア （ベルコン）,Băng tải (gọi tắt là Berukon)
ベトナム語,21,3,かけや,Búa
ベトナム語,21,4,ランマ,Máy đầm rung
ベトナム語,21,5,自在クランプ,"Kẹp xoay, khóa xoay"
ベトナム語,21,6,キャッチクランプ,"Kẹp, khóa"
ベトナム語,21,7,吊り上げ用クランプ,Kẹp nâng Renfroe
ベトナム語,21,8,直交クランプ,"Kẹp cố định, khóa cố đ ịnh"
ベトナム語,21,9,フック,Móc
ベトナム語,21,10,ストレートシャックル,Móc thẳng (hình chữ U)
ベトナム語,22,11,滑車,"Ròng rọc, Puli"
ベトナム語,22,12,クレーン,"Cần cẩu, cần trục"
ベトナム語,22,13,移動式クレーン,Xe cẩu tự hành
ベトナム語,22,14,介しゃくロープ,"Cáp đuôi, cáp kéo lùi"
ベトナム語,22,15,昇降階段,Cầu thang bộ
ベトナム語,22,16,筋かい止めピン,Chốt khóa thanh giằng chéo
ベトナム語,22,17,脚柱ジョイント,Chốt liên kết
ベトナム語,22,18,連結ピン,Chốt nối
ベトナム語,22,19,ジョイント金具,Khớp kim loại để kết nối ống thép
ベトナム語,22,20,レバーブロック,"Kích xích căng dây, tă ng đơ xích"
ベトナム語,22,21,電動のこ（丸のこ）,Máy cưa đĩa
ベトナム語,23,22,モンキースパナ,Mỏ lết có điều chỉnh
ベトナム語,23,23,親綱支柱,Cột giăng dây neo
ベトナム語,23,24,ブラケット,"Dầm hẫng, công son, thanh giằng chống giữ tường"
ベトナム語,23,25,梯子,Thang
ベトナム語,24,1,親綱,Dây neo
ベトナム語,24,2,建枠（ビティ）,Giàn giáo khung (Beatty)
ベトナム語,24,3,メッシュシート,Lưới bao che
ベトナム語,24,4,防音パネル,Tấm cách âm
ベトナム語,24,5,朝顔材,"Vách nghiêng dựng tạm để ngừa đồ vật rơi, bắn ra đ ường"
ベトナム語,24,6,架空線,Đường dây điện trên cao
ベトナム語,24,7,幅木（仮設足場）,Tấm chắn chống rơi ngã (Giàn giáo tạm thời)
ベトナム語,24,8,単管,Ống thép
ベトナム語,24,9,脚立,Thang gấp
ベトナム語,24,10,作業半径,Bán kính hoạt động
ベトナム語,25,11,仮ボルト,Bu lông tạm thời
ベトナム語,25,12,手直し,Chỉnh sửa
ベトナム語,25,13,面一,Bề mặt của hai vật liệu phẳng đều nhau
ベトナム語,25,14,点検事項,Hạng mục kiểm tra
ベトナム語,25,15,積載荷重,Hoạt tải
ベトナム語,25,16,すき間,Khe hở
ベトナム語,25,17,通りを見る,Kiểm tra có thẳng hay khô ng
ベトナム語,25,18,組立,"Lắp ráp, lắp ghép"
ベトナム語,25,19,地組,Lắp ráp ở mặt đất
ベトナム語,25,20,天端,Mặt trên
ベトナム語,26,21,玉掛け,Treo tải
ベトナム語,26,22,合図,"Dấu hiệu, tín hiệu"
ベトナム語,26,23,定格荷重,Tải trọng quy định
ベトナム語,26,24,たち,Độ thẳng đứng
ベトナム語,26,25,職長,Tổ trưởng
ベトナム語,27,1,安全カバー,Vỏ bọc an toàn
ベトナム語,27,2,安全帯,Dây đai an toàn
ベトナム語,27,3,インサート,Chốt chèn
ベトナム語,27,4,スペーサ,Con kê
ベトナム語,27,5,鉄筋,Thanh cốt thép
ベトナム語,27,6,電工ドラム（ドラム）,Rulô cuốn dây điện
ベトナム語,27,7,電動丸のこ（電のこ）,Máy cưa đĩa (Dennoko)
ベトナム語,27,8,パッキン,"Gioăng, đệm, khớp nối"
ベトナム語,27,9,小バール,"Xà beng, đòn bẩy nhỏ"
ベトナム語,27,10,大バール,"Xà beng, đòn bẩy to"
ベトナム語,28,11,化粧合板,Ván trang trí
ベトナム語,28,12,普通合板,Ván thường
ベトナム語,28,13,スタイロフォーム,Tấm cách nhiệt
ベトナム語,28,14,面木,Dải vát cạnh
ベトナム語,28,15,バイブレーター,Đầm dùi bê tông
ベトナム語,28,16,剥離剤,"Chất chống dính ván khuô n, chất tách khuôn, chất th áo khuôn"
ベトナム語,28,17,けこみ板,Ván đứng (giữa 2 bậc thang)
ベトナム語,28,18,目地棒,"Thanh tạo rãnh, thanh nối, thanh liên kết"
ベトナム語,28,19,コンクリート,Bê tông
ベトナム語,28,20,コンベックス,Thước dây
ベトナム語,29,21,作業用手袋,Găng tay bảo hộ lao động
ベトナム語,29,22,差金,"Thước vuông, ê ke (của thợ mộc)"
ベトナム語,29,23,水平器,"Thước thủy, thước nivo, ống bọt nước"
ベトナム語,29,24,墨さし,Cọ châm mực làm dấu
ベトナム語,29,25,墨つぼ,Lọ mực (của thợ môc)
ベトナム語,30,1,丸セパレーター（丸セパ）,Thiết bị phân ly
ベトナム語,30,2,天端釘,Đinh đóng mặt trên
ベトナム語,30,3,けれん,"Làm sạch, phẳng, nhẵn bề mặt, Chà nhám"
ベトナム語,30,4,型枠支保工,Hệ chống đỡ ván khuôn
ベトナム語,30,5,基礎型枠（メタルフォー ム）,Ván khuôn móng (Ván khu ôn kim loại)
ベトナム語,30,6,釘仕舞い,Nhổ đinh khỏi gỗ phế liệu
ベトナム語,30,7,スラブ天端,Mặt trên bê tông
ベトナム語,30,8,高さ（タッパ）,Độ cao (còn gọi là Tappa)
ベトナム語,30,9,建込み,Lắp đặt theo chiều dọc
ベトナム語,30,10,通り,"Thẳng, Ngay ngắn"
ベトナム語,31,11,蹴上げ,Chiều cao một bậc thang
ベトナム語,31,12,蹴込み,Phần lõm vào theo chiều ngang của bậc thang trên v à bậc thang dưới
ベトナム語,31,13,工具の手入れ,Bảo dưỡng dụng cụ
ベトナム語,31,14,下げ振り,"Quả dọi, dây dọi"
ベトナム語,31,15,地墨,Đánh đấu
ベトナム語,31,16,捨てコンクリート,Bê tông lớp tạo phẳng
ベトナム語,31,17,はね出し,Nhô ra
ベトナム語,31,18,はらみ,Phình
ベトナム語,31,19,前面,Mặt trước
ベトナム語,31,20,養生,Dưỡng hộ
ベトナム語,32,21,レベル,Độ cân bằng
ベトナム語,32,22,割付,"Sự phân bổ, bố trí đều"
ベトナム語,32,23,埋め込み金物,Kim loại đặt trong bê tông
ベトナム語,32,24,解体する（バラス）,(danh từ) Sự tháo dỡ
ベトナム語,32,,,(động từ) Tháo dỡ
ベトナム語,32,25,かぶり寸法,Độ dày lớp bê tông bảo vệ cốt thép
ベトナム語,33,1,異形棒鋼,Cốt thép có gờ (cốt thép gai)
ベトナム語,33,2,結束線,Dây thép buộc
ベトナム語,33,3,結束工具,Móc buộc thép
ベトナム語,33,4,鉄筋切断機,Máy cắt thép
ベトナム語,33,5,鉄筋曲げ加工機,Máy uốn thép
ベトナム語,33,6,フック,Móc
ベトナム語,33,7,保護帽（ヘルメット）,Mũ bảo hộ
ベトナム語,33,8,アンカー,Neo
ベトナム語,33,9,加工場,Khu vực gia công
ベトナム語,33,10,スペーサ―,Con kê
ベトナム語,34,11,ドーナツ,Con kê hình bánh xe
ベトナム語,34,12,加工配筋図,Bản vẽ bố trí cốt thép gia c ông
ベトナム語,34,13,配筋詳細図,Bản vẽ chi tiết bố trí cốt th ép
ベトナム語,34,14,開口補強筋,Cốt thép gia cường lỗ mở
ベトナム語,34,15,幅止め筋,Cốt thép đai ngắn nối hai thanh đối diện bụng dầm đ ể giữ khoảng cách chính x ác giữa 2 thanh
ベトナム語,34,16,差筋,Cốt thép chờ
ベトナム語,34,17,柱主筋,Cột chủ cốt thép
ベトナム語,34,18,柱配筋,Cột cốt thép
ベトナム語,34,19,スラブ筋,Cốt thép bản mặt
ベトナム語,34,20,ベース筋,"Cốt thép nền, móng"
ベトナム語,35,21,帯筋（フープ）,Cốt thép đai (dạng vòng tr òn)
ベトナム語,35,22,下端筋,Cốt thép bên dưới
ベトナム語,35,23,上端筋,Cốt thép bên trên
ベトナム語,35,24,主筋,Cốt thép chủ
ベトナム語,35,25,あばら筋,Cốt thép đai (dạng thanh)
ベトナム語,36,1,はかま筋,Cốt thép đặt xung quanh c ác cốt thép khác ở móng đ ể gia cố
ベトナム語,36,2,縦筋,Cốt thép dọc
ベトナム語,36,3,下筋,Cốt thép dưới
ベトナム語,36,4,横筋,Cốt thép ngang
ベトナム語,36,5,腹筋,Cốt thép cấu tạo bụng dầm
ベトナム語,36,6,配力筋,Cốt thép phân bố
ベトナム語,36,7,上筋,Cốt thép trên
ベトナム語,36,8,スパイラル筋,Cốt thép xoắn ốc
ベトナム語,36,9,鉄筋径,Đường kính cốt thép
ベトナム語,36,10,かぶり厚さ,Độ dày lớp bê tông bảo vệ cốt thép
ベトナム語,37,11,角度,Độ góc
ベトナム語,37,12,シングル,"Đơn, một"
ベトナム語,37,13,ダブル,"Đôi, hai"
ベトナム語,37,14,千鳥結束,Kết nối xen kẽ
ベトナム語,37,15,切断寸法,Kích thước cắt ngang
ベトナム語,37,16,加工寸法,Kích thước gia công
ベトナム語,37,17,重ね継手,"Liên kết chồng, mối nối chồng"
ベトナム語,37,18,圧接継手,"Liên kết hàn áp lực, mối nối hàn áp lực"
ベトナム語,37,19,開口部,"Lỗ mở, lỗ trống"
ベトナム語,37,20,溶接金網,Lưới cốt thép sợi hàn
ベトナム語,38,21,搬出,Vận chuyển ra
ベトナム語,38,22,搬入,Vận chuyển vào
ベトナム語,38,23,基礎,Móng
ベトナム語,38,24,機械式継手,"Liên kết cơ khí, mối nối cơ khí"
ベトナム語,38,25,配筋検査,Kiểm tra bố trí cốt thép
ベトナム語,39,1,トラクタ,Máy kéo
ベトナム語,39,2,ブルドーザ,Xe ủi
ベトナム語,39,3,トラクタショベル,Máy xúc
ベトナム語,39,4,ホイルローダ,Máy xúc lật bánh lốp
ベトナム語,39,5,ダンプトラック,Xe tải tự đổ
ベトナム語,39,6,油圧ショベル,Máy đào thủy lực
ベトナム語,39,7,バックホウ,Máy đào
ベトナム語,39,8,ローディングショベル,Máy đào gầu thuận
ベトナム語,39,9,ローラ,Xe lu
ベトナム語,39,10,バケット,Gầu
ベトナム語,40,11,ブーム,Cần chống
ベトナム語,40,12,アーム,Cần ngang
ベトナム語,40,13,ブレード（排土板）,Lưỡi ủi (còn gọi là Tấm gạt đất)
ベトナム語,40,14,タイヤ,Lốp xe
ベトナム語,40,15,クローラ,Bánh xích
ベトナム語,40,16,キー（鍵）,Chìa khóa
ベトナム語,40,17,作業装置 （アタッチメント）,Phụ tùng
ベトナム語,40,18,エンジン,Động cơ
ベトナム語,40,19,ディーゼルエンジン,Động cơ Diesel
ベトナム語,40,20,エンジンオイル,Dầu động cơ
ベトナム語,41,21,オルタネータ （充電発電機）,Máy phát điện xoay chiều (Máy sạc và phát điện)
ベトナム語,41,22,バッテリ,Ắc quy
ベトナム語,41,23,燃料,Nhiên liệu
ベトナム語,41,24,軽油,Dầu nhẹ
ベトナム語,41,25,ブレーキ,Phanh
ベトナム語,42,1,油圧シリンダ,Xylanh thủy lực
ベトナム語,42,2,油圧モータ,Mô tơ thủy lực
ベトナム語,42,3,油圧ポンプ,Bơm thủy lực
ベトナム語,42,4,水漏れ,Rò rỉ nước
ベトナム語,42,5,油漏れ,Rò rỉ dầu
ベトナム語,42,6,冷却水,Nước làm mát
ベトナム語,42,7,ブレーキ液,Chất lỏng phanh
ベトナム語,42,8,燃料タンク,Thùng nhiên liệu
ベトナム語,42,9,ファンベルト,Dây đai quạt
ベトナム語,42,10,空気圧,Áp suất khí
ベトナム語,42,11,クラッチ,Khớp li hợp
ベトナム語,42,12,急発進,Tiến đột ngột
ベトナム語,42,13,急ブレーキ,Phanh đột ngột
ベトナム語,43,14,アイドリング,"Chạy không tải, chạy cầm chừng"
ベトナム語,43,15,走行,Chạy
ベトナム語,43,16,旋回,Đi vòng tròn
ベトナム語,43,17,安全ロック,Khóa an toàn
ベトナム語,43,18,安全支柱,Cột chống an toàn
ベトナム語,43,19,補給（する）,(danh từ) Sự bổ sung
ベトナム語,43,,,(động từ) Bổ sung
ベトナム語,43,20,駐車（する）,(danh từ) Sự đỗ xe
ベトナム語,43,,,(động từ) Đỗ xe
ベトナム語,43,21,歩行者,Người đi bộ
ベトナム語,43,22,車両,Xe
ベトナム語,43,23,死角,Góc chết
ベトナム語,43,24,斜面,Dốc
ベトナム語,43,25,転圧（する）,(danh từ) Sự đầm nén
ベトナム語,43,,,(động từ) Đầm nén
ベトナム語,44,1,接触（する）,"(danh từ) Sự va chạm, tiếp xúc"
ベトナム語,44,,,"(động từ) Va chạm, tiếp xú c"
ベトナム語,44,2,作動（する）,(danh từ) Sự kích hoạt
ベトナム語,44,,,(động từ) Kích hoạt
ベトナム語,44,3,整備（する）,(danh từ) Sự bảo dưỡng
ベトナム語,44,,,(động từ) Bảo dưỡng
ベトナム語,44,4,点検（する）,(danh từ) Kiểm tra
ベトナム語,44,,,(động từ) Kiểm tra
ベトナム語,44,5,動かす,Vận hành
ベトナム語,44,6,運転（する）,"(danh từ) Vận hành, lái"
ベトナム語,44,,,"(động từ) Vận hành, lái"
ベトナム語,44,7,測る,Đo
ベトナム語,44,8,操作（する）,(danh từ) Sự điều khiển
ベトナム語,44,,,(động từ) Điều khiển
ベトナム語,45,9,停止（する）,"(danh từ) Sự dừng, ngừng"
ベトナム語,45,,,"(động từ) Dừng, ngừng"
ベトナム語,45,10,切る,"Tắt, cắt"
ベトナム語,45,11,回す,"Quay, xoay"
ベトナム語,45,12,押す,"Ấn, bấm"
ベトナム語,45,13,集める,"Tập trung, gom"
ベトナム語,45,14,触る,"Chạm, sờ"
ベトナム語,45,15,縛る,"Bó, buộc"
ベトナム語,45,16,揃える,Xếp đều
ベトナム語,45,17,結ぶ,"Nối, buộc"
ベトナム語,45,18,しゃがむ,Ngồi xổm
ベトナム語,45,19,調整（する）,(danh từ) Sự điều chỉnh
ベトナム語,45,,,(động từ) Điều chỉnh
ベトナム語,45,20,閉じる,Đóng
ベトナム語,46,1,取り出す,Lấy ra
ベトナム語,46,2,戻す,Để lại chỗ cũ
ベトナム語,46,3,仕上げる,Hoàn thiện
ベトナム語,46,4,折れる,Gẫy
ベトナム語,46,5,欠ける,"Mẻ, khuyết, thiếu"
ベトナム語,46,6,近づく,Đến gần
ベトナム語,46,7,電源を入れる,Bật nguồn điện
ベトナム語,46,8,電源を落とす,Tắt nguồn điện
ベトナム語,46,9,スイッチを切る,Tắt công tắc
ベトナム語,46,10,固定（する）,(danh từ) Sự cố định
ベトナム語,46,,,(động từ) Cố định
