日本語,pdfplumber値（正規化後）,PyMuPDF値（正規化後）,Page,No,一致
有休,ការសប្រមាកមានប្រាក់ ធរៀវតស,ករា សបម្រ កា មនា បា្រ ក់ ធរៀវតស,4.0,3,False
代休,ថ្លៃឈរ់សប្រមាកធលើកថ្លៃ,ថល្ ៃឈរ់សបម្រ កា ធលើកថល្ ៃ,4.0,4,False
労働基準法,ចារ់រទដាា នការងារ,ចារ់រទដា នា ករា ងរា,4.0,5,False
労働条件,ល័កខែ័ណឌការងារ,ល័កខែ័ណឌករា ងរា,4.0,6,False
税金,ពនធ,ពនធ,4.0,7,True
所得税,ពនធធលើប្រាក់ចំណូ ល,ពនធលើបា្រ ក់ចំណូ ល,4.0,8,False
住民税,ពនធនិវាសនជន,ពនធនិវសា នជន,4.0,9,False
厚生年金,ប្រាក់ធសា្ននិវតាន៍ ររស់និធោជិក,បា្រ ក់ធស្ា ននិវតាន៍ ររស់និធោជិក,4.0,10,False
雇用保険,ធានារា៉ារ់រងការងារ,ធនា រា ៉ារា ់រងករា ងរា,4.0,11,False
健康保険,,ធនា រា ៉ារា ់រងស ែភពា,4.0,12,False
社会保険,ធានារា៉ារ់រងសងគម,ធនា រា ៉ារា ់រងសងគម,5.0,13,False
労災,ធប្រគ្មុះថ្នន ក់ការងារ,ធបគ្រ ុ្មះថនក្ន់ករា ងរា,5.0,14,False
労災保険,ធានារា៉ារ់រងធលើធប្រគ្មុះ ថ្នន ក់ការងារ,ធនា រា ៉ារា ់រងធលើធបគ្រ ុ្មះ ថនក្ន់ករា ងរា,5.0,15,False
遅刻（する）,(ធ្វើការ) មកយឺត,(ធ្វើករា ) មកយឺត,6.0,1,False
早退（する）,(ធ្វើការ) ធេញមុនធេល,(ធ្វើករា ) ធេញមុនធេល,6.0,2,False
休憩（する）,(ធ្វើការ) សម្រាក,(ធ្វើករា ) សមា្រ ក,6.0,3,False
残業（する）,(ធ្វើការ) ការងារថែមធា៉ោ ង,(ធ្វើករា ) ករា ងរា ថែមធា៉ោ ង,6.0,4,False
定時,ធេលធ ៀងទាត់,ធេលធ ៀងទតា ់,6.0,5,False
規則,ប បញ្ជា,ប បញា ្ជ,6.0,6,False
休日,ថ្ែៃឈប់សម្រាក,ថែ្ ៃឈប់សមា្រ ក,6.0,7,False
始業時間,ធា៉ោ ងចាប់ធ្តើមការងារ,ធា៉ោ ងចបា ់ធ្តើមករា ងរា,6.0,8,False
終業時間,ធា៉ោ ងបញ្ចប់ការងារ,ធា៉ោ ងបញចប្ ់ករា ងរា,6.0,9,False
指導員,អ្នកបងាា តប់ ធម្រងៀន,អនក្ បងា តា ប់ ធមង្រ ៀន,6.0,10,False
生活指導員,អ្នកបងាា តប់ ធម្រងៀនេីការ រស់ធៅ,អនក្ បងា តា ប់ ធមង្រ ៀនេីករា រស់ធៅ,6.0,11,False
担当者,អ្នក ួលខុសម្រតេូ,អនក្ ួលខុសមត្រ េូ,6.0,12,False
スイッチ入れるな,កុំធបើកេរនតអ្គ្គិសនី,កុំធបើកេរនតអគ្ គិ្សនី,6.0,13,False
スイッチ切るな,កុំបិ េរនតអ្គ្គិនសី,កុំបិ េរនតអគ្ គិ្នសី,6.0,14,False
使用禁止,ហាមធម្របើម្រាស់,ហមា ធមប្រ ើមា្រ ស់,6.0,15,False
5S,ស ៥,ស ៥,7.0,1,True
整理,មាៃរបបៀប,មៃា របបៀប,7.0,2,False
整頓,បរៀបរយ,បរៀបរយ,7.0,3,True
清潔,ស្ថា ត,សា ត្ថ,7.0,5,False
しつけ,វៃិ ័យ,វៃិ ័យ,7.0,6,True
掃除（する）,(ប្វីការ)សមាា ត,(ប្វីករា )សមា តា,7.0,7,False
片づける,បរៀបចាំ,បរៀបចាំ,8.0,8,True
捨てる,បចល,បចល,8.0,9,True
汚い,ក្ខ្វក្់,កខ្ វក្ ់្,8.0,10,False
汚れる,្បលាក្់,្បលកា ់្,8.0,11,False
分別（する）,(ប្វីការ)ដបងដចក្,(ប្វីករា )ដបងដចក្,8.0,12,False
燃えないごみ,ស្មាមមិៃប ះ,ស្មមា មិៃប ះ,8.0,13,False
燃えるごみ,ស្មាមប ះ,ស្មមា ប ះ,8.0,14,False
挟まれる,គ្នប,គប្ន,8.0,15,False
巻き込まれる,្តវូ ាៃពាក្់ព័ៃធ,្តវូ ាៃពកា ់ព្ ័ៃធ,8.0,16,False
やけど（する）,(មាៃ)រលាក្,(មៃា )រលកា ្,8.0,17,False
落ちる,្្ះរ,្្ះរ,8.0,18,True
すべる,រអិល,រអិល,8.0,19,True
転ぶ,ែួល,ែួល,9.0,20,True
濡れる,បសើម,បសើម,9.0,21,True
衛生,អនាម័យ,អនមា ័យ,9.0,22,False
避難（する）,(ប្វីការ)្បមែៀស,(ប្វីករា )្បមែៀស,9.0,23,False
救急車,ឡាៃសប្ងាគ ះបនាា ៃ់,ឡៃា សប្ងគះា បនា ៃា ់,9.0,24,False
災害,ប្គ្នះមហៃតោយ,ប្គះ្នមហៃតោយ,9.0,25,False
地震,ការរញ្ជ យួ ែី,ករា រញជ្យួ ែី,9.0,26,False
もぐる,មុ្,មុ្,9.0,27,True
火気厳禁,ហាមដាច់ខាតប្រើប្លើង,ហមា ដចា ់ខតា ប្រើប្លើង,10.0,1,False
開放厳禁,ហាមដាច់ខាតបរើកចំហ,ហមា ដចា ់ខតា បរើកចំហ,10.0,2,False
標識,សញ្ញា,សញា ្ញ,10.0,3,False
気をつける,ខ្ ញំនឹង្រងុ ្រយ័តន,ខ្ ញំនឹង្រងុ ្រយ័តន,10.0,4,True
持ち込む,យកចូល,យកចូល,10.0,5,True
防ぐ,រង្កា រ,រងា រ្ក,10.0,6,False
火,ប្លើង,ប្លើង,10.0,7,True
煙,ផ្សែង,ផស្ ែង,10.0,8,False
消火,ព្នលត់អគ្គិ្័យ,ព្នលត់អគគិ្ ័យ,10.0,9,False
消火器,ឧរករណ៍ព្នលត់អគ្គិ្័យ,ឧរករណ៍ព្នលត់អគគិ្ ័យ,10.0,10,False
非常ベル,កណតឹងអាសនន,កណតឹងអសា នន,10.0,11,False
火災報知機,កណតឹង្រកាសអគ្គិ្័យ,កណតឹង្រកសា អគគិ្ ័យ,10.0,12,False
逃げる,រត់បគ្ច,រត់បគច្,10.0,13,False
現場,កផ្នលងការង្ករ,កផន្ លងករា ងរ្ក,10.0,14,False
作業,ការង្ករ,ករា ងរ្ក,10.0,15,False
ミーティング,ការ្រជុំ,ករា ្រជុំ,10.0,16,False
研修（する）,(ប្វើការ)កមមសិកា,(ប្វើករា )កមសិកា,10.0,17,False
実習（する）,(ប្វើការ)សិកា,(ប្វើករា )សិកា,11.0,18,False
あいさつ,ររវកិចច,ររវកិច,11.0,19,False
確認（する）,(ប្វើការ)រញ្ញា ក់,(ប្វើករា )រញា ក្ញ ់,11.0,20,False
報告（する）,(ប្វើការ)ការោយការណ៍,(ប្វើករា )ករា ោយករា ណ៍,11.0,21,False
連絡（する）,(ប្វើការ)ទាក់ទង,(ប្វើករា )ទកា ់ទង,11.0,22,False
相談（する）,(ប្វើការ)ព្ិភាកា,(ប្វើករា )ពិ្ភកា ា,11.0,23,False
渡す,ឆ្លងកាត់,ឆលង្ កតា ់,11.0,24,False
申請書,ពាកែបសនើសុំ,ពកា ែបសនើសុំ,11.0,25,False
寝坊（する）,(ប្វើការ)បគ្ង្ជលុ,(ប្វើករា )បគង្ ្ជលុ,11.0,26,False
技能,ជំនាញ,ជំនញា,12.0,1,False
技能検定試験,ប្រឡងសមត្ថិភាពជំនាញ,បរ្ ឡងសមតថិភ្ ពា ជំនញា,12.0,2,False
受検（する）,(ធ្វើ)ការប្រឡង,(ធ្វើ)ករា បរ្ ឡង,12.0,3,False
資格,សមត្ថភាព(ជំនាញ),សមតថភ្ ពា (ជំនញា ),12.0,4,False
手当,ប្ាក់ឧរត្ថមភ,បា្ ក់ឧរតថម្ ភ,12.0,5,False
社員,រុគ្គលកិ ប្កមុ ហ ុន,រុគគល្ កិ បក្ មុ ហ ុន,12.0,6,False
部長,ប្រធានផ្នែក,បរ្ ធនា ផន្ ែក,12.0,7,False
課長,ប្រធានការយាិ លយ័,បរ្ ធនា ការយិ លា យ័,12.0,8,False
更衣室,រនទរផ្ល់ ា ស់សធមាៀករំពាក់,រនទរផ់ ា ស្ល់សធមាៀករំពកា ់,12.0,9,False
台車,រទះរុញឥវ៉ាន់,រទះរុញឥវ៉ាន់,12.0,10,True
床,កប្ាល,កបា្ ល,12.0,11,False
出口,ប្រកធរញ,បរ្ កធរញ,12.0,12,False
電気,អគ្គីសនី,អគគីស្ នី,12.0,13,False
警報音,សធមាងប្រកាសអាសនែ,សធមាងបរ្ កសា អសា នែ,12.0,14,False
コンセント,ប្ពីធ្ាើង,បព្ ីធ្ាើង,12.0,15,False
作業場,កផ្នាងធ្វើការ,កផន្ ាងធ្វើករា,12.0,16,False
作業台,ត្ុធ្វើការ,តុធ្ ្វើករា,12.0,17,False
工事現場,ការដ្ឋា នសំណង់,ករា ដា ន្ឋ សំណង់,12.0,18,False
職長,អែកដឹកនាំប្កមុ,អែកដឹកនំាបក្ មុ,12.0,19,False
作業責任者,អែកទទួលខុសប្ត្វូ ការងារ,អែកទទួលខុសបត្ វ្ូ ករា ងរា,12.0,20,False
禁止,ហាម,ហមា,13.0,1,False
表示板,ផ្ទ ងាំ បង្ហា ញព័ត៍មាន,ផទង្ាំ បងា ញ្ហព័ត៍មនា,13.0,2,False
禁止事項,ប្បការហាមឃាត់,បប្ ករា ហមា ឃតា ់,13.0,3,False
避難訓練,ហ្វកឹ ហាត់ជមមលៀសមេញ,ហវកឹ្ ហតា ់ជមមលៀសមេញ,13.0,4,False
感電,,,,,False
感電する,,,,,False
防止,,,,,False
防止する,,,,,False
予防,,,,,False
予防する,,,,,False
転倒,,,,,False
転倒する,,,,,False
挟まる,គាប,គបា,13.0,9,False
足元,មជើងមប្កាម,មជើងមបក្ មា,13.0,10,False
不安定,,,,,False
不安定な,,,,,False
後片付け,ការមរៀបេាំមពលមប្កាយ,ករា មរៀបេាំមពលមបក្ យា,13.0,12,False
救急箱,ប្បអប់សមប្ង្ហគ ោះបន្ទទ ន់,បប្ អប់សមបង្ គោ្ហបះ នទន្ទ់,13.0,13,False
絆創膏,បនទោះបិទមលើស្នា មរបួស,បនទោបះ ិទមលើសា ម្នរបួស,13.0,14,False
体調,ស្នេ នភាពសុខភាពខល នួ,សេ្នភពា សុខភពា ខលនួ,13.0,15,False
血,ឈាម,ឈមា,13.0,16,False
熱中症,ការដួលសនលបម់ ោយស្នរ កមតៅ,ករា ដួលសនលបម់ ោយសរ្ន កមតៅ,13.0,17,False
吐き気,េង់កអ តួ,េង់កអតួ,13.0,18,False
嘔吐,,,,,False
嘔吐する,,,,,False
足がつる,សាំយ ុងមជើង,សាំយ ុងមជើង,13.0,20,True
気分が悪い,មិនប្សួលខល នួ,មិនបស្ ួលខលនួ,13.0,21,False
寝不足,មគ្ងមិនប្គ្ប់,មគ្ងមិនបគ្ ប្ ់,13.0,22,False
安全ネット,សាំណាញ់សុវតេិភាព,សាំណញា ់សុវតេិភពា,13.0,23,False
安全点検,ប្តួតពិនិតយសុវតេិភាព,បត្ ួតពិនិតយសុវតេិភពា,13.0,24,False
KY活動（危険予知活動）,សកម្មភាពKY (សកម្មភាពពាករណ៏ហា នីភយ)័,សកមមភ្ ពា KY (សកមមភ្ ពា ពាករណ៏ហា នីភយ)័,14.0,1,False
危険,គ្រោះថ្នា ក់,គ្រោះថា ក្ន់,14.0,2,False
ぶつかる,ប ោះទង្គិច,ប ោទះ ងគិច្,14.0,3,False
当たる,្រវូ នឹង្,្រវូ នឹង្,14.0,4,True
下敷きになる,កិនសង្ារ់,កិនសងារ្ ់,14.0,5,False
打つ,ដំ,ដំ,14.0,6,True
バランスを崩す,បារ់បង្់រ លយភាព,បរា ់បង់រ្ លយភពា,14.0,7,False
倒れる,ដួលរលំ,ដួលរលំ,14.0,8,True
転落,,,,,False
転落する,,,,,False
指差呼称,ចង្អ ុលគៅគ្ម ោះ,ចងអុល្ គៅគ្មោះ,14.0,10,False
ヒヤリハット,គសទើបរនឹង្មនគ្រោះថ្នា ក់,គសទើបរនឹងម្ នគ្រោះថា ក្ន់,14.0,11,False
原因,ម្ូលគេរ,មូល្ គេរ,14.0,12,False
対策,វធ្លិ នការ,វធិ ន្លករា,14.0,13,False
落下,,,,,False
落下する,,,,,False
墜落,,,,,False
墜落する,,,,,False
確認,,,,,False
確認する,,,,,False
作業着,សម្លៀកបំពាក់ម្វើការ,សម្លៀកបំពកា ់ម្វើករា,15.0,1,False
作業服,សម្លៀកបំពាក់ការងារ,សម្លៀកបំពកា ់ករា ងរា,15.0,2,False
作業靴,ស្សែកម ើងការងារ,សស្ ែកម ើងករា ងរា,15.0,3,False
手袋,មរោ្ដៃ,មរោ្ដៃ,15.0,4,True
帽子,្ួក,្ួក,15.0,5,True
保護帽（ヘルメット）,្ួកការពារ(្ួកបងាា រ មររោះថ្នា ក់),្ួកករា ពរា (្ួកបងា រា មររោះថា ក្ន់),15.0,6,False
保護具,ឧបករណ៏បងាា រមររោះថ្នា ក់,ឧបករណ៏បងា រា មររោះថា ក្ន់,15.0,7,False
あごひも,ស្សែរកវ៉ាត់ចងាា រ,សស្ ែរកវ៉ាត់ចងា រា,15.0,8,False
ボタン,មេវ,មេវ,15.0,9,True
ポケット,មោម ៉ៅ,មោម ៉ៅ,15.0,10,True
保護メガネ,ស្វនតាការពារ,សវ្ នតកា រា ពរា,15.0,11,False
マスク,ម៉ៅ ស់,ម៉ៅ ស់,15.0,12,True
耳栓,ឆ្ន ុករតមចៀក,ឆនុក្ រតមចៀក,15.0,13,False
安全靴,ស្សែកម ើងសុវតថភាិ ព,សស្ ែកម ើងសុវតថភិ ពា,15.0,14,False
墜落制止用器具（安全 帯）,ឧបករណ៏សំរាប់បញ្ឈប់ ការធ្លល ក់ចុោះ(ស្សែរកវ៉ាត់ សុវតថភាិ ព),ឧបករណ៏សំរបា ់បញឈ្ ប់ ករា ធលក្ល់ចុោ(ះសស្ ែរកវ៉ាត់ សុវតថភិ ពា ),15.0,15,False
業務,កិចចការ,កិចករា,16.0,16,False
時間厳守,របកាន់មពលមវលាខាា ប់សជ នួ,របកនា ់មពលមវលខា ា បា ់សជនួ,16.0,17,False
予定,គមរមង,គមរមង,16.0,18,True
日付,កាលបរមិចេទ,កលា បរមិចេទ,16.0,19,False
準備,,,,,False
準備（する）,(ការ)មរតៀ្,(ករា )មរតៀ្,16.0,20,False
会議,ការរប ុំ,ករា រប ុំ,16.0,21,False
朝礼,ការរប ុំមពលរពឹក,ករា រប ុំមពលរពឹក,16.0,22,False
報告書,មសចកតរាី យការណ៏,មសចកតរី យា ករា ណ៏,16.0,23,False
マニュアル,មសៀវមៅស្ណនំ,មសៀវមៅសណ្ នំ,16.0,24,False
作業手順書,ឯកោរនីតិវ្ិ ីការងារ,ឯកោរនីតិវ្ិ ីករា ងរា,16.0,25,False
調子,ចលនកន ុងសល នួ,ចលនកនុងសលនួ,16.0,26,False
立入禁止,ហាមចូល,ហមា ចូល,17.0,1,False
禁煙,ហាមជក់បារី,ហមា ជក់បារី,17.0,2,False
駐車禁止,ហាមចត,ហមា ចត,17.0,4,False
足もと注意,ប្បយ័តនប ៉ះភជើង,បប្ យ័តនប ៉ភះជើង,17.0,5,False
開口部注意,ប្បយ័តនផ្ននកភបើកចំហ,បប្ យ័តនផន្ កភបើកចំហ,17.0,6,False
感電注意,ប្បយ័តនឆក់,បប្ យ័តនឆក់,17.0,7,False
堕落注意,ប្បយ័តនធ្លល ក់,បប្ យ័តនធលក្ល់,17.0,8,False
頭上注意,ប្បយ័តនភលើកាល,បប្ យ័តនភលើកាល,17.0,9,False
警報設備,កផ្លលងចុចប្បកាសអាសលន,កផល្ លងចុចបប្ កសា អសា លន,17.0,10,False
AED設置場所,ទីតងំ បំពាកA់ ED,ទីតងំ បំពកា A់ ED,18.0,12,False
保護帽着用,ពាក់មួកការពារ(មួក បង្កា រភប្រ៉ះថ្នន ក់),ពកា ់មួកករា ពរា (មួក បងា រ្កភបរ្ ៉ថះ នក្ន់),18.0,13,False
安全帯使用,ភប្បើផ្សែប្កវ៉ាត់សុវតថិភាព,ភបប្ ើផស្ ែបក្ វ៉ាត់សុវតថិភពា,18.0,14,False
昇降階段,ជភ្តើរភ ើងចុ៉ះ,ជភ្តើរភ ើងចុ៉ះ,18.0,15,True
休憩所,កផ្លលងសប្ាក,កផល្ លងសបា្ ក,18.0,16,False
最大積載荷重,សមតថភាពនទកុ អតិបរា,សមតថភពា នទកុ អតិបរា,18.0,17,False
喫煙所,កផ្លលងជក់បារី,កផល្ លងជក់បារី,18.0,18,False
整理整頓,ភរៀបចំ សណ្តត ប់ធ្លន ប់,ភរៀបចំ សណតប្ត់ធនប្ល់,18.0,19,False
安全通路,នល វូ សុវតថិភាព,នលវូ សុវតថិភពា,18.0,20,False
三連クランプ,ដង(cid:544)៣(cid:814)(cid:671)(cid:572)ំ ប់(cid:545)(cid:645),ដងȠ៣ ̮ʟȼំ ប់ȡʅ,19.0,1,False
ベルトコンベア （ベルコン）,ែខ(cid:717)បន(cid:635)ះយន(cid:625),ែខˍបនɻះយនɱ,19.0,2,False
かけや,ញញ(cid:819)រេឈ(cid:822),ញញ̳ រេឈ̶,19.0,3,False
ランマ,(cid:676)៉សុីនប(cid:559)(cid:726)ប់ដី,ʤ៉សុីនបȯ˖ ប់ដី,19.0,4,False
自在クランプ,ដង(cid:544)(cid:814)ំេសរ(cid:801),ដងȠ ̮ំេសរ̡,19.0,5,False
キャッチクランプ,ដង(cid:544)(cid:814)ំ(cid:564)ប់,ដងȠ ̮ំȴប់,19.0,6,False
吊り上げ用クランプ,ដង(cid:544)(cid:814)ំស(cid:688)(cid:676)ប់ស(cid:636) (cid:817)ចេ,ដងȠ ̮ំសhʤប់សɼ ̱ចេ,19.0,7,False
直交クランプ,ដង(cid:544)(cid:814)ំ(cid:598)ក់(cid:688)តង់,ដងȠ ̮ំɖក់hតង់,19.0,8,False
フック,ទំពក់,ទំពក់,19.0,9,True
ストレートシャックル,តួ(cid:676)៉សុីន(cid:719)(cid:698)ន(cid:690)ង(cid:688)តង់,តួʤ៉សុីនˏʺ នjងhតង់,19.0,10,False
滑車,ឧបករណ៏រ(cid:843)ក,ឧបករណ៏រ͋ក,20.0,11,False
クレーン,(cid:676)៉សុីនស(cid:636) (cid:817)ច,ʤ៉សុីនសɼ ̱ច,20.0,12,False
移動式クレーン,(cid:676)៉សុីនស(cid:636) (cid:817)ចចល័ត,ʤ៉សុីនសɼ ̱ចចល័ត,20.0,13,False
介しゃくロープ,ែខ(cid:717)ពួរជំនួយ,ែខˍពួរជំនួយ,20.0,14,False
筋かい止めピン,(cid:540)(cid:635)ស់(cid:671)(cid:572) ប់ឧបករណ៏ (cid:598)ក់ចេ(cid:647)(cid:693) ះសសរ,Ȝɻ ស់ʟȼ ប់ឧបករណ៏ ɖក់ចេʇɻ ះសសរ,20.0,16,False
脚柱ジョイント,តំណេជ(cid:822)ង,តំណេជ̶ង,20.0,17,False
連結ピン,(cid:540)(cid:645)ស់ត(cid:671)(cid:572) ប់,Ȝʅ ស់តʟȼ ប់,20.0,18,False
ジョイント金具,ែដកតំណ,ែដកតំណ,20.0,19,True
レバーブロック,ប(cid:694)(cid:814)ក(cid:676)នដង,បʁ ̮កʤនដង,20.0,20,False
電動のこ（丸のこ）,(cid:676)៉សុីនរ(cid:622)រ,ʤ៉សុីនរɮរ,20.0,21,False
モンキースパナ,ឧបករណ៏េ(cid:598)ះប៊ូឡ(cid:813) ង,ឧបករណ៏េɖះប៊ូឡ̭ ង,21.0,22,False
親綱支柱,(cid:688)បព័ន(cid:640)ែខ(cid:717)សុវត(cid:630)ិ(cid:671)ព,hបព័នʀែខˍសុវតɶិʟព,21.0,23,False
ブラケット,ែកង(cid:688)ទ,ែកងhទ,21.0,24,False
梯子,ជេណ(cid:625)(cid:822)រ(cid:598)ក់,ជេណɱ ̶រɖក់,21.0,25,False
親綱,ខ្សែពួរមេ,ខស្ ែពួរមេ,22.0,1,False
建枠（ビティ）,គំរបឈ្នន ន់(ប ៊ី្ី),គំរបឈន្ន់(ប ៊ី្ី),22.0,2,False
メッシュシート,ក្កណាត់សំណាញ់,កក្ ណតា ់សំណញា ់,22.0,3,False
防音パネル,ផ្ា ងំ ប់សមេលង,ផា ្ងំ ប់សមេលង,22.0,4,False
朝顔材,ផ្ា ងំ មក្ៅសក្ម្ខប់ការពារ,ផា ្ងំ មកៅ្ សកម្ ប្ខ់ករា ពរា,22.0,5,False
架空線,ខ្សែមលើ,ខស្ ែមលើ,22.0,6,False
幅木（仮設足場）,កាត របងំ មជើង(កខ្នលង ដ្ឋក់មជើងបមណាត ះោសនន),កតរា បងំ មជើង(កខន្ លង ដក្ឋ ់មជើងបមណតះា ោសនន),22.0,7,False
単管,បំពង់ឯក,បំពង់ឯក,22.0,8,True
脚立,ជមណតើរមកាង,ជមណតើរមកងា,22.0,9,False
作業半径,កាក្ំ បតិបតតិការងារ,កកំា ប្ តិបតិករា ងរា,23.0,10,False
仮ボルト,បូ ុ ងបមណាត ះោសនន,បូ ុ ងបមណតះា ោសនន,23.0,11,False
手直し,ខ្កម ើងវញិ,ខក្ ម ើងវញិ,23.0,12,False
面一,មោយនផាទងំ ពីរមសមើរន,មោយនផាទងំ ពីរមសមើរន,23.0,13,True
点検事項,ក្បការក្តួតពិនិតយ,កប្ ករា កត្ ួតពិនិតយ,23.0,14,False
積載荷重,េងន់ចំណុ ះដ្ឋក់,េងន់ចំណុ ះដក្ឋ ់,23.0,15,False
すき間,ចមន្ទល ះ,ចមនលះ្ទ,23.0,16,False
通りを見る,ពិនិតយផល វូ ថ្នល់,ពិនិតយផលវូ ថនល្ ់,23.0,17,False
組立,តមេលើង,តមេលើង,23.0,18,True
地組,ការផ្ គំេូលដ្ឋា ន,ករា ផ្ គំេូលដា ន្ឋ,23.0,19,False
天端,ខ្ផនកខ្ទងមលើននសំណង់,ខផ្ នកខង្ទមលើននសំណង់,24.0,20,False
玉掛け,ចំណងTamagake,ចំណងTamagake,24.0,21,True
合図,សញ្ញា,សញា ្ញ,24.0,22,False
定格荷重,េងន់តេខ្ទន ត,េងន់តេខនត្ទ,24.0,23,False
たち,បញ្ឈរ,បញឈ្ រ,24.0,24,False
安全帯,ផ្ខ្ែម្កវា៉ាត្់សុវត្ថិភាព,ផខ្ ែ្ មក្ វ៉ាតា ់្សុវតថិ្ភពា,25.0,2,False
インサート,បញ្ច លូ,បញចល្ូ,25.0,3,False
スペーサ,ឧបករណ៏រកាចស្ែ ោះ,ឧបករណ៏រកាចស្ែោះ,25.0,4,False
鉄筋,សរសសផ្ ក,សរសសផ ្ ក,25.0,5,False
電工ドラム（ドラム）,ផ្ខ្ែស្ែើងរំផ្វង( ូ រ៉ារ រ ុ ),ផខ្ ែ្ ស្ែើងរំផវ្ ង( ូ រ៉ារ រ ុ ),25.0,6,False
電動丸のこ（電のこ）,រណាម៉ា សុ៊ីន(ស ង ណូ កូ ),រណមា ៉ា សុ៊ីន(ស ង ណូ កូ ),25.0,7,False
パッキン,ថ្នា បំ ិទ ិត្,ថា ្នបំ ិទ ិត្,25.0,8,False
