"だ い       か       き     そ
第1課基礎30",Unnamed: 2,Unnamed: 8,Unnamed: 10,Unnamed: 11,Unnamed: 17,Unnamed: 28,Unnamed: 35
1,5S,ごえす,,5S,"Seiri (sorting), Seiton (set in order), Seiso (shine), Seiketsu (standardize), and Shitsuke (sustain). Each of these five words starts with S. 5S is used to improve the work environment and maintain the improved work environment.",,
2,整理,せいり,,Seiri (Sorting),To identify what are necessary and unnecessary and share the results to improve quality and productivity.,,
3,整頓,せいとん,,Seiton (Set in order),To determine where and how to store necessary tools and materials and indicate them properly to reduce unreasonable or wasteful motions.,,
4,清掃,せいそう,,Seisou (Shine),To clean the workplace to make the right workplace condition easily identifiable.,,
5,清潔,せいけつ,,Seiketsu (standardize),"To thoroughly implement Seiri, Seiton, and Seisou to keep the clean and normal condition.",,
6,しつけ,しつけ,,Shitsuke (Sustain),To create an atmosphere in which workers discipline themselves to follow the rules and cooperate each other.,,
7,掃除（する）,そうじ（する）,,Cleaning (to clean),,,
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
8,片づける,かたづける,,To tidy up,,,
9,捨てる,すてる,,To throw away,,,
10,汚い,きたない,,Dirty,,,
11,汚れる,よごれる,,To get dirty,,,
12,分別（する）,ぶんべつ（する）,,To sort waste,,,
13,燃えないごみ,もえないごみ,,Nonburnable waste,,,
14,燃えるごみ,もえるごみ,,Burnable waste,,,
15,挟まれる,はさまれる,,To get sandwiched in between,,"き か い       て       はさ
機械に手が挟まれた",My hand got sandwiched in the machine.
16,巻き込まれる,まきこまれる,,To get caught in,,"き か い       て         ま        こ
1)機械に手が巻き込まれる
てぶくろ                         ばん      ま        こ
2)手袋がフライス盤に巻き込まれる","1)   Hands may get caught in the machine.
2)   A glove may get caught in the milling machine."
17,やけど（する）,やけど（する）,,Burn (to get burned),,,
18,落ちる,おちる,,To fall,,"かいだん           お
階段から落ちる",Fall from the stairs.
19,すべる,すべる,,To slip,,"ゆか
床がすべる",The floor is slippery.
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
20,転ぶ,ころぶ,,To fall; stumble,,"こうじょう                         ころ
工場ですべって転んだ",I slipped and stumbled in the factory.
21,濡れる,ぬれる,,To get wet,,,
22,衛生,えいせい,,Sanitation,,,
23,避難（する）,ひなん（する）,,Evacuation (to evacuate),,,
24,救急車,きゅうきゅうしゃ,,Ambulance,,,
25,災害,さいがい,,Disaster,,,
26,地震,じしん,,Earthquake,,"じ し ん        お
地震が起きる",An earthquake occurs.
27,もぐる,もぐる,,To hide; dive,,"じ し ん         つくえ   した
地震だ！机の下にもぐれ！",Earthquake! Hide under the desk!
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
1,火気厳禁,かきげんきん,,No fire,,,
2,開放厳禁,かいほうげんきん,,Keep closed.,,,
3,標識,ひょうしき,,Sign,,,
4,気をつける,きをつける,,To pay attention,,,
5,持ち込む,もちこむ,,To bring in,,"こうじょう     けいたいでんわ       も        こ
工場に携帯電話を持ち込んではいけ
ない",Do not bring your cell phone in the factory.
6,防ぐ,ふせぐ,,To prevent,,"あんぜんかくにん           じ   こ       ふせ
安全確認して事故を防ぐ",Prevent accidents by checking safety.
7,火,ひ,,Fire,,,
8,煙,けむり,,Smoke,,,
9,消火,しょうか,,Fire extinguishing,,,
10,消火器,しょうかき,,Fire extinguisher,,,
11,非常ベル,ひじょうべる,,Emergency alarm,,,
12,火災報知機,かさいほうちき,,Fire alarm,,,
13,逃げる,にげる,,To escape,,,
14,現場,げんば,,Site; shop floor,,,
15,作業,さぎょう,,Work,,,
16,ミーティング,みーてぃんぐ,,Meeting,"Conferences, morning gatherings, and evening gatherings can also be called a ""ミーティング.""",,
17,研修（する）,けんしゅう（する）,,Training (to train/be trained),,,
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
18,実習（する）,じっしゅう（する）,,Practical training (to give/receive practical training),,,
19,あいさつ,あいさつ,,Greeting,,,
20,確認（する）,かくにん（する）,,Check (to check),,,
21,報告（する）,ほうこく（する）,,Report (to report),,,
22,連絡（する）,れんらく（する）,,Communication (to communicate),,,
23,相談（する）,そうだん（する）,,Consultation (to consult),,,
24,渡す,わたす,,To hand over,Refers to passing something to somebody.,,
25,申請書,しんせいしょ,,Application,,,
26,寝坊（する）,ねぼう（する）,,Oversleeping (to oversleep),,,
だい    か   ぎ の うじっしゅう,,,,,,,
"第8課技能実習
Lesson 8: Skills training",,,,,,,
No.,Word/Phrase,How to read (Hiragana),,,,,
1,技能,ぎのう,,,,,
2,技能検定試験,ぎのうけんていしけん,,,,,
3,受検（する）,じゅけん（する）,,,,,
4,資格,しかく,,,,,
5,手当,てあて,,,,,
6,社員,しゃいん,,,,,
7,部長,ぶちょう,,,,,
8,課長,かちょう,,,,,
9,更衣室,こういしつ,,,,,
10,台車,だいしゃ,,,,,
11,床,ゆか,,,,,
12,出口,でぐち,,,,,
13,電気,でんき,,,,,
14,警報音,けいほうおん,,,,,
15,コンセント,こんせんと,,,,,
16,作業場,さぎょうば,,,,,
17,作業台,さぎょうだい,,,,,
18,工事現場,こうじげんば,,,,,
19,職長,しょくちょう,,,,,Follow foreman's instructions when assembling scaffolding
20,作業責任者,さぎょうせきにんしゃ,,,,,
だい    か   あんぜんえいせい      けんこうか ん り,,,,,,,
"第9課安全衛生3・健康管理
Lesson 9: Safety3 and Health management",,,,,,,
No.,Word/Phrase,How to read (Hiragana),Translation,,,,
1,禁止,きんし,Prohibition,,,,
2,表示板,ひょうじばん,Display board,,,,
3,禁止事項,きんしじこう,Prohibited items,,,,
4,避難訓練,ひなんくんれん,Evacuation drill,,,,
5,感電（する）,かんでん（する）,Electric shock (Get an electric shock),,,,
6,防止（する）,ぼうし（する）,Prevention (Prevent),,,,
7,予防（する）,よぼう（する）,Precaution (Take precautions),,,,
8,転倒（する）,てんとう（する）,Falling (Fall),,,,
9,挟まる,はさまる,Get caught,,,,
10,足元,あしもと,Footsteps,,,,
11,不安定（な）,ふあんてい（な）,Instability (Unstable),,,,
12,後片付け,あとかたづけ,Cleanup,,,,
13,救急箱,きゅうきゅうばこ,First aid kit,,,,
14,絆創膏,ばんそうこう,Adhesive plaster,,,,
15,体調,たいちょう,Physical condition,,,,
16,血,ち,Blood,,,,
17,熱中症,ねっちゅうしょう,Heatstroke,,,,
18,吐き気,はきけ,Nausea,,,,
19,嘔吐（する）,おうと（する）,Vomiting (Vomit),,,,
20,足がつる,あしがつる,Have a leg cramp,,,,
21,気分が悪い,きぶんがわるい,Feel sick,,,,
22,寝不足,ねぶそく,Lack of sleep,,,,
23,安全ネット,あんぜんねっと,Safety net,,,,
24,安全点検,あんぜんてんけん,Safety inspection,,,,
だい       か,かつどう,,,,,,
"第10課 KY活動
Lesson 10: KY activities",,,,,,,
No.,Word/Phrase,How to read (Hiragana),,Translation,,,
1,KY活動（危険予知活動）,けーわいかつどう（きけんよちかつどう）,,KY Activities (Hazard prediction activities),,,
2,危険,きけん,,Hazard,,,
3,ぶつかる,ぶつかる,,Bump into,,,
4,当たる,あたる,,Hit,,,
5,下敷きになる,したじきになる,,Become trapped under,,,
6,打つ,うつ,,Strike,,,
7,バランスを崩す,ばらんすをくずす,,Lost one's balance,,,
8,倒れる,たおれる,,Collapse,,,
9,転落（する）,てんらく（する）,,Falling off ( Fall off),,,
10,指差呼称,しさこしょう,,Pointing and calling,,,
11,ヒヤリハット,ひやりはっと,,"""Hiyari-Hatto"" (Near-miss incident)",,,
12,原因,げんいん,,Cause,,,
13,対策,たいさく,,Countermeasure,,,
14,落下（する）,らっか（する）,,Falling (Fall),,,
15,墜落（する）,ついらく（する）,,Falling down (Fall down),,,
16,確認（する）,かくにん（する）,,Check (Check),,,
"けんせつ       しょくば                  か    こ         けいけん                はたら   ひと        じ    こ                                  まも
建設の職場には、過去の経験から、働く人を事故やけがから守るためのルールがあります。
おも                                                           みな                  じ  ぶ  ん        な  か  ま        あんぜん                          かなら     まも
めんどうだと思うかもしれませんが、皆さんも自分や仲間の安全のために必ず守ってください。
There are rules to protect workers from accidents and injuries based on past experiences in the construction workplace. It may seem like a hassle, but be sure to follow them for the safety of yourself and your fellow workers.",,,,,,,
,,,,,,,
No.,Word/Phrase,How to read (Hiragana),,Translation,,,
1,作業着,さぎょうぎ,,Work clothes,,,
,,,,,,,
2,作業服,さぎょうふく,,Work uniform,,,
3,作業靴,さぎょうぐつ,,Work shoes,,,
4,手袋,てぶくろ,,Gloves,,,
,,,,,,,
,,,,,,,
5,帽子,ぼうし,,Cap,,,
6,保護帽（ヘルメット）,ほごぼう（へるめっと）,,Safety helmet (Helmet),,,
,,,,,,,
7,保護具,ほごぐ,,Protective equipment,,,
,,,,,,,
8,あごひも,あごひも,,Chin strap,,,
9,ボタン,ぼたん,,Button,,,
,,,,,,,
10,ポケット,ぽけっと,,Pocket,,,
,,,,,,,
11,保護メガネ,ほごめがね,,Safety glasses,,,
,,,,,,,
12,マスク,ますく,,Mask,,,
13,耳栓,みみせん,,Earplugs,,,
14,安全靴,あんぜんぐつ,,Safety shoes,,,
15,墜落制止用器具（安全帯）,"ついらくせいしようきぐ
（あんぜんたい）",,Fall protection equipment (Safety belt),,,
,,,,,,,
,,,,,,,
No.,Word/Phrase,How to read (Hiragana),,Translation,,,
16,業務,ぎょうむ,,Work,,,
17,時間厳守,じかんげんしゅ,,Punctuality,,,
18,予定,よてい,,Schedule,,,
19,日付,ひづけ,,Date,,,
20,準備（する）,じゅんび（する）,,Preparation (Prepare),,,
21,会議,かいぎ,,Meeting,,,
22,朝礼,ちょうれい,,Morning meeting,,,
23,報告書,ほうこくしょ,,Report,,,
24,マニュアル,まにゅある,,Manual,,,
25,作業手順書,さぎょうてじゅんしょ,,Operating procedures,,,
26,調子,ちょうし,,Condition,,,
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
1,立入禁止,たちいりきんし,,DO NOT ENTER,,,
2,禁煙,きんえん,,NO SMOKING,,,
3,火気厳禁,かきげんきん,,NO OPEN FLAMES,,,
4,駐車禁止,ちゅうしゃきんし,,NO PARKING,,,
5,足もと注意,あしもとちゅうい,,WATCH YOUR STEP,,,
6,開口部注意,かいこうぶちゅうい,,DANGER OPEN HOLE,,,
7,感電注意,かんでんちゅうい,,"DANGER
ELECTRIC SHOCK RISK",,,
8,堕落注意,ついらくちゅうい,,DANGER FALL HAZARD,,,
9,頭上注意,ずじょうちゅうい,,WATCH YOUR HEAD,,,
10,警報設備,けいほうせつび,,ALARM SYSTEM,,,
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
11,消火器,しょうかき,,FIRE EXTINGUISHER,,,
12,AED設置場所,えーいーでぃーせっち                   ばしょ,,AED INSIDE,,,
13,保護帽着用,ほごぼうちゃくよう,,WEAR SAFETY HELMET,,,
14,安全帯使用,あんぜんたいしよう,,WEAR SAFETY HARNESS,,,
15,昇降階段,しょうこうかいだん,,STAIRWAY,,,
16,休憩所,きゅうけいじょ,,BREAK AREA,,,
17,最大積載荷重,さいだいせきさいかじゅう,,MAXIMUM LOAD CAPACITY,,,
18,喫煙所,きつえんじょ,,SMOKING AREA,,,
19,整理整頓,せいりせいとん,,KEEP IN ORDER,,,
20,安全通路,あんぜんつうろ,,SAFETY PASSAGE,,,
No.,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
No.,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
No.,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
1,親綱,おやづな,,Main rope,It is a rope used to hook a safety belt (a belt with a safety rope) at a construction site. It is stretched tightly between posts without slacking to protect workers' lives at the site.,"お やづな        あんぜんたい
親綱に安全帯をかける",Hook the safety belt to the main rope
2,建枠（ビティ）,たてわく（びてぃ）,,Standard scaffold frame (Beatty frame),,"た て わ く                                   も ち               あ  し  ば         く  み  た
建枠（ビティ）を用いて足場を組立て
る",Assemble a scaffold using standard scaffold frames (Beatty frames)
3,メッシュシート,めっしゅしーと,,Mesh sheet,"It is also called a ""curing sheet"" or ""scattering prevention net.""","あ  し  ば  わ く                                                           と          つ
足場枠にメッシュシートを取り付け                               る",Cover the fabricated frame scaffold with mesh sheets
4,防音パネル,ぼうおんぱねる,,Soundproof panel,,"そ う お ん た い さ く                   ぼ う お ん                             せ  っ  ち
騒音対策として防音パネルを設置す
る",Install soundproof panels to reduce noise
5,朝顔材,あさがおざい,,Protective shelf,,"あ さ がおざ い        ひ  ら  い  ら  っ  か  ぼ  う  し
朝顔材は飛来落下防止のためにつか
う",Use protective shelves to prevent flying and falling objects
6,架空線,かくうせん,,Overhead power line,There is a high possibility of an electric shock accident if you touch an overhead power line because of the high voltage electricity.,"か   く   う せ ん        せっしょく
架空線へ接触させないようにする",Prevent the scaffold from contacting overhead power lines
7,幅木（仮設足場）,はばき（かせつあしば）,,Baseboard (Temporary scaffolding),,"ろ う ど う し ゃ        つ い て ん ら く       き     ぐ           ら  っ  か  ぼ   う  し
労働者の墜転落・器具の落下防止の
あ  し  ば         は  ば  き        も う
ために足場に幅木を設ける",Install baseboards on the scaffold to prevent workers and equipment from falling
8,単管,たんかん,,Single pipe,"""Tankan"" is an abbreviation of ""tankan pipe."" It is also called a ""pipe.""","たん かん        も ち                あ  し  ば           く             た
単管を用いて足場を組み立てる",Build scaffold using single pipes
9,脚立,きゃたつ,,Stepladder,,,
10,作業半径,さぎょうはんけい,,Operating radius,It is a radius of heavy machinery's rotation. The area is often forbidden to enter to prevent contact accidents.,"じ ゅ う き さ ぎ ょ う         さ ぎ ょ う は ん け い          た           い               き ん
重機作業の作業半径に立ち入りを禁
し
止する",Forbid entry into the operating radius of heavy machinery
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
11,仮ボルト,かりぼると,,Temporary bolt,,"か り                            こ う ぞ う た い        か り         こ   て  い
仮ボルトで構造体を仮に固定する",Temporarily fix the structure with temporary bolts
12,手直し,てなおし,,Rework,,"し  て  き                       ば  し  ょ         て  な  お
指摘された場所を手直しする",Rework the areas pointed out
13,面一,つらいち,,Flushness,,"つ ら い ち
面一にそろえる",Arrange them to be flush
14,点検事項,てんけんじこう,,Inspection list,,"し  よ   う               こ   う   ぐ        て ん け ん  じ   こ   う         も と                し
使用する工具は点検事項に基づき始
ぎょうま えて ん け ん
業前点検をおこなう",Inspect the tools to use before starting work according to the inspection list
15,積載荷重,せきさいかじゅう,,Loading capacity,,"せ き さ い か じ ゅ う         こ
トラックの積載荷重を超えないよう                               に
つ            こ
積み込む",Load the truck without exceeding the loading capacity
16,すき間,すきま,,Clearance,,"ぼ う お ん                                         ま            あ
防音シートはすき間が空かないよう                               に
と          つ
取り付ける",Install soundproofing sheets without clearances
17,通りを見る,とおりをみる,,Check correctness,,"かたど お              ね  ぎ  り           で     き                              と お
やり方通りで根切が出来ているか通
りをみる",Check if the pits are correctly excavated following the stake base lines
18,組立,くみたて,,Assembly,,"あ  し  ば         く  み  た
足場を組立てる",Assemble  scaffolding
19,地組,じぐみ,,Basic assembly on the ground,,"し た          じ   ぐ み              あ  し  ば                                          あ
下で地組した足場をクレーンで上げ
う え          と          つ
て上で取り付ける",Lift basic scaffolding assembled on the ground with a crane and install them above
20,天端,てんば,,Top surface,"It is also called a ""Uwaba.""","て  ん  ば                            へいかつ
コンクリートの天端をコテで平滑に                               な
らす",Smooth and level the concrete top surface with a trowel
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
21,玉掛け,たまかけ・たまがけ,,Slinging,,"ざいりょう         つ          あ                さ い        あんぜん          い     ち
材料を吊り上げる際は安全な位置に
た ま か け
玉掛けをおこなう","When lifting materials, sling them to a safe position"
22,合図,あいず,,Signal,,"じ ゅ う き さ ぎ ょ う        あ  い  ず                          あんぜん       おこな
重機作業は合図をもって安全に行う",Work with heavy machinery safely with signals
23,定格荷重,ていかくかじゅう,,Rated load,,"て い か く か じ ゅ う         こ                  つ                      さ ぎ ょ う
定格荷重を超えて吊りもの作業はお
こなわない",Do not exceed the rated load when working with lifting equipment
24,たち,たち,,Verticality,,"あ  し  ば  し  ち  ゅ  う                              み             すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）","Check the verticality of scaffolding posts (""tachi"" means verticality.)"
25,職長,しょくちょう,,Foreman,,"あ  し  ば  く み た て        しょくちょう          し     じ          したが
足場組立は職長の指示に従う",Follow foreman's instructions when assembling scaffolding
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
1,安全カバー,あんぜんかばー,,Safety cover,A cover attached to an electric circular saw. It prevents the circular saw from flying into your body due to kickback during cutting.,"あ  ん  ぜ ん                 し よ  う         じ こ         ふ  せ
安全カバーの使用で事故を防ぐ",Use the safety cover to prevent accidents
2,安全帯,あんぜんたい,,Safety belt,,"あんぜんたい        あ  し  ば          と          つ
安全帯を足場に取り付ける",Attaching the safety belt to the scaffold
3,インサート,いんさーと,,Threaded insert,,"せ  っ  ち
インサートをコンクリートに設置す                               るた
か た わ く          う           こ
め、型枠に打ち込む",Drive threaded inserts into the formwork to set them in the concrete
4,スペーサ,すぺーさ,,Spacer,,"か た わ く                                            と          つ
型枠にスペーサを取り付ける",Attaching spacers to the formwork
5,鉄筋,てっきん,,Rebar,,"て っ き ん       か た わ く         す  き  ま        ちょうせい
鉄筋と型枠の隙間を調整する",Adjust the gap between the rebar and the formwork
6,電工ドラム（ドラム）,でんこうどらむ（どらむ）,,Retractable extension cord reel (Drum),,"で ん こ う                                                                  さ           こ
電工ドラムのコンセントに差し込む",Plug into the outlet of the retractable extension cord reel
7,電動丸のこ（電のこ）,でんどうまるのこ（でんのこ）,,Electric circular saw (Electric saw),,"で ん ど う ま る                                                         せつだん
電動丸のこでコンパネを切断する",Cut control panels with an electric circular saw
8,パッキン,ぱっきん,,Packing,,"し           こ
パッキンを敷き込む",Insert packings
9,小バール,しょうばーる,,Small crowbar,,"しょう                               く ぎ          ぬ
小バールで釘を抜く",Pull out nails with a small crowbar
10,大バール,だいばーる,,Large crowbar,,"か た わく かい たい        だい                               し   よ   う
型枠解体に大バールを使用する",Use a large crowbar to dismantle the formwork
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
11,化粧合板,けしょうごうはん,,Decorative plywood,,"ひょうめん          う          はな         し     あ                                けしょうごうばん
表面は打ち放し仕上げのため化粧合
し   よ   う
板を使用する","For the front, use decorative plywood for an exposed finish"
12,普通合板,ふつうごうはん,,Regular plywood,,"はいめん          そ     じ     し     あ                                ふ  つ  う  ご う ば ん
背面は素地仕上げのため普通合板を
し  よ   う
使用する","For the back, use regular plywood for a fair-faced finish"
13,スタイロフォーム,すたいろふぉーむ,,Styrofoam,,"か た わ くな い          と          つ
スタイロフォームを型枠内に取り付け
る",Installing the Styrofoam into the formwork
14,面木,めんぎ,,Chamfer,,"か た わ く        めん   ぎ           と          つ
型枠に面木を取り付ける",Attach chamfers to formwork
15,バイブレーター,ばいぶれーたー,,Vibrator,,"し          かた
バイブレーターでコンクリートを締め固
める",Compact concrete with a vibrator
16,剥離剤,はくりざい,,Remover,,"か た わ く                                      よ
コンクリートと型枠のはなれを良くする
は   く  り ざ い        し  よ   う
ために剥離剤を使用する",Use a remover to improve the separation of concrete and formwork
17,けこみ板,けこみいた,,Riser,,"い た         と          つ
けこみ板を取り付ける",Attach risers
18,目地棒,めじぼう,,Joint bar,,"か た わ く          め     じ   ぼ う         と          つ
型枠に目地棒を取り付ける",Attach joint bars to formwork
19,コンクリート,こんくりーと,,Concrete,,"か た わ く                                                  なが         こ
型枠にコンクリートを流し込む",Pour concrete into formwork
20,コンベックス,こんべっくす,,Metal tape measure,,"す ん ぽ う       はか
コンベックスで寸法を測る",Measure with a metal tape measure
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
21,作業用手袋,さぎょうようてぶくろ,,Work gloves,,"さ ぎ ょ う よ う て ぶ く ろ       も ち              か た わ く さ ぎ ょ う
作業用手袋を用いて型枠作業をおこ
なう",Construct forms wearing work gloves
22,差金,さしがね,,L-square ruler,,"さ し が ね        す ん ぽ う       はか
差金で寸法を測る",Measure with an L-square ruler
23,水平器,すいへいき,,Leveler,,"すい へい   き          かたむ           ちょうせい      すい へい
水平器で傾きを調整し水平にする",Level by adjusting the inclination with a leveler
24,墨さし,すみさし,,Bamboo marking pen,,"す み                   す み
墨さしを墨つぼにつける",Dip a bamboo marking pen in the inkpot
25,墨つぼ,すみつぼ,,Inkpot,,"す み                    す み
墨さしを墨つぼにつける",Dip a bamboo marking pen in the inkpot
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
1,"丸セパレーター
（丸セパ）","まるせぱれーたー
（まるせぱ）",,Round separator (Marusepa),,"ま る                                                か た わ く        こ  て  い
丸セパレーターで型枠を固定する",Fix formwork with round separators
2,天端釘,てんばくぎ,,Leveling pin,,"て ん        て ん   ば   く ぎ          う
コンクリート天に天端釘を打つ",Insert leveling pins in the top concrete surface
3,ケレン,けれん,,Surface preparation,,"ひょうめん
コンパネの表面をけれんする",Prepare concrete panel surface
4,型枠支保工,かたわくしほこう,,Form timbering,,"か  た  わ  く  し  ほ  こ  う         こ   う   じ        おこな
型枠支保工の工事を行う",Assemble form timbering
5,"基礎型枠
（メタルフォーム）","きそかたわく
（めたるふぉーむ）",,Foundation formwork (Metal form),,"き     そ   か た わ く        く  み  た
基礎型枠を組立てる",Build foundation formwork
6,釘仕舞い,くぎしまい,,Clearing away,,"か た わ く                                   く ぎ   し     ま
型枠をばらして釘仕舞いをする",Dismantle and clear away formwork
7,スラブ天端,すらぶてんば,,Slab upper surface,,"て ん   ば
スラブ天端をそろえる",Level the slab upper surface
8,高さ（タッパ）,たかさ（たっぱ）,,Height (Tappa),,"た か                                           は か
高さ（タッパ）を測る",Measure the height (tappa)
9,建込み,たてこみ,,Installation,,"か た わ く        た  て  こ
型枠を建込みする",Install formwork
10,通り,とおり,,Correcting / improving,"The act of straightening up the distortion, obstacles, and others","と お                よ
通りを良くする",Make corrections and improvements
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
11,蹴上げ,けあげ,,Riser,The height of one step of stairs,"き                                  け     あ          す ん ぽ う         か た わ く        く  み  た
決められた蹴上げ寸法で型枠を組立
てる",Assemble formwork with specified riser dimensions
