No.,Page,ความคดิ เห็น,ความคิดเห็น,ควำมคดิ เห็น,คา แปล,ตว ัอย่าง,ตวั อยา่ ง,ตวัอย่าง,รปู ภาพ,รูปภาพ,วธิ ก ีารอา่ น,วธิ ก ีำรอำ่ น,วิธกีารอ่าน,ศพ ัท์,ศพั ท์,ศพัท์,หมายเหตุ,อา่ นวา่,เครอื่ งหมาย,เหตผุ ล,เหตุผล
1,20,,,,,,,"さんれん たんかん けつごう
三連クランプで単管を結合する",,,,,さんれんくらんぷ,,,三連クランプ,,,,,"ชุดข้อสือ 3 ห่วงติดกัน,
ชุดแคลมป์ข้อเสือ 3
ห่วงติดกัน"
1,18,,,,,,,,,,たちいりきんし,,,立入禁止,,,,,,หา้ มเขา้,
1,23,"คอื เชอื กทมี่ ไี วเ้พอื่ เกยี่ วสายรัดตัวกัน
ตก(เข็มขัดทมี่ เี ชอื กชว่ ยชวี ติ ตดิ อย)ู่ ใน
ไซตง์ านกอ่ สรา้ ง และจะตอ้ งตดิ ตัง้ อยู่
ระหวา่ งเสาโดยไมใ่ หห้ ยอ่ นยานเพอื่
ปกป้องชวี ติ ของผทู้ างานในไซตง์ าน",,,,"おやづな あんぜんたい
親綱に安全帯をかける",,,,,おやづな,,,親綱,,,,,,"เชอื กป้องกันการตก
(เชอื กสา หรับเกยี่ วตะขอ
สายรัดตัวกันตก)",
1,38,"เรยี กรถแทรกเตอรท์ ตี่ ดิ สว่ นทที่ ำงำน
(อปุ กรณ์) วำ่ รถดันดนิ รถตัก เป็นตน้",,,,,,,,,とらくた,,,トラクタ,,,,,,รถแทรกเตอร์,
1,6,,,,,,,,,,,ちこく（する）,,遅刻（する）,,,,,,การมาสาย (มาสาย),
1,3,"องคก์ รทไี่ มแ่ สวงผลก ำไรซงึ่ ท ำกำร
ควบคมุ หรอื ใหค้ ำชแี้ นะกำรศกึ ษำ
ดำ้ นเทคนคิ หรอื กจิ กรรมของผู้
ฝึกงำนดำ้ นเทคนคิ",,,,,,,,,かんりだんたい,,,監理団体,,,,,,องคก์ รทกี่ ำกบั ดแู ล,
1,7,"การฝึกวนิ ัย 5 อยา่ งทปี่ ระกอบไปดว้ ย
สะสาง สะดวก สะอาด สขุ ลักษณะ
สรา้ งนสิ ยั โดยอกั ษร S มาจาก
ตัวอกั ษรแรกของแตล่ ะค า เป็นค าพดู ที่
ใชเ้พอื่ ปรับปรงุ พนื้ ทกี่ ารท างาน",,,,,,,,,ごえす,,,5S,,,,,,5 ส,
1,4,"การหักเงนิ จ านวนคงทอี่ อกจากมลู คา่ เดมิ
สว่ นมากใชก้ บั การหักภาษี",,,,"かぞく やしな ひと ふようこうじょ
家族を養っている人は、「扶養控除」
う ばあい
を受けられる場合がある",,,,,こうじょ（する）,,,控除（する）,,,,,,การลดหยอ่ น (ลดหยอ่ น),
2,26,,,,,"あんぜんたい あ し ば と つ
安全帯を足場に取り付ける",,,,,あんぜんたい,,,安全帯,,,,,,"สายรัดตัวนริ ภัย, ชดุ เซฟตี้
กันตก",
2,15,,,,,,,,,,きけん,,,危険,,,,,,อนั ตราย,
2,32,,,,,"けっそくせん てっきん しば
結束線で鉄筋を縛る",,,,,けっそくせん,,,結束線,,,,,,ลวดผกู เหล็ก,
2,45,,,,,,,,,,すんぽう,,,寸法,,,,,,ขนำด,
2,13,,,,,,,,,,ひょうじばん,,,表示板,,,,,,ป้ายประกาศ,
2,43,,,,,"か さ い ほ う ち き さ ど う
火災報知器が作動する",,,,,さどう（する）,,,作動（する）,,,,,,การท างาน (ท างาน),
2,29,,,,,"てん てん ば くぎ う
コンクリート天に天端釘を打つ",,,,,てんばくぎ,,,天端釘,,,,,,"หมดุ ชว่ ยในการปรับระดับ
สนั คอนกรตี ฐานราก",
2,12,,,,,,,,,,ぎのうけんていしけん,,,技能検定試験,,,,,,"การสอบวดั ระดับทกั ษะ
ทางเทคนคิ",
2,2,,,,,,,,,,けが,,,けが,,,,,,บาดเจ็บ,
2,10,,,,,,,,,,,かいほうげんきん,,開放厳禁,,,,,,หา้ มเปิดทงิ้ ไว้,
2,20,,,,,,,"つち こうんぱん
ベルトコンベアで土を小運搬する",,ง,,,"べるとこんべあ
（べるこん）",,,"ベルトコンベア
（ベルコン）",,,,,สายพานลําเลียง
2,18,,,,,,,,,,きんえん,,,禁煙,,,,,,หา้ มสบู บหุ รี่,
2,23,,,,,"たてわく もち あ し ば く み た
建枠（ビティ）を用いて足場を組立て
る",,,,,たてわく（びてぃ）,,,建枠（ビティ）,,,,,,ขาตัง้ นั่งรา้ น,
2,41,,,,,,,,,,ゆあつもーた,,,油圧モータ,,,,,,มอเตอรไ์ ฮดรอลกิ,
2,7,"แบง่ แยกระหวา่ งสงิ่ จ าเป็นและสงิ่ ไม่
จ าเป็นใหช้ ดั เจนแลว้ แชรข์ อ้ มลู รว่ มกนั
เพอื่ ใหค้ ณุ ภาพหรอื ความสามารถใน
การพลติ สงู ขนึ้",,,,,,,,,せいり,,,整理,,,,,,สะสาง,
2,6,,,,,,,,,,,そうたい（する）,,早退（する）,,,,,,"การกลับกอ่ นเวลา (กลับ
กอ่ นเวลา)",
2,38,"เป็นเครอื่ งจักรกลทเี่ ป็นรถแทรกเตอร์
ทมี่ ใี บมดี ตดิ อยู่",,,,,,,,,ぶるどーざ,,,ブルドーザ,,,,,,รถดันดนิ,
2,35,,,,,"たてきん く み た
縦筋を組立てる",,,,,たてきん,,,縦筋,,,,,,เหล็กเสรมิ แนวตัง้,
2,44,,,,,"つか こ う ぐ もと ば し ょ もど
使った工具は元の場所に戻す",,,,,,もどす,,戻す,,,,,,กลับคนื,
2,1,,,,ผฝู้ ึกงานดา้ นเทคนคิ,,,,,,,,,,技能実習生,,,ぎのうじっしゅうせい,,,
2,4,,,,,,,,,,ぼーなす,,,ボーナス,,,,,,โบนัส,
2,3,,,,,,,,,,ぎじゅついてん,,,技術移転,,,,,,กำรถำ่ ยทอดเทคนคิ,
3,41,,,,,,,,,,ゆあつぽんぷ,,,油圧ポンプ,,,,,,ป๊ัมไฮดรอลกิ,
3,23,"เรยี กอกี อยา่ งวา่ 「ผา้ ใบกันฝ่นุ (โยโจ
ชที โตะ)」「ตาขา่ ยป้องกันการฟ้งุ
กระจาย (ฮซิ นั โบชเิ น็ทโตะ)」",,,,"あ し ばわく と つ
足場枠にメッシュシートを取り付ける",,,,,めっしゅしーと,,,メッシュシート,,,,,,ตาขา่ ยกันฝ่นุ,
3,20,,"ค้อนไม้ขนาดใหญเร่ ียกอีกชื(cid:1143)อหน
ว่านะริโมะโนะ(ตัวก่อเสียง) หรือ
โอนะร(ิเสียงดัง) แบบจับด้ามด้วย
สองมือเรียกว่าคะเคะยะ(ค้อนไม้
ขนาดใหญ่) แบบจับด้ามด้วยมือ
เดียวเรียกว่าคิซึฉ(ิค้อนไม) ้หรือ
เรียกว่าโคะเนะคิริ",,,,,"ึ(cid:1143)ง
くい う こ
かけやで杭を打ち込む",,,,,かけや,,,かけや,,,,,"ค้อนไม้ขนาดใหญ, ่
ตะลุมพุก"
3,7,"ก าหนดทจี่ ัดเกบ็ หรอื การจัดวาง
สงิ่ จ าเป็นแลว้ ท าเครอื่ งหมายทชี่ ดั เจน
เพอื่ ลดความไมม่ เี หตผุ ลหรอื ความ
สนิ้ เปลอื ง",,,,,,,,,せいとん,,,整頓,,,,,,สะดวก,
3,32,เรยี กวา่ 「ตะขอ (ฮัคคา)」ดว้ ย,,,,"けっそく こ う ぐ もち てっきん しば
結束工具を用いて鉄筋を縛る",,,,,けっそくこうぐ,,,結束工具,,,,,,เครอื่ งมอื ทใี่ ชก้ ารผกู เหล็ก,
3,43,,,,,"しゃりょう せ い び
車両の整備をする",,,,,せいび（する）,,,整備（する）,,,,,,การซอ่ มบ ารงุ (ซอ่ มบ ารงุ ),
3,4,"การลางานทไี่ ดร้ ับคา่ จา้ งแมว้ า่ จะไมไ่ ป
ท างาน การลาพักรอ้ น การลาพักรอ้ นจะ
เรยี กสนั้ ๆวา่ ""ยคู วิ """,,,,"らいしゅうゆうきゅう しんせいしょ だ
来週、有休をとるので申請書を出した",,,,,ゆうきゅう,,,有休,,,,,,ไดร้ ับคา่ จา้ ง,
3,26,,,,,"せ っ ち
インサートをコンクリートに設置するた
かたわく う こ
め、型枠に打ち込む",,,,,いんさーと,,,インサート,,,,,,"พกุ ฝังคอนกรตี , ปล๊ักฝัง
คอนกรตี",
3,29,,,,,"ひょうめん
コンパネの表面をけれんする",,,,,けれん,,,ケレン,,,,,,ท าความสะอาด,
3,15,,,,,"トラクタショベルのバケットにぶつかっ
てけがをした",,,,,ぶつかる,,,ぶつかる,,,,,,ชน,
3,35,,,,,"したきん く み た
下筋を組立てる",,,,,したきん,,,下筋,,,,,,เหล็กเสรมิ ลา่ ง,
3,13,,,,,,,,,,きんしじこう,,,禁止事項,,,,,,ขอ้ หา้ ม,
3,18,,,,,,,,,,かきげんきん,,,火気厳禁,,,,,,หา้ มจดุ ไฟ,
3,3,,,,,,,,,,ぎのうじっしゅうきかん,,,技能実習期間,,,,,,"ระยะเวลำกำรฝึกงำนดำ้ น
เทคนคิ",
3,45,,,,,,,,,,そくてい（する）,,,測定（する）,,,,,,การวดั (วดั ),
3,12,,,,,,,,,,じゅけん（する）,,,受検（する）,,,,,,การเขา้ สอบ (เขา้ สอบ),
3,44,,,,,,,,,,,しあげる,,仕上げる,,,,,,ท าใหเ้สร็จ,
3,2,,,,,,,,,,けがをする,,,けがをする,,,,,,ไดร้ ับบาดเจ็บ,
3,1,,,,โรงงาน,,,,,,,,,,工場,,,こうじょう,,,
3,10,,,,,,,,,,,ひょうしき,,標識,,,,,,เครอื่ งหมาย,
3,6,,,,,,,,,,,きゅうけい（する）,,休憩（する）,,,,,,การพัก (พัก),
3,38,"เป็นเครอื่ งจักรกลทเี่ ป็นรถแทรกเตอร์
ตดิ บงุ้ ก ๋ี มแี บบลอ้ ตะขำบและลอ้ ยำง",,,,,,,,,とらくたしょべる,,,トラクタショベル,,,,,,รถตัก,
4,6,,,,,,,,,,,ざんぎょう（する）,,残業（する）,,,,,,"การท างานลว่ งเวลา
(ท างานลว่ งเวลา)",
4,20,,"คือเครื(cid:1143)องตบดินแบบกระโดด
(Tamping Rammer)",,,,,"じばん し かた
ランマで地盤を締め固める",,,,,らんま,,,ランマ,,,,,"เครื(cid:1143)องกระทุ้ง,ด ิน
เครื(cid:1143)องตบดิน"
4,23,,,,,"そうおんたいさく ぼうおん せ っ ち
騒音対策として防音パネルを設置す
る",,,,,ぼうおんぱねる,,,防音パネル,,,,,,แผงกันเสยี ง,
4,38,"รถตักแบบลอ้ ยำง(ระบบขับเคลอื่ น 4
ลอ้ )",,,,,,,,,ほいるろーだ,,,ホイルローダ,,,,,,รถตักลอ้ ยำง,
4,41,,,,,,,,,,みずもれ,,,水漏れ,,,,,,น ้ำรั่ว,
4,18,,,,,,,,,,ちゅうしゃきんし,,,駐車禁止,,,,,,หา้ มจอดรถ,
4,26,,,,,"かたわく と つ
型枠にスペーサを取り付ける",,,,,すぺーさ,,,スペーサ,,,,,,ลกู ปนู,
4,15,,,,,"あ し ば お こ う ぐ からだ あ
足場から落ちてきた工具が体に当
たってけがをした",,,,,あたる,,,当たる,,,,,,"โดน, กระทบ",
4,35,,,,,"よこきん く み た
横筋を組立てる",,,,,よこきん,,,横筋,,,,,,เหล็กเสรมิ แนวนอน,
4,2,,,,,,,,,,でんげん,,,電源,,,,,,แหลง่ จา่ ยไฟฟ้า,
4,43,,,,,"さぎょうまえ こ う ぐ てんけん
作業前に工具を点検する",,,,,てんけん（する）,,,点検（する）,,,,,,การตรวจเช็ค (ตรวจเช็ค),
4,13,,,,,,,,,,ひなんくんれん,,,避難訓練,,,,,,การฝึกหลบภัยหรอื หนีภัย,
4,12,,,,,,,,,,しかく,,,資格,,,,,,คณุ สมบัติ,
4,32,,,,,"てっきんせ つだ んき てっきん せつだん
鉄筋切断機で鉄筋を切断する",,,,,てっきんせつだんき,,,鉄筋切断機,,,,,,เครอื่ งตัดเหล็กเสรมิ,
4,1,,,,ผลติ,,,,,,,,,,製造,,,せいぞう,,,
4,44,,,,,"くぎ お
釘が折れる",,,,,,おれる,,折れる,,,,,,หัก,
4,45,,,,,,,,,,けいそく（する）,,,計測（する）,,,,,,การวดั (วดั ),
4,10,,,,,,,,,,,きをつける,,気をつける,,,,,,ระมัดระวัง,
4,29,,,,,"か た わ く し ほ こ う こ う じ おこな
型枠支保工の工事を行う",,,,,かたわくしほこう,,,型枠支保工,,,,,,ค ้ายัน,
4,4,"วันทจี่ ะไดร้ ับหยดุ ชดเชยในกรณีทมี่ าท างาน
ในวันหยดุ",,,,,,,,,だいきゅう,,,代休,,,,,,หยดุ ชดเชย,
4,7,"ท าความสะอาดเพอื่ ใหพ้ นื้ ทกี่ าร
ท างานสะอาดและเขา้ ใจถงึ สภาพที่
ถกู ตอ้ งไดง้ า่ ยขนึ้",,,,,,,,,せいそう,,,清掃,,,,,,สะอาด,
4,3,,,,,,,,,,しょくしゅ,,,職種,,,,,,ประเภทอำชพี,
5,18,,,,,,,,,,あしもとちゅうい,,,足もと注意,,,,,,ระวงั สะดดุ,
5,6,,,"ตามระยะเวลาทถี่ กู ก าหนด สว่ นมาก
จะหมายถงึ เวลาทเี่ ขา้ ออกบรษิ ัท",,"き ょ う ていじ かえ
今日は定時に帰る",,,,,,ていじ,,定時,,,,,,ตามเวลาทกี่ าหนด,
5,23,,,,,"あさがおざい ひ ら い ら っ か ぼ う し
朝顔材は飛来落下防止のためにつか
う",,,,,あさがおざい,,,朝顔材,,,,,,ตาขา่ ยนริ ภัย,
5,38,,,,,,,,,,だんぷとらっく,,,ダンプトラック,,,,,,รถบรรทกุ เททำ้ ย,
5,3,,,,,,,,,,ざいりゅうしかく,,,在留資格,,,,,,สถำนภำพกำรพ ำนัก,
5,20,,"ใช้จับยึดท่อเหล็กให้เชื(cid:1143)อมต่อเข
ด้วยกันอย่างคงที(cid:1143)เมื(cid:1143)อต้องการ
ความแข็งแรงในแนวเฉียงในงาน
นั(cid:1143)งร้านเรียกการเสริมความแข็งแร
ในแนวเฉียงว่า「คํ(cid:1144)าย（ันสึจิไคอิ
）」",,,,,"้า
เพิ(cid:1143)ม
じざい もち たんかん きんけつ
自在クランプを用いて単管を緊結す
ง
る",,,,,じざいくらんぷ,,,自在クランプ,,,,,"ข้อเสือเป็น (ข้อเสือที(cid:1143)
สามารถหมุนไปมาได)้"
5,43,,,,,"き か い うご
機械を動かす",,,,,うごかす,,,動かす,,,,,,เดนิ เครอื่ ง,
5,41,,,,,,,,,,あぶらもれ,,,油漏れ,,,,,,น ้ำมันรั่ว,
5,15,,,,,"じゅうき し た じ
重機の下敷きになる",,,,,したじきになる,,,下敷きになる,,,,,,โดนทับ,
5,35,,,,,"はらきん く み た
腹筋を組立てる",,,,,はらきん,,,腹筋,,,,,,"เหล็กเสรมิ ทเี่ รยี งขนานกับ
เหล็กเสรมิ หลัก",
5,26,,,,,"てっきん かたわく す き ま ちょうせい
鉄筋と型枠の隙間を調整する",,,,,てっきん,,,鉄筋,,,,,,"เหล็กเสรมิ , เหล็กเสรมิ แรง",
5,12,,,,,,,,,,てあて,,,手当,,,,,,"เบยี้ เลยี้ ง, เงนิ ชว่ ยเหลอื",
5,32,,,,,"てっきん ま か こ う き てっきん ま
鉄筋曲げ加工機で鉄筋を曲げる",,,,,てっきんまげかこうき,,,鉄筋曲げ加工機,,,,,,เครอื่ งดัดเหล็กเสรมิ,
5,2,,,,,,,,,,でんげんをきる,,,電源を切る,,,,,,ตัดไฟ,
5,1,,,,เครอื่ งจักร,,,,,,,,,,機械,,,きかい,,,
5,13,,,,,,,,,,かんでん（する）,,,感電（する）,,,,,,"ไฟฟ้าดดู (ถกู ไฟฟ้าดดู ),
ไฟฟ้าช็อต (ถกู ไฟฟ้าช็อต)",
5,29,,,,,"き そ かたわく く み た
基礎型枠を組立てる",,,,,"きそかたわく
（めたるふぉーむ）",,,"基礎型枠
（メタルフォーム）",,,,,,"แบบหลอ่ คอนกรตี ฐานราก
(แบบเหล็ก)",
5,10,,,,,"こうじょう けいたいでんわ も こ
工場に携帯電話を持ち込んではいけ
ない",,,,,,もちこむ,,持ち込む,,,,,,น าเขา้ ไป,
5,44,,,,,"まる は か
丸のこの刃が欠ける",,,,,,かける,,欠ける,,,,,,บนิ่,
5,4,"กฎหมายของญปี่ ่นุ ทกี่ าหนดมาตรฐาน
เกยี่ วกบั แรงงาน",,,,,,,,,ろうどうきじゅんほう,,,労働基準法,,,,,,"กฎหมายมาตรฐาน
แรงงาน",
5,45,,,,,,,,,,けいそくき,,,計測器,,,,,,"อปุ กรณ์วดั , เกจวดั",
5,7,"ท าการสะสาง สะดวก สะอาด อยา่ ง
จรงิ จังเพอื่ รักษาสภาพทสี่ ะอาดและ
ถกู ตอ้ ง",,,,,,,,,せいけつ,,,清潔,,,,,,สขุ ลักษณะ,
6,15,,,,,"あやま て う
誤ってハンマーで手を打ってしまった",,,,,うつ,,,打つ,,,,,,"ต,ี ตอก, เคาะ",
6,12,,,,,,,,,,しゃいん,,,社員,,,,,,พนักงานบรษิ ัท,
6,29,,,,,"かたわく くぎ し ま
型枠をばらして釘仕舞いをする",,,,,くぎしまい,,,釘仕舞い,,,,,,"ถอนตะปอู อกและจัดเก็บ
หลังจบงาน",
6,4,,,,,,,,,,ろうどうじょうけん,,,労働条件,,,,,,เงอื่ นไขแรงงาน,
6,6,,,,,,,,,,,きそく,,規則,,,,,,กฎขอ้ บังคับ,
6,7,"สรา้ งนสิ ยั เพอื่ ใหส้ ามารถปฏบิ ัตติ ามที่
ก าหนดไวแ้ ลว้ สรา้ งธรรมเนียมในการ
ชว่ ยเหลอื ซงึ่ กนั และกนั",,,,,,,,,しつけ,,,しつけ,,,,,,สรา้ งนสิ ยั,
6,23,"หากไปสมั ผัสโดนมโี อกาสสงู ทจี่ ะท า
ใหเ้กดิ อบุ ัตเิ หตไุ ฟฟ้าช็อตไดเ้พราะ
เป็นสายสง่ ไฟฟ้าแรงสงู",,,,"か く うせん せっしょく
架空線へ接触させないようにする",,,,,かくうせん,,,架空線,,,,,,สายไฟบนเสาไฟฟ้า,
6,20,,,,,,,"もち たんかん てっこつ
キャッチクランプを用いて単管と鉄骨
きんけつ
を緊結する",,,,,きゃっちくらんぷ,,,キャッチクランプ,,,,,"ชุดบีมแคลมป์กับข้อ
เสือ, ชุดข้อเสือกับยูแค
ลมป์ (ชุดแคลมป์ที(cid:1143)มี
แคลมป์ยึดบีมและข้อ
เสืออยู่คู่กัน)"
6,3,,,,,,,,,,ぱすぽーと,,,パスポート,,,,,,หนังสอื เดนิ ทำง,
6,26,,,,,"でんこう さ こ
電工ドラムのコンセントに差し込む",,,,,でんこうどらむ（どらむ）,,,電工ドラム（ドラム）,,,,,,"ลอ้ เก็บสายไฟ (โรล
สายไฟ)",
6,32,,,,,"てっきんた ん ぶ
鉄筋端部にフックをつける",,,,,ふっく,,,フック,,,,,,"ดัดโคง้ , ดัดงอเป็นขอ",
6,35,,,,,"はいりょくきん く み た
配力筋を組立てる",,,,,はいりょくきん,,,配力筋,,,,,,"เหล็กเสรมิ ทตี่ ัง้ ฉากกับ
เหล็กเสรมิ หลักทรี่ ับแรง",
6,45,,,,,,,,,,おんど,,,温度,,,,,,อณุ หภมู ิ,
6,2,,,,,,,,,,ひじょうていしぼたん,,,非常停止ボタン,,,,,,ป่มุ หยดุ ฉุกเฉนิ,
6,1,,,,ปลอดภัย,,,,,,,,,,安全,,,あんぜん,,,
6,10,,,,,"あんぜんかくにん じ こ ふせ
安全確認して事故を防ぐ",,,,,,ふせぐ,,防ぐ,,,,,,ป้องกนั,
6,43,,,,,"けんせつき か い うんてん
建設機械を運転する",,,,,うんてん（する）,,,運転（する）,,,,,,การขับ (ขับ),
6,13,,,,,,,,,,ぼうし（する）,,,防止（する）,,,,,,"การป้องกนั ไมใ่ หเ้กดิ
(ป้องกนั ไมใ่ หเ้กดิ )",
6,18,,,,,,,,,,かいこうぶちゅうい,,,開口部注意,,,,,,ระวงั ชอ่ งเปิด,
6,44,,,,,"さぎょうちゅう じゅうき ちか
作業中の重機に近づかない",,,,,,ちかづく,,近づく,,,,,,เขา้ ใกล้,
6,41,,,,,,,,,,れいきゃくすい,,,冷却水,,,,,,น ้ำหลอ่ เย็น,
6,38,"เป็นเครอื่ งจักรกลทมี่ สี ว่ นทที่ ำงำนขดุ
ตักซงึ่ ท ำงำนไดห้ ลำยอยำ่ งหำก
เปลยี่ นสว่ นทที่ ำงำน(อปุ กรณ์) อนื่ ๆ",,,,,,,,,ゆあつしょべる,,,油圧ショベル,,,,,,รถขดุ ระบบไฮดรอลกิ,
7,45,,,,,,,,,,たかさ,,,高さ,,,,,,ควำมสงู,
7,29,,,,,"てん ば
スラブ天端をそろえる",,,,,すらぶてんば,,,スラブ天端,,,,,,ระดับบนสดุ ของพนื้,
7,44,,,,,,,,,,,でんげんをいれる,,電源を入れる,,,,,,เปิดเครอื่ ง,
7,32,,,,,"ほ ご ぼう さぎょう と か
保護帽をかぶり作業に取り掛かる",,,,,ほごぼう（へるめっと）,,,保護帽（ヘルメット）,,,,,,หมวกนริ ภัย (หมวกเซฟต)ี้,
7,4,,,,,,,,,,ぜいきん,,,税金,,,,,,ภาษี,
7,7,,,,,,,,,,そうじ（する）,,,掃除（する）,,,,,,"การท าความสะอาด (ท า
ความสะอาด)",
7,1,,,,อนั ตราย (ทอี่ นั ตราย),,,,,,,,,,危険（な）,,"โดยปกตแิ ลว้ จะก ากบั ดว้ ยตัวอกั ษรคัน
จ ิ แตใ่ นโรงงานอาจมกี รณีทกี่ ากบั ดว้ ย
ตัวคาตะคานะวา่ ""キケン""",きけん（な）,,,
7,10,,,,,,,,,,,ひ,,火,,,,,,ไฟ,
7,35,,,,,"うわきん く み た
上筋を組立てる",,,,,うわきん,,,上筋,,,,,,เหล็กเสรมิ บน,
7,12,,,,,,,,,,ぶちょう,,,部長,,,,,,หัวหนา้ ฝ่าย,
7,6,,,,,,,,,,,きゅうじつ,,休日,,,,,,วันหยดุ,
7,2,,,,,,,,,,"ひじょうていしぼたんを
おす",,,非常停止ボタンを押す,,,,,,กดป่มุ หยดุ ฉุกเฉนิ,
7,38,"เป็นรถทพี่ บเห็นมำกทสี่ ดุ ในบรรดำรถ
ขดุ ตักไฮดรอลกิ ใชใ้ นกำรขดุ ลงไป
ใตพ้ นื้ ดนิ",,,,,,,,,ばっくほう,,,バックホウ,,,,,,รถแบคโฮ,
7,20,,,,,,,"つ あ よう もち きんけつ
吊り上げ用クランプを用いて緊結し
たんかん つ あ
た単管を吊り上げる",,,,,つりあげようくらんぷ,,,吊り上げ用クランプ,,,,,"แคลมป์ยกเหล็ก, แค
ลมป์ยก, แคลมป์จับยก
เหล็ก"
7,3,,,,,,,,,,ざいりゅうかーど,,,在留カード,,,,,,บัตรสถำนภำพกำรพ ำนัก,
7,41,,,,,,,,,,ぶれーきえき,,,ブレーキ液,,,,,,น ้ำมันเบรค,
7,15,,,,,"うえ くず てんらく
はしごの上でバランスを崩して転落し
た",,,,,ばらんすをくずす,,,バランスを崩す,,,,,,เสยี การทรงตัว,
7,23,,,,,"ろうどうしゃ ついてんらく き ぐ ら っ か ぼ う し
労働者の墜転落・器具の落下防止の
あ し ば は ば き もう
ために足場に幅木を設ける",,,,,はばき（かせつあしば）,,,幅木（仮設足場）,,,,,,"ขอบกันตกนั่งรา้ น (นั่งรา้ น
ชั่วคราว)",
7,18,,,,,,,,,,かんでんちゅうい,,,感電注意,,,,,,"ระวงั อันตรายจากไฟฟ้า
ช็อต",
7,13,,,,,,,,,,よぼう（する）,,,予防（する）,,,,,,"การป้องกนั ลว่ งหนา้
(ป้องกนั ลว่ งหนา้ )",
7,43,,,,,"てっきん なが はか
鉄筋の長さを測る",,,,,はかる,,,測る,,,,,,วัด,
7,26,,,,,"でんどうまる せつだん
電動丸のこでコンパネを切断する",,,,,"でんどうまるのこ（でんの
こ）",,,電動丸のこ（電のこ）,,,,,,"เลอื่ ยวงเดอื นไฟฟ้า
(เลอื่ ยไฟฟ้า)",
8,13,,,,,,,,,,てんとう（する）,,,転倒（する）,,,,,,"ลม้ (ลม้ ), การหกลม้ (หก
ลม้ )",
8,35,,,,,"きん たいしんへき と つ
スパイラル筋を耐震壁に取り付ける",,,,,すぱいらるきん,,,スパイラル筋,,,,,,เหล็กปลอกเกลยี ว,
8,41,,,,,,,,,,ねんりょうたんく,,,燃料タンク,,,,,,ถังน ้ำมัน,
8,44,,,,,,,,,,,でんげんをおとす,,電源を落とす,,,,,,ตัดไฟ,
8,43,,,,,"き か い そ う さ
機械を操作する",,,,,そうさ（する）,,,操作（する）,,,,,,"การควบคมุ การท างาน
(ควบคมุ การท างาน)",
8,29,,,,,"たか はか
高さ（タッパ）を測る",,,,,たかさ（たっぱ）,,,高さ（タッパ）,,,,,,ความสงู (สว่ นสงู ),
8,12,,,,,,,,,,かちょう,,,課長,,,,,,หัวหนา้ แผนก,
