"だ い       か       き     そ
第1課基礎30",Unnamed: 2,Unnamed: 8,Unnamed: 10,Unnamed: 11,Unnamed: 17,Unnamed: 26,Unnamed: 33
4,気をつける,きをつける,,注意、当心,,,
5,持ち込む,もちこむ,,带进,,"こうじょう     けいたいでんわ       も        こ
工場に携帯電話を持ち込んではいけ
ない",不能把手机带进工厂。
6,防ぐ,ふせぐ,,防止,,"あんぜんかくにん           じ   こ       ふせ
安全確認して事故を防ぐ",进行安全确认防止事故。
7,火,ひ,,火,,,
8,煙,けむり,,烟,,,
9,消火,しょうか,,灭火,,,
10,消火器,しょうかき,,灭火器,,,
11,非常ベル,ひじょうべる,,消防警铃,,,
12,火災報知機,かさいほうちき,,火灾报警器,,,
13,逃げる,にげる,,逃离,,,
14,現場,げんば,,现场,,,
15,作業,さぎょう,,作业,,,
16,ミーティング,みーてぃんぐ,,会议,会议、早礼、终礼等有时也称为 “ミーティング”。,,
17,研修（する）,けんしゅう（する）,,培训,,,
18,実習（する）,じっしゅう（する）,,实习,,,
19,あいさつ,あいさつ,,打招呼,,,
20,確認（する）,かくにん（する）,,确认,,,
No.,词汇,读音 （假名）,,中文词意,注解,例句,
21,報告（する）,ほうこく（する）,,报告,,,
22,連絡（する）,れんらく（する）,,联络,,,
23,相談（する）,そうだん（する）,,商量,,,
24,渡す,わたす,,交给,把东西交给某人时用。,,
25,申請書,しんせいしょ,,申请书,,,
26,寝坊（する）,ねぼう（する）,,睡懒觉,,,
だい    か   ぎ の うじっしゅう,,,,,,,
"第8課技能実習
第8课 技能实习",,,,,,,
No.,词汇,读音 （假名）,,,,,
1,技能,ぎのう,,,,,
2,技能検定試験,ぎのうけんていしけん,,,,,
3,受検（する）,じゅけん（する）,,,,,
4,資格,しかく,,,,,
5,手当,てあて,,,,,
6,社員,しゃいん,,,,,
7,部長,ぶちょう,,,,,
8,課長,かちょう,,,,,
9,更衣室,こういしつ,,,,,
10,台車,だいしゃ,,,,,
11,床,ゆか,,,,,
12,出口,でぐち,,,,,
13,電気,でんき,,,,,
14,警報音,けいほうおん,,,,,
15,コンセント,こんせんと,,,,,
16,作業場,さぎょうば,,,,,
17,作業台,さぎょうだい,,,,,
18,工事現場,こうじげんば,,,,,
19,職長,しょくちょう,,,,,搭建脚手架需听从工长的指挥
20,作業責任者,さぎょうせきにんしゃ,,,,,
だい    か   あんぜんえいせい      けんこうか ん り,,,,,,,
"第9課安全衛生3・健康管理
第9课 安全卫生3・健康管理",,,,,,,
No.,词汇,读音 （假名）,中文词意,,,,
1,禁止,きんし,禁止,,,,
2,表示板,ひょうじばん,指示牌、显示板,,,,
3,禁止事項,きんしじこう,禁止事项,,,,
4,避難訓練,ひなんくんれん,逃生训练、避难疏散训练,,,,
5,感電（する）,かんでん（する）,触电,,,,
6,防止（する）,ぼうし（する）,防止,,,,
7,予防（する）,よぼう（する）,预防,,,,
8,転倒（する）,てんとう（する）,跌倒,,,,
9,挟まる,はさまる,被夹住,,,,
10,足元,あしもと,脚下,,,,
11,不安定（な）,ふあんてい（な）,不稳定,,,,
12,後片付け,あとかたづけ,收拾,,,,
13,救急箱,きゅうきゅうばこ,急救箱,,,,
14,絆創膏,ばんそうこう,创可贴,,,,
15,体調,たいちょう,身体状况,,,,
16,血,ち,血,,,,
17,熱中症,ねっちゅうしょう,中暑,,,,
18,吐き気,はきけ,恶心,,,,
19,嘔吐（する）,おうと（する）,呕吐,,,,
20,足がつる,あしがつる,腿抽筋,,,,
21,気分が悪い,きぶんがわるい,不舒服,,,,
22,寝不足,ねぶそく,睡眠不足,,,,
23,安全ネット,あんぜんねっと,安全网,,,,
24,安全点検,あんぜんてんけん,安全检查,,,,
だい       か,かつどう,,,,,,
"第10課 KY活動
第10课 KY活动",,,,,,,
No.,词汇,读音 （假名）,,中文词意,注解,例句,
1,KY活動（危険予知活動）,けーわいかつどう（きけ                     んよちかつどう）,,KY活动（危险预测活动）,,,
2,危険,きけん,,危险,,,
3,ぶつかる,ぶつかる,,碰撞,,トラクタショベルのバケットにぶつかってけがをした,被挖掘车的铲斗碰伤了
4,当たる,あたる,,碰、砸,,"あ  し  ば                 お                               こ   う   ぐ         からだ        あ
足場から落ちてきた工具が体に当
たってけがをした",脚手架上掉落下来的工具砸到身上受伤了
5,下敷きになる,したじきになる,,被压在下面,,"じ ゅ う き         し   た  じ
重機の下敷きになる",被压在工程机械下面
6,打つ,うつ,,打,,"あやま                                                  て            う
誤ってハンマーで手を打ってしまっ                               た",锤子不小心打到手上
7,バランスを崩す,ばらんすをくずす,,失去平衡,,"う え                                           く ず              て ん ら く
はしごの上でバランスを崩して転落                               し
た",在梯子上失去平衡摔了下来
8,倒れる,たおれる,,倒下、晕倒,,"た お                  ねっちゅうしょう        た お
はしごが倒れる、熱中症で倒れる",梯子倒下  中暑晕倒
9,転落（する）,てんらく（する）,,跌倒、摔,,"う え                                           く ず              て ん ら く
はしごの上でバランスを崩して転落                               し
た",在梯子上失去平衡摔了下来
10,指差呼称,しさこしょう,,手指呼号,,,
11,ヒヤリハット,ひやりはっと,,险兆,,,
12,原因,げんいん,,原因,,,
13,対策,たいさく,,对策,,,
14,落下（する）,らっか（する）,,掉落,,"あ し ば           こ う ぐ       ら っ か
足場から工具が落下した",工具从脚手架上掉落下来
15,墜落（する）,ついらく（する）,,坠落,,"か  い  こ  う  ぶ               つ い ら く
開口部から墜落した",从开口处坠落下来
16,確認（する）,かくにん（する）,,确认,,"しゅうい      あんぜん    かくにん
周囲の安全を確認する",确认周边的安全
"けんせつ       しょくば                  か    こ         けいけん                はたら   ひと        じ    こ                                  まも
建設の職場には、過去の経験から、働く人を事故やけがから守るためのルールがあります。
おも                                                           みな                  じ  ぶ  ん        な  か  ま        あんぜん                          かなら     まも
めんどうだと思うかもしれませんが、皆さんも自分や仲間の安全のために必ず守ってください。
为了保证建筑工地不出事故、人不受伤，必须遵守从经验教训中总结出来的规则。你或许会感到有些麻烦，但为了你自己和伙伴们的安全，请务必遵守。",,,,,,,
,,,,,,,
No.,词汇,读音 （假名）,,中文词意,,,
1,作業着,さぎょうぎ,,工装,,,
,,,,,,,
2,作業服,さぎょうふく,,工作服,,,
3,作業靴,さぎょうぐつ,,工作鞋,,,
4,手袋,てぶくろ,,手套,,,
,,,,,,,
,,,,,,,
5,帽子,ぼうし,,帽子,,,
6,保護帽（ヘルメット）,ほごぼう（へるめっと）,,安全帽,,,
,,,,,,,
7,保護具,ほごぐ,,防护用具,,,
,,,,,,,
8,あごひも,あごひも,,帽带,,,
9,ボタン,ぼたん,,纽扣,,,
,,,,,,,
10,ポケット,ぽけっと,,口袋,,,
,,,,,,,
11,保護メガネ,ほごめがね,,防护眼镜,,,
,,,,,,,
12,マスク,ますく,,口罩,,,
13,耳栓,みみせん,,耳栓,,,
14,安全靴,あんぜんぐつ,,安全鞋,,,
15,墜落制止用器具（安全帯）,"ついらくせいしようきぐ
（あんぜんたい）",,坠落防护装备（安全带）,,,
,,,,,,,
,,,,,,,
No.,词汇,读音 （假名）,,中文词意,,,
16,業務,ぎょうむ,,业务、工作,,,
17,時間厳守,じかんげんしゅ,,严守时间,,,
18,予定,よてい,,计划,,,
19,日付,ひづけ,,日期,,,
20,準備（する）,じゅんび（する）,,准备,,,
21,会議,かいぎ,,会议,,,
22,朝礼,ちょうれい,,晨会、早礼,,,
23,報告書,ほうこくしょ,,报告书,,,
24,マニュアル,まにゅある,,手册,,,
25,作業手順書,さぎょうてじゅんしょ,,作业步骤手册,,,
26,調子,ちょうし,,情况、样子,,,
No.,词汇,读音 （假名）,,中文词意,注解,例句,
1,立入禁止,たちいりきんし,,禁止入内,,,
2,禁煙,きんえん,,禁止吸烟,,,
3,火気厳禁,かきげんきん,,严禁烟火,,,
4,駐車禁止,ちゅうしゃきんし,,禁止停车,,,
5,足もと注意,あしもとちゅうい,,注意脚下,,,
6,開口部注意,かいこうぶちゅうい,,当心开口处,,,
7,感電注意,かんでんちゅうい,,当心触电,,,
8,堕落注意,ついらくちゅうい,,当心坠落,,,
9,頭上注意,ずじょうちゅうい,,当心头顶,,,
10,警報設備,けいほうせつび,,警报设备,,,
No.,词汇,读音 （假名）,,中文词意,注解,例句,
11,消火器,しょうかき,,灭火器,,,
12,AED設置場所,えーいーでぃーせっち                   ばしょ,,AED（自动体外除颤器）设置点,,,
13,保護帽着用,ほごぼうちゃくよう,,必须带安全帽,,,
14,安全帯使用,あんぜんたいしよう,,必须系安全带,,,
15,昇降階段,しょうこうかいだん,,上下楼梯,,,
16,休憩所,きゅうけいじょ,,休息区,,,
17,最大積載荷重,さいだいせきさいかじゅう,,最大载荷,,,
18,喫煙所,きつえんじょ,,吸烟处,,,
19,整理整頓,せいりせいとん,,整理整顿,,,
20,安全通路,あんぜんつうろ,,安全通道,,,
No.,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
No.,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
No.,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
No.,词汇,读音 （假名）,,中文词意,注解,例句,
1,親綱,おやづな,,主绳,建筑工地上用来系挂安全带（附带安全绳的带子）的绳子。为保护工地作业人员的人身安全，必须在柱子与柱子之间拉紧固定。,"お やづな        あんぜんたい
親綱に安全帯をかける",把安全带系在主绳上
2,建枠（ビティ）,たてわく（びてぃ）,,框架,,"た て わ く                                   も ち               あ  し  ば         く  み  た
建枠（ビティ）を用いて足場を組立て
る",使用框架搭建脚手架
3,メッシュシート,めっしゅしーと,,纱布、苫布,也称养护苫布、防飞散网。,"あ  し  ば  わ く                                                           と          つ
足場枠にメッシュシートを取り付け                               る",在脚手架外盖上苫布
4,防音パネル,ぼうおんぱねる,,隔音板,,"そ う お ん た い さ く                   ぼ う お ん                             せ  っ  ち
騒音対策として防音パネルを設置す
る",为预防噪音而设置隔音板
5,朝顔材,あさがおざい,,炉腹材料、防护棚,,"あ さ がおざ い        ひ  ら  い  ら  っ  か  ぼ  う  し
朝顔材は飛来落下防止のためにつか
う",安装防护棚是为了防止东西砸落
6,架空線,かくうせん,,架空电线,有高压电流流过，若触碰很有可能引发触电事故。,"か   く   う せ ん        せっしょく
架空線へ接触させないようにする","足場を架空線へ接触させないようにする
不要让脚手架碰到架空电线"
7,幅木（仮設足場）,はばき（かせつあしば）,,挡板（脚手架）,,"ろ う ど う し ゃ        つ い て ん ら く       き     ぐ           ら  っ  か  ぼ   う  し
労働者の墜転落・器具の落下防止の
あ  し  ば         は  ば  き        も う
ために足場に幅木を設ける",为防止作业人员从脚手架上跌倒坠落以及器具等掉落，需设置挡板
8,単管,たんかん,,单管,日语也称“単管パイプ”或“パイプ”。,"たん かん        も ち                あ  し  ば           く             た
単管を用いて足場を組み立てる",用单管搭建脚手架
9,脚立,きゃたつ,,双面梯,,,
10,作業半径,さぎょうはんけい,,工作半径,工程机械回转的半径。为预防碰撞事故等，大多情况下这一范围属于禁止入内区域。,"じ ゅ う き さ ぎ ょ う         さ ぎ ょ う は ん け い          た           い               き ん
重機作業の作業半径に立ち入りを禁
し
止する",禁止进入工程机械工作半径以内区域
No.,词汇,读音 （假名）,,中文词意,注解,例句,
11,仮ボルト,かりぼると,,临时螺栓,,"か り                            こ う ぞ う た い        か り         こ   て  い
仮ボルトで構造体を仮に固定する",用临时螺栓暂时固定构造物
12,手直し,てなおし,,修改,,"し  て  き                       ば  し  ょ         て  な  お
指摘された場所を手直しする",在脚手架上按照指示进行修改
13,面一,つらいち,,拉平,,"つ ら い ち
面一にそろえる",拉平
14,点検事項,てんけんじこう,,检查项目,,"し  よ   う               こ   う   ぐ        て ん け ん  じ   こ   う         も と                し
使用する工具は点検事項に基づき始
ぎょうま えて ん け ん
業前点検をおこなう",要使用的工具应在开始作业之前按照检查项目一一检查
15,積載荷重,せきさいかじゅう,,装载负荷,,"せ き さ い か じ ゅ う         こ
トラックの積載荷重を超えないよう                               に
つ            こ
積み込む",载货不能超过卡车规定的装载负荷
16,すき間,すきま,,间隙、缝隙,,"ぼ う お ん                                         ま            あ
防音シートはすき間が空かないよう                               に
と          つ
取り付ける",铺设隔音布不能留有间隙
17,通りを見る,とおりをみる,,看中心点排齐、对齐通端,,"かたど お              ね  ぎ  り           で     き                              と お
やり方通りで根切が出来ているか通
りをみる",检查支柱是否按照规定插入地基对齐通端
18,組立,くみたて,,组装、搭建,,"あ  し  ば         く  み  た
足場を組立てる",搭建脚手架
19,地組,じぐみ,,预先装配,,"し た          じ   ぐ み              あ  し  ば                                          あ
下で地組した足場をクレーンで上げ
う え          と          つ
て上で取り付ける",用吊车将在地面组装好的脚手架吊上去安装
20,天端,てんば,,顶端,日语也叫“上端”。,"て  ん  ば                            へいかつ
コンクリートの天端をコテで平滑に                               な
らす",用抹子抹平顶端的混凝土
No.,词汇,读音 （假名）,,中文词意,注解,例句,
21,玉掛け,たまかけ・たまがけ,,挂吊钩,,"ざいりょう         つ          あ                さ い        あんぜん          い     ち
材料を吊り上げる際は安全な位置に
た ま か け
玉掛けをおこなう",上吊材料时要用吊钩挂在安全的位置
22,合図,あいず,,打信号,,"じ ゅ う き さ ぎ ょ う        あ  い  ず                          あんぜん       おこな
重機作業は合図をもって安全に行う",操作工程机械时要打出信号安全操作
23,定格荷重,ていかくかじゅう,,额定负载,,"て い か く か じ ゅ う         こ                  つ                      さ ぎ ょ う
定格荷重を超えて吊りもの作業はお
こなわない",上吊作业时不能超过额定负载
24,たち,たち,,垂直度,,"あ  し  ば  し  ち  ゅ  う                              み             すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",检查脚手架支柱的垂直度
25,職長,しょくちょう,,工长,,"あ  し  ば  く み た て        しょくちょう          し     じ          したが
足場組立は職長の指示に従う",搭建脚手架需听从工长的指挥
No.,词汇,读音 （假名）,,中文词意,注解,例句,
1,安全カバー,あんぜんかばー,,安全罩,主要指电动圆盘锯的外罩。为预防切割时发生逆转伤害人体。,"あ  ん  ぜ ん                 し よ  う         じ こ         ふ  せ
安全カバーの使用で事故を防ぐ",使用安全罩预防事故
2,安全帯,あんぜんたい,,安全带,,"あんぜんたい        あ  し  ば          と          つ
安全帯を足場に取り付ける",把安全带系在脚手架上
3,インサート,いんさーと,,插入、插件,,"せ  っ  ち
インサートをコンクリートに設置す                               るた
か た わ く          う           こ
め、型枠に打ち込む",为把插件安放在混凝土中而打入模框
4,スペーサ,すぺーさ,,隔板,,"か た わ く                                            と          つ
型枠にスペーサを取り付ける",在模框内安装隔板
5,鉄筋,てっきん,,钢筋,,"て っ き ん       か た わ く         す  き  ま        ちょうせい
鉄筋と型枠の隙間を調整する",调整钢筋与模框之间的间隙
6,電工ドラム（ドラム）,でんこうどらむ（どらむ）,,电钻,,"で ん こ う                                                                  さ           こ
電工ドラムのコンセントに差し込む",把电钻插头插入插座
7,電動丸のこ（電のこ）,でんどうまるのこ（でんのこ）,,电动圆锯机、电动圆盘锯,,"で ん ど う ま る                                                         せつだん
電動丸のこでコンパネを切断する",用电动圆盘锯切割混凝土板
8,パッキン,ぱっきん,,垫圈,,"し           こ
パッキンを敷き込む",垫入垫圈
9,小バール,しょうばーる,,小铁挺,,"しょう                               く ぎ          ぬ
小バールで釘を抜く",用小铁挺拔出钉子
10,大バール,だいばーる,,大铁挺,,"か た わく かい たい        だい                               し   よ   う
型枠解体に大バールを使用する",模框解体使用大铁挺
No.,词汇,读音 （假名）,,中文词意,注解,例句,
11,化粧合板,けしょうごうはん,,装饰合板,,"ひょうめん          う          はな         し     あ                                けしょうごうばん
表面は打ち放し仕上げのため化粧合
し   よ   う
板を使用する",正面不作精加工，而用装饰合板遮挡
12,普通合板,ふつうごうはん,,普通合板,,"はいめん          そ     じ     し     あ                                ふ  つ  う  ご う ば ん
背面は素地仕上げのため普通合板を
し  よ   う
使用する",背面经过粗加工，使用普通合板
13,スタイロフォーム,すたいろふぉーむ,,泡沫塑料隔热板,,"か た わ くな い          と          つ
スタイロフォームを型枠内に取り付け
る",在模框内安装泡沫塑料隔热板
14,面木,めんぎ,,三角木条,,"か た わ く        めん   ぎ           と          つ
型枠に面木を取り付ける",给模框安装三角木条
15,バイブレーター,ばいぶれーたー,,振动器,,"し          かた
バイブレーターでコンクリートを締め固
める",使用振动器压实混凝土
16,剥離剤,はくりざい,,剥离剂,,"か た わ く                                      よ
コンクリートと型枠のはなれを良くする
は   く  り ざ い        し  よ   う
ために剥離剤を使用する",使用剥离剂的目的在于使混凝土和模框容易分离
17,けこみ板,けこみいた,,踏步踢面板,,"い た         と          つ
けこみ板を取り付ける",安装踏步踢面板
18,目地棒,めじぼう,,接缝棒,,"か た わ く          め     じ   ぼ う         と          つ
型枠に目地棒を取り付ける",给模框安装接缝棒
19,コンクリート,こんくりーと,,混凝土,,"か た わ く                                                  なが         こ
型枠にコンクリートを流し込む",将混凝土浇注到模框内
20,コンベックス,こんべっくす,,钢卷尺,,"す ん ぽ う       はか
コンベックスで寸法を測る",用钢卷尺测量尺寸
No.,词汇,读音 （假名）,,中文词意,注解,例句,
21,作業用手袋,さぎょうようてぶくろ,,工作手套,,"さ ぎ ょ う よ う て ぶ く ろ       も ち              か た わ く さ ぎ ょ う
作業用手袋を用いて型枠作業をおこ
なう",模框作业时应使用工作手套
22,差金,さしがね,,角尺,,"さ し が ね        す ん ぽ う       はか
差金で寸法を測る",用角尺测量尺寸
23,水平器,すいへいき,,水平仪,,"すい へい   き          かたむ           ちょうせい      すい へい
水平器で傾きを調整し水平にする",用水平仪调整水平度，保持水平
24,墨さし,すみさし,,墨壶,,"す み                   す み
墨さしを墨つぼにつける",把墨壶装到墨斗上
25,墨つぼ,すみつぼ,,墨斗,,"す み                    す み
墨さしを墨つぼにつける",把墨壶装到墨斗上
No.,词汇,读音 （假名）,,中文词意,注解,例句,
1,"丸セパレーター
（丸セパ）","まるせぱれーたー
（まるせぱ）",,分离器、圆隔板,,"ま る                                                か た わ く        こ  て  い
丸セパレーターで型枠を固定する",使用圆隔板固定模框
2,天端釘,てんばくぎ,,顶端钉子,,"て ん        て ん   ば   く ぎ          う
コンクリート天に天端釘を打つ",在混凝土顶端打入顶端钉子
3,ケレン,けれん,,表面处理、去掉多余的混凝土,,"ひょうめん
コンパネの表面をけれんする",对混凝土模板进行表面处理
4,型枠支保工,かたわくしほこう,,模板支架,,"か  た  わ  く  し  ほ  こ  う         こ   う   じ        おこな
型枠支保工の工事を行う",进行模板支架施工
5,"基礎型枠
（メタルフォーム）","きそかたわく
（めたるふぉーむ）",,基础模板,,"き     そ   か た わ く        く  み  た
基礎型枠を組立てる",用基础模板组装基础模框
6,釘仕舞い,くぎしまい,,收拾钉子,,"か た わ く                                   く ぎ   し     ま
型枠をばらして釘仕舞いをする",拆解模框收拾钉子
7,スラブ天端,すらぶてんば,,板顶端、板顶,,"て ん   ば
スラブ天端をそろえる",拉平板顶
8,高さ（タッパ）,たかさ（たっぱ）,,高度,,"た か                                           は か
高さ（タッパ）を測る",测量高度
9,建込み,たてこみ,,搭建,,"か た わ く        た  て  こ
型枠を建込みする",搭建模框
10,通り,とおり,,通端,纠正歪斜，去除障碍物，修正到正常状态,"と お                よ
通りを良くする",对齐通端
No.,词汇,读音 （假名）,,中文词意,注解,例句,
11,蹴上げ,けあげ,,踏级高度,踏级与踏级之间的高度。,"き                                  け     あ          す ん ぽ う         か た わ く        く  み  た
決められた蹴上げ寸法で型枠を組立
てる",按照规定的踏级高度组装模框
12,蹴込み,けこみ,,踏级垂直挡板,,"き                                け     こ          す ん ぽ う        か た わ く        く  み  た
決められた蹴込み寸法で型枠を組立
てる",按照规定的踏级垂直挡板尺寸组装模框
13,工具の手入れ,こうぐのていれ,,维护工具,,"こ   う   ぐ           て     い
工具の手入れをおこたらない",精心维护工具
14,下げ振り,さげふり,,垂标坠,,"さ            ふ               すいちょく       か く に ん
下げ振りで垂直を確認する",使用垂标坠确认是否垂直
15,地墨,じずみ,,墨,,"じ   ず み         あ                        か た わ く         と          つ
地墨に合わせて型枠を取り付ける",按照墨标安装模框
16,捨てコンクリート,すてこんくりーと,,混凝土制模板,,"す                                                      と          わ く        せ  っ  ち
捨てコンクリートの止め枠を設置す                               る",设置混凝土制模板的外框
17,はね出し,はねだし,,踏板等成悬臂部位,脚手架踏板一侧突出在支撑外的状态。人走在上面踏板会失衡导致坠落，十分危险。,"かべ                              だ                                   か た わ く        く  み  た
壁からはね出してスラブ型枠を組立て
る",墙壁外悬臂部位安装板模框
