No.,Page,ခ ေါဟာရ,စာဖတန ည်း,ဘာသာ ြန ဆ ို ခင်း,မှတခ ျက,အမှတအ သာ်း/ဆငို ်း ဘတို,ဥြမာ
1,45,油圧シリンダ,ゆあつしりんだ,ဟကှို ဒ် သရာလစ် ဆလငဒ် ါ,,,
1,18,KY活動（危険予知活動）,"けーわいかつどう（きけん
よちかつどう）","KY လပှု ်ရ ာ်းမှု
(အန္ရတ ာယက်ကြုံှိတင ် နမ် ဲ့ န်း် သရှိ ှိ သရ်းလပှု ်ရ ာ်းမှု)",,,
1,15,技能,ぎのう,နည်း် ပညာ,,,
1,33,"丸セパレーター
（丸セパ）","まるせぱれーたー
（まるせぱ）","ပ ုစ ကွ သ် ောငတ် ပ်ဆငရ် ာ
တငွ ် သတမ် တထ် ာ်းသသာ
အက ယက် ှို မ နက် နစ် ွာ
ထနှိ ်း် ရန ် သ်း ု သသာ
သတတ ြုံသ ာင်း်",,,"まる かたわく こ て い
丸セパレーターで型枠を固定する"
1,24,三連クランプ,さんれんくらんぷ,"ြှ
၃ ဆု ကည် ပ်",,,"さんれん たんかん けつごう
三連クランプで単管を結合する"
1,22,立入禁止,たちいりきんし,မဝငရ်,,,
1,47,接触（する）,せっしょく（する）,ထ(ှိ သည်),,,"じゅうき せっしょく
重機に接触してけがをする"
1,30,安全カバー,あんぜんかばー,လခ ု ြုံ သရ်းကာဗာအဖ ု်း,"အဓှိကအာ်းခဖင ်ဲ့ လျှပ်စစ်လအ ဝှိုင်း် တငွ ်
တပ်ထာ်းသသာကာဗာအဖ ု်းက ှို
ဆလှို သှို ည။် လခ ဖတ ် ှိနတ် ငွ ်
သနာကခ်ပနက် နခ် င်း် စသညတ် ခှိုဖဲ့ င ်ဲ့
န္ာဓ ကယှို သ် ှို လဲ့ က ပ စငထ် ကွ လ် ာ
တတ၍် ယင်း် ကကှို ာကယွ ရ် နသ် ်း ု သည။်",,"あんぜん しよう じこ ふせ
安全カバーの使用で事故を防ぐ"
1,27,親綱,おやづな,"လခ ု ြုံ သရ်း ါ်းပတက်ကြုံှိ်းကှို
ှိတဆ် ယွ သူ ညက်ဲ့ကြုံှိ်း","သဆာကလ် ပု ်သရ်းလပု ်ငန်း် ငွ ၌် လခ ု ြုံ သရ်း
ါ်းပတက်ကြုံှိ်း(အသကက် ယက်ကြုံှိ်းတပ်ထာ်း
သသာ ါ်းပတ်)က ှို ှိတဆ် ရွ နသ် ်း ု သသာကကြုံှိ်း
။လပု ်ငန်း် ငွ ၌် လပု ်သာ်းမ ာ်း၏အသကက် ှို
ကာကယွ ရ် န၊်တငှို န္် စ ်တငှို က်ကာ်းတငွ ်
မသလ ာသဲ့ အာငတ် ပ်ဆငထ် ာ်းသည။်",,"おやづな あんぜんたい
親綱に安全帯をかける"
1,42,トラクタ,とらくた,ထနွ စ် က ် (Tractor),"ထနွ စ် က ် (Tractor) တငွ ် လပု ်ငန်း် သ်း ု ကရှိ ှိယာ
(Attachment) ကတှို ပ်ဆငထ် ာ်းသသာ
စကယ် န္ရတ ာ်းက ှို ေဒူ ဇှို ာ၊ ထရကတ် ာသရ ာ်ဗယ ်
စသညခ်ဖင ်ဲ့ သ ေါ်ဆကှိုကသည။်",,
1,39,はかま筋,はかまきん,"သဆ ငရ် ာတငွ ်
အသပေါ်ေကခ် မ််းရှိ
သသ ာင်း်",,,"きん く み た
はかま筋を組立てる"
1,8,遅刻（する）,ちこく（する）,အလပု ်သနာကက် (သည်),,,
2,18,危険,きけん,အန္ရတ ာယ်,,,
2,3,技術移転,ぎじゅついてん,နည်း် ပညာလသ ခပာင်း် ခ င်း်,,,
2,15,技能検定試験,ぎのうけんていしけん,နည်း် ပညာအဆင ်ဲ့ သတမ် တစ် ာသမ်းပ ွ,,,
2,36,結束線,けっそくせん,တ ွ ညသ် ညက်ဲ့ကြုံှိ်း,,,"けっそくせん てっきん しば
結束線で鉄筋を縛る"
2,45,油圧モータ,ゆあつもーた,ဟကှို ဒ် သရာလစ် သမာ်တာ,,,
2,1,技能実習生,ぎのうじっしゅうせい,အလပု ်သင်,,,
2,5,ボーナス,ぼーなす,အပှိုဆသု ကက်း,,,
2,9,整理,せいり,"စနစ်တက ထာ်းရှိ ခ င်း်
(Seiri)","လအှို ပ်သသာပစစည်း် န္င ်ဲ့
မလအှို ပ်သသာပစစည်း် က ှို ခွ ာ်းထာ်း၍
ထအှို ဲ့ ကအ် လကမ် ာ်းမျှသဝခ င်း် အာ်းခဖင်ဲ့
အရညအ် သသ်းွ န္င ်ဲ့ ကနု ထ် တု လ် ပု ်မှု
ြှ
စွမ််းအာ်းခမငတ်ဲ့ ငရ် န ် သဆာငရ် ွကခ် င်း် ။",,
2,13,開放厳禁,かいほうげんきん,ဖွငမ်ဲ့ ထာ်းရ,,,
2,2,けが,けが,ဒဏရ် ာ,,,
2,22,禁煙,きんえん,သဆ်းလပှိ ်မသသာကရ်,,,
2,39,縦筋,たてきん,သဒါငလ် ကှို သ် သ ာင်း်,,,"たてきん く み た
縦筋を組立てる"
2,42,ブルドーザ,ぶるどーざ,သခမထ်းှို စက ် (ေဒူ ဇှို ာ),"ထနွ စ် က ် (Tractor) တငွ ် သခမတနွ ်း် သရ ွဲ့သည ်ဲ့
ေလတှိ ခ်ပာ်းက ှို တပ်ထာ်းသသာ စကယ် န္ရတ ာ်း
(သခမထ်းှို စက၊် ေဒူ ဇှို ာ)",,
2,33,天端釘,てんばくぎ,"ကနွ က် ရစ်မ ကန္် ာ ခပငတ် ငွ ်
စှိုကထ် ာ်းသသာ သသ ာင်း်",,,"てん てん ば くぎ う
コンクリート天に天端釘を打つ"
2,49,戻す,もどす,ခပနထ် ာ်းသည်,,,"つか こ う ぐ もと ば し ょ もど
使った工具は元の場所に戻す"
2,24,"ベルトコンベア
（ベルコン）","べるとこんべあ
（べるこん）","သရွွဲ့လ ာ်းစက ် ါ်းပတ်
(Belt conveyor)",,,"つち こ う ん ぱ ん
ベルトコンベアで土を小運搬する"
2,27,建枠（ビティ）,たてわく（びてぃ）,အသငသ်ဲ့ ်း ု ခငမ််းသောင်,,,"たてわく もち あ し ば く み た
建枠（ビティ）を用いて足場を組立て
る"
2,16,表示板,ひょうじばん,သငပ် ုန်း် ၊ဆငှို ်း် ေတု ်,,,
2,51,寸法,すんぽう,အတငှို ်း် အထာွ,,,
2,8,早退（する）,そうたい（する）,အလပု ်သစာခပန်(သည်),,,
2,30,安全帯,あんぜんたい,လခ ု ြုံ သရ်း ါ်းပတက်ကြုံှိ်း,,,"あんぜんたい あ し ば と つ
安全帯を足場に取り付ける"
2,47,作動（する）,さどう（する）,လပှု ်ရ ာ်းလညပ် တ်(သည်),,,"か さ い ほ う ち き さ ど う
火災報知器が作動する"
3,27,メッシュシート,めっしゅしーと,"ဆန ် ါကကွ ်(ပှိုကက် ကွ ်)
အ င်း် ခပာ်း","(အကာ ပ်) (ပ စငလ် ငွ ထ်ဲ့ ကွ မ် ှု
ကာကယွ သ် ရ်းကနွ ရ် က်)
ဟလု ည်း် သ ေါ်သည။်",,"あ し ばわく と つ
足場枠にメッシュシートを取り付ける"
3,3,技能実習期間,ぎのうじっしゅうきかん,အလပု ်သငတ် န်း် ကာလ,,,
3,24,かけや,かけや,သစ်သာ်းတအူ ကက်း စာ်း,"အကက်း စာ်းသစ်သာ်းတ။ူ တခ ာ်း
အသ ေါ်အသဝေါ်မ ာ်းမ ာ (နာရှိမှိုန္)ှို ဲ့
(အု်းှိ နာရှိ) တခှိုဖဲ့ စ်ကကသည။်
ြှ
လကန္် စ ်ဖကခ်ဖင ်ဲ့ ကငှို ည် စ်၍
သ်း ု သသာတကူ ှို ( ါ ယ )၊
လကတ် စ်ဖကခ်ဖငသ်ဲ့ ်း ု သသာတကူ ှို
( ဇ ု ှိ)(ကနှို ရ ှိ) ဟလု ည်း် သ ေါ်သည။်",,"くい う こ
かけやで杭を打ち込む"
3,42,トラクタショベル,とらくたしょべる,ထရကတ် ာသရ ာ်ဗယ ် (Tractor shovel),"ထနွ စ် က ် (Tractor) တငွ ် သခမသက ာကသ် ယ ် ကွ ်
(Bucket) ကတှို ပ်ဆငထ် ာ်းသသာ စကယ် န္ရတ ာ်း။
(သရာ်ော) ှိန်း် ါ်းပတခ်ပာ်းခဖင ်ဲ့
သာွ ်းသသာအမ ှိြုံ်းအစာ်း န္င ၊်ဲ့ ကာ်းေ်း ခဖငသ်ဲ့ ာွ ်းသသာ
အမ ှိြုံ်းအစာ်းမ ာ်းရှိ သည်",,
3,16,禁止事項,きんしじこう,တာ်းခမစ် က်,,,
3,15,受検（する）,じゅけん（する）,စာသမ်းပ ွသခဖ(သည)်,,,
3,33,ケレン,けれん,သနရ် ဲ့ င်း် သရ်း,,,"ひょうめん
コンパネの表面をけれんする"
3,36,結束工具,けっそくこうぐ,ညသ် န္ာ ငသ် ညက်ဲ့ ရှိ ှိယာ,(ဟပ်ကာ) ဟလု ည်း် သ ေါ်သည်,,"けっそく こ う ぐ もち てっきん しば
結束工具を用いて鉄筋を縛る"
3,18,ぶつかる,ぶつかる,တကှို မ် ှိသည်,,,トラクタショベルのバケットにぶつかってけがをした
3,49,仕上げる,しあげる,သနာကဆ် ်း ု ပှိတအ် သ ာသပ်သည်,,,
3,47,整備（する）,せいび（する）,"ြှ
အဆငခ်ဲ့မငတ်ဲ့ င်(သည်)",,,"しゃりょう せ い び
車両の整備をする"
3,30,インサート,いんさーと,"ကနွ က် ရစ်ထတ ငွ ခ်မြုံပ်ထည်ဲ့
ထာ်းသသာ သထ ည ်
အစှိတအ် ပှိုင်း်",,,"せ っ ち
インサートをコンクリートに設置するた
かたわく う こ
め、型枠に打ち込む"
3,8,休憩（する）,きゅうけい（する）,အနာ်းယူ(သည်),,,
3,9,整頓,せいとん,"စ သတမ် တထ် ာ်းရှိ ခ င်း်
(Sei-ton)","လအှို ပ်သသာပစစည်း် က ှို
ထာ်းသညသ်ဲ့ နရာန္င ်ဲ့ ထာ်းပ ုထာ်းနည်း် ကှို
သတမ် တ၍်
အမ ာ်းသသှိ အာငသ် ဖာ်ခပခ င်း် အာ်းခဖင ်ဲ့
အတင်း် အက ပ်ခပြုံလပု ်ခ င်း် န္င ်ဲ့
အလဟဿခဖစ်ခ င်း် က ှို သလျှာ ဲ့ ခ င်း် ။",,
3,5,有休,ゆうきゅう,လပု ်သက ် ငွ ်ဲ့,"အလပု ် ငွ ယ်ဲ့ သူ ပမ ဲ့ လပု ် သပ်းတ ဲ့
ငွ အ်ဲ့ မ ှိြုံ်းအစာ်း န္စ ်စဉ်လပု ်သက ် ငွ ်ဲ့
န္စ ်စဉ်လပု ်သက ် ငွ က်ဲ့ ှို အတ ှို ြုံပ်သခပာလျှင ်
ゆうきゅう
「有休｣ ""လပု ်သက ် ငွ ်ဲ့""ခဖစ်သာွ ်းသည။်",,"らいしゅうゆうきゅう しんせいしょ だ
来週、有休をとるので申請書を出した"
3,13,標識,ひょうしき,အမ တအ် သာ်း,,,
3,51,測定（する）,そくてい（する）,တငှို ်း် တာ(သည)်,,,
3,45,油圧ポンプ,ゆあつぽんぷ,ဟကှို ဒ် သရာလစ် ပန် ဲ့,,,
3,2,けがをする,けがをする,ဒဏရ် ာရသည်,,,
3,1,工場,こうじょう,စကရ် ု,,,
3,39,下筋,したきん,"ရကမ် ၏ သအာကပ် ှိုင်း် ရှိ
သသ ာင်း်",,,"したきん く み た
下筋を組立てる"
3,22,火気厳禁,かきげんきん,မ ်းသတခှိပြုံ,,,
4,39,横筋,よこきん,အလ ာ်းလကှို သ် သ ာင်း်,,,"よこきん く み た
横筋を組立てる"
4,24,ランマ,らんま,သခမဖှိစက ် (Rammer),Tamping rammer ခဖစ်ပါသည။်,,"じ ば ん し かた
ランマで地盤を締め固める"
4,22,駐車禁止,ちゅうしゃきんし,ကာ်းမရပ်ရ,,,
4,15,資格,しかく,အရညအ် င်း်,,,
4,10,清掃,せいそう,"သနရ် ဲ့ င်း် သရ်းလပု ်ခ င်း်
(Sei-sou)","သနရ် ဲ့ င်း် သရ်းခပြုံလပု ်၍ သပ်ရပ်ပပ ်း
ရှိ သငရ်ဲ့ ှိ တကှို သ် ညအ်ဲ့ သခ အသနက ှို
အမ ာ်းသလှိ ယွ သ် အာငခ်ပြုံလပု ်ထာ်းသသာ
လပု ်ငန်း် ငွ က် ှို ဖနတ် ်း ခ င်း် ။",,
4,51,計測（する）,けいそく（する）,ခ ငတ် ယွ တ် ငှို ်း် တာ(သည)်,,,
4,2,電源,でんげん,လျှပ်စစ်ပါဝါ,,,
4,45,水漏れ,みずもれ,သရယစှို ှိမ်ဲ့ခ င်း်,,,
4,5,代休,だいきゅう,အစာ်းထ်းှို နာ်းရက်,"အလပု ်ပှိတရ် ကတ် ငွ ် အလပု ်လပု ်သညအ်ဲ့ ါ
ထနှို ာ်းရကက် ှို အစာ်းထ်းှို ၍
အလပု ်ကနှို ာ်း ငွ ရ်ဲ့ သညရ်ဲ့ က။်",,
4,18,当たる,あたる,ထမှိ ှိသည်,,,"あ し ば お こ う ぐ からだ あ
足場から落ちてきた工具が体に当たってけがをした"
4,36,鉄筋切断機,てっきんせつだんき,သသ ာင်း် ခဖတစ် က်,,,"てっきんせ つだ んき てっきん せつだん
鉄筋切断機で鉄筋を切断する"
4,33,型枠支保工,かたわくしほこう,"ကနွ က် ရစ်သလာင်း် ှိနတ် ငွ ်
ပ ုစ ကွ သ် ောငက် ှို
သထာကက် နသ် ည ်ဲ့ လပု ်ငန်း်",,,"か た わ く し ほ こ う こ う じ おこな
型枠支保工の工事を行う"
4,42,ホイルローダ,ほいるろーだ,"ကာ်းေ်း ခဖငသ်ဲ့ ာွ ်းသသာ
ထရကတ် ာသရ ာ်ဗယက် ာ်း","ကာ်းေ်း ခဖငသ်ဲ့ ာွ ်းသသာ ထရကတ် ာသရ ာ်ဗယက် ာ်း
(သလ်းေ်း ယကယ် ာဥ်၊ Four-Wheel Drive)",,
4,16,避難訓練,ひなんくんれん,သေ်းအန္ရတ ာယမ် သရ ာငတ် မှိ ််းသရ်း သလကဲ့ ငမ်ဲ့ ှု,,,
4,13,気をつける,きをつける,ဂရုစှိုကသ် ည်,,,
4,1,製造,せいぞう,ထတု လ် ပု ်မှု,,,
4,49,折れる,おれる,က ှိြုံ်းသည်,,,"くぎ お
釘が折れる"
4,27,防音パネル,ぼうおんぱねる,အသက ာသောငခ်ပာ်း,,,"そうおんたいさく ぼうおん せ っ ち
騒音対策として防音パネルを設置す
る"
4,8,残業（する）,ざんぎょう（する）,အ ှိနပ် ှိုအလပု ်(ဆင်း် သည်),,,
4,47,点検（する）,てんけん（する）,စစ်သဆ်း(သည်),,,"さぎょうまえ こ う ぐ てんけん
作業前に工具を点検する"
4,30,スペーサ,すぺーさ,ကကာ်း ခ ပာ်း,,,"かたわく と つ
型枠にスペーサを取り付ける"
4,3,職種,しょくしゅ,အလပု ်အကငှို အ် မ ှိြုံ်းအစာ်း,,,
5,30,鉄筋,てっきん,သတ ငှို ၊်သသ ာင်း်,,,"てっきん かたわく す き ま ちょうせい
鉄筋と型枠の隙間を調整する"
5,47,動かす,うごかす,သရ ွဲ့သည၊်လပှု ်ရ ာ်းသစသည်,,,"き か い うご
機械を動かす"
5,27,朝顔材,あさがおざい,"ခပြုံတက် လာသညပ်ဲ့ စစည်း် ကှို
ဖမ််း သ ပ်းသညအ်ဲ့",,,"あさがおざい ひ ら い ら っ か ぼ う し
朝顔材は飛来落下防止のためにつか
う"
5,49,欠ける,かける,ပ ဲ့သည်,,,"まる は か
丸のこの刃が欠ける"
5,18,下敷きになる,したじきになる,သအာကတ် ငွ ပ် ှိမှိသည်,,,"じゅうき し た じ
重機の下敷きになる"
5,22,足もと注意,あしもとちゅうい,"သခ သထာကအ် န်း တဝှိုက်
သတခှိပြုံ",,,
5,24,自在クランプ,じざいくらんぷ,"ြှ
လည ၍်ဲ့ ရသသာ ညပ်
(Adjustable/Movable
clamp)","ပှိုကလ် ်း ု အ င်း် င်း် ငှို ် ငှို ပ် ူ်းကပ်၍
တသစာင်း် အာ်းခဖညသ်ဲ့ ညတ်ဲ့ န်း် က ှို
ထညသ်ဲ့ ငွ ်း် ရာတငွ သ် ်း ု သည။် ခငမ််းတငွ ၊်
တသစာင်း် အာ်းခဖညခ်ဲ့ င်း် က ှို (စူဂ ကငှို )်
ဟသု ေါ်သည။်",,"じ ざ い もち たんかん きんけつ
自在クランプを用いて単管を緊結する"
5,39,腹筋,はらきん,"အဓှိကသတ ငှို န္် င အ်ဲ့ ပပှိြုံင ်
ထညသ်ဲ့ ငွ ်း် ထာ်းသည ်ဲ့
သသ ာင်း်",,,"はらきん く み た
腹筋を組立てる"
5,3,在留資格,ざいりゅうしかく,ဗ ဇာအမ ှိြုံ်းအစာ်း,,,
5,8,定時,ていじ,ပ ုမ နအ် ှိန်,"သတမ် တထ် ာ်းတအ ဲ့ ှိန ် လပု ်ငန်း် ငွ တ် ငွ ်
အထ်းူ သခဖင ်ဲ့ ရု ်းတကရ် ု ်းဆင်း် ှိနက် ှို
ဆလှို သှို ည။်",,"き ょ う ていじ かえ
今日は定時に帰る"
5,13,持ち込む,もちこむ,ယလူ ာသည်,,,"こうじょう けいたいでんわ も こ
工場に携帯電話を持ち込んではいけ
ない"
5,51,計測器,けいそくき,ခ ငတ် ယွ တ် ငှို ်း် တာသည ်ဲ့ ကရှိ ှိယာ,,,
5,45,油漏れ,あぶらもれ,ဆယ စှို ှိမ်ဲ့ခ င်း်,,,
5,36,鉄筋曲げ加工機,てっきんまげかこうき,သသ ာင်း် သက်းွ စက်,,,"てっきん ま か こ う き てっきん ま
鉄筋曲げ加工機で鉄筋を曲げる"
5,1,機械,きかい,စက်,,,
5,33,"基礎型枠
（メタルフォーム）","きそかたわく
（めたるふぉーむ）","သအာက ် က နွ က် ရစ်တငွ ်
သဒါငလ် ကှို စ် ှိုကထ် ာ်းသသာ
သတ ငှို ပ် တလ် ည၌်
ဆငသ် သာသောင်",,,"き そ かたわく く み た
基礎型枠を組立てる"
5,42,ダンプトラック,だんぷとらっく,သခမသက ာကသ် ယက် ာ်း (Dump truck),သခမသက ာကသ် ယက် ာ်း (Dump truck),,
5,16,感電（する）,かんでん（する）,ဓာတလ် ကှို ်(သည်),,,
5,15,手当,てあて,စ ာ်း ငွ ်ဲ့,,,
5,2,電源を切る,でんげんをきる,လျှပ်စစ်ပါဝါပှိတသ် ည်,,,
5,10,清潔,せいけつ,"သနရ် ဲ့ င်း် သပ်ရပ်မှု
(Sei-ketsu)","စနစ်တက ထာ်းရှိ ခ င်း် (Seiri)၊
စ သတမ် တထ် ာ်းရှိ ခ င်း် (Sei-ton)၊
သနရ် ဲ့ င်း် သရ်းလပု ်ခ င်း် (Sei-sou)က ှို
သသ ာလကှို န် ာသဆာငရ် ွကပ်ပ ်း
ရှုပ်သထ်းွ မှုမရှိ သသာ
ရှိ သငရ်ဲ့ ှိ တကှို သ် ညလ်ဲ့ ပု ်ငန်း် ငွ အ် သခ အန
သးကထှို နှိ ်း် သမှိ ််းခ င်း် ။",,
5,5,労働基準法,ろうどうきじゅんほう,အလပု ်သမာ်းစ န္နှု ်း် ဥပသဒ,"အလပု ်လပု ်ကငှို ခ် င်း် ဆငှို ရ် ာစ ှိနစ် န္နှု ်း် မ ာ်းသ
တမ် တထ် ာ်းသသာဂ ပနန္် ငှို င် ၏ ဥပသဒ",,
6,24,キャッチクランプ,きゃっちくらんぷ,"ြှ
ဖမ််းညပ်ကရှိ ှိယာ (Catch
clamp)",,,"もち たんかん てっこつ
キャッチクランプを用いて単管と鉄骨
きんけつ
を緊結する"
6,49,近づく,ちかづく,အနာ်းကပ်လာသည်,,,"さぎょうちゅう じゅうき ちか
作業中の重機に近づかない"
6,2,非常停止ボタン,ひじょうていしぼたん,"အသရ်းသပေါ်စကရ် ပ်တန ် ဲ့
လတု ်",,,
6,45,冷却水,れいきゃくすい,အသအ်း သ ပ်းသညသ်ဲ့ ရ,,,
6,16,防止（する）,ぼうし（する）,တာ်းဆ်း (သည်),,,
6,1,安全,あんぜん,လခ ု ြုံ မှု,,,
6,5,労働条件,ろうどうじょうけん,အလပု ်သမာ်း စ ာ်း ငွ ်ဲ့,,,
6,36,フック,ふっく,"သသ ာင်း် အဖ ာ်းရှိ
သက်းွ ထာ်းသညအ်ဲ့ ပှိုင်း်",,,"てっきんた ん ぶ
鉄筋端部にフックをつける"
6,3,パスポート,ぱすぽーと,န္ငှို င် က ်းူ လကမ် တ်,,,
6,13,防ぐ,ふせぐ,ကာကယွ သ် ည။်,,,"あんぜんかくにん じ こ ふせ
安全確認して事故を防ぐ"
6,33,釘仕舞い,くぎしまい,"ရုှိကထ် ာ်းသသာ
သသ ာင်း် မ ာ်းက ှို
ခပနန္် တှု သ် မှိ ််းဆည်း် ခ င်း်",,,"かたわく くぎ し ま
型枠をばらして釘仕舞いをする"
6,15,社員,しゃいん,ကမု ပဏဝ နထ် မ််း,,,
6,42,油圧ショベル,ゆあつしょべる,"ဟကှို ဒ် သရာလစ်သရ ာ်ဗယ ် (Hydraulic
shovel)","လပု ်ငန်း် သ်း ု ကရှိ ှိယာ (Attachment) က ှို
သခပာင်း် လတ ပ်ဆင၍်
လပု ်ငန်း် အမ ှိြုံ်းမ ှိြုံ်းလပု ်န္ငှို သ် သာ
သရ ာ်ဗယပ် ါသညစ်ဲ့ ကယ် န္ရတ ာ်း
(ဟကှို ဒ် သရာလစ်သရ ာ်ဗယ်)",,
6,8,規則,きそく,စည်း် မ ဉ််းစည်း် ကမ််း,,,
6,27,架空線,かくうせん,ဓာတအ် ာ်းလငှို ်း် ကကြုံှိ်း,"ဗှိုအဲ့ ာ်းခမငလ်ဲ့ ျှပ်စစ်စ ်းသန၍ထမှိ ှိလျှငဓ် ာတ်
လကှို တ် တသ် ည်",,"か く うせん せっしょく
架空線へ接触させないようにする"
6,30,電工ドラム（ドラム）,でんこうどらむ（どらむ）,"ပလတသ် ပါကမ် ာ်းပါသသာ
ဓာတက်ကြုံှိ်းရစ်လ်း ု (ဒရမ်)",,,"でんこう さ こ
電工ドラムのコンセントに差し込む"
6,51,温度,おんど,အပူ ှိန်,,,
6,10,しつけ,しつけ,"အစဉ်အလာဓသလထဲ့ ်း ု စ
(Shi-tsuke)","သတမ် တထ် ာ်းသညစ်ဲ့ ည်း် ကမ််းမ ာ်းက ှို
သတမ် တထ် ာ်းသညအ်ဲ့ တငှို ်း်
အစဉ်အလာအခဖစ်
ပ ုမ နသ် ဆာငရ် ွကန္် ငှို သ် အာင ်
အခပနအ် လန က် ညူ က ကသညလ်ဲ့ ပု ်ငန ် ငွ အ်
သခ အသနကဖှို နတ် ်း ခ င်း် ။",,
6,47,運転（する）,うんてん（する）,သမာင်း် န္င ်(သည်),,,"けんせつき か い うんてん
建設機械を運転する"
6,18,打つ,うつ,ထသု ည၊်ရုှိကသ် ည်,,,"あやま て う
誤ってハンマーで手を打ってしまった"
6,22,開口部注意,かいこうぶちゅうい,အသပါကရ် ှိ သညသ် တခှိပြုံ,,,
6,39,配力筋,はいりょくきん,"အဓှိကသတ ငှို န္် င ်ဲ့
သထာငမ်ဲ့ နအ် သနအထာ်း
တယွ ဆ် ကသ် ည ်ဲ့ သသ ာင်း်",,,"はいりょくきん く み た
配力筋を組立てる"
7,42,バックホウ,ばっくほう,ေကဟ် ်းှို,"ဟကှို ဒ် သရာလစ်သရ ာ်ဗယမ် ာ်းထတ ငွ ်
အမ ာ်းဆ်း ု သတွဲ့ရွ သသာ အမ ှိြုံ်းအစာ်း ခဖစ်ပပ ်း၊
သခမမ ကန္် ာ ခပငထ် က ် နမှိ ်ဲ့သသာ သနရာက ှို တ်းူ ရာတငွ ်
သ်း ု သည ် (ေကဟ် ်းှို )",,
7,30,電動丸のこ（電のこ）,"でんどうまるのこ（でんの
こ）",လျှပ်စစ်လအ ဝှိုင်း်,,,"でんどうまる せつだん
電動丸のこでコンパネを切断する"
7,27,幅木（仮設足場）,はばき（かせつあしば）,"ကကမ််းခပငအ် စွန်း် မ
သထာငထ် ာ်းသသာအခပာ်း
(ယာယခ ငမ််း)",,,"ろうどうしゃ ついてんらく き ぐ ら っ か ぼ う し
労働者の墜転落・器具の落下防止の
あ し ば は ば き もう
ために足場に幅木を設ける"
7,45,ブレーキ液,ぶれーきえき,ေရှိတအ် ရည်/ေရှိတဆ်,,,
7,47,測る,はかる,တငှို ်း် သည်,,,"てっきん なが はか
鉄筋の長さを測る"
7,15,部長,ぶちょう,ဌာနမ ်း,,,
7,13,火,ひ,မ ်း,,,
7,51,高さ,たかさ,အခမင်ဲ့,,,
7,16,予防（する）,よぼう（する）,ကကြုံှိတငက် ာကယွ ်(သည်),,,
7,5,税金,ぜいきん,အ နွ ်,,,
7,1,危険（な）,きけん（な）,အန္ရတ ာယ်(ရှိ သသာ),"ပ ုမ န ် န်း် ဂ ်းန သဲ့ ရ်းသပမ ဲ့ စကရ် ု မ ာ
ါတာ ါနာနသ ဲ့ ရ်းတအ ဲ့ ါလည်း် ရှိ တယ။်",,
