(cid:535)របកែ(cid:688)ប,(cid:700)ក(cid:679)សព(cid:635),No.,Page,កា បកដរប,កា បកប្រប,កា បក្ប្គ្ប,កា បក្ប្រប,កា បក្ប្្ប,កា រក្ប្ប្រ,ចាំណា ពនយល់,ចំ(cid:622)រពន(cid:679)ល់,ចំណា ពនយល់,ចំណា ព្នយល់,ច្ំណា ពនយល់,ច្ំណា ព្នយល់,បូ ថត,មបៀបអាន,មរៀរអាន,រូបថត,រេប(cid:827)ប(cid:738)ន,វាកយសពទ,វាកយសព្ទ,វាក្យសពទ,វាក្យសព្ទ,វាក្យសព្ា,សញ្ញា,ឧ(cid:637)ហរណ៍,ឧទាហ ណ៍,ឧទាហ ណ្៍,ឧទាហ្ ណ៍
,,1,34,សរសសដែកលកខណ:កន្រ្តក,,,,,,,,,,,,,はかまきん,,,,,はかま筋,,,,,,"きん く み た
はかま筋を組立てる",,
,,1,14,,"សកម្មភាពKY
(សកម្មភាពពាករណ៏ហា
នីភយ)័",,,,,,,,,,,,"けーわいかつどう（きけん
よちかつどう）",,,,KY活動（危険予知活動）,,,,,,,,,
,,1,13,,,ហាម,,,,,,,,,,,きんし,,,,,,禁止,,,,,,,
,,1,40,,,,,ស ៊ីឡាំងអ ៊ីដ្រលូ ិក,,,,,,,,,ゆあつしりんだ,,,,,,,油圧シリンダ,,,,,,
ដង(cid:544)៣(cid:814)(cid:671)(cid:572)ំ ប់(cid:545)(cid:645),三連クランプ,1,19,,,,,,,,,,,,,,,,,さんれんくらんぷ,,,,,,,"さんれん たんかん けつごう
三連クランプで単管を結合する",,,
,,1,17,,,,ហាមចូល,,,,,,,,,,たちいりきんし,,,,,,,立入禁止,,,,,,
,,1,22,,,,ខ្សែពួរមេ,,,,,,"គឺជាខ្សែសំរាប់ពាក់ថ្ពក់ ខ្សែក្កវ៉ាត់
សុវតថិភាពមៅការដ្ឋា នសំណង(់ ក្កវ៉ា
ត់ ខ្សែជីវតិ )ម ើេបីការពារជីវតិ អ្នកម្វើ
ការមៅការដ្ឋា ន មគតមេលើងពីសរសរ
ម្ខា ងមៅសរសរម្ខា ងម ៀតមដ្ឋយេិន
មោយវ្ូរ",,,,おやづな,,,,,,,,親綱,,,"おやづな あんぜんたい
親綱に安全帯をかける",,
,,1,37,,,,,ត្រាក់ទរ័,,,,,"ត្រាក់ទរដ័ ែលបំពាក់ឧបករណ៏ការងារ
(attachment)ត្ររូវបានគេគៅថា
គត្រេឿងចត្រករុញែីឬត្រាក់ទ័រឈូសែីជា
គែើម។",,,,とらくた,,,,,,,トラクタ,,,,,,
,,1,6,,,,(ធ្វើការ) មកយឺត,,,,,,,,,,ちこく（する）,,,,,,,遅刻（する）,,,,,,
,,1,3,,អង្គភាពគ្រប់គ្រង្,,,,,,,,,,"អង្គការមិនរកគ្ាក់ជំណេញដែល
ណ្វើការគ្រប់គ្រង្និង្ែឺកនំនូវ
សកមមភាពនិង្ការបេ្ តុះបណ្តា ល
កមមសិកាការហ្ើ វឹកហ្វឹនជំនញ",,かんりだんたい,,,,,監理団体,,,,,,,,
,,1,7,,,,ស ៥,,,,,"S ជាតួអក្សរកាត់នៃពាក្យៃីមួយៗនៃ
វៃិ ័យទងាំ ៥ ដែលមាៃែូចជា មាៃ
របបៀប បរៀបរយ សមាា ត ៃិងបអនា
ម័យ។ ពាក្យប្បើ្ាស់បែើមបដី ែរក្ា
នៃការដក្លមារក្ដៃែងការងារ។",,,,,ごえす,,,,,,5S,,,,,,,
,,1,4,,(ធ្វើការ)ការកាត់ថ្លៃ,,,,,,,,,"ការដកចំនួនទឹកប្រាក់ធលរពីប្រាក់ធដើម។
ធប្ររើប្រាស់ធៅធពលរងពនធជាចមបង។",,,こうじょ（する）,,,,控除（する）,,,,,,,"かぞく やしな ひと ふようこうじょ
家族を養っている人は、「扶養控除」
う ばあい
を受けられる場合がある",,
,,2,25,,,,ផ្ខ្ែម្កវា៉ាត្់សុវត្ថិភាព,,,,,,,,,,あんぜんたい,,,,,,,安全帯,,,,"あんぜんたい あ し ば と つ
安全帯を足場に取り付ける",,
,,2,14,,គ្រោះថ្នា ក់,,,,,,,,,,,,きけん,,,,危険,,,,,,,,,
,,2,31,ដសែរតឹ ចំណរ,,,,,,,,,,,,,けっそくせん,,,,,結束線,,,,,,"けっそくせん てっきん しば
結束線で鉄筋を縛る",,
,,2,44,,,,ខ្នា ត,,,,,,,,,,すんぽう,,,,,,,寸法,,,,,,
,,2,13,,,ផ្ទ ងាំ បង្ហា ញព័ត៍មាន,,,,,,,,,,,ひょうじばん,,,,,,表示板,,,,,,,
,,2,42,,(ការ)ដំដ ើរការ,,,,,,,,,,,,さどう（する）,,,,,作動（する）,,,,,,"か さ い ほ う ち き さ ど う
火災報知器が作動する",,
,,2,28,,,,"បែកសោលបនែកខាងសលើនៃ
េំណង់",,,,,,,,,,てんばくぎ,,,,,,,天端釘,,,,"てん てん ば くぎ う
コンクリート天に天端釘を打つ",,
,,2,12,,ប្រឡងសមត្ថិភាពជំនាញ,,,,,,,,,,,,ぎのうけんていしけん,,,,,技能検定試験,,,,,,,,
,,2,2,,,,របួស,,,,,,,,,,けが,,,,,,,けが,,,,,,
,,2,10,,,,,,ហាមដាច់ខាតបរើកចំហ,,,,,,,,,かいほうげんきん,,,,,開放厳禁,,,,,,,
ែខ(cid:717)បន(cid:635)ះយន(cid:625),"ベルトコンベア
（ベルコン）",2,19,,,,,,,,,,,,,,,,ន(cid:625),"べるとこんべあ
（べるこん）",,,,,,,"つち こうんぱん
ベルトコンベアで土を小運搬する",,,
,,2,17,,,,ហាមជក់បារី,,,,,,,,,,きんえん,,,,,,,禁煙,,,,,,
,,2,22,,,,គំរបឈ្នន ន់(ប ៊ី្ី),,,,,,,,,,たてわく（びてぃ）,,,,,,,,建枠（ビティ）,,,"たてわく もち あ し ば く み た
建枠（ビティ）を用いて足場を組立て
る",,
,,2,40,,,,,ម៉ូ ទ័រអ ៊ីដ្រលូ ិក,,,,,,,,,ゆあつもーた,,,,,,,油圧モータ,,,,,,
,,2,7,,,,មាៃរបបៀប,,,,,"បែើមបបី លើក្ក្មពស់គុណភាពៃិងផលិ
តភាពបោយក្ាំណត់ៃូវអវីដែល្តវូ
ការៃិងអវីដែលមិៃ្តវូ ការៃិងការ
ដចក្រំដលក្ៃូវព័ត៌មាៃ។",,,,,せいり,,,,,,整理,,,,,,,
,,2,6,,,,(ធ្វើការ) ធេញមុនធេល,,,,,,,,,,そうたい（する）,,,,,,,早退（する）,,,,,,
,,2,37,,,,,គត្រេឿងចត្រករុញែី,,,,,"ម៉ា សុីនដែលបំពាក់ ដប៉ាលរុញែីគៅ
នឹងត្រាក់ទ័រ",,,,ぶるどーざ,,,,,,,ブルドーザ,,,,,,
,,2,34,សរសសដែកបញ្ឈរ,,,,,,,,,,,,,たてきん,,,,,縦筋,,,,,,"たてきん く み た
縦筋を組立てる",,
,,2,43,,ដាក់ចៅវញិ,,,,,,,,,,,,もどす,,,,,戻す,,,,,,"つか こ う ぐ もと ば し ょ もど
使った工具は元の場所に戻す",,
,,2,1,,,,"កម្មសិកាការហ្ី វឹកហ្វឺន
ជំនាញ",,,,,,,,,,ぎのうじっしゅうせい,,,,,,,技能実習生,,,,,,
,,2,4,,ប្រាក់រំណាច់,,,,,,,,,,,,ぼーなす,,,,ボーナス,,,,,,,,,
,,2,3,,ការណទេរបណចេកវទ្យិ ា,,,,,,,,,,,,ぎじゅついてん,,,,,技術移転,,,,,,,,
,,3,40,,,,,សនប់ប៉ូមអ ៊ីដ្រលូ ិក,,,,,,,,,ゆあつぽんぷ,,,,,,,油圧ポンプ,,,,,,
,,3,22,,,,ក្កណាត់សំណាញ់,,,,,,"「ក្កណាត់សំណាញ」់ មពលសលះមគមៅ
ថា
「飛散防止ネット」(ហុី សំង បូ សុី
មណតុ)「សំណាញ់ការពារការខ្ទា ត
ខ្ទា យ」",,,,めっしゅしーと,,,,,,,,メッシュシート,,,"あ し ばわく と つ
足場枠にメッシュシートを取り付ける",,
ញញ(cid:819)រេឈ(cid:822),かけや,3,19,,,,,,,,"គឺ(cid:574)ញញ(cid:819)រេឈ(cid:822)ធំ។េ(cid:579)(cid:674)ះេផ(cid:717)ងេ(cid:729)
(cid:632)(cid:622)រ(cid:847)(cid:811)មូណុឬអូ(cid:622)រ(cid:809)។េ(cid:688)ប(cid:822)េ(cid:598)យ
ៃដ(cid:637)ំងពីរេគេ(cid:729)ញញ(cid:819)រេឈ(cid:822)ធេំ(cid:688)ប(cid:822)
េ(cid:598)យៃដ(cid:676)(cid:538)ង(cid:688)ត(cid:816)វ(cid:652)នេគេ(cid:729)(cid:632)
ញញ(cid:819)រេឈខ(cid:822)(cid:693)ះេគេ(cid:729)(cid:632) កូ េនគី រ(cid:809)
។",,,,,,,,,かけや,,,,,,,"くい う こ
かけやで杭を打ち込む",,,
,,3,7,,,,បរៀបរយ,,,,,"ការកាត់បៃថយៃូវភាពខ្ជះខ្ជជ យជា
បែើមបោយប្វីការបងាា ញៃូវរបបៀប
ទុក្ោក្់ៃិងក្ដៃែងទុក្ោក្់វតថ ុ
សាំខ្ជៃ់បោយាៃចាស់លាស់។",,,,,せいとん,,,,,,整頓,,,,,,,
,,3,31,ឧបករណ៏រតឹ ចរ,,,,,,,,,បពលសលះបគបៅថា「ហាក់ កា」,,,,けっそくこうぐ,,,,,結束工具,,,,,,"けっそく こ う ぐ もち てっきん しば
結束工具を用いて鉄筋を縛る",,
,,3,42,,(ការ)ដរៀបចំ ថែសំរលួ,,,,,,,,,,,,せいび（する）,,,,,整備（する）,,,,,,"しゃりょう せ い び
車両の整備をする",,
,,3,4,,"ការសប្រមាកមានប្រាក់
ធរៀវតស",,,,,,,,,"ការដកចំនួនទឹកប្រាក់ធលរពីប្រាក់ធដើម។
ធប្ររើប្រាស់ធៅធពលរងពនធជាចមបង។",,,ゆうきゅう,,,,有休,,,,,,,"らいしゅうゆうきゅう しんせいしょ だ
来週、有休をとるので申請書を出した",,
,,3,25,,,,បញ្ច លូ,,,,,,,,,,いんさーと,,,,,,,インサート,,,,"せ っ ち
インサートをコンクリートに設置するた
かたわく う こ
め、型枠に打ち込む",,
,,3,28,,,,ការេំសលៀង,,,,,,,,,,けれん,,,,,,,ケレン,,,,"ひょうめん
コンパネの表面をけれんする",,
,,3,14,,ប ោះទង្គិច,,,,,,,,,,,,ぶつかる,,,,ぶつかる,,,,,,,"トラクタショベルのバケットにぶつかっ
てけがをした",,
,,3,34,សរសសដែកខាងឡន្កាម,,,,,,,,,,,,,したきん,,,,,下筋,,,,,,"したきん く み た
下筋を組立てる",,
,,3,13,,,ប្បការហាមឃាត់,,,,,,,,,,,きんしじこう,,,,,,禁止事項,,,,,,,
,,3,17,,,,ហាមបង្កា ត់ភ្លើង,,,,,,,,,,かきげんきん,,,,,,,火気厳禁,,,,,,
,,3,3,,រយៈណពលហ្វឹកហ្វឺនជំនញ,,,,,,,,,,,,ぎのうじっしゅうきかん,,,,,技能実習期間,,,,,,,,
,,3,44,,,,(ការ)វាស់ វែង,,,,,,,,,,そくてい（する）,,,,,,,測定（する）,,,,,,
,,3,12,,(ធ្វើ)ការប្រឡង,,,,,,,,,,,,じゅけん（する）,,,,,受検（する）,,,,,,,,
,,3,43,,ច្វើចោយច ើយ,,,,,,,,,,,,しあげる,,,,,仕上げる,,,,,,,,
,,3,2,,,,មានរបួស,,,,,,,,,,けがをする,,,,,,,けがをする,,,,,,
,,3,1,,,,រោងចក្ក,,,,,,,,,,こうじょう,,,,,,,工場,,,,,,
,,3,10,,,,,,សញ្ញា,,,,,,,,,ひょうしき,,,,,標識,,,,,,,
,,3,6,,,,(ធ្វើការ) សម្រាក,,,,,,,,,,きゅうけい（する）,,,,,,,休憩（する）,,,,,,
,,3,37,,,,,ត្រាក់ទ័រឈូសែី,,,,,"ម៉ា សុីនត្រាក់ទ័រដែលមនបំពាក់
ដប៉ាលចូក។មនត្របគេទគត្របើកង់សប់
និងត្របគេទគត្របើកង់ត្រចវាក់",,,,とらくたしょべる,,,,,,,トラクタショベル,,,,,,
,,4,6,,,,(ធ្វើការ) ការងារថែមធា៉ោ ង,,,,,,,,,,ざんぎょう（する）,,,,,,,残業（する）,,,,,,
(cid:676)៉សុីនប(cid:559)(cid:726)ប់ដី,ランマ,4,19,,,,,,,,"គឺ(cid:574)(cid:676)៉សុីនប(cid:559)(cid:726)ប់ដីែដល(cid:676)ន
េ(cid:579)(cid:674)ះេ(cid:729) េ(cid:688)(cid:536)(cid:632) Tamping rammer",,,,,,,,,らんま,,,,,,,"じばん し かた
ランマで地盤を締め固める",,,
,,4,22,,,,ផ្ា ងំ ប់សមេលង,,,,,,,,,,ぼうおんぱねる,,,,,,,,防音パネル,,,"そうおんたいさく ぼうおん せ っ ち
騒音対策として防音パネルを設置す
る",,
,,4,37,,,,,រ ឡូ ូ កិនែី,,,,,"ត្រាក់ទ័រឈូសែីត្របគេទគត្របើកង(់ វលិ
កង់ទងំ បួន(4WD))",,,,ほいるろーだ,,,,,,,ホイルローダ,,,,,,
,,4,40,,,,,លលចធ្លា យទឹក,,,,,,,,,みずもれ,,,,,,,水漏れ,,,,,,
,,4,17,,,,ហាមចត,,,,,,,,,,ちゅうしゃきんし,,,,,,,駐車禁止,,,,,,
,,4,25,,,,ឧបករណ៏រកាចស្ែ ោះ,,,,,,,,,,すぺーさ,,,,,,,スペーサ,,,,"かたわく と つ
型枠にスペーサを取り付ける",,
,,4,14,,្រវូ នឹង្,,,,,,,,,,,,あたる,,,,当たる,,,,,,,"あ し ば お こ う ぐ からだ あ
足場から落ちてきた工具が体に当
たってけがをした",,
,,4,34,សរសសដែកឡផតក,,,,,,,,,,,,,よこきん,,,,,横筋,,,,,,"よこきん く み た
横筋を組立てる",,
,,4,2,,,,ចរនតអគគិសនី,,,,,,,,,,でんげん,,,,,,,電源,,,,,,
,,4,42,,(ការ)ត្រួរពិនិរយ,,,,,,,,,,,,てんけん（する）,,,,,点検（する）,,,,,,"さぎょうまえ こ う ぐ てんけん
作業前に工具を点検する",,
,,4,13,,,ហ្វកឹ ហាត់ជមមលៀសមេញ,,,,,,,,,,,ひなんくんれん,,,,,,避難訓練,,,,,,,
,,4,12,,សមត្ថភាព(ជំនាញ),,,,,,,,,,,,しかく,,,,,資格,,,,,,,,
,,4,31,ម េុ៊ីនកាត់េរសេដែក,,,,,,,,,,,,,てっきんせつだんき,,,,,鉄筋切断機,,,,,,"てっきんせ つだ んき てっきん せつだん
鉄筋切断機で鉄筋を切断する",,
,,4,1,,,,ការផលិត,,,,,,,,,,せいぞう,,,,,,,製造,,,,,,
,,4,43,,បាក់,,,,,,,,,,,,おれる,,,,,折れる,,,,,,"くぎ お
釘が折れる",,
,,4,44,,,,(ការ)វាស់,,,,,,,,,,けいそく（する）,,,,,,,計測（する）,,,,,,
,,4,10,,,,,,ខ្ ញំនឹង្រងុ ្រយ័តន,,,,,,,,,きをつける,,,,,気をつける,,,,,,,
,,4,28,,,,េ ៉ុមេរមប់ចាក់សបត៉ុង,,,,,,,,,,かたわくしほこう,,,,,,,型枠支保工,,,,"か た わ く し ほ こ う こ う じ おこな
型枠支保工の工事を行う",,
,,4,4,,ថ្លៃឈរ់សប្រមាកធលើកថ្លៃ,,,,,,,,,"វាជាថ្លៃសប្រមាកពីការងារសងវញិ កន ុង
ករណីធ្វើការធៅថ្លៃឈរ់សប្រមាក។",,,だいきゅう,,,,代休,,,,,,,,,
,,4,7,,,,សមាា ត,,,,,"ការប្វីបោយស្ថថ ៃភាពការងារងាយ
យល ់ ្តមឹ ្តវូ ៃិងស្ថា តបោយការសម្
ោត។",,,,,せいそう,,,,,,清掃,,,,,,,
,,4,3,,គ្បណេទ្យមុខរបរ,,,,,,,,,,,,しょくしゅ,,,,,職種,,,,,,,,
,,5,17,,,,ប្បយ័តនប ៉ះភជើង,,,,,,,,,,あしもとちゅうい,,,,,,,足もと注意,,,,,,
,,5,6,,,,ធេលធ ៀងទាត់,,,,,,"ធា៉ោ ងកំណត់។ វាបងាា ញេីធេលធេលា
េូលនិងធេញេីម្រកមុ ហ ុនជាេិធសស
ធៅកថនែងការងារ។",,,,ていじ,,,,,,,定時,,,,"き ょ う ていじ かえ
今日は定時に帰る",,
,,5,22,,,,ផ្ា ងំ មក្ៅសក្ម្ខប់ការពារ,,,,,,,,,,あさがおざい,,,,,,,,朝顔材,,,"あさがおざい ひ ら い ら っ か ぼ う し
朝顔材は飛来落下防止のためにつか
う",,
,,5,37,,,,,ត្រាក់ទ័រែឹកែី,,,,,,,,,だんぷとらっく,,,,,,,ダンプトラック,,,,,,
,,5,3,,អាជ្ញា ប័េណ ស្នា ក់ណៅ,,,,,,,,,,,,ざいりゅうしかく,,,,,在留資格,,,,,,,,
ដង(cid:544)(cid:814)ំេសរ(cid:801),自在クランプ,5,19,,,,,,,,"េ(cid:688)ប(cid:822)សំ(cid:690)ប់រ(cid:805)តប នប(cid:625)ំពឹងង់ឯក
រ(cid:700)ង(cid:545)(cid:645)និង(cid:545)(cid:645) េគេ(cid:688)ប(cid:822)(cid:700)េ(cid:648)េពល
(cid:598)ក់ព(cid:688)ងឹងបេ(cid:586)(cid:572)(cid:828)ង។េ(cid:648)កែន(cid:693)ង
(cid:598)ក់េជ(cid:822)ង(cid:535)រព(cid:688)ងឹងបេ(cid:586)(cid:572)(cid:828)ងេគ
េ(cid:729)(cid:632) （すじかいសុឺជិៃក）
(cid:676)ននយ័(cid:632)(cid:598)ក់ ែខ(cid:698)ង។",,,,,,,,,じざいくらんぷ,,,,,,,"じざい もち たんかん きんけつ
自在クランプを用いて単管を緊結す
る",,,
,,5,42,,បត រូកថនែង្,,,,,,,,,,,,うごかす,,,,,動かす,,,,,,"き か い うご
機械を動かす",,
,,5,40,,,,,លលចធ្លា យលដ្បង,,,,,,,,,あぶらもれ,,,,,,,油漏れ,,,,,,
,,5,14,,កិនសង្ារ់,,,,,,,,,,,,したじきになる,,,,下敷きになる,,,,,,,"じゅうき し た じ
重機の下敷きになる",,
,,5,34,សរសសដែកដាក់ទទឹង,,,,,,,,,,,,,はらきん,,,,,腹筋,,,,,,"はらきん く み た
腹筋を組立てる",,
,,5,25,,,,សរសសផ្ ក,,,,,,,,,,てっきん,,,,,,,鉄筋,,,,"てっきん かたわく す き ま ちょうせい
鉄筋と型枠の隙間を調整する",,
,,5,12,,ប្ាក់ឧរត្ថមភ,,,,,,,,,,,,てあて,,,,,手当,,,,,,,,
,,5,31,ម េុ៊ីនពត់េរសេដែក,,,,,,,,,,,,,てっきんまげかこうき,,,,,鉄筋曲げ加工機,,,,,,"てっきん ま か こ う き てっきん ま
鉄筋曲げ加工機で鉄筋を曲げる",,
,,5,2,,,,បិទចរនតអគគិសនី,,,,,,,,,,でんげんをきる,,,,,,,電源を切る,,,,,,
,,5,1,,,,ម៉ា ស ៊ីន,,,,,,,,,,きかい,,,,,,,機械,,,,,,
,,5,13,,,(ការ)ឆក់អគ្គីសនី,,,,,,,,,,,かんでん（する）,,,,,,感電（する）,,,,,,,
,,5,28,,,,េ ៉ុមរ្រោះ(សមតាលហ្វម),,,,,,,,,,"きそかたわく
（めたるふぉーむ）",,,,,,,"基礎型枠
（メタルフォーム）",,,,"き そ かたわく く み た
基礎型枠を組立てる",,
,,5,10,,,,,,យកចូល,,,,,,,,,もちこむ,,,,,持ち込む,,,,,"こうじょう けいたいでんわ も こ
工場に携帯電話を持ち込んではいけ
ない",,
,,5,43,,ដែប,,,,,,,,,,,,かける,,,,,欠ける,,,,,,"まる は か
丸のこの刃が欠ける",,
,,5,4,,ចារ់រទដាា នការងារ,,,,,,,,,ចារ់ជរ នដដលកំណត់សាង់ដារសាីពីការងារ,,,ろうどうきじゅんほう,,,,労働基準法,,,,,,,,,
,,5,44,,,,នាឡិកាវាស់សទង់,,,,,,,,,,けいそくき,,,,,,,計測器,,,,,,
,,5,7,,,,ស្ថា ត,,,,,"ការរក្ាៃូវស្ថថ ៃភាពស្ថា តជា្បចាំ
បោយការអៃុវតតយ៉ា ងែិតែល់ៃូវ
ការមាៃរបបៀប កាបរៀបរយៃិងអនា
ម័យ។",,,,,せいけつ,,,,,,清潔,,,,,,,
,,6,14,,ដំ,,,,,,,,,,,,うつ,,,,打つ,,,,,,,"あやま て う
誤ってハンマーで手を打ってしまった",,
,,6,12,,រុគ្គលកិ ប្កមុ ហ ុន,,,,,,,,,,,,しゃいん,,,,,社員,,,,,,,,
,,6,28,,,,េំរលួ បែកសោល,,,,,,,,,,くぎしまい,,,,,,,釘仕舞い,,,,"かたわく くぎ し ま
型枠をばらして釘仕舞いをする",,
,,6,4,,ល័កខែ័ណឌការងារ,,,,,,,,,,,,ろうどうじょうけん,,,,労働条件,,,,,,,,,
,,6,6,,,,ប បញ្ជា,,,,,,,,,,きそく,,,,,,,規則,,,,,,
,,6,7,,,,វៃិ ័យ,,,,,"ការបបងកើតៃូវវបប្ម៌សហការគ្នា បៅ
វញិ បៅមក្បោយភាជ បៃ់ ូវទមាែ ប់ដែល
ោចអៃុវតតៃូវវធាិ ៃដែលាៃក្ាំណ
ត់។",,,,,しつけ,,,,,,しつけ,,,,,,,
,,6,22,,,,ខ្សែមលើ,,,,,,"មដ្ឋយសរខ្តម្ខនសម្ខព ្ចរនតអ្គគិ
សនីសពស់
កាលណាប ះវនឹងម្ខនហានីភយ័
សពស់មលើមក្រះថាន ក់ឆក់ចរនតអ្គគីសនី",,,,かくうせん,,,,,,,,架空線,,,"か く うせん せっしょく
架空線へ接触させないようにする",,
ដង(cid:544)(cid:814)ំ(cid:564)ប់,キャッチクランプ,6,19,,,,,,,,,,,,,,,,ឹង,きゃっちくらんぷ,,,,,,,"もち たんかん てっこつ
キャッチクランプを用いて単管と鉄骨
きんけつ
を緊結する",,,
,,6,3,,លិខិតឆ្លង្ដែន,,,,,,,,,,,,ぱすぽーと,,,,,パスポート,,,,,,,,
,,6,25,,,,ផ្ខ្ែស្ែើងរំផ្វង( ូ រ៉ារ រ ុ ),,,,,,,,,,でんこうどらむ（どらむ）,,,,,,,電工ドラム（ドラム）,,,,"でんこう さ こ
電工ドラムのコンセントに差し込む",,
,,6,31,េំពក់,,,,,,,,,,,,,ふっく,,,,,フック,,,,,,"てっきんた ん ぶ
鉄筋端部にフックをつける",,
,,6,34,សរសសដែកដាក់ឈរន្តង់,,,,,,,,,,,,,はいりょくきん,,,,,配力筋,,,,,,"はいりょくきん く み た
配力筋を組立てる",,
,,6,44,,,,សីតុណ្ហភាព,,,,,,,,,,おんど,,,,,,,温度,,,,,,
,,6,2,,,,"ប៊ូ ត្ុងបញ្ឈប់ពពល
អាសនន",,,,,,,,,,ひじょうていしぼたん,,,,,,,非常停止ボタン,,,,,,
,,6,1,,,,ស វតថិភាព,,,,,,,,,,あんぜん,,,,,,,安全,,,,,,
,,6,10,,,,,,រង្កា រ,,,,,,,,,ふせぐ,,,,,防ぐ,,,,,"あんぜんかくにん じ こ ふせ
安全確認して事故を防ぐ",,
,,6,42,,(ការ)ដបើកបរ,,,,,,,,,,,,うんてん（する）,,,,,運転（する）,,,,,,"けんせつき か い うんてん
建設機械を運転する",,
,,6,13,,,(ការ)ការពារ,,,,,,,,,,,ぼうし（する）,,,,,,防止（する）,,,,,,,
,,6,17,,,,ប្បយ័តនផ្ននកភបើកចំហ,,,,,,,,,,かいこうぶちゅうい,,,,,,,開口部注意,,,,,,
,,6,43,,ចៅជិត,,,,,,,,,,,,ちかづく,,,,,近づく,,,,,,"さぎょうちゅう じゅうき ちか
作業中の重機に近づかない",,
,,6,40,,,,,"ទឹកដាក់ឱ្យដ្រជាក់
(ម ស ៊ីន)",,,,,,,,,れいきゃくすい,,,,,,,冷却水,,,,,,
,,6,37,,,,,"គត្រេឿងចត្រកកាយែីអុីត្រែូ
លិក",,,,,"ម៉ា សុីនដែលបំពាក់ ដប៉ាលអាចគ្វើ
ការងារបានគត្រចើនដបបយ៉ា ងគោយ
ត្រាន់ ដរបត រូជំនួសឧបករណ៏ការងារ
(attachment)",,,,ゆあつしょべる,,,,,,,油圧ショベル,,,,,,
,,7,44,,,,កាំពស់,,,,,,,,,,たかさ,,,,,,,高さ,,,,,,
,,7,28,,,,រកឡាបនែកខាងសលើនៃេំណង់,,,,,,,,,,すらぶてんば,,,,,,,スラブ天端,,,,"てん ば
スラブ天端をそろえる",,
,,7,43,,ចបើកថាមពលច្ែើង,,,,,,,,,,,,でんげんをいれる,,,,,電源を入れる,,,,,,,,
,,7,31,ម្ួកការពារ,,,,,,,,,,,,,ほごぼう（へるめっと）,,,,,保護帽（ヘルメット）,,,,,,"ほ ご ぼう さぎょう と か
保護帽をかぶり作業に取り掛かる",,
,,7,4,,ពនធ,,,,,,,,,,,,ぜいきん,,,,税金,,,,,,,,,
,,7,7,,,,(ប្វីការ)សមាា ត,,,,,,,,,,そうじ（する）,,,,,,掃除（する）,,,,,,,
