"だ い       か       き     そ
第1課基礎30",Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 10,Unnamed: 17,Unnamed: 25
12,分別（する）,ぶんべつ（する）,,Pemisahan (Memisahkan),,,
13,燃えないごみ,もえないごみ,,"Sampah tak mudah
terbakar",,,
14,燃えるごみ,もえるごみ,,Sampah mudah terbakar,,,
15,挟まれる,はさまれる,,Terjepit,,"き か い       て       はさ
機械に手が挟まれた",Tangan saya terjepit mesin.
16,巻き込まれる,まきこまれる,,Terlilit,,"き か い       て         ま        こ
1)機械に手が巻き込まれる
てぶくろ                         ばん      ま        こ
2)手袋がフライス盤に巻き込まれる","1)Tangan terlilit di mesin.
2)Sarung tangan terlilit di mesin frais."
17,やけど（する）,やけど（する）,,Luka bakar (Terbakar),,,
"だい    か           あんぜんえいせい
第6課 5S、安全衛生1",,,,,,,
"Pelajaran 6  5S, Keamanan dan Kebersihan 1",,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
18,落ちる,おちる,,Jatuh,,"かいだん           お
階段から落ちる",Jatuh dari tangga.
19,すべる,すべる,,Terpeleset/Licin,,"ゆか
床がすべる",Lantainya licin.
20,転ぶ,ころぶ,,Terjatuh,,"こうじょう                         ころ
工場ですべって転んだ",Jatuh terpeleset di pabrik.
21,濡れる,ぬれる,,Basah,,,
22,衛生,えいせい,,Kebersihan,,,
23,避難（する）,ひなん（する）,,Evakuasi (Mengevakuasi),,,
24,救急車,きゅうきゅうしゃ,,Ambulans,,,
25,災害,さいがい,,Bencana,,,
26,地震,じしん,,Gempa bumi,,"じ し ん        お
地震が起きる",Terjadi gempa bumi
27,もぐる,もぐる,,Menyelinap,,"じ し ん         つくえ   した
地震だ！机の下にもぐれ！",Gempa bumi !  Menyelinap ke bawah meja !
"だい   か    あんぜんえいせい     にちじょうぎょうむ
第7課安全衛生2、日常業務",,,,,,,
"Pelajaran 7  Keamanan dan Kebersihan 2, Tugas Harian",,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
1,火気厳禁,かきげんきん,,Dilarang menggunakan api,,,
2,開放厳禁,かいほうげんきん,,Dilarang membuka,,,
3,標識,ひょうしき,,Tanda,,,
4,気をつける,きをつける,,Berhati-hati,,,
5,持ち込む,もちこむ,,Membawa masuk,,"こうじょう     けいたいでんわ       も        こ
工場に携帯電話を持ち込んではいけ
ない",Dilarang membawa masuk telepon genggam ke pabrik.
6,防ぐ,ふせぐ,,Mencegah,,"あんぜんかくにん           じ   こ       ふせ
安全確認して事故を防ぐ",Konfirmasikan keselamatan untuk mencegah kecelakaan.
7,火,ひ,,Api,,,
8,煙,けむり,,Asap,,,
9,消火,しょうか,,Pemadam kebakaran,,,
10,消火器,しょうかき,,Alat pemadam kebakaran,,,
11,非常ベル,ひじょうべる,,Bel darurat,,,
12,火災報知機,かさいほうちき,,Alarm kebakaran,,,
13,逃げる,にげる,,Melarikan diri,,,
14,現場,げんば,,Tempat kerja/Pabrik,,,
15,作業,さぎょう,,Pekerjaan,,,
16,ミーティング,みーてぃんぐ,,Rapat/Meeting,"Rapat, Rapat Pagi, Rapat Akhir juga disebut dengan rapat (meeting).",,
17,研修（する）,けんしゅう（する）,,Pelatihan/Training (Berlatih),,,
18,実習（する）,じっしゅう（する）,,Pelatihan (Berlatih),,,
"だい   か    あんぜんえいせい     にちじょうぎょうむ
第7課安全衛生2、日常業務",,,,,,,
"Pelajaran 7  Keamanan dan Kebersihan 2, Tugas Harian",,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
19,あいさつ,あいさつ,,Salam,,,
20,確認（する）,かくにん（する）,,Konfirmasi (Mengkonfirmasikan),,,
21,報告（する）,ほうこく（する）,,Laporan (Melaporkan),,,
22,連絡（する）,れんらく（する）,,Kontak (Menghubungi),,,
23,相談（する）,そうだん（する）,,"Konsultasi
(Berkonsultasi)",,,
24,渡す,わたす,,Menyerahkan,Digunakan ketika menyerahkan sesuatu ke orang lain.,,
25,申請書,しんせいしょ,,Surat permohonan,,,
26,寝坊（する）,ねぼう（する）,,Kesiangan (Bangun kesiangan),,,
"だい    か   ぎ の うじっしゅう
第8課技能実習",,,,,,,
Pelajaran 8  Pelatihan Kerja Teknis,,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,,,,
1,技能,ぎのう,,,,,
2,技能検定試験,ぎのうけんていしけん,,,,,
3,受検（する）,じゅけん（する）,,,,,
4,資格,しかく,,,,,
5,手当,てあて,,,,,
6,社員,しゃいん,,,,,
7,部長,ぶちょう,,,,,
8,課長,かちょう,,,,,
9,更衣室,こういしつ,,,,,
10,台車,だいしゃ,,,,,
11,床,ゆか,,,,,
12,出口,でぐち,,,,,
13,電気,でんき,,,,,
14,警報音,けいほうおん,,,,,
15,コンセント,こんせんと,,,,,
16,作業場,さぎょうば,,,,,
17,作業台,さぎょうだい,,,,,
18,工事現場,こうじげんば,,,,,
19,職長,しょくちょう,,,,,Perakitan perancah mengikuti instruksi pengawas kerja.
20,作業責任者,さぎょうせきにんしゃ,,,,,
"だい    か   あんぜんえいせい      けんこうか ん り
第9課安全衛生3・健康管理",,,,,,,
"Pelajaran 9   Kesehatan dan Keselamatan Kerja 3, Penjagaan Kesehatan",,,,,,,
No.,Kosakata,Cara membaca (Hiragana),Terjemahan,,,,
1,禁止,きんし,Pelarangan,,,,
2,表示板,ひょうじばん,Papan pengumuman,,,,
3,禁止事項,きんしじこう,Larangan penggunaan,,,,
4,避難訓練,ひなんくんれん,Latihan evakuasi,,,,
5,感電（する）,かんでん（する）,Tersengat listrik,,,,
6,防止（する）,ぼうし（する）,Mencegah,,,,
7,予防（する）,よぼう（する）,Mencegah,,,,
8,転倒（する）,てんとう（する）,Jatuh,,,,
9,挟まる,はさまる,Terjepit,,,,
10,足元,あしもと,Langkah kaki,,,,
11,不安定（な）,ふあんてい（な）,Tidak stabil,,,,
12,後片付け,あとかたづけ,Pembenahan,,,,
13,救急箱,きゅうきゅうばこ,Kotak P3K,,,,
14,絆創膏,ばんそうこう,Plester,,,,
15,体調,たいちょう,Kondisi badan,,,,
16,血,ち,Darah,,,,
17,熱中症,ねっちゅうしょう,Dehidrasi,,,,
18,吐き気,はきけ,Mual,,,,
19,嘔吐（する）,おうと（する）,Muntah,,,,
20,足がつる,あしがつる,Kram,,,,
21,気分が悪い,きぶんがわるい,Tidak enak badan,,,,
22,寝不足,ねぶそく,Kurang tidur,,,,
23,安全ネット,あんぜんねっと,Jaring pengaman,,,,
24,安全点検,あんぜんてんけん,Pemeriksaan keselamatan,,,,
"だい       か         かつどう
第10課 KY活動",,,,,,,
Pelajaran 10   Kegiatan Latihan Prediksi Bahaya,,,,,,,
No.,Kosakata,,,,,,
1,KY活動（危険予知活動）,,,,,,
2,危険,,,,,,
3,ぶつかる,,,,,,
4,当たる,,,,,,
5,下敷きになる,,,,,,
6,打つ,,,,,,
7,バランスを崩す,,,,,,
8,倒れる,,,,,,
9,転落（する）,,,,,,
10,指差呼称,,,,,,
11,ヒヤリハット,,,,,,
12,原因,,,,,,
13,対策,,,,,,
14,落下（する）,,,,,,
15,墜落（する）,,,,,,
16,確認（する）,,,,,,
"建設関連職種    Copyright © Organization for Technical Intern Training, All Rights reserved.",,,,,,,
"だい       か   ふくそう   ぎょうむ   じっしゅう
第11課服装・業務・実習",,,,,,,
"Pelajaran 11   Pakaian, Pekerjaan, Pelatihan",,,,,,,
"けんせつ       しょくば                  か    こ         けいけん                はたら   ひと        じ    こ                                  まも
建設の職場には、過去の経験から、働く人を事故やけがから守るためのルールがあります。
おも                                                           みな                  じ  ぶ  ん        な  か  ま        あんぜん                          かなら     まも
めんどうだと思うかもしれませんが、皆さんも自分や仲間の安全のために必ず守ってください。",,,,,,,
"Di lokasi kerja konstruksi ada aturan untuk melindungi pekerja dari kecelakaan berdasarkan pengalaman yang sudah-sudah. Mungkin ada yang menganggap merepotkan, tetapi demi untuk keselamatan semua, diri kita dan teman sekerja kita mohon untuk dipatuhi.",,,,,,,
,,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,,,
,,,,,,,
1,作業着,さぎょうぎ,,Pakaian kerja,,,
2,作業服,さぎょうふく,,Baju kerja,,,
3,作業靴,さぎょうぐつ,,Sepatu kerja,,,
,,,,,,,
,,,,,,,
4,手袋,てぶくろ,,Sarung tangan,,,
5,帽子,ぼうし,,Topi,,,
6,保護帽（ヘルメット）,ほごぼう（へるめっと）,,Topi pelindung(Helem),,,
,,,,,,,
7,保護具,ほごぐ,,Alat pelindung,,,
,,,,,,,
8,あごひも,あごひも,,Tali dagu,,,
9,ボタン,ぼたん,,Kancing/tombol,,,
10,ポケット,ぽけっと,,Kantong,,,
,,,,,,,
11,保護メガネ,ほごめがね,,Kacamata pelindung,,,
,,,,,,,
12,マスク,ますく,,Masker,,,
13,耳栓,みみせん,,Penyumbat telinga,,,
14,安全靴,あんぜんぐつ,,Sepatu pengaman,,,
15,墜落制止用器具（安全帯）,"ついらくせいしようきぐ
（あんぜんたい）",,Sistem perlindungan bahaya jatuh (Sabuk pengaman),,,
,,,,,,,
,,,,,,,
,,,,,,,
"だい       か   ふくそう   ぎょうむ   じっしゅう
第11課服装・業務・実習",,,,,,,
"Pelajaran 11   Pakaian, Pekerjaan, Pelatihan",,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,,,
16,業務,ぎょうむ,,Kerja,,,
17,時間厳守,じかんげんしゅ,,Disiplin waktu,,,
18,予定,よてい,,Jadwal,,,
19,日付,ひづけ,,"Tanggal, bulan dan tahun",,,
20,準備（する）,じゅんび（する）,,Persiapan,,,
21,会議,かいぎ,,"Rapat, pertemuan",,,
22,朝礼,ちょうれい,,Apel pagi,,,
23,報告書,ほうこくしょ,,Surat laporan,,,
24,マニュアル,まにゅある,,Buku pedoman,,,
25,作業手順書,さぎょうてじゅんしょ,,Lembaran prosedur kerja.,,,
26,調子,ちょうし,,Kondisi,,,
"だい       か   ひょうしき
第12課 標識",,,,,,,
Pelajaran 12  Tanda-Tanda Petunjuk Keselamatan,,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
1,立入禁止,たちいりきんし,,Dilarang masuk,,,
2,禁煙,きんえん,,Dilarang merokok,,,
3,火気厳禁,かきげんきん,,Dilarang menggunakan api,,,
4,駐車禁止,ちゅうしゃきんし,,Dilarang parkir,,,
5,足もと注意,あしもとちゅうい,,Awas langkah kaki,,,
6,開口部注意,かいこうぶちゅうい,,Awas ada lubang,,,
7,感電注意,かんでんちゅうい,,Awas bahaya sengatan listrik,,,
8,堕落注意,ついらくちゅうい,,Awas jatuh terpeleset,,,
9,頭上注意,ずじょうちゅうい,,Awas bagian atas kepala,,,
10,警報設備,けいほうせつび,,"Peralatan Tanda Bahaya
（Alarm）",,,
"だい       か   ひょうしき
第12課 標識",,,,,,,
Pelajaran 12  Tanda-Tanda Petunjuk Keselamatan,,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
11,消火器,しょうかき,,Alat Pemadam Kebakaran,,,
12,AED設置場所,えーいーでぃーせっち                   ばしょ,,Tempat Instalasi peralatan AED,,,
13,保護帽着用,ほごぼうちゃくよう,,Gunakan topi pelindung,,,
14,安全帯使用,あんぜんたいしよう,,Gunakan Sabuk Pengaman,,,
15,昇降階段,しょうこうかいだん,,Tangga naik turun,,,
16,休憩所,きゅうけいじょ,,Tempat istirahat,,,
17,最大積載荷重,さいだいせきさいかじゅう,,Kapasitas berat beban maksimum,,,
18,喫煙所,きつえんじょ,,Dilarang merokok,,,
19,整理整頓,せいりせいとん,,Rapikan dengan teratur,,,
20,安全通路,あんぜんつうろ,,Jalur aman,,,
"だい       か
第13課 とび①",,,,,,,
Pelajaran 13  Pekerjaan Perancah①,,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
1,三連クランプ,さんれんくらんぷ,,Klam tripel.,,"さ んれん                                 たんかん       け つ ご う
三連クランプで単管を結合する",Menyatukan pipa tunggal dengan klam tripel.
2,"ベルトコンベア
（ベルコン）","べるとこんべあ
（べるこん）",,Konveyor sabuk (Ban berjalan),,"つ ち        こ  う  ん  ぱ  ん
ベルトコンベアで土を小運搬する",Mengangkut tanah volume kecil dengan konveyor sabuk.
3,かけや,かけや,,Palu kayu berat,"Palu kayu berat. Juga dikenal sebagai suara kencang atau keras. Palu kayu berat yang digunakan dengan kedua belah tangan disebut “Kakeya”, sedangkan palu kayu yang digunakan dengan sebelah tangan disebut “Konekiri”.","く い          う            こ
かけやで杭を打ち込む",Mengetuk paku dengan palu kayu.
4,ランマ,らんま,,Stamper kuda,Mesin Stamper kuda.,"じ  ば  ん           し          か た
ランマで地盤を締め固める",Memadatkan kuat-kuat tanah dengan stamper kuda.
5,自在クランプ,じざいくらんぷ,,Klam universal,"Ini digunakan untuk mengikat pipa tunggal satu dengan lainnya menjadi satu dan untuk menambah penguatan diagonal. Pada perancah, tulangan diagonal disebut sebagai "" Ikatan diagonal"".","じ  ざ  い                                   も ち               たん かん        き ん け つ
自在クランプを用いて単管を緊結す                               る",Tunggal menggunakan Klam universal.
6,キャッチクランプ,きゃっちくらんぷ,,Jepitan pancingan,,"も ち               たん かん       て っ こ つ
キャッチクランプを用いて単管と鉄                               骨
き ん け つ
を緊結する",Menghubungkan pipa tunggal dan rangka baja menggunakan jepitan pancingan.
7,吊り上げ用クランプ,つりあげようくらんぷ,,Lifting klam,,"つ          あ          よ う                                  も ち               き ん け つ
吊り上げ用クランプを用いて緊結し                               た
たん かん         つ          あ
単管を吊り上げる",Mengangkat  pipa tunggal yang telah dihubungkan dengan lifting klam.
8,直交クランプ,ちょっこうくらんぷ,,Jepitan,,"ちょっこう                                  も ち               たん かん        き ん け つ
直交クランプを用いて単管を緊結す
る",Mengikat pipa tunggal dengan Jepitan.
"だい       か
第13課 とび①",,,,,,,
Pelajaran 13  Pekerjaan Perancah①,,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
9,フック,ふっく,,Kait,,ワイヤーロープをフックにかける,Memasang tali kawat pada kait.
10,ストレートシャックル,すとれーとしゃっくる,,Mata-rantai lurus,,ワイヤーをストレートシャックルにかける,Memasang tali kawat baja ke mata-rantai lurus.
11,滑車,かっしゃ,,Katrol/Puli,,"か っ し ゃ        ざいりょう         つ           あ
滑車で材料を吊り上げる",Menaikkan bahan dengan katrol.
12,クレーン,くれーん,,Kren,,"し  ざ  い          つ          あ
クレーンで資材を吊り上げる",Menaikkan material dengan kren.
13,移動式クレーン,いどうしきくれーん,,Kren jalan,,"い  ど  う  し き                                  し  ざ  い          つ          あ
移動式クレーンで資材を吊り上げる",Mengangkat material dengan Derek berjalan.
14,介しゃくロープ,かいしゃくろーぷ,,Tali teraju,,"かい                                              に  も  つ          ふ
介しゃくロープで荷物の振れをおさえ
る",Menahan getaran barang dengan tali teraju.
15,昇降階段,しょうこうかいだん,,Tangga naik turun,,"あ  し  ば じょうそう       のぼ                     しょうこうかいだん       つか
足場上層に上るには昇降階段を使う",Untuk menaiki bagian atas perancah menggunakan tangga turun-naik.
16,筋かい止めピン,すじかいとめぴん,,Tap ikatan diagonal,,"す じ                 と                                さ           こ            お          ま
筋かい止めピンを差し込み折り曲げ
ておく",Selipkan tap ikatan diagonal lalu tekukkan.
17,脚柱ジョイント,きゃくちゅうじょいんと,,Sambungan tiang kaki,,"きゃくちゅう                                    さ  い  ご                 さ           こ
脚柱ジョイントは最後まで差し込む",Menyematkan betul sambungan tiang kaki.
18,連結ピン,れんけつぴん,,Pena hubung,,"れんけつ                     さ  い  ご                 さ           こ
連結ピンは最後まで差し込む",Menyematkan betul pena hubung.
"だい       か
第13課 とび①",,,,,,,
Pelajaran 13  Pekerjaan Perancah①,,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
19,ジョイント金具,じょいんとかなぐ,,Alat logam penyambung,,"か  な  ぐ        か く じ つ        さ  い  ご
ジョイント金具は確実に最後まではめ
る",Memasang secara benar dan pasti alat logam penyambung.
20,レバーブロック,ればーぶろっく,,Blok tuas,,"し  ざ  い         こ  て  い
レバーブロックで資材を固定する",Menguatkan bahan-bahan bangunan dengan Blok tuas.
21,電動のこ（丸のこ）,でんどうのこ（まるのこ）,,Gergaji listrik,,"か た わ く        せつだん        ま る                     し  よ   う
型枠の切断は丸のこを使用する",Menggunakan gergaji listrik untuk memotong cetakan.
22,モンキースパナ,もんきーすぱな,,Kunci Inggris,"Juga disebut sebagai  ""Kunci sekrup"".","し                     ゆ る
モンキースパナでナットを締める・緩
める",Menguatkan dan mengendurkan mur dengan kunci Inggris .
23,親綱支柱,おやづなしちゅう,,Tiang pendukung tali induk,,"おやづな         は           い     ち          お や づ な し ち ゅ う         と          つ
親綱を張る位置に親綱支柱を取り付
ける",Memasang tiang pendukung tali induk pada posisi rentangnya tali induk.
24,ブラケット,ぶらけっと,,Braket/penopang,"Juga disebut sebagai ""Penyangga"".","あ  し  ば                                                 と           つ
足場にブラケットを取り付ける",Memasang braket pada perancah.
25,梯子,はしご,,Tangga,,,
"だい       か
第14課 とび②",,,,,,,
Pelajaran 14  Pekerjaan Perancah②,,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
1,親綱,おやづな,,Tali induk,"Tali untuk mengaitkan sabuk pengaman (sabuk dengan tali penolong) di lokasi konstruksi. Untuk melindungi nyawa pekerja di lapangan, dipasang agar tidak melorot di antara pilar.","お やづな        あんぜんたい
親綱に安全帯をかける",Memasang sabuk pengaman pada tali induk
2,建枠（ビティ）,たてわく（びてぃ）,,Rangka sekeliling bangunan,,"た て わ く                                   も ち               あ  し  ば         く  み  た
建枠（ビティ）を用いて足場を組立て
る",Merakit perancah menggunakan rangka sekeliling bangunan.
3,メッシュシート,めっしゅしーと,,Jaring pelindung,"Atau disebut juga sebagai “lembaran pencegah kerusakan”, atau “jaring pelindung”.","あ  し  ば  わ く                                                           と          つ
足場枠にメッシュシートを取り付け                               る",Memasang jaring pelindung pada perancah bingkai.
4,防音パネル,ぼうおんぱねる,,Panel kedap suara,,"そ う お ん た い さ く                   ぼ う お ん                             せ  っ  ち
騒音対策として防音パネルを設置す
る",Memasang panel kedap suara untuk menangkal suara kebisingan.
5,朝顔材,あさがおざい,,Jaring pengaman,,"あ さ がおざ い        ひ  ら  い  ら  っ  か  ぼ  う  し
朝顔材は飛来落下防止のためにつか
う",Jaring pengaman digunakan untuk mencegah terbang dan kejatuhannya benda.
6,架空線,かくうせん,,Kabel udara,"Karena ada arus listrik berketekanan tinggi, maka bila menyentuh nya besar kemungkinan mengalami kecelakaan sengatan listrik.","か   く   う せ ん        せっしょく
架空線へ接触させないようにする",Usahakan agar kabel udara tidak tersentuh perancah.
7,幅木（仮設足場）,はばき（かせつあしば）,,Papan kaki,,"ろ う ど う し ゃ        つ い て ん ら く       き     ぐ           ら  っ  か  ぼ   う  し
労働者の墜転落・器具の落下防止の
あ  し  ば         は  ば  き        も う
ために足場に幅木を設ける",Sediakan papan kaki pada perancah untuk mencegah jatuhnya pekerja dan jatuhnya peralatan.
8,単管,たんかん,,Pipa tabung,"Singkatan dari ""Pipa tabung tunggal"". Atau disebut juga sebagai ""Pipa"".","たん かん        も ち                あ  し  ば           く             た
単管を用いて足場を組み立てる",Merakit perancah yang menggunakan pipa tabung.
9,脚立,きゃたつ,,Tangga lipat,,,
"だい       か
第14課 とび②",,,,,,,
