"だ い       か       き     そ
第1課基礎30",Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 21,Unnamed: 31
7,非常停止ボタンを押す,ひじょうていしぼたん                  をおす,အသရ်းသပေါ်စက်ရပ်တန်ဲ့ လုတ်ကှို န္ှိ ပ်သည်,,
8,ルール,るーる,စည််းကမ််း,,
9,ルールを守る,るーるをまもる,စည််းကမ််းလှိုက်နာသည်,,
10,止める,とめる,ရပ်သည်,,
11,機械を止める,きかいをとめる,စက်ကှို ရပ်သည်,,
12,やって,やって,လုပ်ပါ,,
13,止めて,とめて,ရပ်ပါ,,
14,取って,とって,ယူပါ,,
15,だめ（な）,だめ（な）,မလုပ်သင်ဲ့(သသာ),,
"だい    か   ざいりゅうしかく   ろうどうけいやく
第3課在留資格、労働契約1",,,,,
အခန ်း ၃ ဗီဇာအမျ ျု်းအစာ်း၊ အလိုြ ခန ထ့်   ာ်းခရ်းသခဘာတူစာချျုြ  ၁,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
1,監理団体,かんりだんたい,စ မ ကွပ်က သရ်းအဖွ ွဲ့,,
2,技術移転,ぎじゅついてん,နည််းပညာလ  သခပာင််းခ င််း,,
3,技能実習期間,ぎのうじっしゅうきかん,အလုပ်သင်တန််းကာလ,,
4,職種,しょくしゅ,အလုပ်အကှိုင်အမှိ ြုံ်းအစာ်း,,
5,在留資格,ざいりゅうしかく,ဗ ဇာအမှိ ြုံ်းအစာ်း,,
6,パスポート,ぱすぽーと,န္ှိုင်င ကူ်းလက်မ တ်,,
7,在留カード,ざいりゅうかーど,န္ှိုင်င ခ ာ်းသာ်းမ တ်ပု တင်က တ်,,
8,入管,にゅうかん,လဝက,,
9,在留期間,ざいりゅうきかん,ဗ ဇာသက်တမ််း,,
"だい    か   ざいりゅうしかく   ろうどうけいやく
第3課在留資格、労働契約1",,,,,
အခန ်း ၃ ဗီဇာအမျ ျု်းအစာ်း၊ အလိုြ ခန ထ့်   ာ်းခရ်းသခဘာတူစာချျုြ  ၁,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
10,雇用契約,こようけいやく,"အလုပ် န်ဲ့ထာ်းသရ်းသသေ
းာတူစာ  ြုံပ်",,
11,給与明細,きゅうよめいさい,လစာရ င််းတမ််းစာရွက်,,
12,給料,きゅうりょう,လစာသငွ,,
13,残業手当,ざんぎょうてあて,အ ှိ န်ပှိုသကက်း,,
14,労働時間,ろうどうじかん,အလုပ် ှိ န်,,
"だい    か   ろうどうけいやく    、 ぜい     ほ け ん
第4課労働契約2、税と保険",,,,,
အခန ်း ၄ အလိုြ ခန ထ့်   ာ်းခရ်းသခဘာတူစာချျုြ  ၂၊ အခွန နှင့်  အာမခံ,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,,
1,控除（する）,こうじょ（する）,န္ှုတ်ယူ(သည်),,
2,ボーナス,ぼーなす,အပှိုဆုသကက်း,,
3,有休,ゆうきゅう,လုပ်သက် ွင်ဲ့,,
4,代休,だいきゅう,အစာ်းထှို်းနာ်းရက်,,
5,労働基準法,ろうどうきじゅんほう,အလုပ်သမာ်းစ န္ှုန််းဥပသဒ,,
6,労働条件,ろうどうじょうけん,အလုပ်သမာ်း  စာ်း ွင်ဲ့,,
7,税金,ぜいきん,အ ွန်,,
8,所得税,しょとくぜい,ဝင်သငွ ွန်,,
"だい    か   ろうどうけいやく    、 ぜい     ほ け ん
第4課労働契約2、税と保険",,,,,
အခန ်း ၄ အလိုြ ခန ထ့်   ာ်းခရ်းသခဘာတူစာချျုြ  ၂၊ အခွန နှင့်  အာမခံ,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,,
9,住民税,じゅうみんぜい,စည်ပင် ွန်,,
10,厚生年金,こうせいねんきん,အလုပ်ပင်စင်အာမ  ,,
11,雇用保険,こようほけん,အလုပ်အာမ  ,,
12,健康保険,けんこうほけん,က န််းမာသရ်းအာမ  ,,
13,社会保険,しゃかいほけん,လူမှုဖူလု သရ်းအာမ  ,,
"だい    か   ろうどうけいやく    、 ぜい     ほ け ん
第4課労働契約2、税と保険",,,,,
အခန ်း ၄ အလိုြ ခန ထ့်   ာ်းခရ်းသခဘာတူစာချျုြ  ၂၊ အခွန နှင့်  အာမခံ,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,,
14,労災,ろうさい,"လုပ်ငန််း ွင်
ထှိ ုှိက်ဒဏ်ရာရမှု",,
15,労災保険,ろうさいほけん,အလုပ်သမာ်းနစ်နာသကက်း အာမ  ,,
"だい    か   しゅうぎょう
第5課就業",,,,,
အခန ်း ၅ အလိုြ လိုြ  ခင ်း,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
1,遅刻（する）,ちこく（する）,အလုပ်သနာက်က (သည်),,
2,早退（する）,そうたい（する）,အလုပ်သစာခပန်(သည်),,
3,休憩（する）,きゅうけい（する）,အနာ်းယူ(သည်),,
4,残業（する）,ざんぎょう（する）,အ ှိ န်ပှိုအလုပ်(ဆင််းသည်),,
5,定時,ていじ,ပု မ န်အ ှိ န်,"き ょ う       て い じ      かえ
今日は定時に帰る",ဒ သနဲ့ ပု မ န်အ ှိ န်တွင် ခပန်မည်။
6,規則,きそく,စည််းမ ဉ််းစည််းကမ််း,,
7,休日,きゅうじつ,အလုပ်နာ်းရက်,,
8,始業時間,しぎょうじかん,အလုပ်စ ှိ န်,,
9,終業時間,しゅうぎょうじかん,အလုပ်ပပ ်း ှိ န်,,
10,指導員,しどういん,သင်တန််းမ ်း,,
11,生活指導員,せいかつしどういん,သနထှိုင်မှုပု စ သလဲ့က င်ဲ့သပ်းသူ,,
12,担当者,たんとうしゃ,တာဝန်  ,,
13,スイッチ入れるな,すいっちいれるな, လုတ်မဖွင်ဲ့နဲ့ ,,
14,スイッチ切るな,すいっちきるな, လုတ်မပှိတ်နဲ့ ,,
15,使用禁止,しようきんし,အသု ်းမခပြုံရ,,
"だい    か           あんぜんえいせい
第6課 5S、安全衛生1",,,,,
အခန ်း ၅ 5S ခဘ်းကင ်းလံို ခံျုခရ်း ၁,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
1,5S,ごえす,5S,,
2,整理,せいり,စနစ်တက ထာ်းရှိ ခ င််း (Seiri),,
3,整頓,せいとん,စ သတ်မ တ်ထာ်းရှိ ခ င််း (Sei-ton),,
"だい    か           あんぜんえいせい
第6課 5S、安全衛生1",,,,,
အခန ်း ၅ 5S ခဘ်းကင ်းလံို ခံျုခရ်း ၁,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
4,清掃,せいそう,သန်ဲ့ရ င််းသရ်းလုပ်ခ င််း (Sei-sou),,
5,清潔,せいけつ,သန်ဲ့ရ င််းသပ်ရပ်မှု (Sei-ketsu),,
6,しつけ,しつけ,အစဉ်အလာဓသလဲ့ထု ်းစ (Shi-tsuke),,
7,掃除（する）,そうじ（する）,သန်ဲ့ရ င််းသရ်း(လုပ်သည်),,
"だい    か           あんぜんえいせい
第6課 5S、安全衛生1",,,,,
အခန ်း ၅ 5S ခဘ်းကင ်းလံို ခံျုခရ်း ၁,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
8,片づける,かたづける,သှိမ််းဆည််းသည်,,
9,捨てる,すてる,စွန်ဲ့ပစ်သည်,,
10,汚い,きたない,ညစ်ပတ်သသာ,,
11,汚れる,よごれる,ညစ်သပသည်,,
12,分別（する）,ぶんべつ（する）,အမှိ ြုံ်းအစာ်း ွ ခ ာ်း(သည်),,
13,燃えないごみ,もえないごみ,မ ်းရှုှိွဲ့လှိုဲ့မရတဲ့ အမှိှုက်,,
14,燃えるごみ,もえるごみ,မ ်းရှုှိွဲ့လုှိဲ့ရတဲ့ အမှိှုက်,,
15,挟まれる,はさまれる,ညပ်သည်,"き か い       て       はさ
機械に手が挟まれた",စက်တွင် လက်ညပ်သွာ်းသည်။
16,巻き込まれる,まきこまれる,ညပ်ပါသည်,"き か い       て         ま        こ
1)機械に手が巻き込まれる
てぶくろ                         ばん      ま        こ
2)手袋がフライス盤に巻き込まれる","1)   စက်တွင် လက်ညပ်ပါသွာ်းမည်။
2)    လက်အှိတ်သည် ကကှိတ်စက်တွင် ညပ်ပါသွာ်းမည်။"
17,やけど（する）,やけど（する）,အပူသလာင်(သည်),,
18,落ちる,おちる,က ဆင််းသည်,"かいだん           お
階段から落ちる",သလ ကာ်းမ  ခပြုံတ်က သည်
19,すべる,すべる,သ  ာ်လ သည်,"ゆか
床がすべる",ကကမ််းခပင်သည် သ  ာ်လ တတ်သည်။
"だい    か           あんぜんえいせい
第6課 5S、安全衛生1",,,,,
အခန ်း ၅ 5S ခဘ်းကင ်းလံို ခံျုခရ်း ၁,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
20,転ぶ,ころぶ,လ က သည်,"こうじょう                         ころ
工場ですべって転んだ",စက်ရု တွင် သ  ာ်လ သွာ်းသည်။
21,濡れる,ぬれる,သရစှိုသည်,,
22,衛生,えいせい,သန်ဲ့ရ င််းသပ်ရပ်မှု,,
23,避難（する）,ひなん（する）,သေ်းသရ ာင်(သည်),,
24,救急車,きゅうきゅうしゃ,လူနာတင်ယာဉ်,,
25,災害,さいがい,သေ်းအန္တရာယ်,,
26,地震,じしん,ငလ င်,"じ し ん        お
地震が起きる",ငလ င်လှုပ်သည်။
27,もぐる,もぐる,သအာက်သှိုဲ့ဝင်သည်,"じ し ん         つくえ   した
地震だ！机の下にもぐれ！",ငလ င်လှုပ်တယ်။ စာ်းပွ  ု သအာက်သှိုဲ့ ဝင်လှိုက်ပါ။
"だい   か    あんぜんえいせい     にちじょうぎょうむ
第7課安全衛生2、日常業務",,,,,
အခန ်း ၇ ခဘ်းကင ်းလိုံ ခံျုခရ်း ၂၊ ခန့်စဉ်လိုြ ငန ်း,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
1,火気厳禁,かきげんきん,မ ်းသတှိခပြုံ,,
2,開放厳禁,かいほうげんきん,ဖွင်ဲ့မထာ်းရ,,
3,標識,ひょうしき,အမ တ်အသာ်း,,
4,気をつける,きをつける,ဂရုစှိုက်သည်,,
5,持ち込む,もちこむ,ယူလာသည်,"こうじょう     けいたいでんわ       も        こ
工場に携帯電話を持ち込んではいけ
ない",စက်ရု ထ သုှိဲ့ လက်ကုှိင်ဖုန််းကုှိ မယူလာပါန္ င်ဲ့။
6,防ぐ,ふせぐ,ကာကွယ်သည်။,"あんぜんかくにん           じ   こ       ふせ
安全確認して事故を防ぐ",သေ်းကင််းလု ခ  ြုံသရ်းကုှိ စစ်ပပ ်း မသတာ်တဆမှုကှို ကာကွယ်သည်။
7,火,ひ,မ ်း,,
8,煙,けむり,မ ်း ုှိ်း,,
9,消火,しょうか,မ ်းပင မ််းသတ်ခ င််း,,
10,消火器,しょうかき,မ ်းသတ်ေူ်း,,
11,非常ベル,ひじょうべる,အသရ်းသပေါ်သတှိသပ်းစက်,,
12,火災報知機,かさいほうちき,မ ်းအ  က်သပ်းစက်,,
13,逃げる,にげる,ထွက်သခပ်းသည်,,
14,現場,げんば,လုပ်ငန််း ွင်,,
15,作業,さぎょう,အလုပ်,,
"だい   か    あんぜんえいせい     にちじょうぎょうむ
第7課安全衛生2、日常業務",,,,,
အခန ်း ၇ ခဘ်းကင ်းလံို ခံျုခရ်း ၂၊ ခန့်စဉ်လိုြ ငန ်း,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
16,ミーティング,みーてぃんぐ,အစည််းအသဝ်း,,
17,研修（する）,けんしゅう（する）,သင်တန််း(ခပြုံလုပ်သည်),,
18,実習（する）,じっしゅう（する）,လက်သတွွဲ့သင်တန််း(ခပြုံလုပ် သည်),,
19,あいさつ,あいさつ,န္ှုတ်ဆက်ခ င််း,,
20,確認（する）,かくにん（する）,သသ  ာစစ်(သည်),,
21,報告（する）,ほうこく（する）,အသကကာင််းကကာ်း(သည်),,
22,連絡（する）,れんらく（する）,အသကကာင််းကကာ်း(သည်),,
23,相談（する）,そうだん（する）,သဆွ်းသန္ွ်း(သည်),,
24,渡す,わたす,သပ်းသည်,,
25,申請書,しんせいしょ,သလျှာက်လ ာ,,
26,寝坊（する）,ねぼう（する）,အှိပ်ရာထသနာက်က (သည်),,
"だい    か   ぎ の うじっしゅう
第8課技能実習",,,,,
သင ခန ်းစာ ၈။ နည ်းြညာဆို င ရာလက ခတွွေ့သင ကကာ်းမှု,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,,,
1,技能,ぎのう,,,
2,技能検定試験,ぎのうけんていしけん,,,
3,受検（する）,じゅけん（する）,,,
4,資格,しかく,,,
5,手当,てあて,,,
6,社員,しゃいん,,,
7,部長,ぶちょう,,,
8,課長,かちょう,,,
9,更衣室,こういしつ,,,
10,台車,だいしゃ,,,
11,床,ゆか,,,
12,出口,でぐち,,,
13,電気,でんき,,,
14,警報音,けいほうおん,,,
15,コンセント,こんせんと,,,
16,作業場,さぎょうば,,,
17,作業台,さぎょうだい,,,
18,工事現場,こうじげんば,,,
19,職長,しょくちょう,,,
20,作業責任者,さぎょうせきにんしゃ,,,
"建設関連職種    Copyright © Organization for Technical Intern Training, All Rights reserved.",,,,,
"だい    か   あんぜんえいせい      けんこうか ん り
第9課安全衛生3・健康管理",,,,,
သင ခန ်းစာ ၉။ လိုံ ခံျုစ တ ချမှု၊သန ရှ့် င ်းခရ်း၃။ကျန ်းမာခရ်းစီမံခန ခွွဲ့် မှု,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,,,
1,禁止,きんし,,,
2,表示板,ひょうじばん,,,
3,禁止事項,きんしじこう,,,
4,避難訓練,ひなんくんれん,,,
5,感電（する）,かんでん（する）,,,
6,防止（する）,ぼうし（する）,,,
7,予防（する）,よぼう（する）,,,
8,転倒（する）,てんとう（する）,,,
9,挟まる,はさまる,,,
10,足元,あしもと,,,
11,不安定（な）,ふあんてい（な）,,,
12,後片付け,あとかたづけ,,,
13,救急箱,きゅうきゅうばこ,,,
14,絆創膏,ばんそうこう,,,
15,体調,たいちょう,,,
16,血,ち,,,
17,熱中症,ねっちゅうしょう,,,
18,吐き気,はきけ,,,
19,嘔吐（する）,おうと（する）,,,
"だい    か   あんぜんえいせい      けんこうか ん り
第9課安全衛生3・健康管理",,,,,
သင ခန ်းစာ ၉။ လံို ခံျုစ တ ချမှု၊သန ရှ့် င ်းခရ်း၃။ကျန ်းမာခရ်းစီမံခန ခွွဲ့် မှု,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,,,
20,足がつる,あしがつる,,,
21,気分が悪い,きぶんがわるい,,,
22,寝不足,ねぶそく,,,
23,安全ネット,あんぜんねっと,,,
24,安全点検,あんぜんてんけん,,,
"だい       か         かつどう
第10課 KY活動",,,,,
သင ခန ်းစာ ၁၀။ KY လှုြ ရှာ်းမှု,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,,
1,KY活動（危険予知活動）,けーわいかつどう（きけんよちかつどう）,"KY လှုပ်ရ ာ်းမှု
(အန္တရာယ်ကကှိြုံတင် န်ဲ့မ န််းသှိရှိ သရ်းလှုပ်ရ ာ်းမှု )",,
2,危険,きけん,အန္တရာယ်,,
3,ぶつかる,ぶつかる,တှိုက်မှိသည်,,
4,当たる,あたる,ထှိမှိသည်,,
5,下敷きになる,したじきになる,သအာက်တွင်ပှိမှိသည်,,
6,打つ,うつ,ထုသည်၊ရုှိက်သည်,,
7,バランスを崩す,ばらんすをくずす,ဟန်  က်ပ က်သည်,,
8,倒れる,たおれる,လ က သည်,,
9,転落（する）,てんらく（する）,လှိမ်ဲ့က သည်,,
10,指差呼称,しさこしょう,လက်ညှိြှြုံ်းထုှိ်း၍နာမည်သ ေါ် စစ်သဆ်းမှု,,
11,ヒヤリハット,ひやりはっと,သ သ သလ်းန လဲ့   ွတ်သွာ်းသသာလုပ်ငန််း ွင်မသတာ်တ ဆခဖစ်မှု,,
"だい       か         かつどう
第10課 KY活動",,,,,
သင ခန ်းစာ ၁၀။ KY လှုြ ရှာ်းမှု,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,,
12,原因,げんいん,အသကကာင််းရင််း,,
13,対策,たいさく,သဆာင်ရွက်မှု၊စ မ   က်,,
14,落下（する）,らっか（する）,ခပြုံတ်က သည်,,
15,墜落（する）,ついらく（する）,အခမင်ဲ့မ က သည်,,
16,確認（する）,かくにん（する）,အတည်ခပြုံစစ်သဆ်းသည်,,
"だい       か   ふくそう   ぎょうむ   じっしゅう
第11課 服装・業務・実習",,,,,
သင ခန ်းစာ ၁၁။ အ တ အစာ်း၊လိုြ ငန ်း၊လက ခတွွေ့,,,,,
"けんせつ       しょくば                  か    こ         けいけん                はたら   ひと        じ    こ                                  まも
建設の職場には、過去の経験から、働く人を事故やけがから守るためのルールがあります。
おも                                                           みな                  じ  ぶ  ん        な  か  ま       あんぜん                          かなら     まも
めんどうだと思うかもしれませんが、皆さんも自分や仲間の安全のために必ず守ってください。",,,,,
သဆာက်လုပ်သရ်းလုပ်ငန််းတွင်၊ ယ င်အသတွွဲ့အကက ြုံမ ာ်းအရ၊ အလုပ်လုပ်သနသူကုှိ မသတာ်တဆခဖစ်မှုန္ င်ဲ့ ဒဏ်ရာရမှုမ ာ်းမ  ကာကွယ်ရန်အတွက်  စည််းမ ဥ််းစည််းကမ််းမ ာ်းရှိ သည်။ ကရှိကထမ ာ်းသည်ဟု ထင်ရသသာ်လည််း၊ သင်တှိုဲ့ကှိုယ်တုှိင်န္ င်ဲ့ မှိတ်သဆွမ ာ်း၏ သေ်းအန္တရာယ်ကင််းရ င််းလု ခ  ြုံစှိတ်  ရသရ်း အတွက် မပ က်မကွက်လုှိက်နာကကပါ။,,,,,
,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,,
,,,,,
,,,,,
1,作業着,さぎょうぎ,အလုပ်သမာ်းဝတ်စု ,,
2,作業服,さぎょうふく,အလုပ်သမာ်းဝတ်စု ,,
3,作業靴,さぎょうぐつ,လုပ်ငန််း ွင်ဖှိနပ်,,
,,,,,
4,手袋,てぶくろ,လက်အှိတ်,,
,,,,,
5,帽子,ぼうし,ဥ ်းထုပ်,,
6,保護帽（ヘルメット）,ほごぼう（へるめっと）,"ကာကွယ်သရ်းဥ ်းထုပ်
(Helmet)",,
,,,,,
,,,,,
7,保護具,ほごぐ,လု ခ  ြုံသရ်းပစစည််း,,
8,あごひも,あごひも,သမ်းသှိုင််းကကှိြုံ်း,,
9,ボタン,ぼたん,ကကယ်သ ်း (Button),,
,,,,,
10,ポケット,ぽけっと,အှိတ်ကပ်,,
,,,,,
11,保護メガネ,ほごめがね,ကာကွယ်သရ်းမ က်မ န်,,
,,,,,
12,マスク,ますく,မ က်န္ ာဖု ်း (Mask),,
13,耳栓,みみせん,နာ်းသပါက်အဆှိုဲ့,,
14,安全靴,あんぜんぐつ,သခ သထာက်ကုှိ ကာကွယ်သည်ဲ့ဖှိနပ်,,
15,墜落制止用器具（安全帯）,"ついらくせいしようきぐ
（あんぜんたい）","ခပြုံတ်က မှုမ ကာကွယ်သရ်း
ပစစည််း (လု ခ  ြုံသရ်း ါ်းပတ်ကကှိြုံ်း)",,
,,,,,
,,,,,
,,,,,
"だい       か   ふくそう   ぎょうむ   じっしゅう
第11課 服装・業務・実習",,,,,
သင ခန ်းစာ ၁၁။ အ တ အစာ်း၊လိုြ ငန ်း၊လက ခတွွေ့,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,,
16,業務,ぎょうむ,လုပ်ငန််း,,
17,時間厳守,じかんげんしゅ,အ ှိ န်ကှို တှိတှိက က လှိုက်နာခ င််း,,
18,予定,よてい,ကကှိြုံတင်စ စဥ်  က်,,
19,日付,ひづけ,ရက်စွ ,,
20,準備（する）,じゅんび（する）,အသင်ဲ့ခပင်(သည်),,
21,会議,かいぎ,အစည််းအသဝ်း,,
22,朝礼,ちょうれい,န နက် င််းလူစုအမ ာစကာ်း သခပာခ င််း,,
23,報告書,ほうこくしょ,အစ ရင်  စာ,,
24,マニュアル,まにゅある,လက်စွ စာသစာင် (Manual),,
25,作業手順書,さぎょうてじゅんしょ,"လုပ်ငန််းလုပ်သဆာင်ပု 
အဆင်ဲ့ဆင်ဲ့စာအုပ်",,
26,調子,ちょうし,(က န််းမာသရ်း)အသခ အသန,,
"だい       か   ひょうしき
第12課 標識",,,,,
သင ခန ်းစာ ၁၂။ အမှတ အသာ်း/ဆို င ်းဘိုတ ,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,,
1,立入禁止,たちいりきんし,မဝင်ရ,,
2,禁煙,きんえん,သဆ်းလှိပ်မသသာက်ရ,,
3,火気厳禁,かきげんきん,မ ်းသတှိခပြုံ,,
4,駐車禁止,ちゅうしゃきんし,ကာ်းမရပ်ရ,,
5,足もと注意,あしもとちゅうい,သခ သထာက်အန ်းတဝှိုက် သတှိခပြုံ,,
6,開口部注意,かいこうぶちゅうい,အသပါက်ရှိ သည်သတှိခပြုံ,,
7,感電注意,かんでんちゅうい,ဓာတ်လှိုက်တတ်သည် သတှိခပြုံ,,
8,堕落注意,ついらくちゅうい,ခပြုံတ်က တတ်သည် သတှိခပြုံ,,
9,頭上注意,ずじょうちゅうい,သ ါင််းအသပေါ်သတှိထာ်းပါ,,
10,警報設備,けいほうせつび,သတှိသပ်းသ ါင််းသလာင််း သနရာ,,
"だい       か   ひょうしき
第12課 標識",,,,,
သင ခန ်းစာ ၁၂။ အမှတ အသာ်း/ဆို င ်းဘိုတ ,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,,
11,消火器,しょうかき,မ ်းသတ်ေူ်း,,
12,AED設置場所,えーいーでぃーせっち                   ばしょ,န္ လု ်းန္ှိှု်းစက်ထာ်းသည်ဲ့သနရာ,,
13,保護帽着用,ほごぼうちゃくよう,ကာကွယ်သရ်းဥ ်းထုပ် သဆာင််းပါ,,
14,安全帯使用,あんぜんたいしよう,လု ခ  ြုံသရ်း ါ်းပတ်ကကှိြုံ်းသု ်းပါ,,
15,昇降階段,しょうこうかいだん,ခငမ််းအတွင််းရှိ သလ ကာ်း,,
16,休憩所,きゅうけいじょ,နာ်းသနရန်သနရာ,,
17,最大積載荷重,さいだいせきさいかじゅう,အမ ာ်းဆု ်းတင်န္ှိုင်သည်ဲ့ ကုန်အသလ်း ှိ န်,,
18,喫煙所,きつえんじょ,သဆ်းလှိပ်သသာက်ရန်သနရာ,,
19,整理整頓,せいりせいとん,သန်ဲ့ရ င််းသပ်ရပ်သနသအာင် အစ အစဥ်တက လုပ်ပါ,,
20,安全通路,あんぜんつうろ,အန္တရာယ်ကင််းသည်ဲ့ သလျှာက်လမ််းသကကာင််း,,
"だい       か
第13課 とび①",,,,,
သင ခန ်းစာ ၁၃။ ခဆာက လိုြ ခရ်းလိုြ ငန ်းဆို င ရာ အ မင့် ြို င ်းအလိုြ   (၁),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
1,三連クランプ,さんれんくらんぷ,၃  ုဆက်ညြှပ်,"さ んれん                                 たんかん       け つ ご う
三連クランプで単管を結合する","၃
 ုဆက်ညြှပ်ခဖင်ဲ့ပှိုက်လု ်းကှိုဆက်သည်"
2,"ベルトコンベア
（ベルコン）","べるとこんべあ
（べるこん）",သရွွဲ့လ ာ်းစက် ါ်းပတ် (Belt conveyor),"つ ち        こ  う  ん  ぱ  ん
ベルトコンベアで土を小運搬する",သရွွဲ့လ ာ်းစက် ါ်းပတ်ခဖင်ဲ့သခမကက ်းကှို သခပာင််းသယ်သည်/ ွ သယ်သည်
3,かけや,かけや,သစ်သာ်းတူအကက ်းစာ်း,"く い          う            こ
かけやで杭を打ち込む",သစ်သာ်းတူအကက ်းစာ်းခဖင်ဲ့ ပှိုင်(သအာက်  တှိုင်)ကုှိ ရုှိက်သွင််းသည်
4,ランマ,らんま,သခမဖှိစက် (Rammer),"じ  ば  ん           し          か た
ランマで地盤を締め固める",သခမဖှိစက်ခဖင်ဲ့ သခမသာ်းကှို ဖှိသှိပ်သည်
5,自在クランプ,じざいくらんぷ,လ ည်ဲ့၍ရသသာ ညြှပ် (Adjustable/Movable clamp),"じ  ざ  い                                   も ち               たん かん        き ん け つ
自在クランプを用いて単管を緊結す                               る","လ ည်ဲ့၍ရသသာညြှပ်ကုှိသု ်း၍ပှိုက်လု ်းကုှိ
 ှိုင် ှိုင်ပူ်းကပ်သည်"
6,キャッチクランプ,きゃっちくらんぷ,ဖမ််းညြှပ်ကှိရှိယာ (Catch clamp),"も ち               たん かん       て っ こ つ
キャッチクランプを用いて単管と鉄                               骨
き ん け つ
を緊結する",ဖမ််းညြှပ်ကှိရှိယာကှိုသု ်း၍ ပှိုက်လု ်းန္ င်ဲ့ သ သ  ာင််းကှို  ှိုင် ှိုင်ပူ်းကပ်သည်
