Biển báo,Chú thích,Cách đọc (Hiragana),Dịch,Page,Từ vựng,Ví dụ câu,Ảnh,No.
,"(danh từ) Sự va chạm, tiếp xúc",せっしょく（する）,"(danh từ) Sự va chạm, tiếp
xúc",44,接触（する）,"じゅうき せっしょく
重機に接触してけがをする",,1
,"Chủ yếu chỉ cái chụp lưỡi cưa của má
y cưa đĩa. Sử dụng để phòng ngừa việc
cưa bật ngược, v.v... về phía người
cầm máy khi đang cưa.",あんぜんかばー,Vỏ bọc an toàn,27,安全カバー,"あんぜん しよう じこ ふせ
安全カバーの使用で事故を防ぐ",,1
,"Là dây thừng dùng để móc dây đai an
toàn (đai có gắn dây bảo hộ) tại công
trường, được căng giữa các cột trụ sao
cho không bị chùng xuống.",おやづな,Dây neo,24,親綱,"おやづな あんぜんたい
親綱に安全帯をかける",,1
,"Máy kéo được gắn thêm phụ tùng
(attachment) được gọi là máy ủi, máy
xúc, v.v.",とらくた,Máy kéo,39,トラクタ,,,1
,,はかまきん,"Cốt thép đặt xung quanh c
ác cốt thép khác ở móng đ
ể gia cố",36,はかま筋,"きん く み た
はかま筋を組立てる",,1
,,ちこく（する）,(động từ) Đi muộn,6,遅刻（する）,,,1
,,きけん,Nguy hiểm,15,危険,,,2
,,ぎじゅついてん,Chuyển giao kỹ thuật,3,技術移転,,,2
,,ぎのうけんていしけん,Kỳ thi kiểm tra kỹ năng,12,技能検定試験,,,2
,,けっそくせん,Dây thép buộc,33,結束線,"けっそくせん てっきん しば
結束線で鉄筋を縛る",,2
,,ゆあつもーた,Mô tơ thủy lực,42,油圧モータ,,,2
,,ぎのうじっしゅうせい,Thực tập sinh kỹ năng,1,技能実習生,,,2
,,ぼーなす,Tiền thưởng,4,ボーナス,,,2
,"Là việc xác định rõ những gì cần thiết
và những gì không cần thiết rồi chia sẻ
thông tin đó với nhau để nâng cao chất
lượng và năng suất.",せいり,Seiri (sàng lọc),7,整理,,,2
,,かいほうげんきん,Cấm mở,10,開放厳禁,,,2
,,けが,Vết thương,2,けが,,,2
,,きんえん,Cấm hút thuốc,19,禁煙,,,2
,,たてきん,Cốt thép dọc,36,縦筋,"たてきん く み た
縦筋を組立てる",,2
,Là máy kéo có gắn lưỡi ủi,ぶるどーざ,Xe ủi,39,ブルドーザ,,,2
,,てんばくぎ,Đinh đóng mặt trên,30,天端釘,"てん てん ば くぎ う
コンクリート天に天端釘を打つ",,2
,,もどす,Để lại chỗ cũ,46,戻す,"つか こ う ぐ もと ば し ょ もど
使った工具は元の場所に戻す",,2
,,"べるとこんべあ
（べるこん）","Băng tải (gọi tắt là
Berukon)",21,"ベルトコンベア
（ベルコン）","つち こうんぱん
ベルトコンベアで土を小運搬する",,2
,,たてわく（びてぃ）,Giàn giáo khung (Beatty),24,建枠（ビティ）,"たてわく もち あ し ば く み た
建枠（ビティ）を用いて足場を組立て
る",,2
,,ひょうじばん,Biển báo,13,表示板,,,2
,,すんぽう,Kích thước,47,寸法,,,2
,,そうたい（する）,(động từ) Về sớm,6,早退（する）,,,2
,,あんぜんたい,Dây đai an toàn,27,安全帯,"あんぜんたい あ し ば と つ
安全帯を足場に取り付ける",,2
,(danh từ) Sự kích hoạt,さどう（する）,(danh từ) Sự kích hoạt,44,作動（する）,"か さ い ほ う ち き さ ど う
火災報知器が作動する",,2
,"Còn gọi là ""Yojo shiito"" (tấm phủ bảo
vệ) hoặc ""Hisan boushi netto"" (lưới
chống rơi)",めっしゅしーと,Lưới bao che,24,メッシュシート,"あ し ばわく と つ
足場枠にメッシュシートを取り付ける",,3
,,ぎのうじっしゅうきかん,"Thời gian thực tập kỹ
năng",3,技能実習期間,,,3
,"Búa gỗ lớn, còn được gọi là
Narimono hoặc Oonari.
Loại dùng bằng hai tay gọi là
Kakeya, loại dùng bằng một tay gọi
là Kizuchi hoặc Konekiri.",かけや,Búa,21,かけや,"くい う こ
かけやで杭を打ち込む",,3
,"Là máy kéo có gắn gầu. Có 2 loại bánh
xích và bánh lốp",とらくたしょべる,Máy xúc,39,トラクタショベル,,,3
,,きんしじこう,Những điều bị cấm,13,禁止事項,,,3
,,じゅけん,"(danh từ) Sự dự thi, thi",12,受検（する）,,,3
,,けれん,"Làm sạch, phẳng, nhẵn bề
mặt, Chà nhám",30,けれん,"ひょうめん
コンパネの表面をけれんする",,3
,"Còn gọi là ""Hakka""",けっそくこうぐ,Móc buộc thép,33,結束工具,"けっそく こ う ぐ もち てっきん しば
結束工具を用いて鉄筋を縛る",,3
,,ぶつかる,"Va, đụng phải",15,ぶつかる,"トラクタショベルのバケットにぶつかっ
てけがをした",,3
,,しあげる,Hoàn thiện,46,仕上げる,,,3
,(danh từ) Sự bảo dưỡng,せいび（する）,(danh từ) Sự bảo dưỡng,44,整備（する）,"しゃりょう せ い び
車両の整備をする",,3
,,いんさーと,Chốt chèn,27,インサート,"せ っ ち
インサートをコンクリートに設置するた
かたわく う こ
め、型枠に打ち込む",,3
,,きゅうけい（する）,(động từ) Nghỉ giải lao,6,休憩（する）,,,3
,"Là việc quy định vị trí để và cách để cá
c vật dụng cần thiết, hiển thị chúng
một cách rõ ràng nhằm giảm sự không
hợp lý và sự lãng phí.",せいとん,Seiton (sắp xếp),7,整頓,,,3
,"ゆうきゅうきゅうか
""有給休暇 (Nghỉ phép có lương)"". Là việc
nghỉ làm mà vẫn được trả tiền lương. Cá
ゆうきゅうきゅうか
ch nói ngắn gọn của ""有給休暇 (Nghỉ phép
ゆうきゅう
có lương)"" là ""有休 (Gọi tắt)"".",ゆうきゅう,Nghỉ phép có lương,4,有休,"らいしゅうゆうきゅう しんせいしょ だ
来週、有休をとるので申請書を出した",,3
,,ひょうしき,Bảng hiệu,10,標識,,,3
,,そくてい（する）,(danh từ) Sự đo đạc,47,測定（する）,,,3
,,ゆあつぽんぷ,Bơm thủy lực,42,油圧ポンプ,,,3
,,けがをする,Bị thương,2,けがをする,,,3
,,こうじょう,Nhà máy,1,工場,,,3
,,したきん,Cốt thép dưới,36,下筋,"したきん く み た
下筋を組立てる",,3
,,かきげんきん,Cấm lửa,19,火気厳禁,,,3
,,よこきん,Cốt thép ngang,36,横筋,"よこきん く み た
横筋を組立てる",,4
,"Cách gọi tắt của máy đầm Tamping
Rammer",らんま,Máy đầm rung,21,ランマ,"じばん し かた
ランマで地盤を締め固める",,4
,,ちゅうしゃきんし,Cấm đỗ xe,19,駐車禁止,,,4
,,しかく,Tư cách,12,資格,,,4
,"Làm vệ sinh để làm cho nơi làm việc
trở nên sạch sẽ, đẹp, và dễ hiểu được đ
ó là tình trạng đúng.",せいそう,Seisou (sạch sẽ),7,清掃,,,4
,,けいそく（する）,(danh từ) Sự đo lường,47,計測（する）,,,4
,,でんげん,Nguồn điện,2,電源,,,4
,,みずもれ,Rò rỉ nước,42,水漏れ,,,4
,"Là ngày được nghỉ bù trong trường hợp đi là
m vào ngày nghỉ.",だいきゅう,Nghỉ bù,4,代休,,,4
,,あたる,"Đụng, trúng",15,当たる,"あ し ば お こ う ぐ からだ あ
足場から落ちてきた工具が体に当
たってけがをした",,4
,,てっきんせつだんき,Máy cắt thép,33,鉄筋切断機,"てっきんせ つだ んき てっきん せつだん
鉄筋切断機で鉄筋を切断する",,4
,,かたわくしほこう,Hệ chống đỡ ván khuôn,30,型枠支保工,"か た わ く し ほ こ う こ う じ おこな
型枠支保工の工事を行う",,4
,"Là máy xúc loại bánh lốp (hệ dẫn động
bốn bánh)",ほいるろーだ,Máy xúc lật bánh lốp,39,ホイルローダ,,,4
,,ひなんくんれん,"Huấn luyện lánh nạn
/sơ tán",13,避難訓練,,,4
,,きをつける,"Chú ý, cẩn thận",10,気をつける,,,4
,,せいぞう,Chế tạo,1,製造,,,4
,,おれる,Gẫy,46,折れる,"くぎ お
釘が折れる",,4
,,ぼうおんぱねる,Tấm cách âm,24,防音パネル,"そうおんたいさく ぼうおん せ っ ち
騒音対策として防音パネルを設置す
る",,4
,,ざんぎょう（する）,(động từ) Làm thêm giờ,6,残業（する）,,,4
,(danh từ) Kiểm tra,てんけん（する）,(danh từ) Kiểm tra,44,点検（する）,"さぎょうまえ こ う ぐ てんけん
作業前に工具を点検する",,4
,,すぺーさ,Con kê,27,スペーサ,"かたわく と つ
型枠にスペーサを取り付ける",,4
,,しょくしゅ,Ngành nghề,3,職種,,,4
,,てっきん,Thanh cốt thép,27,鉄筋,"てっきん かたわく す き ま ちょうせい
鉄筋と型枠の隙間を調整する",,5
,Vận hành,うごかす,Vận hành,44,動かす,"き か い うご
機械を動かす",,5
,,あさがおざい,"Vách nghiêng dựng tạm để
ngừa đồ vật rơi, bắn ra đ
ường",24,朝顔材,"あさがおざい ひ ら い ら っ か ぼ う し
朝顔材は飛来落下防止のためにつか
う",,5
,,かける,"Mẻ, khuyết, thiếu",46,欠ける,"まる は か
丸のこの刃が欠ける",,5
,,したじきになる,Bị đè/cán lên,15,下敷きになる,"じゅうき し た じ
重機の下敷きになる",,5
,,あしもとちゅうい,Chú ý dưới chân,19,足もと注意,,,5
,"Được sử dụng khi liên kết các ống
thép để gia cố chéo.
Trong công tác giàn giáo, việc gia
cố chéo được gọi là ""Sujikai"".",じざいくらんぷ,"Kẹp xoay, khóa xoay",21,自在クランプ,"じざい もち たんかん きんけつ
自在クランプを用いて単管を緊結す
る",,5
,,はらきん,Cốt thép cấu tạo bụng dầm,36,腹筋,"はらきん く み た
腹筋を組立てる",,5
,,ざいりゅうしかく,Tư cách lưu trú,3,在留資格,,,5
,"Giờ đã được quy định. Tại nơi làm
việc, chủ yếu chỉ thời gian đã được quy
định ví dụ giờ đến công ty, giờ về.",ていじ,Giờ quy định,6,定時,"き ょ う ていじ かえ
今日は定時に帰る",,5
,,もちこむ,Mang vào,10,持ち込む,"こうじょう けいたいでんわ も こ
工場に携帯電話を持ち込んではいけ
ない",,5
,,けいそくき,Máy đo lường,47,計測器,,,5
,,あぶらもれ,Rò rỉ dầu,42,油漏れ,,,5
,,てっきんまげかこうき,Máy uốn thép,33,鉄筋曲げ加工機,"てっきん ま か こ う き てっきん ま
鉄筋曲げ加工機で鉄筋を曲げる",,5
,,きかい,Máy móc,1,機械,,,5
,,"きそかたわく（めたる
ふぉーむ）","Ván khuôn móng (Ván khu
ôn kim loại)",30,"基礎型枠（メタルフォー
ム）","き そ かたわく く み た
基礎型枠を組立てる",,5
,,だんぷとらっく,Xe tải tự đổ,39,ダンプトラック,,,5
,,かんでん,(danh từ) Sự bị điện giật,13,感電,,,5
,,てあて,Trợ cấp,12,手当,,,5
,,でんげんをきる,Tắt nguồn điện,2,電源を切る,,,5
,"Là việc thực hiện triệt để Seiri, Seiton,
Seisou để duy trì tình trạng bình
thường, không bị bẩn.",せいけつ,Seiketsu (săn sóc),7,清潔,,,5
,"Là bộ luật của Nhật Bản quy định các tiêu
chuẩn về lao động.",ろうどうきじゅんほう,Luật lao động cơ bản,4,労働基準法,,,5
,,きゃっちくらんぷ,"Kẹp, khóa",21,キャッチクランプ,"もち たんかん てっこつ
キャッチクランプを用いて単管と鉄骨
きんけつ
を緊結する",,6
,,ちかづく,Đến gần,46,近づく,"さぎょうちゅう じゅうき ちか
作業中の重機に近づかない",,6
,,ひじょうていしぼたん,Nút dừng khẩn cấp,2,非常停止ボタン,,,6
,,れいきゃくすい,Nước làm mát,42,冷却水,,,6
,,ぼうし,(danh từ) Sự ngăn chặn,13,防止,,,6
,,あんぜん,An toàn,1,安全,,,6
,,ろうどうじょうけん,Điều kiện lao động,4,労働条件,,,6
,,ふっく,Móc,33,フック,"てっきんた ん ぶ
鉄筋端部にフックをつける",,6
,,ぱすぽーと,Hộ chiếu,3,パスポート,,,6
,,ふせぐ,Phòng ngừa,10,防ぐ,"あんぜんかくにん じ こ ふせ
安全確認して事故を防ぐ",,6
,,くぎしまい,Nhổ đinh khỏi gỗ phế liệu,30,釘仕舞い,"かたわく くぎ し ま
型枠をばらして釘仕舞いをする",,6
,,しゃいん,Nhân viên công ty,12,社員,,,6
,"Là máy có gắn gầu, có thể thực hiện
nhiều thao tác khác nhau khi được
thay đổi phụ tùng (attachment)",ゆあつしょべる,Máy đào thủy lực,39,油圧ショベル,,,6
,,きそく,Quy tắc,6,規則,,,6
,"Vì đây là đường dây điện cao áp nên
nếu chạm vào thì nhiều khả năng sẽ bị
điện giật",かくうせん,Đường dây điện trên cao,24,架空線,"か く うせん せっしょく
架空線へ接触させないようにする",,6
,,でんこうどらむ（どらむ）,Rulô cuốn dây điện,27,電工ドラム（ドラム）,"でんこう さ こ
電工ドラムのコンセントに差し込む",,6
,,おんど,Nhiệt độ,47,温度,,,6
,"Là việc tạo thành thói quen để thực
hiện được những việc đã được quy đ
ịnh đúng như nó đã được quy định, và
tạo thành văn hóa hợp tác lẫn nhau.",しつけ,Shitsuke (sẵn sàng),7,しつけ,,,6
,"(danh từ) Vận hành, lái",うんてん（する）,"(danh từ) Vận hành, lái",44,運転（する）,"けんせつき か い うんてん
建設機械を運転する",,6
,,うつ,"Đập, nện",15,打つ,"あやま て う
誤ってハンマーで手を打ってしまった",,6
,,かいこうぶちゅうい,Chú ý lỗ mở,19,開口部注意,,,6
,,はいりょくきん,Cốt thép phân bố,36,配力筋,"はいりょくきん く み た
配力筋を組立てる",,6
,"Là loại máy xúc thủy lực phổ biến
nhất, được sử dụng để đào xuống dưới
mặt đất",ばっくほう,Máy đào,39,バックホウ,,,7
,,"でんどうまるのこ（でんの
こ）",Máy cưa đĩa (Dennoko),27,電動丸のこ（電のこ）,"でんどうまる せつだん
電動丸のこでコンパネを切断する",,7
,,はばき（かせつあしば）,"Tấm chắn chống rơi ngã
(Giàn giáo tạm thời)",24,幅木（仮設足場）,"ろうどうしゃ ついてんらく き ぐ ら っ か ぼ う し
労働者の墜転落・器具の落下防止の
あ し ば は ば き もう
ために足場に幅木を設ける",,7
,,ぶれーきえき,Chất lỏng phanh,42,ブレーキ液,,,7
,Đo,はかる,Đo,44,測る,"てっきん なが はか
鉄筋の長さを測る",,7
,,ぶちょう,Trưởng ban,12,部長,,,7
,,ひ,Lửa,10,火,,,7
,,たかさ,Chiều cao,47,高さ,,,7
,,よぼう,(danh từ) Sự phòng ngừa,13,予防,,,7
,,ぜいきん,Tiền thuế,4,税金,,,7
,"Thường sẽ hay viết bằng chữ Kanji,
nhưng trong nhà máy, đôi khi được
viết bằng chữ Katakana là ""キケン
(Nguy hiểm)"".",きけん（な）,Nguy hiểm (tính từ),1,危険（な）,,,7
,,ほごぼう（へるめっと）,Mũ bảo hộ,33,保護帽（ヘルメット）,"ほ ご ぼう さぎょう と か
保護帽をかぶり作業に取り掛かる",,7
,,"ひじょうていしぼたんを
おす",Nhấn nút dừng khẩn cấp,2,非常停止ボタンを押す,,,7
,,そうじ（する）,(động từ) Làm vệ sinh,8,掃除（する）,,,7
,,すらぶてんば,Mặt trên bê tông,30,スラブ天端,"てん ば
スラブ天端をそろえる",,7
,,かんでんちゅうい,Chú ý điện giật,19,感電注意,,,7
,,でんげんをいれる,Bật nguồn điện,46,電源を入れる,,,7
,,つりあげようくらんぷ,Kẹp nâng Renfroe,21,吊り上げ用クランプ,"つ あ よう もち きんけつ
吊り上げ用クランプを用いて緊結し
たんかん つ あ
た単管を吊り上げる",,7
,,うわきん,Cốt thép trên,36,上筋,"うわきん く み た
上筋を組立てる",,7
,,ざいりゅうかーど,Thẻ lưu trú,3,在留カード,,,7
,,ばらんすをくずす,Mất thăng bằng,15,バランスを崩す,"うえ くず てんらく
はしごの上でバランスを崩して転落し
た",,7
,,きゅうじつ,Ngày nghỉ,6,休日,,,7
,,でんげんをおとす,Tắt nguồn điện,46,電源を落とす,,,8
,,るーる,Quy tắc,2,ルール,,,8
,,すぱいらるきん,Cốt thép xoắn ốc,36,スパイラル筋,"きん たいしんへき と つ
スパイラル筋を耐震壁に取り付ける",,8
,,ちょっこうくらんぷ,"Kẹp cố định, khóa cố đ
ịnh",21,直交クランプ,"ちょっこう もち たんかん きんけつ
直交クランプを用いて単管を緊結す
る",,8
,,たおれる,"Đổ, sập, ngã nằm xuống",15,倒れる,"たお ねっちゅうしょう たお
はしごが倒れる、熱中症で倒れる",,8
,,ついらくちゅうい,Chú ý rơi ngã,19,堕落注意,,,8
,"Là một loại máy xúc thủy lực, dùng để
xúc đất đá trên mặt đất đổ lên phương
tiện vận chuyển",ろーでぃんぐしょべる,Máy đào gầu thuận,39,ローディングショベル,,,8
,,ねんりょうたんく,Thùng nhiên liệu,42,燃料タンク,,,8
,,てんとう,"(danh từ) Sự ngã, đổ",13,転倒,,,8
,,あぶない,Nguy hiểm,1,危ない,,,8
,,かたづける,Dọn dẹp,8,片づける,,,8
,"Là tiền thuế đánh vào thu nhập như tiền
lương trong một năm.",しょとくぜい,Thuế thu nhập,4,所得税,,,8
,"Gọi tắt của ""Sashikin anka"" (neo cốt th
ép chờ). Còn gọi là ""Sashikin""(cốt thé
p chờ)",あんかー,Neo,33,アンカー,"せ っ ち
アンカーを設置する",,8
,,ながさ,Chiều dài,47,長さ,,,8
,,たかさ（たっぱ）,Độ cao (còn gọi là Tappa),30,高さ（タッパ）,"たか はか
高さ（タッパ）を測る",,8
,,しぎょうじかん,Giờ bắt đầu làm việc,6,始業時間,,,8
,"にゅうこくかんりちょう
Chữ viết tắt của ""入国管理庁 (Cục
にゅうこくかんりきょく
quản lý nhập cảnh)"", ""入国管理局
(Cục quản lý nhập cảnh)"".",にゅうかん,Cục quản lý nhập cảnh,3,入管,,,8
,,ぱっきん,"Gioăng, đệm, khớp nối",27,パッキン,"し こ
パッキンを敷き込む",,8
,"Gọi tắt của từ ""Tankan paipu"". Ngoài
ra còn gọi là ""Paipu"".",たんかん,Ống thép,24,単管,"たんかん もち あ し ば く た
単管を用いて足場を組み立てる",,8
,(danh từ) Sự điều khiển,そうさ（する）,(danh từ) Sự điều khiển,44,操作（する）,"き か い そ う さ
機械を操作する",,8
,,けむり,Khói,10,煙,,,8
,,かちょう,Trưởng phòng,12,課長,,,8
,,ずじょうちゅうい,Chú ý trên đầu,19,頭上注意,,,9
,,てんらく,"(danh từ) Sự rơi, ngã
xuống",15,転落,"うえ くず てんらく
はしごの上でバランスを崩して転落し
た",,9
,,ふっく,Móc,21,フック,ワイヤーロープをフックにかける,,9
,,ふぁんべると,Dây đai quạt,42,ファンベルト,,,9
,,しょうか,Chữa cháy,10,消火,,,9
,,たてこみ,Lắp đặt theo chiều dọc,30,建込み,"かたわく た て こ
型枠を建込みする",,9
,,はさまる,"Kẹp, kẹp vào",13,挟まる,,,9
,,かこうば,Khu vực gia công,33,加工場,"げ ん ばはんにゅうまえ か こ う ば てっきん か こ う
現場搬入前に加工場で鉄筋を加工
する",,9
,"Làm vệ sinh để làm cho nơi làm việc
trở nên sạch sẽ, đẹp, và dễ hiểu được đ
ó là tình trạng đúng.",せいそう,Làm vệ sinh,1,清掃,,,9
,,すてる,Vứt bỏ,8,捨てる,,,9
,"Thuế nộp cho chính quyền địa phương nơi
sinh sống.",じゅうみんぜい,Thuế cư dân,4,住民税,,,9
,,こういしつ,Phòng thay đồ,12,更衣室,,,9
,,おもさ,Cân nặng,47,重さ,,,9
,,ろーら,Xe lu,39,ローラ,,,9
,,きゃたつ,Thang gấp,24,脚立,,,9
,,しゅうぎょうじかん,Giờ kết thúc làm việc,6,終業時間,,,9
,,すいっちをきる,Tắt công tắc,46,スイッチを切る,,,9
,"(danh từ) Sự dừng, ngừng",ていし（する）,"(danh từ) Sự dừng, ngừng",45,停止（する）,,,9
,,ざいりゅうきかん,Thời hạn lưu trú,3,在留期間,,,9
,,てっきんけい,Đường kính cốt thép,36,鉄筋径,"てっきんけい せっけい と し ょ とお
鉄筋径は設計図書の通りである",,9
,,るーるをまもる,Tuân thủ quy tắc,2,ルールを守る,,,9
,,しょうばーる,"Xà beng, đòn bẩy nhỏ",27,小バール,"しょう くぎ ぬ
小バールで釘を抜く",,9
,"Là chế độ lương hưu mà nhân viên công ty v
à cán bộ công chức tham gia và được chi trả
khi tuổi cao, bị bệnh tật hoặc tử vong.",こうせいねんきん,Lương hưu,4,厚生年金,,,10
,,しどういん,Người hướng dẫn,6,指導員,,,10
,,きる,"Tắt, cắt",45,切る,"き てっきん き
エンジンを切る、鉄筋を切る",,10
,,すとれーとしゃっくる,Móc thẳng (hình chữ U),21,ストレートシャックル,"ワイヤーをストレートシャックルにかけ
る",,10
,"Chỉnh những thứ bị cong, gây vướng,
v.v… trở về trạng thái chuẩn",とおり,"Thẳng, Ngay ngắn",30,通り,"とお よ
通りを良くする",,10
,,あつさ,Chiều dày,47,厚さ,,,10
,,あしもと,Dưới chân,13,足元,,,10
,,だいしゃ,Xe đẩy,12,台車,,,10
,,しょうかき,Bình chữa cháy,10,消火器,,,10
,,ばけっと,Gầu,39,バケット,,,10
,,きたない,Bẩn,8,汚い,,,10
,,くうきあつ,Áp suất khí,42,空気圧,,,10
,,ひじょうぐち,Cửa thoát hiểm,1,非常口,,,10
,"Bán kính quay của máy móc hạng
nặng. Khu vực này thường bị cấm vào
để phòng tránh tai nạn do va chạm",さぎょうはんけい,Bán kính hoạt động,24,作業半径,"じゅうきさぎょう さぎょうはんけい た い きん
重機作業の作業半径に立ち入りを禁
し
止する",,10
,,とめる,Cho dừng,2,止める,,,10
,,こようけいやく,Hợp đồng tuyển dụng,3,雇用契約,,,10
,,けいほうせつび,Thiết bị báo động,19,警報設備,,,10
,,かぶりあつさ,"Độ dày lớp bê tông bảo vệ
cốt thép",36,かぶり厚さ,"あつ かくにん
かぶり厚さを確認する",,10
,,だいばーる,"Xà beng, đòn bẩy to",27,大バール,"かたわくかいたい だい し よ う
型枠解体に大バールを使用する",,10
,,こてい（する）,(danh từ) Sự cố định,46,固定（する）,,,10
,,すぺーさー,Con kê,33,スペーサ―,"てっきん あつ たも
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う",,10
,,しさこしょう,Chỉ tay gọi tên,15,指差呼称,,,10
,,せいかつしどういん,Người hướng dẫn đời sống,6,生活指導員,,,11
,,ちゅうい,Chú ý,1,注意,,,11
,Chiều cao một bậc thang,けあげ,Chiều cao một bậc thang,31,蹴上げ,"き け あ すんぽう かたわく く み た
決められた蹴上げ寸法で型枠を組立
てる",,11
,,よごれる,Bị bẩn,8,汚れる,,,11
,,くらっち,Khớp li hợp,42,クラッチ,,,11
,,ふあんてい,"(danh từ) Sự không ổn đ
ịnh, không vững",13,不安定,,,11
,,ぶーむ,Cần chống,40,ブーム,,,11
,,ゆか,Sàn,12,床,,,11
,,ひじょうべる,Chuông khẩn cấp,10,非常ベル,,,11
,,かたさ,Độ cứng,47,硬さ,,,11
,,どーなつ,Con kê hình bánh xe,34,ドーナツ,"かべ てっきん あつ つか
壁の鉄筋かぶり厚さはドーナツを使う",,11
,,ひやりはっと,"Sự cố (tiềm ẩn nguy cơ
nhưng chưa gây ra thiệt
hại).",15,ヒヤリハット,,,11
,,ゆるめる,Nới lỏng,46,ゆるめる,ボルトをゆるめる,,11
,,けしょうごうはん,Ván trang trí,28,化粧合板,"ひょうめん う はな し あ けしょうごうばん
表面は打ち放し仕上げのため化粧合
し よ う
板を使用する",,11
,,かっしゃ,"Ròng rọc, Puli",22,滑車,"かっしゃ ざいりょう つ あ
滑車で材料を吊り上げる",,11
,,かくど,Độ góc,37,角度,"か く ど かくにん
角度を確認する",,11
,,しょうかき,Bình chữa cháy,20,消火器,,,11
,,きゅうよめいさい,Bảng chi tiết lương,3,給与明細,,,11
,,まわす,"Quay, xoay",45,回す,,,11
,,かりぼると,Bu lông tạm thời,25,仮ボルト,"かり こうぞうたい かり こ て い
仮ボルトで構造体を仮に固定する",,11
,"Là bảo hiểm được chi trả trong trường hợp
thất nghiệp hoặc đi tìm việc làm khác",こようほけん,Bảo hiểm thất nghiệp,4,雇用保険,,,11
,,きかいをとめる,Cho dừng máy,2,機械を止める,,,11
,,やって,Hãy làm,2,やって,,,12
,,きゅうりょう,Lương,3,給料,,,12
,"Là bảo hiểm được chi trả khi bản thân người
tham gia hoặc gia đình phải điều trị y tế.",けんこうほけん,Bảo hiểm y tế,5,健康保険,,,12
,,てなおし,Chỉnh sửa,25,手直し,"し て き ば し ょ て な お
指摘された場所を手直しする",,12
,,おす,"Ấn, bấm",45,押す,,,12
,,くれーん,"Cần cẩu, cần trục",22,クレーン,"しざい つ あ
クレーンで資材を吊り上げる",,12
,,しんぐる,"Đơn, một",37,シングル,"てっきん はいきん く み た
鉄筋はシングル配筋で組立てる",,12
,,のばす,"Cán, kéo dài",46,伸ばす,,,12
,,"えーいーでぃーせっちば
しょ",Nơi đặt máy AED,20,AED設置場所,,,12
,,かこうはいきんず,"Bản vẽ bố trí cốt thép gia c
ông",34,加工配筋図,"か こ うはいきん ず どお く み た
加工配筋図通りに組立てる",,12
,,ふつうごうはん,Ván thường,28,普通合板,"はいめん そ じ し あ ふ つ うごうばん
背面は素地仕上げのため普通合板を
し よ う
使用する",,12
,,けこみ,"Phần lõm vào theo chiều
ngang của bậc thang trên v
à bậc thang dưới",31,蹴込み,"き け こ すんぽう かたわく く み た
決められた蹴込み寸法で型枠を組立
てる",,12
,,でぐち,Cửa ra,12,出口,,,12
,,きゅうはっしん,Tiến đột ngột,42,急発進,,,12
,,あとかたづけ,Dọn dẹp,13,後片付け,,,12
,,げんいん,Nguyên nhân,15,原因,,,12
,,あーむ,Cần ngang,40,アーム,,,12
,,かさいほうちき,Thiết bị báo cháy,10,火災報知機,,,12
,,ふかさ,Độ sâu,47,深さ,,,12
,,ぶんべつ（する）,(động từ) Phân loại,8,分別（する）,,,12
,,かじ,Hỏa hoạn,1,火事,,,12
,,たんとうしゃ,Người phụ trách,6,担当者,,,12
