Annotasyon,Anotasi,Cara membaca (Hiragana),Contoh,Foto,Kosakata,No.,Page,Tanda,Terjemahan
,"Tali untuk mengaitkan sabuk
pengaman (sabuk dengan tali
penolong) di lokasi konstruksi.
Untuk melindungi nyawa pekerja di
lapangan, dipasang agar tidak
melorot di antara pilar.",おやづな,"おやづな あんぜんたい
親綱に安全帯をかける",,親綱,1,22,,Tali induk
,"Traktor yang dipasang alat kerja
(alat tambahan) disebut Buldozer
atau Traktor Shovel.",とらくた,,,トラクタ,1,37,,Traktor
,,はかまきん,"きん く み た
はかま筋を組立てる",,はかま筋,1,34,,"Tulangan penguat
pondasi"
,,ちこく（する）,,,遅刻（する）,1,6,,"Keterlambatan
(Terlambat)"
,,きけん,,,危険,2,14,,Bahaya
,,ぎじゅついてん,,,技術移転,2,3,,Transfer teknologi
,,ぎのうけんていしけん,,,技能検定試験,2,12,,Ujian keahlian teknis
,,けっそくせん,"けっそくせん てっきん しば
結束線で鉄筋を縛る",,結束線,2,31,,Kawat pengikat
,,ゆあつもーた,,,油圧モータ,2,40,,Motor hidrolik
,,ぎのうじっしゅうせい,,,技能実習生,2,1,,Pemagang Kerja Teknis
,,ぼーなす,,,ボーナス,2,4,,Bonus
,"Merupakan kegiatan
menyingkirkan barang-barang
yang tidak diperlukan sehingga
segala barang yang ada di lokasi
kerja hanya ada barang yang
benar-benar dibutuhkan dalam
aktivitas kerja",せいり,,,整理,2,7,,Ringkas
,,かいほうげんきん,,,開放厳禁,2,10,,Dilarang membuka
,,けが,,,けが,2,2,,Luka
,,きんえん,,,禁煙,2,17,,Dilarang merokok
,,たてきん,"たてきん く み た
縦筋を組立てる",,縦筋,2,34,,Tulangan vertikal
,"Alat berat traktor yang dilengkapi
dengan sudu.",ぶるどーざ,,,ブルドーザ,2,37,,Bulldozer
,,てんばくぎ,"てん てん ば くぎ う
コンクリート天に天端釘を打つ",,天端釘,2,28,,"Bilah yang dipasang
pada sudut acuan"
,,もどす,"つか こ う ぐ もと ば し ょ もど
使った工具は元の場所に戻す",,戻す,2,43,,Mengembalikan
,,"べるとこんべあ
（べるこん）","つち こ う ん ぱ ん
ベルトコンベアで土を小運搬する",,"ベルトコンベア
（ベルコン）",2,19,,"Konveyor sabuk (Ban
berjalan)"
,,たてわく（びてぃ）,"たてわく もち あ し ば く み た
建枠（ビティ）を用いて足場を組立て
る",,建枠（ビティ）,2,22,,"Rangka sekeliling
bangunan"
,,ひょうじばん,,,表示板,2,13,,Papan pengumuman
,,すんぽう,,,寸法,2,44,,Ukuran
,,そうたい（する）,,,早退（する）,2,6,,"Kepulangan cepat
(Pulang cepat)"
,,あんぜんたい,"あんぜんたい あ し ば と つ
安全帯を足場に取り付ける",,安全帯,2,25,,Sabuk pengaman
,,さどう（する）,"か さ い ほ う ち き さ ど う
火災報知器が作動する",,作動（する）,2,42,,Hidup (Menghidupkan)
,"Atau disebut juga sebagai
“lembaran pencegah kerusakan”,
atau “jaring pelindung”.",めっしゅしーと,"あ し ばわく と つ
足場枠にメッシュシートを取り付ける",,メッシュシート,3,22,,Jaring pelindung
,,ぎのうじっしゅうきかん,,,技能実習期間,3,3,,Periode pelatihan kerja
,"Palu kayu berat. Juga dikenal
sebagai suara kencang atau
keras. Palu kayu berat yang
digunakan dengan kedua belah
tangan disebut “Kakeya”,
sedangkan palu kayu yang
digunakan dengan sebelah
tangan disebut “Konekiri”.",かけや,"くい う こ
かけやで杭を打ち込む",,かけや,3,19,,Palu kayu berat
,"Traktor yang dipasangkan alat
pengeruk. Ada tipe penapak(track)
dan tipe ban roda.",とらくたしょべる,,,トラクタショベル,3,37,,Traktor shovel
,,きんしじこう,,,禁止事項,3,13,,Larangan penggunaan
,,じゅけん（する）,,,受検（する）,3,12,,Ujian
,,けれん,"ひょうめん
コンパネの表面をけれんする",,ケレン,3,28,,Pengerjaan muka
,"Atau disebut juga sebagai
""Hacker"".",けっそくこうぐ,"けっそく こ う ぐ もち てっきん しば
結束工具を用いて鉄筋を縛る",,結束工具,3,31,,Perkakas pengikat
,,ぶつかる,"トラクタショベルのバケットにぶつかってけが
をした",,ぶつかる,3,14,,Tertabrak
,,しあげる,,,仕上げる,3,43,,Menyelesaikan
,,せいび（する）,"しゃりょう せ い び
車両の整備をする",,整備（する）,3,42,,Perbaikan (Memperbaiki)
,,いんさーと,"せ っ ち
インサートをコンクリートに設置するた
かたわく う こ
め、型枠に打ち込む",,インサート,3,25,,Penyisipan
,,きゅうけい（する）,,,休憩（する）,3,6,,Istirahat (Beristirahat)
,"Menyimpan barang yang tepat
atau dalam tata letak yang benar
sehingga dapat dipergunakan saat
mendadak. Ini merupakan cara
untuk menghilangkan pemborosan
waktu dan tenaga dalam proses
pencarian",せいとん,,,整頓,3,7,,Rapi
,"Upah tetap dibayarkan walaupun libur.
Cuti tahunan berbayar. Cuti tahunan
ゆうきゅう
berbayar disingkat menjadi 「有休」.",ゆうきゅう,"らいしゅうゆうきゅう しんせいしょ だ
来週、有休をとるので申請書を出した",,有休,3,4,,Cuti tahunan
,,ひょうしき,,,標識,3,10,,Tanda
,,そくてい（する）,,,測定（する）,3,44,,Pengukuran (Mengukur)
,,ゆあつぽんぷ,,,油圧ポンプ,3,40,,Pompa oli hidrolik
,,けがをする,,,けがをする,3,2,,Terluka
,,こうじょう,,,工場,3,1,,Pabrik
,,したきん,"したきん く み た
下筋を組立てる",,下筋,3,34,,Tulangan bawah
,,かきげんきん,,,火気厳禁,3,17,,Dilarang menggunakan api
,,よこきん,"よこきん く み た
横筋を組立てる",,横筋,4,34,,Tulangan horizontal
,Mesin Stamper kuda.,らんま,"じ ば ん し かた
ランマで地盤を締め固める",,ランマ,4,19,,Stamper kuda
,,ちゅうしゃきんし,,,駐車禁止,4,17,,Dilarang parkir
,,しかく,,,資格,4,12,,Kualifikasi
,"Merupakan kegiatan
membersihkan peralatan dan
tempat kerja hingga segala
peralatan kerja tetap terjaga dalam
kondisi yang baik. Secara konkrit,
seperti membuang sampah,
kotoran dan benda-benda asing
serta membersihkan segala
sesuatu.",せいそう,,,清掃,4,7,,Resik
,,けいそく（する）,,,計測（する）,4,44,,Takar (Menakar)
,,でんげん,,,電源,4,2,,Sumber listrik
,,みずもれ,,,水漏れ,4,40,,Kebocoran air
,"Libur pengganti ketika masuk kerja di
hari libur.",だいきゅう,,,代休,4,4,,Libur pengganti
,,あたる,"あ し ば お こ う ぐ からだ あ
足場から落ちてきた工具が体に当たってけが
をした",,当たる,4,14,,Kena
,,てっきんせつだんき,"てっきんせ つだ んき てっきん せつだん
鉄筋切断機で鉄筋を切断する",,鉄筋切断機,4,31,,"Mesin pemotong
tulangan baja"
,,かたわくしほこう,"か た わ く し ほ こ う こ う じ おこな
型枠支保工の工事を行う",,型枠支保工,4,28,,Penahan acuan
,"Traktor shovel berban roda (4
roda).",ほいるろーだ,,,ホイルローダ,4,37,,Wheel Loader
,,ひなんくんれん,,,避難訓練,4,13,,Latihan evakuasi
,,きをつける,,,気をつける,4,10,,Berhati-hati
,,せいぞう,,,製造,4,1,,Manufaktur
,,おれる,"くぎ お
釘が折れる",,折れる,4,43,,Patah
,,ぼうおんぱねる,"そうおんたいさく ぼうおん せ っ ち
騒音対策として防音パネルを設置す
る",,防音パネル,4,22,,Panel kedap suara
,,ざんぎょう（する）,,,残業（する）,4,6,,"Pekerjaan lembur
(Lembur)"
,,てんけん（する）,"さぎょうまえ こ う ぐ てんけん
作業前に工具を点検する",,点検（する）,4,42,,Periksa (Memeriksa)
,,すぺーさ,"かたわく と つ
型枠にスペーサを取り付ける",,スペーサ,4,25,,Batang jarak
,,しょくしゅ,,,職種,4,3,,Pekerjaan
,,てっきん,"てっきん かたわく す き ま ちょうせい
鉄筋と型枠の隙間を調整する",,鉄筋,5,25,,Tulang baja
,,うごかす,"き か い うご
機械を動かす",,動かす,5,42,,Menggerakkan
,,あさがおざい,"あさがおざい ひ ら い ら っ か ぼ う し
朝顔材は飛来落下防止のためにつか
う",,朝顔材,5,22,,Jaring pengaman
,,かける,"まる は か
丸のこの刃が欠ける",,欠ける,5,43,,Sumbing (Patah)
,,したじきになる,"じゅうき し た じ
重機の下敷きになる",,下敷きになる,5,14,,Terlindas
,,あしもとちゅうい,,,足もと注意,5,17,,Awas langkah kaki
,"Ini digunakan untuk mengikat
pipa tunggal satu dengan lainnya
menjadi satu dan untuk
menambah penguatan diagonal.
Pada perancah, tulangan
diagonal disebut sebagai "" Ikatan
diagonal"".",じざいくらんぷ,"じ ざ い もち たんかん きんけつ
自在クランプを用いて単管を緊結する",,自在クランプ,5,19,,Klam universal
,,はらきん,"はらきん く み た
腹筋を組立てる",,腹筋,5,34,,"Tulangan penguat
sengkang"
,,ざいりゅうしかく,,,在留資格,5,3,,Status tinggal
,"Waktu yang ditentukan. Umumnya
merujuk pada waktu pulang kerja
yang sudah ditentukan.",ていじ,"き ょ う ていじ かえ
今日は定時に帰る",,定時,5,6,,Tepat waktu
,,もちこむ,"こうじょう けいたいでんわ も こ
工場に携帯電話を持ち込んではいけ
ない",,持ち込む,5,10,,Membawa masuk
,,けいそくき,,,計測器,5,44,,Alat ukur
,,あぶらもれ,,,油漏れ,5,40,,Kebocoran minyak
,,てっきんまげかこうき,"てっきん ま か こ う き てっきん ま
鉄筋曲げ加工機で鉄筋を曲げる",,鉄筋曲げ加工機,5,31,,"Mesin pembengkok
tulangan baja"
,,きかい,,,機械,5,1,,Mesin
,,"きそかたわく
（めたるふぉーむ）","き そ かたわく く み た
基礎型枠を組立てる",,"基礎型枠
（メタルフォーム）",5,28,,Acuan fondasi
,,だんぷとらっく,,,ダンプトラック,5,37,,Truk jungkit
,,かんでん（する）,,,感電（する）,5,13,,Tersengat listrik
,,てあて,,,手当,5,12,,Tunjangan
,,でんげんをきる,,,電源を切る,5,2,,Mematikan listrik
,"Menjaga kondisi tetap baik setelah
melakukan Ringkas, Rapi, Resik.",せいけつ,,,清潔,5,8,,Rawat
,"Peraturan standar Jepang yang
mengatur ketenagakerjaan.",ろうどうきじゅんほう,,,労働基準法,5,4,,"Peraturan standar
ketenagakerjaan"
,,きゃっちくらんぷ,"もち たんかん てっこつ
キャッチクランプを用いて単管と鉄骨
きんけつ
を緊結する",,キャッチクランプ,6,19,,Jepitan pancingan
,,ちかづく,"さぎょうちゅう じゅうき ちか
作業中の重機に近づかない",,近づく,6,43,,Mendekat
,,ひじょうていしぼたん,,,非常停止ボタン,6,2,,Tombol stop darurat
,,れいきゃくすい,,,冷却水,6,40,,Air pendingin
,,ぼうし（する）,,,防止（する）,6,13,,Mencegah
,,あんぜん,,,安全,6,1,,Keselamatan
,,ろうどうじょうけん,,,労働条件,6,4,,Kondisi kerja
,,ふっく,"てっきんた ん ぶ
鉄筋端部にフックをつける",,フック,6,31,,Kait
,,ぱすぽーと,,,パスポート,6,3,,Paspor
,,ふせぐ,"あんぜんかくにん じ こ ふせ
安全確認して事故を防ぐ",,防ぐ,6,10,,Mencegah
,,くぎしまい,"かたわく くぎ し ま
型枠をばらして釘仕舞いをする",,釘仕舞い,6,28,,Marking/Penandaan
,,しゃいん,,,社員,6,12,,Pegawai
,"Alat berat yang memilik pengeruk
yang dapat digunakan untuk
berbagai fungsi dengan cara
memasang alat-alat tambahan.",ゆあつしょべる,,,油圧ショベル,6,37,,Eskavator hidrolik
,,きそく,,,規則,6,6,,Aturan
,"Karena ada arus listrik
berketekanan tinggi, maka bila
menyentuh nya besar
kemungkinan mengalami
kecelakaan sengatan listrik.",かくうせん,"か く うせん せっしょく
架空線へ接触させないようにする",,架空線,6,22,,Kabel udara
,,でんこうどらむ（どらむ）,"でんこう さ こ
電工ドラムのコンセントに差し込む",,電工ドラム（ドラム）,6,25,,Teromol listrik
,,おんど,,,温度,6,44,,Suhu
,"Membiasakan diri menjalankan
sesuatu sesuai dengan yang telah
ditetapkan, untuk menciptakan
budaya kerja bersama.",しつけ,,,しつけ,6,8,,Rajin
,,うんてん（する）,"けんせつき か い うんてん
建設機械を運転する",,運転（する）,6,42,,Kemudi (Mengemudi)
,,うつ,"あやま て う
誤ってハンマーで手を打ってしまった",,打つ,6,14,,Memukul
,,かいこうぶちゅうい,,,開口部注意,6,17,,Awas ada lubang
,,はいりょくきん,"はいりょくきん く み た
配力筋を組立てる",,配力筋,6,34,,Tulangan pembagi
,"Penampilannya paling mirip
dengan eskavator Hidrolik,
digunakan untuk menggali
kedalaman yang lebih rendah dari
permukaan tanah.",ばっくほう,,,バックホウ,7,37,,Serok belakang
,,"でんどうまるのこ（でんの
こ）","でんどうまる せつだん
電動丸のこでコンパネを切断する",,電動丸のこ（電のこ）,7,25,,Gergaji listrik
,,はばき（かせつあしば）,"ろうどうしゃ ついてんらく き ぐ ら っ か ぼ う し
労働者の墜転落・器具の落下防止の
あ し ば は ば き もう
ために足場に幅木を設ける",,幅木（仮設足場）,7,22,,Papan kaki
,,ぶれーきえき,,,ブレーキ液,7,40,,Minyak rem
,,はかる,"てっきん なが はか
鉄筋の長さを測る",,測る,7,42,,Mengukur
,,ぶちょう,,,部長,7,12,,Kepala bidang
,,ひ,,,火,7,10,,Api
,,たかさ,,,高さ,7,44,,Ketinggian
,,よぼう（する）,,,予防（する）,7,13,,Mencegah
,,ぜいきん,,,税金,7,4,,Pajak
,"Umumnya ditulis dengan kanji,
namun terkadang ditulis dengan
katakana 「キケン」""berbahaya"".",きけん（な）,,,危険（な）,7,1,,Berbahaya (Bahaya)
,,ほごぼう（へるめっと）,"ほ ご ぼう さぎょう と か
保護帽をかぶり作業に取り掛かる",,保護帽（ヘルメット）,7,31,,Topi pelindung (helm)
,,"ひじょうていしぼたんを
おす",,,非常停止ボタンを押す,7,2,,"Menekan tombol stop
darurat"
,,そうじ（する）,,,掃除（する）,7,8,,"Pembersihan
(Membersihkan)"
,,すらぶてんば,"てん ば
スラブ天端をそろえる",,スラブ天端,7,28,,Puncak plat (Lantai)
,,かんでんちゅうい,,,感電注意,7,17,,"Awas bahaya sengatan
listrik"
,,でんげんをいれる,,,電源を入れる,7,43,,Menghidupkan listrik
,,つりあげようくらんぷ,"つ あ よう もち きんけつ
吊り上げ用クランプを用いて緊結した
たんかん つ あ
単管を吊り上げる",,吊り上げ用クランプ,7,19,,Lifting klam
,,うわきん,"うわきん く み た
上筋を組立てる",,上筋,7,34,,Tulangan atas
,,ざいりゅうかーど,,,在留カード,7,3,,Kartu izin tinggal
,,ばらんすをくずす,"うえ くず てんらく
はしごの上でバランスを崩して転落した",,バランスを崩す,7,14,,Hilang keseimbangan
,,きゅうじつ,,,休日,7,6,,Hari libur
,,でんげんをおとす,,,電源を落とす,8,43,,Mematikan listrik
,,るーる,,,ルール,8,2,,Peraturan
,,すぱいらるきん,"きん たいしんへき と つ
スパイラル筋を耐震壁に取り付ける",,スパイラル筋,8,34,,Tulangan spiral
,,ちょっこうくらんぷ,"ちょっこう もち たんかん きんけつ
直交クランプを用いて単管を緊結す
る",,直交クランプ,8,19,,Jepitan
,,たおれる,"たお ねっちゅうしょう たお
はしごが倒れる、熱中症で倒れる",,倒れる,8,14,,Jatuh
,,ついらくちゅうい,,,堕落注意,8,17,,Awas jatuh terpeleset
,"Salah satu Eskavator Hidrolik yang
digunakan untuk mengangkut
pasir dan tanah bebatuan.",ろーでぃんぐしょべる,,,ローディングショベル,8,37,,Loading eksakavator
,,ねんりょうたんく,,,燃料タンク,8,40,,Tangki bahan bakar
,,てんとう（する）,,,転倒（する）,8,13,,Jatuh
,,あぶない,,,危ない,8,1,,Bahaya
,,かたづける,,,片づける,8,8,,Membereskan
,Pajak penghasilan selama satu tahun.,しょとくぜい,,,所得税,8,4,,Pajak penghasilan
,"""Batang sambungan disingkat
sebagai angkur. Atau disebut
sebagai""batang sambungan"".",あんかー,"せ っ ち
アンカーを設置する",,アンカー,8,31,,Angkur
,,ながさ,,,長さ,8,44,,Panjang
,,たかさ（たっぱ）,"たか はか
高さ（タッパ）を測る",,高さ（タッパ）,8,28,,"Tinggi (Tinggi dalam
istilah pembangunan)"
,,しぎょうじかん,,,始業時間,8,6,,Jam mulai kerja
,"にゅうこくかんりちょう
Singkatan untuk 「入国管理庁」
にゅうこくかんりきょく
""Badan Imigrasi""、「入国管理局」
""Biro Imigrasi"".",にゅうかん,,,入管,8,3,,Imigrasi
,,ぱっきん,"し こ
パッキンを敷き込む",,パッキン,8,25,,Packing
,"Singkatan dari ""Pipa tabung
tunggal"". Atau disebut juga
sebagai ""Pipa"".",たんかん,"たんかん もち あ し ば く た
単管を用いて足場を組み立てる",,単管,8,22,,Pipa tabung
,,そうさ（する）,"き か い そ う さ
機械を操作する",,操作（する）,8,42,,Operasi (Mengoperasikan)
,,けむり,,,煙,8,10,,Asap
,,かちょう,,,課長,8,12,,Kepala Seksi
,,ずじょうちゅうい,,,頭上注意,9,17,,Awas bagian atas kepala
,,てんらく（する）,"うえ くず てんらく
はしごの上でバランスを崩して転落した",,転落（する）,9,14,,Jatuh dari atas
,,ふっく,ワイヤーロープをフックにかける,,フック,9,20,,Kait
,,ふぁんべると,,,ファンベルト,9,40,,Tali kipas
,,しょうか,,,消火,9,10,,Pemadam kebakaran
,,たてこみ,"かたわく た て こ
型枠を建込みする",,建込み,9,28,,Membangun kerangka
,,はさまる,,,挟まる,9,13,,Terjepit
,,かこうば,"げ ん ばはんにゅうまえ か こ う ば てっきん か こ う
現場搬入前に加工場で鉄筋を加工
する",,加工場,9,31,,Tempat pemrosesan
,"Membersihkan dan Membereskan
tempat kerja sehingga kita tahu
seperti apa kondisi tempat kerja
seharusnya.",せいそう,,,清掃,9,1,,Pembersihan
,,すてる,,,捨てる,9,8,,Membuang
,"Pajak yang harus dibayarkan ke wilayah
tempat tinggal.",じゅうみんぜい,,,住民税,9,4,,Pajak penduduk
,,こういしつ,,,更衣室,9,12,,Ruang ganti
,,おもさ,,,重さ,9,44,,Berat
,,ろーら,,,ローラ,9,38,,mesin giling
,,きゃたつ,,,脚立,9,22,,Tangga lipat
,,しゅうぎょうじかん,,,終業時間,9,6,,Jam usai kerja
,,すいっちをきる,,,スイッチを切る,9,43,,Mematikan saklar
,,ていし（する）,,,停止（する）,9,42,,Henti (Menghentikan)
,,ざいりゅうきかん,,,在留期間,9,3,,Periode tinggal
,,てっきんけい,"てっきんけい せっけい と し ょ とお
鉄筋径は設計図書の通りである",,鉄筋径,9,34,,Diameter tulangan baja
,,るーるをまもる,,,ルールを守る,9,2,,Mematuhi peraturan
,,しょうばーる,"しょう くぎ ぬ
小バールで釘を抜く",,小バール,9,25,,Linggis kecil
,"Uang yang didapatkan oleh pegawai
swasta atau negeri pada saat pensiun,
cacat, atau meninggal.",こうせいねんきん,,,厚生年金,10,4,,Uang pensiun
,,しどういん,,,指導員,10,6,,Instruktur
,,きる,"き てっきん き
エンジンを切る、鉄筋を切る",,切る,10,42,,Memotong
,,すとれーとしゃっくる,"ワイヤーをストレートシャックルにかけ
る",,ストレートシャックル,10,20,,Mata-rantai lurus
,"Uang yang didapatkan oleh
pegawai swasta atau negeri pada
saat pensiun, cacat, atau
meninggal.",とおり,"とお よ
通りを良くする",,通り,10,28,,Cara
,,あつさ,,,厚さ,10,44,,Ketebalan
,,あしもと,,,足元,10,13,,Langkah kaki
,,だいしゃ,,,台車,10,12,,Troli
,,しょうかき,,,消火器,10,10,,"Alat pemadam
kebakaran"
,"Uang yang didapatkan oleh
pegawai swasta atau negeri pada
saat pensiun, cacat, atau
meninggal.",ばけっと,,,バケット,10,38,,bucket/serok
,,きたない,,,汚い,10,8,,Kotor
,,くうきあつ,,,空気圧,10,40,,Tekanan udara
,,ひじょうぐち,,,非常口,10,1,,Pintu keluar darurat
,"Uang yang didapatkan oleh
pegawai swasta atau negeri pada
saat pensiun, cacat, atau
meninggal.",さぎょうはんけい,"じゅうきさぎょう さぎょうはんけい た い きん
重機作業の作業半径に立ち入りを禁
し
止する",,作業半径,10,23,,Radius kerja
,,とめる,,,止める,10,2,,Menghentikan
,,こようけいやく,,,雇用契約,10,3,,Kontrak kerja
,,けいほうせつび,,,警報設備,10,17,,"Peralatan Tanda Bahaya
（Alarm）"
,,かぶりあつさ,"あつ かくにん
かぶり厚さを確認する",,かぶり厚さ,10,34,,Ketebalan pelapisan
,,だいばーる,"かたわくかいたい だい し よ う
型枠解体に大バールを使用する",,大バール,10,26,,Linggis besar
,,こてい（する）,,,固定（する）,10,43,,Fiksasi (Menguatkan)
,,すぺーさー,"てっきん あつ たも
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う",,スペーサ―,10,31,,Spacer
,,しさこしょう,,,指差呼称,10,14,,"Aba-aba tunjuk pencegahan
bahaya"
,,せいかつしどういん,,,生活指導員,11,6,,"Pembimbing kehidupan
sehari-hari"
,,ちゅうい,,,注意,11,1,,Peringatan
,"Uang asuransi yang diberikan
ketika kehilangan pekerjaan atau
ketika memulai proses mencari
pekerjaan baru.",けあげ,"き け あ すんぽう かたわく く み た
決められた蹴上げ寸法で型枠を組立
てる",,蹴上げ,11,29,,Tinggi busur
,,よごれる,,,汚れる,11,8,,Kotor
,,くらっち,,,クラッチ,11,40,,Alat pembuka kopling
,,ふあんてい（な）,,,不安定（な）,11,13,,Tidak stabil
,"Uang asuransi yang diberikan
ketika kehilangan pekerjaan atau
ketika memulai proses mencari
pekerjaan baru.",ぶーむ,,,ブーム,11,38,,boom/penopang
,,ゆか,,,床,11,12,,Lantai
,,ひじょうべる,,,非常ベル,11,10,,Bel darurat
,,かたさ,,,硬さ,11,44,,Kekerasan
,,どーなつ,"かべ てっきん あつ つか
壁の鉄筋かぶり厚さはドーナツを使う",,ドーナツ,11,32,,Donut
,,ひやりはっと,,,ヒヤリハット,11,14,,Kondisi bahaya/Gerakan bahaya
,,ゆるめる,ボルトをゆるめる,,ゆるめる,11,43,,Mengendurkan
,,けしょうごうはん,"ひょうめん う はな し あ けしょうごうばん
表面は打ち放し仕上げのため化粧合
し よ う
板を使用する",,化粧合板,11,26,,Kayu lapis dekoratif
,,かっしゃ,"かっしゃ ざいりょう つ あ
滑車で材料を吊り上げる",,滑車,11,20,,Katrol/Puli
,,かくど,"か く ど かくにん
角度を確認する",,角度,11,35,,Sudut
,,しょうかき,,,消火器,11,18,,Alat Pemadam Kebakaran
,,きゅうよめいさい,,,給与明細,11,3,,Slip gaji
,,まわす,,,回す,11,42,,Memutar
,,かりぼると,"かり こうぞうたい かり こ て い
仮ボルトで構造体を仮に固定する",,仮ボルト,11,23,,Baut sementara
,"Uang asuransi yang diberikan ketika
kehilangan pekerjaan atau ketika
memulai proses mencari pekerjaan
baru.",こようほけん,,,雇用保険,11,4,,"Asuransi
ketenagakerjaan"
,,きかいをとめる,,,機械を止める,11,2,,Menghentikan mesin
,,やって,,,やって,12,2,,Lakukan
,,きゅうりょう,,,給料,12,3,,Gaji
,"Uang asuransi yang diberikan ketika
orang yang bersangkutan atau
keluarganya mendapat perawatan.",けんこうほけん,,,健康保険,12,4,,Asuransi kesehatan
,,てなおし,"し て き ば し ょ て な お
指摘された場所を手直しする",,手直し,12,23,,Perbaikan
,,おす,,,押す,12,42,,Mendorong
,,くれーん,"し ざ い つ あ
クレーンで資材を吊り上げる",,クレーン,12,20,,Kren
,,しんぐる,"てっきん はいきん く み た
鉄筋はシングル配筋で組立てる",,シングル,12,35,,Tunggal
,,のばす,,,伸ばす,12,43,,Memanjangkan
,,"えーいーでぃーせっちば
しょ",,,AED設置場所,12,18,,"Tempat Instalasi peralatan
AED"
,,かこうはいきんず,"か こ うはいきん ず どお く み た
加工配筋図通りに組立てる",,加工配筋図,12,32,,"Gambaran susunan
tulangan"
,,ふつうごうはん,"はいめん そ じ し あ ふ つ うごうばん
背面は素地仕上げのため普通合板を
し よ う
使用する",,普通合板,12,26,,Kayu lapis
,,けこみ,"き け こ すんぽう かたわく く み た
決められた蹴込み寸法で型枠を組立
てる",,蹴込み,12,29,,Undakan
,,でぐち,,,出口,12,12,,Pintu keluar
,,きゅうはっしん,,,急発進,12,40,,Gas mendadak
,,あとかたづけ,,,後片付け,12,13,,Pembenahan
,,げんいん,,,原因,12,14,,Faktor/Penyebab
,,あーむ,,,アーム,12,38,,lengan
,,かさいほうちき,,,火災報知機,12,10,,Alarm kebakaran
,,ふかさ,,,深さ,12,44,,Kedalaman
,,ぶんべつ（する）,,,分別（する）,12,8,,"Pemisahan
(Memisahkan)"
,,かじ,,,火事,12,1,,Kebakaran
,,たんとうしゃ,,,担当者,12,6,,Penanggungjawab
,,いどうしきくれーん,"い ど う しき し ざ い つ あ
移動式クレーンで資材を吊り上げる",,移動式クレーン,13,20,,Kren jalan
,,あつめる,,,集める,13,42,,Mengumpulkan
,,すたいろふぉーむ,"かたわくない と つ
スタイロフォームを型枠内に取り付け
る",,スタイロフォーム,13,26,,Styrofoam
,,はいきんしょうさいず,"はいきんしょうさい ず どお くみ た
配筋詳細図通りに組立てる",,配筋詳細図,13,32,,"Gambar detil susunan
tulangan"
,,ほごぼうちゃくよう,,,保護帽着用,13,18,,Gunakan topi pelindung
,,つらいち,"つらいち
面一にそろえる",,面一,13,23,,Samarata (Flush)
,,はずす,"あんぜん はず
安全カバーを外す",,外す,13,43,,Melepas
,,とめて,,,止めて,13,2,,Hentikan
