番号,単語,読み方（ひらがな）,翻訳,備考,例文,言語
7,掃除（する）,そうじ（する）,Cleaning (to clean),,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
8,片づける,かたづける,To tidy up,,,英語
9,捨てる,すてる,To throw away,,,英語
10,汚い,きたない,Dirty,,,英語
11,汚れる,よごれる,To get dirty,,,英語
12,分別（する）,ぶんべつ（する）,To sort waste,,,英語
13,燃えないごみ,もえないごみ,Nonburnable waste,,,英語
14,燃えるごみ,もえるごみ,Burnable waste,,,英語
15,挟まれる,はさまれる,To get sandwiched in between,,"き か い       て       はさ
機械に手が挟まれた",英語
16,巻き込まれる,まきこまれる,To get caught in,,"き か い       て         ま        こ
1)機械に手が巻き込まれる
てぶくろ                         ばん      ま        こ
2)手袋がフライス盤に巻き込まれる",英語
17,やけど（する）,やけど（する）,Burn (to get burned),,,英語
18,落ちる,おちる,To fall,,"かいだん           お
階段から落ちる",英語
19,すべる,すべる,To slip,,"ゆか
床がすべる",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
20,転ぶ,ころぶ,To fall; stumble,,"こうじょう                         ころ
工場ですべって転んだ",英語
21,濡れる,ぬれる,To get wet,,,英語
22,衛生,えいせい,Sanitation,,,英語
23,避難（する）,ひなん（する）,Evacuation (to evacuate),,,英語
24,救急車,きゅうきゅうしゃ,Ambulance,,,英語
25,災害,さいがい,Disaster,,,英語
26,地震,じしん,Earthquake,,"じ し ん        お
地震が起きる",英語
27,もぐる,もぐる,To hide; dive,,"じ し ん         つくえ   した
地震だ！机の下にもぐれ！",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
1,火気厳禁,かきげんきん,No fire,,,英語
2,開放厳禁,かいほうげんきん,Keep closed.,,,英語
3,標識,ひょうしき,Sign,,,英語
4,気をつける,きをつける,To pay attention,,,英語
5,持ち込む,もちこむ,To bring in,,"こうじょう     けいたいでんわ       も        こ
工場に携帯電話を持ち込んではいけ
ない",英語
6,防ぐ,ふせぐ,To prevent,,"あんぜんかくにん           じ   こ       ふせ
安全確認して事故を防ぐ",英語
7,火,ひ,Fire,,,英語
8,煙,けむり,Smoke,,,英語
9,消火,しょうか,Fire extinguishing,,,英語
10,消火器,しょうかき,Fire extinguisher,,,英語
11,非常ベル,ひじょうべる,Emergency alarm,,,英語
12,火災報知機,かさいほうちき,Fire alarm,,,英語
13,逃げる,にげる,To escape,,,英語
14,現場,げんば,Site; shop floor,,,英語
15,作業,さぎょう,Work,,,英語
16,ミーティング,みーてぃんぐ,Meeting,"Conferences, morning gatherings, and evening gatherings can also be called a ""ミーティング.""",,英語
17,研修（する）,けんしゅう（する）,Training (to train/be trained),,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
18,実習（する）,じっしゅう（する）,Practical training (to give/receive practical training),,,英語
19,あいさつ,あいさつ,Greeting,,,英語
20,確認（する）,かくにん（する）,Check (to check),,,英語
21,報告（する）,ほうこく（する）,Report (to report),,,英語
22,連絡（する）,れんらく（する）,Communication (to communicate),,,英語
23,相談（する）,そうだん（する）,Consultation (to consult),,,英語
24,渡す,わたす,To hand over,Refers to passing something to somebody.,,英語
25,申請書,しんせいしょ,Application,,,英語
26,寝坊（する）,ねぼう（する）,Oversleeping (to oversleep),,,英語
だい    か   ぎ の うじっしゅう,,,,,,英語
"第8課技能実習
Lesson 8: Skills training",,,,,,英語
No.,Word/Phrase,How to read (Hiragana),,,,英語
1,技能,ぎのう,,,,英語
2,技能検定試験,ぎのうけんていしけん,,,,英語
3,受検（する）,じゅけん（する）,,,,英語
4,資格,しかく,,,,英語
5,手当,てあて,,,,英語
6,社員,しゃいん,,,,英語
7,部長,ぶちょう,,,,英語
8,課長,かちょう,,,,英語
9,更衣室,こういしつ,,,,英語
10,台車,だいしゃ,,,,英語
11,床,ゆか,,,,英語
12,出口,でぐち,,,,英語
13,電気,でんき,,,,英語
14,警報音,けいほうおん,,,,英語
15,コンセント,こんせんと,,,,英語
16,作業場,さぎょうば,,,,英語
17,作業台,さぎょうだい,,,,英語
18,工事現場,こうじげんば,,,,英語
19,職長,しょくちょう,,,,英語
20,作業責任者,さぎょうせきにんしゃ,,,,英語
だい    か   あんぜんえいせい      けんこうか ん り,,,,,,英語
"第9課安全衛生3・健康管理
Lesson 9: Safety3 and Health management",,,,,,英語
No.,Word/Phrase,How to read (Hiragana),,,,英語
1,禁止,きんし,,,,英語
2,表示板,ひょうじばん,,,,英語
3,禁止事項,きんしじこう,,,,英語
4,避難訓練,ひなんくんれん,,,,英語
5,感電（する）,かんでん（する）,,,,英語
6,防止（する）,ぼうし（する）,,,,英語
7,予防（する）,よぼう（する）,,,,英語
8,転倒（する）,てんとう（する）,,,,英語
9,挟まる,はさまる,,,,英語
10,足元,あしもと,,,,英語
11,不安定（な）,ふあんてい（な）,,,,英語
12,後片付け,あとかたづけ,,,,英語
13,救急箱,きゅうきゅうばこ,,,,英語
14,絆創膏,ばんそうこう,,,,英語
15,体調,たいちょう,,,,英語
16,血,ち,,,,英語
17,熱中症,ねっちゅうしょう,,,,英語
18,吐き気,はきけ,,,,英語
19,嘔吐（する）,おうと（する）,,,,英語
20,足がつる,あしがつる,,,,英語
21,気分が悪い,きぶんがわるい,,,,英語
22,寝不足,ねぶそく,,,,英語
23,安全ネット,あんぜんねっと,,,,英語
24,安全点検,あんぜんてんけん,,,,英語
だい       か,かつどう,,,,,英語
"第10課 KY活動
Lesson 10: KY activities",,,,,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,,,英語
1,KY活動（危険予知活動）,けーわいかつどう（きけんよちかつどう）,KY Activities (Hazard prediction activities),,,英語
2,危険,きけん,Hazard,,,英語
3,ぶつかる,ぶつかる,Bump into,,,英語
4,当たる,あたる,Hit,,,英語
5,下敷きになる,したじきになる,Become trapped under,,,英語
6,打つ,うつ,Strike,,,英語
7,バランスを崩す,ばらんすをくずす,Lost one's balance,,,英語
8,倒れる,たおれる,Collapse,,,英語
9,転落（する）,てんらく（する）,Falling off ( Fall off),,,英語
10,指差呼称,しさこしょう,Pointing and calling,,,英語
11,ヒヤリハット,ひやりはっと,"""Hiyari-Hatto"" (Near-miss incident)",,,英語
12,原因,げんいん,Cause,,,英語
13,対策,たいさく,Countermeasure,,,英語
14,落下（する）,らっか（する）,Falling (Fall),,,英語
15,墜落（する）,ついらく（する）,Falling down (Fall down),,,英語
16,確認（する）,かくにん（する）,Check (Check),,,英語
"けんせつ       しょくば                  か    こ         けいけん                はたら   ひと        じ    こ                                  まも
建設の職場には、過去の経験から、働く人を事故やけがから守るためのルールがあります。
おも                                                           みな                  じ  ぶ  ん        な  か  ま        あんぜん                          かなら     まも
めんどうだと思うかもしれませんが、皆さんも自分や仲間の安全のために必ず守ってください。
There are rules to protect workers from accidents and injuries based on past experiences in the construction workplace. It may seem like a hassle, but be sure to follow them for the safety of yourself and your fellow workers.",,,,,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,,,英語
1,作業着,さぎょうぎ,Work clothes,,,英語
2,作業服,さぎょうふく,Work uniform,,,英語
3,作業靴,さぎょうぐつ,Work shoes,,,英語
4,手袋,てぶくろ,Gloves,,,英語
5,帽子,ぼうし,Cap,,,英語
6,保護帽（ヘルメット）,ほごぼう（へるめっと）,Safety helmet (Helmet),,,英語
7,保護具,ほごぐ,Protective equipment,,,英語
8,あごひも,あごひも,Chin strap,,,英語
9,ボタン,ぼたん,Button,,,英語
10,ポケット,ぽけっと,Pocket,,,英語
11,保護メガネ,ほごめがね,Safety glasses,,,英語
12,マスク,ますく,Mask,,,英語
13,耳栓,みみせん,Earplugs,,,英語
14,安全靴,あんぜんぐつ,Safety shoes,,,英語
15,墜落制止用器具（安全帯）,"ついらくせいしようきぐ
（あんぜんたい）",Fall protection equipment (Safety belt),,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,,,英語
16,業務,ぎょうむ,Work,,,英語
17,時間厳守,じかんげんしゅ,Punctuality,,,英語
18,予定,よてい,Schedule,,,英語
19,日付,ひづけ,Date,,,英語
20,準備（する）,じゅんび（する）,Preparation (Prepare),,,英語
21,会議,かいぎ,Meeting,,,英語
22,朝礼,ちょうれい,Morning meeting,,,英語
23,報告書,ほうこくしょ,Report,,,英語
24,マニュアル,まにゅある,Manual,,,英語
25,作業手順書,さぎょうてじゅんしょ,Operating procedures,,,英語
26,調子,ちょうし,Condition,,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
1,立入禁止,たちいりきんし,DO NOT ENTER,,,英語
2,禁煙,きんえん,NO SMOKING,,,英語
3,火気厳禁,かきげんきん,NO OPEN FLAMES,,,英語
4,駐車禁止,ちゅうしゃきんし,NO PARKING,,,英語
5,足もと注意,あしもとちゅうい,WATCH YOUR STEP,,,英語
6,開口部注意,かいこうぶちゅうい,DANGER OPEN HOLE,,,英語
7,感電注意,かんでんちゅうい,"DANGER
ELECTRIC SHOCK RISK",,,英語
8,堕落注意,ついらくちゅうい,DANGER FALL HAZARD,,,英語
9,頭上注意,ずじょうちゅうい,WATCH YOUR HEAD,,,英語
10,警報設備,けいほうせつび,ALARM SYSTEM,,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
11,消火器,しょうかき,FIRE EXTINGUISHER,,,英語
12,AED設置場所,えーいーでぃーせっち                   ばしょ,AED INSIDE,,,英語
13,保護帽着用,ほごぼうちゃくよう,WEAR SAFETY HELMET,,,英語
14,安全帯使用,あんぜんたいしよう,WEAR SAFETY HARNESS,,,英語
15,昇降階段,しょうこうかいだん,STAIRWAY,,,英語
16,休憩所,きゅうけいじょ,BREAK AREA,,,英語
17,最大積載荷重,さいだいせきさいかじゅう,MAXIMUM LOAD CAPACITY,,,英語
18,喫煙所,きつえんじょ,SMOKING AREA,,,英語
19,整理整頓,せいりせいとん,KEEP IN ORDER,,,英語
20,安全通路,あんぜんつうろ,SAFETY PASSAGE,,,英語
No.,,,,,,英語
1,,,,,,英語
2,,,,,,英語
3,,,,,,英語
4,,,,,,英語
5,,,,,,英語
6,,,,,,英語
7,,,,,,英語
8,,,,,,英語
9,,,,,,英語
10,,,,,,英語
No.,,,,,,英語
11,,,,,,英語
12,,,,,,英語
13,,,,,,英語
14,,,,,,英語
15,,,,,,英語
16,,,,,,英語
17,,,,,,英語
18,,,,,,英語
19,,,,,,英語
20,,,,,,英語
21,,,,,,英語
No.,,,,,,英語
22,,,,,,英語
23,,,,,,英語
24,,,,,,英語
25,,,,,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
1,親綱,おやづな,Main rope,It is a rope used to hook a safety belt (a belt with a safety rope) at a construction site. It is stretched tightly between posts without slacking to protect workers' lives at the site.,"お やづな        あんぜんたい
親綱に安全帯をかける",英語
2,建枠（ビティ）,たてわく（びてぃ）,Standard scaffold frame (Beatty frame),,"た て わ く                                   も ち               あ  し  ば         く  み  た
建枠（ビティ）を用いて足場を組立て
る",英語
3,メッシュシート,めっしゅしーと,Mesh sheet,"It is also called a ""curing sheet"" or ""scattering prevention net.""","あ  し  ば  わ く                                                           と          つ
足場枠にメッシュシートを取り付け                               る",英語
4,防音パネル,ぼうおんぱねる,Soundproof panel,,"そ う お ん た い さ く                   ぼ う お ん                             せ  っ  ち
騒音対策として防音パネルを設置す
る",英語
5,朝顔材,あさがおざい,Protective shelf,,"あ さ がおざ い        ひ  ら  い  ら  っ  か  ぼ  う  し
朝顔材は飛来落下防止のためにつか
う",英語
6,架空線,かくうせん,Overhead power line,There is a high possibility of an electric shock accident if you touch an overhead power line because of the high voltage electricity.,"か   く   う せ ん        せっしょく
架空線へ接触させないようにする",英語
7,幅木（仮設足場）,はばき（かせつあしば）,Baseboard (Temporary scaffolding),,"ろ う ど う し ゃ        つ い て ん ら く       き     ぐ           ら  っ  か  ぼ   う  し
労働者の墜転落・器具の落下防止の
あ  し  ば         は  ば  き        も う
ために足場に幅木を設ける",英語
8,単管,たんかん,Single pipe,"""Tankan"" is an abbreviation of ""tankan pipe."" It is also called a ""pipe.""","たん かん        も ち                あ  し  ば           く             た
単管を用いて足場を組み立てる",英語
9,脚立,きゃたつ,Stepladder,,,英語
10,作業半径,さぎょうはんけい,Operating radius,It is a radius of heavy machinery's rotation. The area is often forbidden to enter to prevent contact accidents.,"じ ゅ う き さ ぎ ょ う         さ ぎ ょ う は ん け い          た           い               き ん
重機作業の作業半径に立ち入りを禁
し
止する",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
11,仮ボルト,かりぼると,Temporary bolt,,"か り                            こ う ぞ う た い        か り         こ   て  い
仮ボルトで構造体を仮に固定する",英語
12,手直し,てなおし,Rework,,"し  て  き                       ば  し  ょ         て  な  お
指摘された場所を手直しする",英語
13,面一,つらいち,Flushness,,"つ ら い ち
面一にそろえる",英語
14,点検事項,てんけんじこう,Inspection list,,"し  よ   う               こ   う   ぐ        て ん け ん  じ   こ   う         も と                し
使用する工具は点検事項に基づき始
ぎょうま えて ん け ん
業前点検をおこなう",英語
15,積載荷重,せきさいかじゅう,Loading capacity,,"せ き さ い か じ ゅ う         こ
トラックの積載荷重を超えないよう                               に
つ            こ
積み込む",英語
16,すき間,すきま,Clearance,,"ぼ う お ん                                         ま            あ
防音シートはすき間が空かないよう                               に
と          つ
取り付ける",英語
17,通りを見る,とおりをみる,Check correctness,,"かたど お              ね  ぎ  り           で     き                              と お
やり方通りで根切が出来ているか通
りをみる",英語
18,組立,くみたて,Assembly,,"あ  し  ば         く  み  た
足場を組立てる",英語
19,地組,じぐみ,Basic assembly on the ground,,"し た          じ   ぐ み              あ  し  ば                                          あ
下で地組した足場をクレーンで上げ
う え          と          つ
て上で取り付ける",英語
20,天端,てんば,Top surface,"It is also called a ""Uwaba.""","て  ん  ば                            へいかつ
コンクリートの天端をコテで平滑に                               な
らす",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
21,玉掛け,たまかけ・たまがけ,Slinging,,"ざいりょう         つ          あ                さ い        あんぜん          い     ち
材料を吊り上げる際は安全な位置に
た ま か け
玉掛けをおこなう",英語
22,合図,あいず,Signal,,"じ ゅ う き さ ぎ ょ う        あ  い  ず                          あんぜん       おこな
重機作業は合図をもって安全に行う",英語
23,定格荷重,ていかくかじゅう,Rated load,,"て い か く か じ ゅ う         こ                  つ                      さ ぎ ょ う
定格荷重を超えて吊りもの作業はお
こなわない",英語
24,たち,たち,Verticality,,"あ  し  ば  し  ち  ゅ  う                              み             すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",英語
25,職長,しょくちょう,Foreman,,"あ  し  ば  く み た て        しょくちょう          し     じ          したが
足場組立は職長の指示に従う",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
1,安全カバー,あんぜんかばー,Safety cover,A cover attached to an electric circular saw. It prevents the circular saw from flying into your body due to kickback during cutting.,"あ  ん  ぜ ん                 し よ  う         じ こ         ふ  せ
安全カバーの使用で事故を防ぐ",英語
2,安全帯,あんぜんたい,Safety belt,,"あんぜんたい        あ  し  ば          と          つ
安全帯を足場に取り付ける",英語
3,インサート,いんさーと,Threaded insert,,"せ  っ  ち
インサートをコンクリートに設置す                               るた
か た わ く          う           こ
め、型枠に打ち込む",英語
4,スペーサ,すぺーさ,Spacer,,"か た わ く                                            と          つ
型枠にスペーサを取り付ける",英語
5,鉄筋,てっきん,Rebar,,"て っ き ん       か た わ く         す  き  ま        ちょうせい
鉄筋と型枠の隙間を調整する",英語
6,電工ドラム（ドラム）,でんこうどらむ（どらむ）,Retractable extension cord reel (Drum),,"で ん こ う                                                                  さ           こ
電工ドラムのコンセントに差し込む",英語
7,電動丸のこ（電のこ）,でんどうまるのこ（でんのこ）,Electric circular saw (Electric saw),,"で ん ど う ま る                                                         せつだん
電動丸のこでコンパネを切断する",英語
8,パッキン,ぱっきん,Packing,,"し           こ
パッキンを敷き込む",英語
9,小バール,しょうばーる,Small crowbar,,"しょう                               く ぎ          ぬ
小バールで釘を抜く",英語
10,大バール,だいばーる,Large crowbar,,"か た わく かい たい        だい                               し   よ   う
型枠解体に大バールを使用する",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
11,化粧合板,けしょうごうはん,Decorative plywood,,"ひょうめん          う          はな         し     あ                                けしょうごうばん
表面は打ち放し仕上げのため化粧合
し   よ   う
板を使用する",英語
12,普通合板,ふつうごうはん,Regular plywood,,"はいめん          そ     じ     し     あ                                ふ  つ  う  ご う ば ん
背面は素地仕上げのため普通合板を
し  よ   う
使用する",英語
13,スタイロフォーム,すたいろふぉーむ,Styrofoam,,"か た わ くな い          と          つ
スタイロフォームを型枠内に取り付け
る",英語
14,面木,めんぎ,Chamfer,,"か た わ く        めん   ぎ           と          つ
型枠に面木を取り付ける",英語
15,バイブレーター,ばいぶれーたー,Vibrator,,"し          かた
バイブレーターでコンクリートを締め固
める",英語
16,剥離剤,はくりざい,Remover,,"か た わ く                                      よ
コンクリートと型枠のはなれを良くする
は   く  り ざ い        し  よ   う
ために剥離剤を使用する",英語
17,けこみ板,けこみいた,Riser,,"い た         と          つ
けこみ板を取り付ける",英語
18,目地棒,めじぼう,Joint bar,,"か た わ く          め     じ   ぼ う         と          つ
型枠に目地棒を取り付ける",英語
19,コンクリート,こんくりーと,Concrete,,"か た わ く                                                  なが         こ
型枠にコンクリートを流し込む",英語
20,コンベックス,こんべっくす,Metal tape measure,,"す ん ぽ う       はか
コンベックスで寸法を測る",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
21,作業用手袋,さぎょうようてぶくろ,Work gloves,,"さ ぎ ょ う よ う て ぶ く ろ       も ち              か た わ く さ ぎ ょ う
作業用手袋を用いて型枠作業をおこ
なう",英語
22,差金,さしがね,L-square ruler,,"さ し が ね        す ん ぽ う       はか
差金で寸法を測る",英語
23,水平器,すいへいき,Leveler,,"すい へい   き          かたむ           ちょうせい      すい へい
水平器で傾きを調整し水平にする",英語
24,墨さし,すみさし,Bamboo marking pen,,"す み                   す み
墨さしを墨つぼにつける",英語
25,墨つぼ,すみつぼ,Inkpot,,"す み                    す み
墨さしを墨つぼにつける",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
1,"丸セパレーター
（丸セパ）","まるせぱれーたー
（まるせぱ）",Round separator (Marusepa),,"ま る                                                か た わ く        こ  て  い
丸セパレーターで型枠を固定する",英語
2,天端釘,てんばくぎ,Leveling pin,,"て ん        て ん   ば   く ぎ          う
コンクリート天に天端釘を打つ",英語
3,ケレン,けれん,Surface preparation,,"ひょうめん
コンパネの表面をけれんする",英語
4,型枠支保工,かたわくしほこう,Form timbering,,"か  た  わ  く  し  ほ  こ  う         こ   う   じ        おこな
型枠支保工の工事を行う",英語
5,"基礎型枠
（メタルフォーム）","きそかたわく
（めたるふぉーむ）",Foundation formwork (Metal form),,"き     そ   か た わ く        く  み  た
基礎型枠を組立てる",英語
6,釘仕舞い,くぎしまい,Clearing away,,"か た わ く                                   く ぎ   し     ま
型枠をばらして釘仕舞いをする",英語
7,スラブ天端,すらぶてんば,Slab upper surface,,"て ん   ば
スラブ天端をそろえる",英語
8,高さ（タッパ）,たかさ（たっぱ）,Height (Tappa),,"た か                                           は か
高さ（タッパ）を測る",英語
9,建込み,たてこみ,Installation,,"か た わ く        た  て  こ
型枠を建込みする",英語
10,通り,とおり,Correcting / improving,"The act of straightening up the distortion, obstacles, and others","と お                よ
通りを良くする",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
11,蹴上げ,けあげ,Riser,The height of one step of stairs,"き                                  け     あ          す ん ぽ う         か た わ く        く  み  た
決められた蹴上げ寸法で型枠を組立
てる",英語
12,蹴込み,けこみ,Nosing,,"き                                け     こ          す ん ぽ う        か た わ く        く  み  た
決められた蹴込み寸法で型枠を組立
てる",英語
13,工具の手入れ,こうぐのていれ,Tool maintenance,,"こ   う   ぐ           て     い
工具の手入れをおこたらない",英語
14,下げ振り,さげふり,Plumb bob,,"さ            ふ               すいちょく       か く に ん
下げ振りで垂直を確認する",英語
15,地墨,じずみ,Marking,,"じ   ず み         あ                        か た わ く         と          つ
地墨に合わせて型枠を取り付ける",英語
16,捨てコンクリート,すてこんくりーと,Leveling concrete,,"す                                                      と          わ く        せ  っ  ち
捨てコンクリートの止め枠を設置す                               る",英語
17,はね出し,はねだし,Overhanging,A condition in which a scaffold plank is extending far to one side from the support. It is extremely dangerous as a worker can fall if he/she steps on it without knowing.,"かべ                              だ                                   か た わ く        く  み  た
壁からはね出してスラブ型枠を組立て
る",英語
18,はらみ,はらみ,Swell,,"だ  せ  つ ちゅう       か た わ く
コンクリート打設中に型枠のはらみを
か く に ん
確認する",英語
19,前面,まえつら,Front,,"ま え つ ら       そ ろ
前面を揃える",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
20,養生,ようじょう,Curing,,"だ  せ  つ   ご         ようじょう
コンクリート打設後に養生をおこなう",英語
21,レベル,れべる,Level,,"そくりょう
レベルを測量する",英語
22,割付,わりつけ,Allocation,,"か た わ く         わ          つ
型枠を割り付ける",英語
23,埋め込み金物,うめこみかなもの,Metal insert,,"か た わ く                                                  う            こ          か な もの
型枠にはあらかじめ埋め込み金物を
と          つ
取り付ける",英語
24,解体する（バラス）,かいたいする（ばらす）,Demolish (Barasu),,"か た わ く       かいたい
型枠を解体する（バラス）",英語
25,かぶり寸法,かぶりすんぽう,Concrete cover thickness,,"て っ き ん       か た わ く                             す ん ぽ う        か く に ん
鉄筋と型枠のかぶり寸法を確認する",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
1,異形棒鋼,いけいぼうこう,Deformed steel bar,Commonly used rebar in Japan,"い  け  い ぼ う こ う       も ち
異形棒鋼を用いる",英語
2,結束線,けっそくせん,Binding wire,,"け っ そ く せん        て っ き ん       し ば
結束線で鉄筋を縛る",英語
