"だ い       か       き     そ
第1課基礎30",Unnamed: 2,Unnamed: 9,Unnamed: 11,Unnamed: 12,Unnamed: 18,Unnamed: 28,Unnamed: 35
"第3課在留資格、労働契約1
មេម ៀនទី ៣- អាជ្ញា ប័ណ្ស្នក់ាណ         មៅ កិច្សច    នាកា ងា  ១",,,,,,,
No.,វាកយសព្ទ, មបៀបអាន,,កា បកប្រប,ច្ំណា ព្នយល់,ឧទាហ ណ្៍,
1,監理団体,かんりだんたい,,អង្គភាពគ្រប់គ្រង្,អង្គការមិនរកគ្ាក់ជំណេញដែល ណ្វើការគ្រប់គ្រង្និង្ែឺកនំនូវ សកមមភាពនិង្ការបេ្ត ុះបណ្តា  ល កមមសិកាការហ្ើ  វ ឹកហ្ឹវ នជំនញ,,
2,技術移転,ぎじゅついてん,,ការណទេរបណចេកវិទ្យា,,,
3,技能実習期間,ぎのうじっしゅうきかん,,រយៈណពលហ្ឹវ កហ្ឺវ នជំនញ,,,
4,職種,しょくしゅ,,គ្បណេទ្យមុខរបរ,,,
5,在留資格,ざいりゅうしかく,,អាជ្ញា ប័េណ ស្នា ក់ណៅ,,,
6,パスポート,ぱすぽーと,,លិខិតឆ្លង្ដែន,,,
7,在留カード,ざいりゅうかーど,,ប័េណ ស្នា ក់ណៅ,,,
8,入管,にゅうかん,,អណនា  គ្បណវសន៍,"ពាកយសណង្េបនន ""ទ្យីភាា  ក់ងារអណនា គ្បណវសន៍"" និង្ ""ការិយាល័យអណនា គ្បណវសន៍""",,
9,在留期間,ざいりゅうきかん,,រយៈណពលស្នា ក់ណៅ,,,
10,雇用契約,こようけいやく,,កិចេសនាការងារ,,,
11,給与明細,きゅうよめいさい,,បងាា ន់នែណបើកគ្ាក់ ណបៀវតស,,,
12,給料,きゅうりょう,,គ្ាក់ណបៀវតស,,,
13,残業手当,ざんぎょうてあて,,គ្ាក់ឈ្ន លួ   ដែមណ ៉ោ ង្,,,
14,労働時間,ろうどうじかん,,ណ ៉ោ ង្ណ្វើការ,,,
No.,វាកយសពទ, មបៀបអាន,,កា បកប្រប,,,
1,控除（する）,こうじょ（する）,,(ធ្វើការ)ការកាត់ថ្លៃ,,,
2,ボーナス,ぼーなす,,ប្រាក់រំណាច់,,,
3,有休,ゆうきゅう,,ការសប្រមាកមានប្រាក់ ធរៀវតស,,,
4,代休,だいきゅう,,ថ្លៃឈរ់សប្រមាកធលើកថ្លៃ,,,
5,労働基準法,ろうどうきじゅんほう,,ចារ់រទដាា នការងារ,,,
6,労働条件,ろうどうじょうけん,,ល័កខ ែ័ណឌ ការងារ,,,
7,税金,ぜいきん,,ពនធ,,,
8,所得税,しょとくぜい,,ពនធ ធលើប្រាក់ចំណូល,,,
9,住民税,じゅうみんぜい,,ពនធ និវាសនជន,,,
10,厚生年金,こうせいねんきん,,ប្រាក់ធសា្ននិវតាន៍ ររស់និធោជិក,,,
11,雇用保険,こようほけん,,ធានារា៉ា រ់រងការងារ,,,
12,健康保険,けんこうほけん,,ធានារា៉ា រ់រងស ែភាព,,,
No.,វាកយសពទ, មបៀបអាន,,កា បកប្រប,,,
13,社会保険,しゃかいほけん,,ធានារា៉ា រ់រងសងគម,,,
14,労災,ろうさい,,ធប្រគ្មុះថ្នន ក់ការងារ,,,
15,労災保険,ろうさいほけん,,ធានារា៉ា រ់រងធលើធប្រគ្មុះ ថ្នន ក់ការងារ,,,
No.,វាក្យសព្ទ, មបៀបអាន,,កា បក្ប្រប,ចំណា ព្នយល់,ឧទាហ ណ៍,
1,遅刻（する）,ちこく（する）,,(ធ្វើការ) មកយឺត,,,
2,早退（する）,そうたい（する）,,(ធ្វើការ) ធេញមុនធេល,,,
3,休憩（する）,きゅうけい（する）,,(ធ្វើការ) សម្រាក,,,
4,残業（する）,ざんぎょう（する）,,(ធ្វើការ) ការងារថែមធា៉ោ ង,,,
5,定時,ていじ,,ធេលធ ៀងទាត់,"ធា៉ោ ងកំណត់។ វាបងាា ញេីធេលធេលា
េូលនិងធេញេីម្រកមុហុ នជាេិធសស ធៅកថនែ ងការងារ។","き ょ う       て い じ      かえ
今日は定時に帰る",ថ្ែៃធនេះម្រតឡប់ធៅេិញតាមធេល កំណត់។
6,規則,きそく,,ប បញ្ជា,,,
7,休日,きゅうじつ,,ថ្ែៃឈប់សម្រាក,,,
8,始業時間,しぎょうじかん,,ធា៉ោ ងចាប់ធ្តើមការងារ,,,
9,終業時間,しゅうぎょうじかん,,ធា៉ោ ងបញ្ច ប់ការងារ,,,
10,指導員,しどういん,,អ្ន កបងាា ត់បធម្រងៀន,,,
11,生活指導員,せいかつしどういん,,អ្ន កបងាា ត់បធម្រងៀនេីការ រស់ធៅ,,,
12,担当者,たんとうしゃ,,អ្ន ក  ួលខុសម្រតូេ,,,
13,スイッチ入れるな,すいっちいれるな,,កុំធបើកេរនត អ្គ្ិគ សនី,,,
14,スイッチ切るな,すいっちきるな,,កុំបិ េរនត អ្គ្ិគ នសី,,,
15,使用禁止,しようきんし,,ហាមធម្របើម្រាស់,,,
No.,វាក្យសពទ, មបៀបអាន,,កា បក្ប្រប,ចំណា ពនយល់,ឧទាហ ណ៍,
1,5S,ごえす,,ស ៥,S ជាតួអក្សរកាត់នៃពាក្យៃីមួយៗនៃ វិៃ័យទងាំ    ៥ ដែលមាៃែូចជា មាៃ របបៀប បរៀបរយ សមាា  ត ៃិងបអនា ម័យ។ ពាក្យប ប្ើ ា្ស់បែើមីបដែរក្ា នៃការដក្លមារក្ដៃែ ងការងារ។,,
2,整理,せいり,,មាៃរបបៀប,បែើមីបបលើក្ក្មពស់គុណភាពៃិងផលិ តភាពបោយក្ាំណត់ៃូវអីវ ដែល ត្ូវ ការៃិងអីវ ដែលមិៃ ត្ូវការៃិងការ ដចក្រំដលក្ៃូវព័ត៌មាៃ។,,
3,整頓,せいとん,,បរៀបរយ,ការកាត់បៃថ យៃូវភាពខ្ជ ះខ្ជជ  យជា បែើមបោយប្ីវការបងាា ញៃូវរបបៀប ទុក្ោក្់ៃិងក្ដៃែ ងទុក្ោក្់វតថ ុ សាំខ្ជៃ់បោយាៃចាស់លាស់។,,
4,清掃,せいそう,,សមាា  ត,"ការប្ីវបោយស្ថថ ៃភាពការងារងាយ យល់  ត្ឹម ត្ូវ ៃិងស្ថា តបោយការសម្
ោត។",,
5,清潔,せいけつ,,ស្ថា ត,ការរក្ាៃូវស្ថថ ៃភាពស្ថា តជា ប្ចាំ បោយការអៃុវតតយ៉ា ងែិតែល់ៃូវ ការមាៃរបបៀប កាបរៀបរយៃិងអនា ម័យ។,,
6,しつけ,しつけ,,វិៃ័យ,"ការបបងកើតៃូវវបប្ម៌សហការគ្នា បៅ វិញបៅមក្បោយភាជ  ប់ៃូវទមាែ  ប់ដែល
ោចអៃុវតតៃូវវិធាៃដែលាៃក្ាំណ ត់។",,
7,掃除（する）,そうじ（する）,,(ប្ីវការ)សមាា  ត,,,
No.,វាក្យសពទ, មបៀបអាន,,កា បក្ប្រប,ចំណា ពនយល់,ឧទាហ ណ៍,
8,片づける,かたづける,,បរៀបចាំ,,,
9,捨てる,すてる,,បចល,,,
10,汚い,きたない,,ក្ខ្វ ក្់,,,
11,汚れる,よごれる,,ប្លាក្់,,,
12,分別（する）,ぶんべつ（する）,,(ប្ីវការ)ដបងដចក្,,,
13,燃えないごみ,もえないごみ,,ស មា្មមិៃប ះ,,,
14,燃えるごみ,もえるごみ,,ស មា្មប ះ,,,
15,挟まれる,はさまれる,,គ្នប,,"き か い       て       はさ
機械に手が挟まれた",នែមួយ ត្ូវាៃគ្នបក្ន ុងមា៉ា សុីៃ។
16,巻き込まれる,まきこまれる,,ត្ូវាៃពាក្់ព័ៃធ,,"き か い       て         ま        こ
1)機械に手が巻き込まれる
てぶくろ                         ばん      ま        こ
2)手袋がフライス盤に巻き込まれる","1)   នែមួយ ត្ូវាៃគ្នបក្ន ុងមា៉ា សុីៃ។
2)   ទក្់ប ស្ថ្មនែចូលក្ន ុងមា៉ា សីុៃ ក្្ ឡឹង។"
17,やけど（する）,やけど（する）,,(មាៃ)រលាក្,,,
18,落ちる,おちる,,្្ះរ,,"かいだん           お
階段から落ちる",ធាែ ក្់ពីបលើ្បណត ើរ។
19,すべる,すべる,,រអិល,,"ゆか
床がすべる",ក្ មា្លឥែឋរអិល។
No.,វាក្យសពទ, មបៀបអាន,,កា បក្ប្រប,ចំណា ពនយល់,ឧទាហ ណ៍,
20,転ぶ,ころぶ,,ែួល,,"こうじょう                         ころ
工場ですべって転んだ",ខ្្ុាំាៃរអិលែួលបៅបោងច ក្្។
21,濡れる,ぬれる,,បសើម,,,
22,衛生,えいせい,,អនាម័យ,,,
23,避難（する）,ひなん（する）,,(ប្ីវការ)្បមែៀស,,,
24,救急車,きゅうきゅうしゃ,,ឡាៃសប ងា្គ ះបនាា  ៃ់,,,
25,災害,さいがい,,ប គ្ន្ះមហៃត ោយ,,,
26,地震,じしん,,ការរញ្ជ យួ   ែី,,"じ し ん        お
地震が起きる",មាៃការរញ្ជ យួ   ែីបក្ើតបឡើង។
27,もぐる,もぐる,,មុ្,,"じ し ん         つくえ   した
地震だ！机の下にもぐれ！",មាៃរញ្ជ យួ   ែី! ចូលប កា្មតុ!
No.,វាក្យសពទ, មរៀរអាន,,កា រក្ប្ប្រ,ចាំណា ពនយល់,ឧទាហ ណ៍,
1,火気厳禁,かきげんきん,,ហាមដាច់ខាតប រ្ើប្លើង,,,
2,開放厳禁,かいほうげんきん,,ហាមដាច់ខាតបរើកចំហ,,,
3,標識,ひょうしき,,សញ្ញា,,,
4,気をつける,きをつける,,ខ្ំញនឹង រ្ងុ រ្យ័តន,,,
5,持ち込む,もちこむ,,យកចូល,,"こうじょう     けいたいでんわ       も        こ
工場に携帯電話を持ち込んではいけ
ない",ហាមយកទូរសព្ទដៃចូលកន ញងបោងច ក្។
6,防ぐ,ふせぐ,,រង្កា រ,,"あんぜんかくにん           じ   こ       ふせ
安全確認して事故を防ぐ",ព្ិនិតយសុវតិថភាព្បៃើមីបការពារប រ្ោះ ថ្នន ក់។
7,火,ひ,,ប្លើង,,,
8,煙,けむり,,ផ្សែង,,,
9,消火,しょうか,,ព្នល ត់អគ្ិគ ្័យ,,,
10,消火器,しょうかき,,ឧរករណ៍ព្នល ត់អគ្ិគ ្័យ,,,
11,非常ベル,ひじょうべる,,កណឹត ងអាសនន,,,
12,火災報知機,かさいほうちき,,កណឹត ង រ្កាសអគ្ិគ ្័យ,,,
13,逃げる,にげる,,រត់បគ្ច,,,
14,現場,げんば,,កផ្នល ងការង្ករ,,,
15,作業,さぎょう,,ការង្ករ,,,
16,ミーティング,みーてぃんぐ,,ការ រ្ជុំ,មានការបៅការ រ្ជំុៃូចជា អងគ  រ្ជុំ រ្ជុំបព្ល ព្្ឹក និង រ្ជុំរញ្ច រ់សងផ្ៃ រ។,,
17,研修（する）,けんしゅう（する）,,(ប្វើការ)កមមសិកា,,,
No.,វាក្យសពទ, មរៀរអាន,,កា រក្ប្ប្រ,ចាំណា ពនយល់,ឧទាហ ណ៍,
18,実習（する）,じっしゅう（する）,,(ប្វើការ)សិកា,,,
19,あいさつ,あいさつ,,ររវកិចច,,,
20,確認（する）,かくにん（する）,,(ប្វើការ)រញ្ញា  ក់,,,
21,報告（する）,ほうこく（する）,,(ប្វើការ)ការោយការណ៍,,,
22,連絡（する）,れんらく（する）,,(ប្វើការ)ទាក់ទង,,,
23,相談（する）,そうだん（する）,,(ប្វើការ)ព្ិភាកា,,,
24,渡す,わたす,,ឆ្លងកាត់,មានការបៅការ រ្ជំុៃូចជា អងគ  រ្ជុំ រ្ជុំបព្ល ព្្ឹក និង រ្ជុំរញ្ច រ់សងផ្ៃ រ។,,
25,申請書,しんせいしょ,,ពាកែបសន ើសុំ,,,
26,寝坊（する）,ねぼう（する）,,(ប្វើការ)បគ្ង ជ្ុល,,,
だい    か   ぎ の うじっしゅう,,,,,,,
"第8課技能実習
មេម ៀនទី៨ កា ហ្ឹវ កហាត់ជំនាញ",,,,,,,
No.,វាកយសព្ទ, មបៀបអាន,,,,,
1,技能,ぎのう,,,,,
2,技能検定試験,ぎのうけんていしけん,,,,,
3,受検（する）,じゅけん（する）,,,,,
4,資格,しかく,,,,,
5,手当,てあて,,,,,
6,社員,しゃいん,,,,,
7,部長,ぶちょう,,,,,
8,課長,かちょう,,,,,
9,更衣室,こういしつ,,,,,
10,台車,だいしゃ,,,,,
11,床,ゆか,,,,,
12,出口,でぐち,,,,,
13,電気,でんき,,,,,
14,警報音,けいほうおん,,,,,
15,コンセント,こんせんと,,,,,
16,作業場,さぎょうば,,,,,
17,作業台,さぎょうだい,,,,,
18,工事現場,こうじげんば,,,,,
19,職長,しょくちょう,,,,,ការន្ំគត្ធមាើងកផ្នា ងដ្ឋក់ធជើងប្ត្ូវ ធោរពតាមការផ្ណនាំររស់អែ ក ដឹកនាំប្កុម
20,作業責任者,さぎょうせきにんしゃ,,,,,
だい    か   あんぜんえいせい      けんこうか ん り,,,,,,,
"第9課安全衛生3・健康管理
មេម ៀនទី៩ សុវត្ិភាពថ        អនាេយ័៣ ・ កា គ្រប់គ្រងសុខភាព",,,,,,,
No.,វាក្យសពទ, មបៀបអាន,កា បក្ប្គ្ប,,,,
1,禁止,きんし,ហាម,,,,
2,表示板,ひょうじばん,ផ្ទ ងាំ   បង្ហា ញព័ត៍មាន,,,,
3,禁止事項,きんしじこう,ប្បការហាមឃាត់,,,,
4,避難訓練,ひなんくんれん,ហ្ឹវ កហាត់ជមមលៀសមេញ,,,,
5,感電（する）,かんでん（する）,(ការ)ឆក់អគ្ីគ សនី,,,,
6,防止（する）,ぼうし（する）,(ការ)ការពារ,,,,
7,予防（する）,よぼう（する）,(ការ)បង្ហា រ,,,,
8,転倒（する）,てんとう（する）,(ការ)ដួល,,,,
9,挟まる,はさまる,គាប,,,,
10,足元,あしもと,មជើងមប្កាម,,,,
11,不安定（な）,ふあんてい（な）,(ដដល)អមសេ រភាព,,,,
12,後片付け,あとかたづけ,ការមរៀបេាំមពលមប្កាយ,,,,
13,救急箱,きゅうきゅうばこ,ប្បអប់សមប្ង្ហគ ោះបន្ទទ  ន់,,,,
14,絆創膏,ばんそうこう,បនទ ោះបិទមលើស្នា មរបួស,,,,
15,体調,たいちょう,ស្នេ នភាពសុខភាពខល នួ,,,,
16,血,ち,ឈាម,,,,
17,熱中症,ねっちゅうしょう,ការដួលសនល ប់មោយស្នរ កមតៅ,,,,
18,吐き気,はきけ,េង់កអ តួ,,,,
19,嘔吐（する）,おうと（する）,(ការ)កអ តួ,,,,
20,足がつる,あしがつる,សាំយុ ងមជើង,,,,
21,気分が悪い,きぶんがわるい,មិនប្សួលខល នួ,,,,
22,寝不足,ねぶそく,មគ្ងមិនប្គ្ប់,,,,
23,安全ネット,あんぜんねっと,សាំណាញ់សុវតិេភាព,,,,
24,安全点検,あんぜんてんけん,ប្តួតពិនិតយសុវតិេភាព,,,,
だい       か,,,,,,,
"第10課 KY活動
មេម ៀនទី១០ សកេភាពម        KY",,,,,,,
No.,វាកយសពទ, មបៀបអាន,កា បកប្រប,,,,
1,KY活動（危険予知活動）,けーわいかつどう（きけ                     んよちかつどう）,"សកម្មភាពKY
(សកម្មភាពពាករណ៏ហា នីភយ័)",,,,
2,危険,きけん,គ រ្ោះថ្នា ក់,,,,
3,ぶつかる,ぶつかる,ប ោះទង្ិគច,,,,
4,当たる,あたる,រ្ូវនឹង្,,,,
5,下敷きになる,したじきになる,កិនសង្ារ់,,,,
6,打つ,うつ,ដំ,,,,
7,バランスを崩す,ばらんすをくずす,បារ់បង្់រ លយភាព,,,,
8,倒れる,たおれる,ដួលរលំ,,,,
9,転落（する）,てんらく（する）,(ការ)រេិលធ្លា ក់,,,,
10,指差呼称,しさこしょう,ចង្អ ុលគៅគ្ម ោះ,,,,
11,ヒヤリハット,ひやりはっと,គសទ ើបរនឹង្មនគ រ្ោះថ្នា ក់,,,,
12,原因,げんいん,ម្ូលគេរ ,,,,
13,対策,たいさく,វិធ្លនការ,,,,
14,落下（する）,らっか（する）,(ការ)ធ្លា ក់,,,,
15,墜落（する）,ついらく（する）,(ការ)ធ្លា ក់ច ោះ,,,,
16,確認（する）,かくにん（する）,(ការ)បញ្ជា  ក់,,,,
"けんせつ       しょくば                  か    こ         けいけん                はたら   ひと        じ    こ                                  まも
建設の職場には、過去の経験から、働く人を事故やけがから守るためのルールがあります。
おも                                                           みな                  じ  ぶ  ん        な  か  ま        あんぜん                          かなら     まも
めんどうだと思うかもしれませんが、皆さんも自分や仲間の安全のために必ず守ってください。
តា្បទពិមោ្កនល ង្កមៅកន ុងកស្នល ងម្វើការសំណង់មនវិនយ័សំរាប់ការពារក្មករពីមររោះថ្នា ក់និងរបួស។របស្ែលជាអ្ា កគិតថ្នវគួរឱ្យ្ុញរាន់ បុ៉ៅស្នែ រតូវស្តមររពមោយ ខាន្ិនបានមៃើ្ីែសុវតិថភាពរបស់អ្ា កនិង្ិតតភកិត របស់អ្ា ក។",,,,,,,
,,,,,,,
No.,វាកយសព្ទ, មបៀបអាន,,កា បកប្រប,,,
1,作業着,さぎょうぎ,,សម្លៀកបំពាក់ម្វើការ,,,
,,,,,,,
2,作業服,さぎょうふく,,សម្លៀកបំពាក់ការងារ,,,
3,作業靴,さぎょうぐつ,,ស្សែកម ើងការងារ,,,
4,手袋,てぶくろ,,មរោ្ដៃ,,,
,,,,,,,
,,,,,,,
5,帽子,ぼうし,,្ួក,,,
6,保護帽（ヘルメット）,ほごぼう（へるめっと）,,្ួកការពារ(្ួកបងាា រ មររោះថ្នា ក់),,,
,,,,,,,
,,,,,,,
7,保護具,ほごぐ,,ឧបករណ៏បងាា រមររោះថ្នា ក់,,,
8,あごひも,あごひも,,ស្សែរកវ៉ា ត់ចងាា រ,,,
9,ボタン,ぼたん,,មេវ,,,
,,,,,,,
10,ポケット,ぽけっと,,មោម ៉ៅ,,,
,,,,,,,
,,,,,,,
,,,,,,,
11,保護メガネ,ほごめがね,,ស្វនតាការពារ,,,
12,マスク,ますく,,ម៉ៅ ស់,,,
13,耳栓,みみせん,,ឆ្ន ុករតមចៀក,,,
14,安全靴,あんぜんぐつ,,ស្សែកម ើងសុវតិថភាព,,,
15,墜落制止用器具（安全帯）,"ついらくせいしようきぐ
（あんぜんたい）",,ឧបករណ៏សំរាប់បញ្ឈប់ ការធ្លល ក់ចុោះ(ស្សែរកវ៉ា ត់ សុវតិថភាព),,,
,,,,,,,
,,,,,,,
,,,,,,,
No.,វាកយសព្ទ, មបៀបអាន,,កា បកប្រប,,,
16,業務,ぎょうむ,,កិចចការ,,,
17,時間厳守,じかんげんしゅ,,របកាន់មពលមវលាខាា  ប់សជ នួ,,,
18,予定,よてい,,គមរមង,,,
19,日付,ひづけ,,កាលបរិមចេទ,,,
20,準備（する）,じゅんび（する）,,(ការ)មរតៀ្,,,
21,会議,かいぎ,,ការរប ុំ,,,
22,朝礼,ちょうれい,,ការរប ុំមពលរពឹក,,,
23,報告書,ほうこくしょ,,មសចកីត រាយការណ៏,,,
24,マニュアル,まにゅある,,មសៀវមៅស្ណនំ,,,
25,作業手順書,さぎょうてじゅんしょ,,ឯកោរនីតិវិ្ីការងារ,,,
26,調子,ちょうし,,ចលនកន ុងសល នួ,,,
No.,វាក្យសព្ទ, មបៀបអាន,,កា បក្ប្រប,ចំណា ព្នយល់,ឧទាហ ណ៍,
1,立入禁止,たちいりきんし,,ហាមចូល,,,
2,禁煙,きんえん,,ហាមជក់បារី,,,
3,火気厳禁,かきげんきん,,ហាមបង្កា ត់ភ្លើង,,,
4,駐車禁止,ちゅうしゃきんし,,ហាមចត,,,
5,足もと注意,あしもとちゅうい,,ប្បយ័តនប ៉ះភជើង,,,
6,開口部注意,かいこうぶちゅうい,,ប្បយ័តនផ្ននកភបើកចំហ,,,
7,感電注意,かんでんちゅうい,,ប្បយ័តនឆក់,,,
8,堕落注意,ついらくちゅうい,,ប្បយ័តនធ្លល ក់,,,
9,頭上注意,ずじょうちゅうい,,ប្បយ័តនភលើកាល,,,
10,警報設備,けいほうせつび,,កផ្លល ងចុចប្បកាសអាសលន,,,
No.,វាក្យសព្ទ, មបៀបអាន,,កា បក្ប្រប,ចំណា ព្នយល់,ឧទាហ ណ៍,
11,消火器,しょうかき,,បំពង់ពលល ត់អគ្ិគ ្័យ,,,
12,AED設置場所,えーいーでぃーせっち                   ばしょ,,ទីតំងបំពាក់AED,,,
13,保護帽着用,ほごぼうちゃくよう,,ពាក់មួកការពារ(មួក បង្កា រភប្រ៉ះថ្នន ក់),,,
14,安全帯使用,あんぜんたいしよう,,ភប្បើផ្សែប្កវ៉ា ត់សុវតិថ ភាព,,,
15,昇降階段,しょうこうかいだん,,ជភ្ត ើរភ ើងចុ៉ះ,,,
16,休憩所,きゅうけいじょ,,កផ្លល ងសប្ាក,,,
17,最大積載荷重,さいだいせきさいかじゅう,,សមតថភាពនុទ កអតិបរា,,,
18,喫煙所,きつえんじょ,,កផ្លល ងជក់បារី,,,
19,整理整頓,せいりせいとん,,ភរៀបចំ សណ្តត  ប់ធ្លន ប់,,,
20,安全通路,あんぜんつうろ,,នូល  វសុវតិថ ភាព,,,
No.,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
No.,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
No.,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
No.,វាក្យសព្ា, មបៀបអាន,,កា បក្ប្រប,ចំណា ព្នយល់,ឧទាហ ណ៍,
1,親綱,おやづな,,ខ្សែពួរមេ,គឺជាខ្សែសំរាប់ពាក់ថ្ពក់ខ្សែក្កវ៉ា ត់ សុវតិថ ភាពមៅការដ្ឋា នសំណង់(ក្កវ៉ា ត់ខ្សែជីវិត)ម ើេីបការពារជីវិតអ្ន កម្វើ ការមៅការដ្ឋា ន មគតមេលើងពីសរសរ ម្ខា  ងមៅសរសរម្ខា  ងម ៀតមដ្ឋយេិន មោយវ្ូរ,"お やづな        あんぜんたい
親綱に安全帯をかける",ពាក់ខ្សែក្កវ៉ា ត់សុវតិថ ភាពមៅនឹងខ្សែ ពួរមេ
2,建枠（ビティ）,たてわく（びてぃ）,,គំរបឈ្នន ន់(ប៊ី ្ី),,"た て わ く                                   も ち               あ  し  ば         く  み  た
建枠（ビティ）を用いて足場を組立て
る",ផ្ំគតំម ើងកខ្នល ងដ្ឋក់មជើងមដ្ឋយមក្បើ គំរបឈ្នន ន់(ប៊ី ្ី)
3,メッシュシート,めっしゅしーと,,ក្កណាត់សំណាញ់,"「ក្កណាត់សំណាញ់」មពលសល ះមគមៅ ថា
「飛散防止ネット」(ហុី សំង បូ សុី មណតុ)「សំណាញ់ការពារការខ្ទា ត
ខ្ទា យ」","あ  し  ば  わ く                                                           と          つ
足場枠にメッシュシートを取り付け                               る",តំម ើងក្កណាត់សំណាញ់មៅសុ េរន្ទា
4,防音パネル,ぼうおんぱねる,,ផ្ា ំង ប់សមេលង,,"そ う お ん た い さ く                   ぼ う お ん                             せ  っ  ち
騒音対策として防音パネルを設置す
る",តំម ើងផ្ា ំង ប់សមេលងម ើេីបជា វិធានការ ប់សមេលងរំខ្ទន
5,朝顔材,あさがおざい,,ផ្ា ំងមក្ៅសក្ម្ខប់ការពារ,,"あ さ がおざ い        ひ  ら  い  ら  っ  か  ぼ  う  し
朝顔材は飛来落下防止のためにつか
う",មក្បើផ្ា ំងមក្ៅសក្ម្ខប់ការពារម ើេីប ការពារការខ្ទា តឬការធាល ក់ចុះ
6,架空線,かくうせん,,ខ្សែមលើ,"មដ្ឋយសរខ្តម្ខនសម្ខព  ្ចរនត អ្គិគ សនីសព ស់
កាលណាប ះវនឹងម្ខនហានីភយ័
សព ស់មលើមក្រះថាន ក់ឆក់ចរនត អ្គីគ សនី","か   く   う せ ん        せっしょく
架空線へ接触させないようにする",ម្វើកំុមោយកខ្នល ងដ្ឋក់មជើងប ះខ្សែ ខ្ទងមលើ
