"だ い       か       き     そ
第1課基礎30",Unnamed: 2,Unnamed: 6,Unnamed: 9,Unnamed: 15,Unnamed: 23,Unnamed: 28
17,研修（する）,けんしゅう（する）,(động từ) Đào tạo,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
18,実習（する）,じっしゅう（する）,(động từ) Thực tập,,,
19,あいさつ,あいさつ,Chào hỏi,,,
20,確認（する）,かくにん（する）,"(động từ) Kiểm tra, xác nhận",,,
21,報告（する）,ほうこく（する）,(động từ) Báo cáo,,,
22,連絡（する）,れんらく（する）,(động từ) Liên lạc,,,
23,相談（する）,そうだん（する）,(động từ) Thảo luận,,,
24,渡す,わたす,Đưa,Sử dụng khi đưa đồ vật cho ai đó.,,
25,申請書,しんせいしょ,Đơn xin,,,
26,寝坊（する）,ねぼう（する）,(động từ) Ngủ quên,,,
だい    か   ぎ の うじっ                        しゅう,,,,,,
"第8課技能実習
Bài 8 Thực tập kỹ năng",,,,,,
Số,Từ vựng,Cách đọc (Hiragana),,,,
1,技能,ぎのう,,,,
2,技能検定試験,ぎのうけんていしけん,,,,
3,受検（する）,じゅけん,,,,
,,じゅけん（する）,,,,
4,資格,しかく,,,,
5,手当,てあて,,,,
6,社員,しゃいん,,,,
7,部長,ぶちょう,,,,
8,課長,かちょう,,,,
9,更衣室,こういしつ,,,,
10,台車,だいしゃ,,,,
11,床,ゆか,,,,
12,出口,でぐち,,,,
13,電気,でんき,,,,
14,警報音,けいほうおん,,,,
15,コンセント,こんせんと,,,,
16,作業場,さぎょうば,,,,
17,作業台,さぎょうだい,,,,
18,工事現場,こうじげんば,,,,
19,職長,しょくちょう,,,,
20,作業責任者,さぎょうせきにんしゃ,,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,禁止,きんし,Cấm,,,
2,表示板,ひょうじばん,Biển báo,,,
3,禁止事項,きんしじこう,Những điều bị cấm,,,
4,避難訓練,ひなんくんれん,"Huấn luyện lánh nạn
/sơ tán",,,
5,感電,かんでん,(danh từ) Sự bị điện giật,,,
,感電する,かんでんする,(động từ) Bị điện giật,,,
6,防止,ぼうし,(danh từ) Sự ngăn chặn,,,
,防止する,ぼうしする,(động từ) Ngăn chặn,,,
7,予防,よぼう,(danh từ) Sự phòng ngừa,,,
,予防する,よぼうする,(động từ) Phòng ngừa,,,
8,転倒,てんとう,"(danh từ) Sự ngã, đổ",,,
,転倒する,てんとうする,"(động từ) Ngã, đổ",,,
9,挟まる,はさまる,"Kẹp, kẹp vào",,,
10,足元,あしもと,Dưới chân,,,
11,不安定,ふあんてい,"(danh từ) Sự không ổn đ ịnh, không vững",,,
,不安定な,ふあんていな,"(tính từ) Không ổn định, không vững",,,
12,後片付け,あとかたづけ,Dọn dẹp,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
13,救急箱,きゅうきゅうばこ,Hộp sơ cứu,,,
14,絆創膏,ばんそうこう,Băng dán vết thương,,,
15,体調,たいちょう,Thể trạng,,,
16,血,ち,Máu,,,
17,熱中症,ねっちゅうしょう,"Sốc nhiệt, say nắng",,,
18,吐き気,はきけ,"Buồn nôn, buồn ói",,,
19,嘔吐,おうと,"(danh từ) Sự nôn, ói",,,
,嘔吐する,おうとする,"(động từ) Nôn, ói",,,
20,足がつる,あしがつる,Chân bị chuột rút,,,
21,気分が悪い,きぶんがわるい,"Không khỏe, khó ở",,,
22,寝不足,ねぶそく,Thiếu ngủ,,,
23,安全ネット,あんぜんねっと,Lưới an toàn,,,
24,安全点検,あんぜんてんけん,Kiểm tra an toàn,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,KY活動（危険予知活動）,けーわいかつどう（きけ                     んよちかつどう）,Hoạt động KY (Hoạt động dự báo nguy hiểm),,,
2,危険,きけん,Nguy hiểm,,,
3,ぶつかる,ぶつかる,"Va, đụng phải",,トラクタショベルのバケットにぶつかってけがをした,Va vào gầu máy xúc và bị thương
4,当たる,あたる,"Đụng, trúng",,"あ  し  ば                 お                               こ   う   ぐ         からだ        あ
足場から落ちてきた工具が体に当
たってけがをした",Bị thương vì bị dụng cụ từ trên giàn gi áo rơi trúng người
5,下敷きになる,したじきになる,Bị đè/cán lên,,"じ ゅ う き         し   た  じ
重機の下敷きになる",Bị máy hạng nặng đè lên
6,打つ,うつ,"Đập, nện",,"あやま                                                  て            う
誤ってハンマーで手を打ってしまっ                               た",Đập nhầm búa vào tay
7,バランスを崩す,ばらんすをくずす,Mất thăng bằng,,"う え                                           く ず              て ん ら く
はしごの上でバランスを崩して転落                               し
た",Bị mất thăng bằng và ngã khỏi thang
8,倒れる,たおれる,"Đổ, sập, ngã nằm xuống",,"た お                  ねっちゅうしょう        た お
はしごが倒れる、熱中症で倒れる",Thang đổ. Ngã vật ra vì say nắng
9,転落,てんらく,"(danh từ) Sự rơi, ngã xuống",,"う え                                           く ず              て ん ら く
はしごの上でバランスを崩して転落                               し
た",Bị mất thăng bằng và ngã khỏi thang
,転落する,てんらくする,"(động từ) Rơi, ngã xuống",,,
10,指差呼称,しさこしょう,Chỉ tay gọi tên,,,
11,ヒヤリハット,ひやりはっと,Sự cố (tiềm ẩn nguy cơ nhưng chưa gây ra thiệt hại).,,,
12,原因,げんいん,Nguyên nhân,,,
13,対策,たいさく,"Giải pháp, biện pháp",,,
14,落下,らっか,(danh từ) Sự rơi xuống,,"あ し ば           こ う ぐ       ら っ か
足場から工具が落下した",Dụng cụ rơi từ trên giàn giáo xuống
,落下する,らっかする,(động từ) Rơi xuống,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
15,墜落,ついらく,(danh từ) Sự rơi (từ trên cao) xuống,,"か  い  こ  う  ぶ               つ い ら く
開口部から墜落した",Rơi từ lỗ mở xuống
,墜落する,ついらくする,(động từ) Rơi (từ trên cao) xuống,,,
16,確認,かくにん,"(danh từ) Sự kiểm tra, xác nhận",,"しゅうい      あんぜん    かくにん
周囲の安全を確認する",Kiểm tra an toàn ở xung quanh
,確認する,かくにんする,"(động từ) Kiểm tra, xác nhận",,,
"けんせつ       しょくば                  か    こ         けいけん                はたら   ひと        じ    こ                                  まも
建設の職場には、過去の経験から、働く人を事故やけがから守るためのルールがあります。
おも                                                           みな                  じ  ぶ  ん        な  か  ま        あんぜん                          かなら     まも
めんどうだと思うかもしれませんが、皆さんも自分や仲間の安全のために必ず守ってください。
Trong môi trường làm việc thuộc ngành xây dựng, có những quy định được đặt ra để bảo vệ người lao động khỏi tai nạn và thương tích. Có thể các bạn thấy phiền phức, nhưng nhất định hãy tuân thủ để có thể bảo vệ mình và các đồng nghiệp.",,,,,,
,,,,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,,,
1,作業着,さぎょうぎ,Trang phục lao động,,,
,,,,,,
,,,,,,
2,作業服,さぎょうふく,Trang phục lao động,,,
3,作業靴,さぎょうぐつ,Giày lao động,,,
4,手袋,てぶくろ,Găng tay,,,
,,,,,,
,,,,,,
5,帽子,ぼうし,Mũ,,,
6,保護帽（ヘルメット）,ほごぼう（へるめっと）,Mũ bảo hộ,,,
,,,,,,
7,保護具,ほごぐ,Dụng cụ bảo hộ,,,
,,,,,,
8,あごひも,あごひも,Quai mũ,,,
9,ボタン,ぼたん,"Nút, khuy",,,
,,,,,,
10,ポケット,ぽけっと,Túi,,,
,,,,,,
11,保護メガネ,ほごめがね,Kính bảo hộ,,,
,,,,,,
12,マスク,ますく,Khẩu trang,,,
13,耳栓,みみせん,Nút tai,,,
14,安全靴,あんぜんぐつ,Giày bảo hộ,,,
15,墜落制止用器具（安全帯）,"ついらくせいしようきぐ
（あんぜんたい）",Dây đai an toàn,,,
,,,,,,
,,,,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,,,
16,業務,ぎょうむ,Nghiệp vụ,,,
17,時間厳守,じかんげんしゅ,Tuân thủ giờ giấc,,,
18,予定,よてい,Dự định,,,
19,日付,ひづけ,Ngày tháng,,,
20,準備,じゅんび,(danh từ) Sự chuẩn bị,,,
,準備（する）,じゅんび（する）,(động từ) Chuẩn bị,,,
21,会議,かいぎ,Cuộc họp,,,
22,朝礼,ちょうれい,Họp đầu giờ sáng,,,
23,報告書,ほうこくしょ,Bản báo cáo,,,
24,マニュアル,まにゅある,Tài liệu hướng dẫn,,,
25,作業手順書,さぎょうてじゅんしょ,Bản trình tự thao tác,,,
26,調子,ちょうし,"Tình trạng, tình hình",,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,立入禁止,たちいりきんし,Cấm vào,,,
2,禁煙,きんえん,Cấm hút thuốc,,,
3,火気厳禁,かきげんきん,Cấm lửa,,,
4,駐車禁止,ちゅうしゃきんし,Cấm đỗ xe,,,
5,足もと注意,あしもとちゅうい,Chú ý dưới chân,,,
6,開口部注意,かいこうぶちゅうい,Chú ý lỗ mở,,,
7,感電注意,かんでんちゅうい,Chú ý điện giật,,,
8,堕落注意,ついらくちゅうい,Chú ý rơi ngã,,,
9,頭上注意,ずじょうちゅうい,Chú ý trên đầu,,,
10,警報設備,けいほうせつび,Thiết bị báo động,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
11,消火器,しょうかき,Bình chữa cháy,,,
12,AED設置場所,えーいーでぃーせっち                   ばしょ,Nơi đặt máy AED,,,
13,保護帽着用,ほごぼうちゃくよう,Đội mũ bảo hộ,,,
14,安全帯使用,あんぜんたいしよう,Sử dụng dây đai an toàn,,,
15,昇降階段,しょうこうかいだん,Cầu thang bộ,,,
16,休憩所,きゅうけいじょ,Khu vực nghỉ ngơi,,,
17,最大積載荷重,さいだいせきさいかじゅう,Tải trọng tối đa,,,
18,喫煙所,きつえんじょ,Khu vực hút thuốc,,,
19,整理整頓,せいりせいとん,Sắp xếp chỉnh đốn,,,
20,安全通路,あんぜんつうろ,Lối đi an toàn,,,
Số,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
Số,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
Số,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,親綱,おやづな,Dây neo,"Là dây thừng dùng để móc dây đai an toàn (đai có gắn dây bảo hộ) tại công trường, được căng giữa các cột trụ sao cho không bị chùng xuống.","お やづな        あんぜんたい
親綱に安全帯をかける",Móc dây đai an toàn vào dây neo
2,建枠（ビティ）,たてわく（びてぃ）,Giàn giáo khung (Beatty),,"た て わ く                                   も ち               あ  し  ば         く  み  た
建枠（ビティ）を用いて足場を組立て
る",Dùng giàn giáo khung để lắp dựng già n giáo
3,メッシュシート,めっしゅしーと,Lưới bao che,"Còn gọi là ""Yojo shiito"" (tấm phủ bảo vệ) hoặc ""Hisan boushi netto"" (lưới chống rơi)","あ  し  ば  わ く                                                           と          つ
足場枠にメッシュシートを取り付け                               る",Căng lưới bao che cho khung giàn giá o
4,防音パネル,ぼうおんぱねる,Tấm cách âm,,"そ う お ん た い さ く                   ぼ う お ん                             せ  っ  ち
騒音対策として防音パネルを設置す
る",Lắp các tấm cách âm để chống ồn
5,朝顔材,あさがおざい,"Vách nghiêng dựng tạm để ngừa đồ vật rơi, bắn ra đ ường",,"あ さ がおざ い        ひ  ら  い  ら  っ  か  ぼ  う  し
朝顔材は飛来落下防止のためにつか
う","Vách nghiên dựng tạm được dùng để phòng ngừa đồ vật rơi, bắn ra đường"
6,架空線,かくうせん,Đường dây điện trên cao,Vì đây là đường dây điện cao áp nên nếu chạm vào thì nhiều khả năng sẽ bị điện giật,"か   く   う せ ん        せっしょく
架空線へ接触させないようにする",Không để giàn giáo tiếp xúc với đ ường dây điện trên cao
7,幅木（仮設足場）,はばき（かせつあしば）,Tấm chắn chống rơi ngã (Giàn giáo tạm thời),,"ろ う ど う し ゃ        つ い て ん ら く       き     ぐ           ら  っ  か  ぼ   う  し
労働者の墜転落・器具の落下防止の
あ  し  ば         は  ば  き        も う
ために足場に幅木を設ける",Lắp tấm chắn chống rơi ngã ở giàn giá o để ngăn ngừa công nhân rơi ngã hoặc dụng cụ rơi xuống
8,単管,たんかん,Ống thép,"Gọi tắt của từ ""Tankan paipu"". Ngoài ra còn gọi là ""Paipu"".","たん かん        も ち                あ  し  ば           く             た
単管を用いて足場を組み立てる",Dùng ống thép để lắp giàn giáo
9,脚立,きゃたつ,Thang gấp,,,
10,作業半径,さぎょうはんけい,Bán kính hoạt động,Bán kính quay của máy móc hạng nặng. Khu vực này thường bị cấm vào để phòng tránh tai nạn do va chạm,"じ ゅ う き さ ぎ ょ う         さ ぎ ょ う は ん け い          た           い               き ん
重機作業の作業半径に立ち入りを禁
し
止する",Cấm vào trong bán kính hoạt động của máy móc hạng nặng
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
11,仮ボルト,かりぼると,Bu lông tạm thời,,"か り                            こ う ぞ う た い        か り         こ   て  い
仮ボルトで構造体を仮に固定する",Dùng bu lông tạm thời để cố định kết cấu
12,手直し,てなおし,Chỉnh sửa,,"し  て  き                       ば  し  ょ         て  な  お
指摘された場所を手直しする",Chỉnh sửa lại vị trí đã được chỉ ra tại giàn giáo
13,面一,つらいち,Bề mặt của hai vật liệu phẳng đều nhau,,"つ ら い ち
面一にそろえる",Chỉnh cho hai bề mặt phẳng đều nhau
14,点検事項,てんけんじこう,Hạng mục kiểm tra,,"し  よ   う               こ   う   ぐ        て ん け ん  じ   こ   う         も と                し
使用する工具は点検事項に基づき始
ぎょうま えて ん け ん
業前点検をおこなう","Trước khi bắt đầu công việc, kiểm tra dụng cụ sẽ sử dụng theo các hạng mục kiểm tra"
15,積載荷重,せきさいかじゅう,Hoạt tải,,"せ き さ い か じ ゅ う         こ
トラックの積載荷重を超えないよう                               に
つ            こ
積み込む",Chất hàng không vượt quá hoạt tải của xe tải
16,すき間,すきま,Khe hở,,"ぼ う お ん                                         ま            あ
防音シートはすき間が空かないよう                               に
と          つ
取り付ける",Gắn các tấm cách âm sao cho không c ó kẽ hở nào
17,通りを見る,とおりをみる,Kiểm tra có thẳng hay khô ng,,"かたど お              ね  ぎ  り           で     き                              と お
やり方通りで根切が出来ているか通
りをみる",Kiểm tra móng được đào có thẳng theo đúng như khung định vị hay khô ng
18,組立,くみたて,"Lắp ráp, lắp ghép",,"あ  し  ば         く  み  た
足場を組立てる",Lắp ráp giàn giáo
19,地組,じぐみ,Lắp ráp ở mặt đất,,"し た          じ   ぐ み              あ  し  ば                                          あ
下で地組した足場をクレーンで上げ
う え          と          つ
て上で取り付ける",Dùng cần cẩu nâng giàn giáo đã lắp rá p ở mặt đất lên lắp ở trên cao.
20,天端,てんば,Mặt trên,"Còn gọi là ""Uwaba""","て  ん  ば                            へいかつ
コンクリートの天端をコテで平滑に                               な
らす",Dùng cái bay để làm phẳng mịn mặt tr ên của nền bê tông
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
21,玉掛け,たまかけ・たまがけ,Treo tải,,"ざいりょう         つ          あ                さ い        あんぜん          い     ち
材料を吊り上げる際は安全な位置に
た ま か け
玉掛けをおこなう",Treo tải từ vị trí an toàn khi tiến hành nâng vật liệu.
22,合図,あいず,"Dấu hiệu, tín hiệu",,"じ ゅ う き さ ぎ ょ う        あ  い  ず                          あんぜん       おこな
重機作業は合図をもって安全に行う",Làm việc an toàn với máy móc hạng nặng bằng cách sử dụng dấu hiệu
23,定格荷重,ていかくかじゅう,Tải trọng quy định,,"て い か く か じ ゅ う         こ                  つ                      さ ぎ ょ う
定格荷重を超えて吊りもの作業はお
こなわない",Không nâng tải có tải trọng vượt quá quy định
24,たち,たち,Độ thẳng đứng,,"あ  し  ば  し  ち  ゅ  う                              み             すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",Xem độ thẳng của cột chống giàn giáo (Độ thẳng đứng = tachi)
25,職長,しょくちょう,Tổ trưởng,,"あ  し  ば  く み た て        しょくちょう          し     じ          したが
足場組立は職長の指示に従う",Làm theo chỉ thị của tổ trưởng khi lắp đặt giàn giáo
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,安全カバー,あんぜんかばー,Vỏ bọc an toàn,"Chủ yếu chỉ cái chụp lưỡi cưa của má y cưa đĩa. Sử dụng để phòng ngừa việc cưa bật ngược, v.v... về phía người cầm máy khi đang cưa.","あ  ん  ぜ ん                 し よ  う         じ こ         ふ  せ
安全カバーの使用で事故を防ぐ",Sử dụng vỏ bọc an toàn để phòng ngừa nguy hiểm
2,安全帯,あんぜんたい,Dây đai an toàn,,"あんぜんたい        あ  し  ば          と          つ
安全帯を足場に取り付ける",Gắn dây đai an toàn vào giàn giáo
3,インサート,いんさーと,Chốt chèn,,"せ  っ  ち
インサートをコンクリートに設置す                               るた
か た わ く          う           こ
め、型枠に打ち込む",Đóng chốt chèn vào ván khuôn để gắn nó vào bê tông
4,スペーサ,すぺーさ,Con kê,,"か た わ く                                            と          つ
型枠にスペーサを取り付ける",Đặt con kê vào ván khuôn
