Annotasyon,Halimbawa,Larawan,No.,Paano Magbasa,Page,Pagsasalin,Palatandaan,Talasalitaan
,"ひょうめん
コンパネの表面をけれんする",,3,けれん,28,surface treatment,,ケレン
"Reinforcing bar na karaniwang
ginagamit sa Japan","けっそく こ う ぐ もち てっきん しば
結束工具を用いて鉄筋を縛る",,3,けっそくこうぐ,31,deformed steel bar,,結束工具
,"トラクタショベルのバケットにぶつかっ
てけがをした",,3,ぶつかる,14,mabangga,,ぶつかる
,,,3,しあげる,43,tapusin,,仕上げる
,"しゃりょう せ い び
車両の整備をする",,3,せいび（する）,42,"pag-maintain
(maintenance) /
i-maintain",,整備（する）
,"せ っ ち
インサートをコンクリートに設置するた
かたわく う こ
め、型枠に打ち込む",,3,いんさーと,25,insert,,インサート
,,,3,きゅうけい（する）,6,Pahinga (Magpapahinga),,休憩（する）
"Tungkol ito sa pagpapasya kung saan
at kung paano ilalagay ang mga
kinakailangang aytem, at tiyakin na
ma-display ito ng maayos upang
mabawasan ang labis na pag aaksaya.",,,3,せいとん,7,Sinupin,,整頓
"Ito ang bakasyon o leave na binabayaran
kahit na nagpapahinga sa trabaho.
Bayad na bakasyon. Ang maikling termino
para sa bayad na bakasyon ay 「有休｣
""Bakasyon na may bayad""","らいしゅうゆうきゅう しんせいしょ だ
来週、有休をとるので申請書を出した",,3,ゆうきゅう,4,Bakasyon na may bayad,,有休
,,,3,ひょうしき,10,"Babala /
Tagapagpahiwatig",,標識
,,,3,そくてい（する）,44,pagsukat / magsukat,,測定（する）
,,,3,ゆあつぽんぷ,40,hydraulic pump,,油圧ポンプ
,,,3,けがをする,2,Mapinsala,,けがをする
,,,3,こうじょう,1,Pabrika,,工場
,"したきん く み た
下筋を組立てる",,3,したきん,34,lower reinforcement,,下筋
,,,3,かきげんきん,17,"Mapanganib: Bawal ang
Apoy",,火気厳禁
,"よこきん く み た
横筋を組立てる",,4,よこきん,34,side reinforcement,,横筋
Ito ay tamping rammer.,"じ ば ん し かた
ランマで地盤を締め固める",,4,らんま,19,pambayo,,ランマ
,,,4,ちゅうしゃきんし,17,Bawal Pumarada,,駐車禁止
,,,4,しかく,12,kwalipikasyon,,資格
"Tungkol ito sa paglilinis at gawing
malinis upang madaling maunawaan
ang lugar ng trabaho.",,,4,せいそう,7,Simutin,,清掃
,,,4,けいそく（する）,44,pagsukat / magsukat,,計測（する）
,,,4,でんげん,2,Supply ng kuryente,,電源
,,,4,みずもれ,40,tagas ng tubig,,水漏れ
"Ito ang araw na makakapag-leave sa halip
kung nagtrabaho sa araw na walang pasok.",,,4,だいきゅう,4,Compensatory leave,,代休
,"あ し ば お こ う ぐ からだ あ
足場から落ちてきた工具が体に当たっ
てけがをした",,4,あたる,14,tumama,,当たる
,"てっきんせ つだ んき てっきん せつだん
鉄筋切断機で鉄筋を切断する",,4,てっきんせつだんき,31,iron bar cutting machine,,鉄筋切断機
,"か た わ く し ほ こ う こ う じ おこな
型枠支保工の工事を行う",,4,かたわくしほこう,28,form timbering,,型枠支保工
"Tractor shovel na tipong gulong
(four-wheel drive)",,,4,ほいるろーだ,37,wheel loader,,ホイルローダ
,,,4,ひなんくんれん,13,evacuation drill,,避難訓練
,,,4,きをつける,10,Mag-iingat,,気をつける
,,,4,せいぞう,1,Produksiyon,,製造
,"くぎ お
釘が折れる",,4,おれる,43,mabali,,折れる
,"そうおんたいさく ぼうおん せ っ ち
騒音対策として防音パネルを設置す
る",,4,ぼうおんぱねる,22,soundproof panel,,防音パネル
,,,4,ざんぎょう（する）,6,"Overtime (Magtrabaho na
lampas sa takdang oras /
Magtrabaho ng overtime)",,残業（する）
,"さぎょうまえ こ う ぐ てんけん
作業前に工具を点検する",,4,てんけん（する）,42,inspeksyon / inspeksyunin,,点検（する）
,"かたわく と つ
型枠にスペーサを取り付ける",,4,すぺーさ,25,spacer,,スペーサ
,,,4,しょくしゅ,3,Uri ng trabaho,,職種
,"てっきん かたわく す き ま ちょうせい
鉄筋と型枠の隙間を調整する",,5,てっきん,25,reinforcing bar,,鉄筋
,"き か い うご
機械を動かす",,5,うごかす,42,ipaandar,,動かす
,"あさがおざい ひ ら い ら っ か ぼ う し
朝顔材は飛来落下防止のためにつか
う",,5,あさがおざい,22,protective shelf material,,朝顔材
,"まる は か
丸のこの刃が欠ける",,5,かける,43,magkulang,,欠ける
,"じゅうき し た じ
重機の下敷きになる",,5,したじきになる,14,madaganan,,下敷きになる
,,,5,あしもとちゅうい,17,Ingatan ang Hakbang!,,足もと注意
"Ginagamit ito sa pagbigkis sa mga
single pipes, at para sa
pagpapatatag ng slope.
Sa scaffolding, tinatawag na
“sujikai” (diagonal) ang
pagpapatatag ng slope.","じ ざ い もち たんかん きんけつ
自在クランプを用いて単管を緊結する",,5,じざいくらんぷ,19,movable clamp,,自在クランプ
,"はらきん く み た
腹筋を組立てる",,5,はらきん,34,midsection reinforcement,,腹筋
,,,5,ざいりゅうしかく,3,Status ng paninirahan,,在留資格
"Nagpagdesisyunan na oras.
Pangunahing tumutukoy sa oras ng
pagpasok at pag-alis sa trabaho.","き ょ う ていじ かえ
今日は定時に帰る",,5,ていじ,6,"Regular na oras / Takdang
oras",,定時
,"こうじょう けいたいでんわ も こ
工場に携帯電話を持ち込んではいけ
ない",,5,もちこむ,10,Dadalhin sa loob,,持ち込む
,,,5,けいそくき,44,instrumentong pangsukat,,計測器
,,,5,あぶらもれ,40,tagas ng langis,,油漏れ
tinatawag din itong “hacker”,"てっきん ま か こ う き てっきん ま
鉄筋曲げ加工機で鉄筋を曲げる",,5,てっきんまげかこうき,31,binding tool,,鉄筋曲げ加工機
,,,5,きかい,1,Makina,,機械
,"き そ かたわく く み た
基礎型枠を組立てる",,5,"きそかたわく
（めたるふぉーむ）",28,"foundation form (metal
form)",,"基礎型枠
（メタルフォーム）"
,,,5,だんぷとらっく,37,dump truck,,ダンプトラック
,,,5,かんでん（する）,13,pagkakuryente / makuryente,,感電（する）
,,,5,てあて,12,allowance,,手当
,,,5,でんげんをきる,2,"Putulin ang supply ng
kuryente",,電源を切る
"Isagawa ng maayos ang Suriin,
Sinupin at Simutin upang mapanatili
ang malinis at normal na kondisyon sa
trabaho.",,,5,せいけつ,7,Siguruhin ang kalinisan,,清潔
"Ang batas ng Japan kung saan nakatakda
ang mga pamantayan tungkol sa labor.",,,5,ろうどうきじゅんほう,4,"The Labour Standards
Act",,労働基準法
,"もち たんかん てっこつ
キャッチクランプを用いて単管と鉄骨
きんけつ
を緊結する",,6,きゃっちくらんぷ,19,catch clamp,,キャッチクランプ
,"さぎょうちゅう じゅうき ちか
作業中の重機に近づかない",,6,ちかづく,43,lumapit,,近づく
,,,6,ひじょうていしぼたん,2,Emergency stop button,,非常停止ボタン
,,,6,れいきゃくすい,40,coolant,,冷却水
,,,6,ぼうし（する）,13,pagpigil / pigilan,,防止（する）
,,,6,あんぜん,1,Kaligtasan,,安全
,,,6,ろうどうじょうけん,4,Kondisyon sa trabaho,,労働条件
,"てっきんた ん ぶ
鉄筋端部にフックをつける",,6,ふっく,31,hook,,フック
,,,6,ぱすぽーと,3,Pasaporte,,パスポート
,"あんぜんかくにん じ こ ふせ
安全確認して事故を防ぐ",,6,ふせぐ,10,Iwasan,,防ぐ
,"かたわく くぎ し ま
型枠をばらして釘仕舞いをする",,6,くぎしまい,28,"pag-alis sa pako mula sa
form / nail remover",,釘仕舞い
,,,6,しゃいん,12,empleyado,,社員
"Makinang may shovel na maaaring
palitan ng aparato sa paggawa
(attachment) para masagawa ang
iba’t ibang trabaho",,,6,ゆあつしょべる,37,power shovel,,油圧ショベル
,,,6,きそく,6,Patakaran,,規則
"Dahil mataas ang boltahe ng
kuryenteng dumadaloy dito, mataas
ang posibilidad na magkaroon ng
aksidente ng pagkakuryente.","か く うせん せっしょく
架空線へ接触させないようにする",,6,かくうせん,22,overhead wire,,架空線
,"でんこう さ こ
電工ドラムのコンセントに差し込む",,6,でんこうどらむ（どらむ）,25,"retractable extension
cord (drum)",,電工ドラム（ドラム）
,,,6,おんど,44,temperatura,,温度
"Ugaliin na ang gagawing trabaho o
gawain ay base sa napagpasyahan at
lumikha ng kultura sa trabaho na kung
saan magtutulungan ang bawat isa.",,,6,しつけ,7,Sariling Kusa,,しつけ
,"けんせつき か い うんてん
建設機械を運転する",,6,うんてん（する）,42,"pagmamaneho /
magmaneho",,運転（する）
,"あやま て う
誤ってハンマーで手を打ってしまった",,6,うつ,14,tamaan,,打つ
,,,6,かいこうぶちゅうい,17,"Mapanganib: May Butas
sa Sahig",,開口部注意
,"はいりょくきん く み た
配力筋を組立てる",,6,はいりょくきん,34,distributing bar,,配力筋
"Ito ang uri ng power shovel na
madalas nakikita, at ginagamit sa
paghuhukay nang mas malalim sa
lupa",,,7,ばっくほう,37,backhoe,,バックホウ
,"でんどうまる せつだん
電動丸のこでコンパネを切断する",,7,"でんどうまるのこ（でんの
こ）",25,"electric circular saw
(circular saw)",,電動丸のこ（電のこ）
,"ろうどうしゃ ついてんらく き ぐ ら っ か ぼ う し
労働者の墜転落・器具の落下防止の
あ し ば は ば き もう
ために足場に幅木を設ける",,7,はばき（かせつあしば）,22,"baseboard
(pansamantalang
scaffolding)",,幅木（仮設足場）
,,,7,ぶれーきえき,40,brake fluid,,ブレーキ液
,"てっきん なが はか
鉄筋の長さを測る",,7,はかる,42,sukatin,,測る
,,,7,ぶちょう,12,hepe ng departamento,,部長
,,,7,ひ,10,Apoy,,火
,,,7,たかさ,44,taas,,高さ
,,,7,よぼう（する）,13,pag-iwas / iwasan,,予防（する）
,,,7,ぜいきん,4,Buwis,,税金
"Karaniwan ito ay nakasulat sa Kanji,
ngunit kung minsan ito ay nakasulat
sa Katakana bilang 「キケン」
""delikado"" sa loob ng mga pabrika.",,,7,きけん（な）,1,Delikado (Mapanganib),,危険（な）
,"ほ ご ぼう さぎょう と か
保護帽をかぶり作業に取り掛かる",,7,ほごぼう（へるめっと）,31,"reinforcing bar bending
machine",,保護帽（ヘルメット）
,,,7,"ひじょうていしぼたんを
おす",2,"Pindutin ang emergency
stop button",,非常停止ボタンを押す
,,,7,そうじ（する）,7,Linis (Maglilinis),,掃除（する）
,"てん ば
スラブ天端をそろえる",,7,すらぶてんば,28,"dulong itaas na bahagi ng
losa (slab)",,スラブ天端
,,,7,かんでんちゅうい,17,"Mapanganib: May
Kuryente",,感電注意
,,,7,でんげんをいれる,43,i-on,,電源を入れる
,"つ あ よう もち きんけつ
吊り上げ用クランプを用いて緊結した
たんかん つ あ
単管を吊り上げる",,7,つりあげようくらんぷ,19,clamp para sa pagbuhat,,吊り上げ用クランプ
,"うわきん く み た
上筋を組立てる",,7,うわきん,34,upper reinforcement,,上筋
,,,7,ざいりゅうかーど,3,Residence card,,在留カード
,"うえ くず てんらく
はしごの上でバランスを崩して転落し
た",,7,ばらんすをくずす,14,mawala ang balanse,,バランスを崩す
,,,7,きゅうじつ,6,Day-off,,休日
,,,8,でんげんをおとす,43,i-off,,電源を落とす
,,,8,るーる,2,Patakaran,,ルール
,"きん たいしんへき と つ
スパイラル筋を耐震壁に取り付ける",,8,すぱいらるきん,34,spiral reinforcement,,スパイラル筋
,"ちょっこう もち たんかん きんけつ
直交クランプを用いて単管を緊結す
る",,8,ちょっこうくらんぷ,19,right angle clamp,,直交クランプ
,"たお ねっちゅうしょう たお
はしごが倒れる、熱中症で倒れる",,8,たおれる,14,bumagsak,,倒れる
,,,8,ついらくちゅうい,17,"Mapanganib: May
Maaaring Bumagsak",,堕落注意
"Ito ay isang uri ng power shovel na
ginagamit sa pagkarga ng mga graba
at batong nasa lupa",,,8,ろーでぃんぐしょべる,37,loading shovel,,ローディングショベル
,,,8,ねんりょうたんく,40,fuel tank,,燃料タンク
,,,8,てんとう（する）,13,pagbagsak / bumagsak,,転倒（する）
,,,8,あぶない,1,Delikado,,危ない
,,,8,かたづける,8,Iaayos,,片づける
"Buwis sa kita para sa isang taon na
suweldo",,,8,しょとくぜい,4,Buwis sa kita,,所得税
,"せ っ ち
アンカーを設置する",,8,あんかー,31,kawit / anchor,,アンカー
,,,8,ながさ,44,haba,,長さ
,"たか はか
高さ（タッパ）を測る",,8,たかさ（たっぱ）,28,taas,,高さ（タッパ）
,,,8,しぎょうじかん,6,Oras ng simula,,始業時間
"Daglat ng 「入国管理庁」、「入国管理
局」""Immigration Bureau
of Japan""",,,8,にゅうかん,3,Immigration Bureau,,入管
,"し こ
パッキンを敷き込む",,8,ぱっきん,25,gasket,,パッキン
"Pinaikling tawag sa “single pipe”.
Tinatawag din “itong pipe”, “tankan-
paipu”, “paipu”.","たんかん もち あ し ば く た
単管を用いて足場を組み立てる",,8,たんかん,22,single pipe,,単管
,"き か い そ う さ
機械を操作する",,8,そうさ（する）,42,operasyon / mag-operate,,操作（する）
,,,8,けむり,10,Usok,,煙
,,,8,かちょう,12,hepe ng seksyon,,課長
,,,9,ずじょうちゅうい,17,Ingatan ang Ulo!,,頭上注意
,"うえ くず てんらく
はしごの上でバランスを崩して転落し
た",,9,てんらく（する）,14,pagkahulog / mahulog,,転落（する）
,ワイヤーロープをフックにかける,,9,ふっく,19,kawit / hook,,フック
,,,9,ふぁんべると,40,fan belt,,ファンベルト
,,,9,しょうか,10,Patayin ang apoy,,消火
,"かたわく た て こ
型枠を建込みする",,9,たてこみ,28,"pagposisyon nang patayo
/ vertical position",,建込み
,,,9,はさまる,13,maipit,,挟まる
,"げ ん ばはんにゅうまえ か こ う ば てっきん か こ う
現場搬入前に加工場で鉄筋を加工
する",,9,かこうば,31,"proteksiyong pang-ulo
(helmet)",,加工場
"Tungkol ito sa paglilinis at gawing
malinis upang madaling maunawaan
ang lugar ng trabaho.",,,9,せいそう,1,Simutin / Paglilinis,,清掃
,,,9,すてる,8,Itatapon,,捨てる
"Buwis na binabayaran sa munisipyo kung
saan nakatira",,,9,じゅうみんぜい,4,Buwis sa paninirahan,,住民税
,,,9,こういしつ,12,silid bihisan,,更衣室
,,,9,おもさ,44,bigat,,重さ
,,,9,ろーら,37,roller,,ローラ
,,,9,きゃたつ,22,natitiklop na hagdan,,脚立
,,,9,しゅうぎょうじかん,6,Oras ng katapusan,,終業時間
,,,9,すいっちをきる,43,i-off ang switch,,スイッチを切る
,,,9,ていし（する）,42,pag-tigil / itigil,,停止（する）
,,,9,ざいりゅうきかん,3,Panahon ng paninirahan,,在留期間
,"てっきんけい せっけい と し ょ とお
鉄筋径は設計図書の通りである",,9,てっきんけい,34,reinforcing bar diameter,,鉄筋径
,,,9,るーるをまもる,2,"Sumunod sa mga
patakaran",,ルールを守る
,"しょう くぎ ぬ
小バールで釘を抜く",,9,しょうばーる,25,maliit na crowbar,,小バール
"Pensiyon ng mga empleyado at
pampublikong empleyado na kung saan
makakatanggap ng mga benepisyo sa kaso
ng katandaan, kapansanan, o kamatayan",,,10,こうせいねんきん,4,"Employees’
pension insurance",,厚生年金
,,,10,しどういん,6,Tagapagturo,,指導員
,"き てっきん き
エンジンを切る、鉄筋を切る",,10,きる,42,"patayin, putulin",,切る
,"ワイヤーをストレートシャックルにかけ
る",,10,すとれーとしゃっくる,20,straight shackle,,ストレートシャックル
"Pagsasaayos sa mga depormidad at
sagabal upang maging normal ang
kanilang kalagayan","とお よ
通りを良くする",,10,とおり,28,pagkatuwid,,通り
,,,10,あつさ,44,kapal,,厚さ
,,,10,あしもと,13,paanan,,足元
,,,10,だいしゃ,12,kariton,,台車
,,,10,しょうかき,10,Fire extinguisher,,消火器
,,,10,ばけっと,37,bucket,,バケット
,,,10,きたない,8,Marumi / Madumi,,汚い
,,,10,くうきあつ,40,"presyon ng hangin ng
gulong",,空気圧
,,,10,ひじょうぐち,1,"Emerhensyang
labasan/Emergency exit",,非常口
"Radius kung saan umiikot ang
mabigat na makina. Upang maiwasan
ang aksidente ng pagsagi atbp.,
madalas ay bawal pumasok dito.","じゅうきさぎょう さぎょうはんけい た い きん
重機作業の作業半径に立ち入りを禁
し
止する",,10,さぎょうはんけい,23,operating radius,,作業半径
,,,10,とめる,2,I-off,,止める
,,,10,こようけいやく,3,Kontrata sa trabaho,,雇用契約
,,,10,けいほうせつび,17,Sistemang Pang-alarma,,警報設備
,"あつ かくにん
かぶり厚さを確認する",,10,かぶりあつさ,34,covering depth,,かぶり厚さ
,"かたわくかいたい だい し よ う
型枠解体に大バールを使用する",,10,だいばーる,25,malaking crowbar,,大バール
,,,10,こてい（する）,43,pirmi / ipirmi,,固定（する）
"Pinaikling “joint bar na angkla.”
Tinatawag din itong “sashikin.” (joint
bar)","てっきん あつ たも
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う",,10,すぺーさー,31,angkla,,スペーサ―
,,,10,しさこしょう,14,pagturo at pagtawag,,指差呼称
,,,11,せいかつしどういん,6,"Tagapagturo ng
pamumuhay",,生活指導員
,,,11,ちゅうい,1,Babala/Paunawa,,注意
Taas ng bawat hakbang ng hagdan.,"き け あ すんぽう かたわく く み た
決められた蹴上げ寸法で型枠を組立
てる",,11,けあげ,29,riser,,蹴上げ
,,,11,よごれる,8,Marumihan,,汚れる
,,,11,くらっち,40,clutch,,クラッチ
,,,11,ふあんてい（な）,13,hindi matatag,,不安定（な）
,,,11,ぶーむ,38,boom,,ブーム
,,,11,ゆか,12,sahig,,床
,,,11,ひじょうべる,10,Emergency bell,,非常ベル
,,,11,かたさ,44,tigas,,硬さ
,"かべ てっきん あつ つか
壁の鉄筋かぶり厚さはドーナツを使う",,11,どーなつ,32,processing plant,,ドーナツ
,,,11,ひやりはっと,14,"muntikang aksidente
(Hiyari-hatto)",,ヒヤリハット
,ボルトをゆるめる,,11,ゆるめる,43,luwagin,,ゆるめる
,"ひょうめん う はな し あ けしょうごうばん
表面は打ち放し仕上げのため化粧合
し よ う
板を使用する",,11,けしょうごうはん,26,decorative plywood,,化粧合板
,"かっしゃ ざいりょう つ あ
滑車で材料を吊り上げる",,11,かっしゃ,20,kalo / pulley,,滑車
,"か く ど かくにん
角度を確認する",,11,かくど,35,anggulo,,角度
,,,11,しょうかき,18,Pang-apula ng Apoy,,消火器
,,,11,きゅうよめいさい,3,"Detalyadong paglalahad ng
suweldo/Payment slip",,給与明細
,,,11,まわす,42,paikutin,,回す
,"かり こうぞうたい かり こ て い
仮ボルトで構造体を仮に固定する",,11,かりぼると,23,pansamantalang kandado,,仮ボルト
"Insurance upang makatanggap ng mga
benepisyo sa kaso ng kawalan ng trabaho
o tuwing sa paghahanap ng trabaho",,,11,こようほけん,4,Employment insurance,,雇用保険
,,,11,きかいをとめる,2,I-off ang makina,,機械を止める
,,,12,やって,2,Gawin mo,,やって
,,,12,きゅうりょう,3,Suweldo,,給料
"Insurance na nagpapahintulot sa mga
miyembro at pamilya na makatanggap ng
mga benepisyo kapag nangangailangan ng
pangangalagang medikal",,,12,けんこうほけん,5,Health insurance,,健康保険
,"し て き ば し ょ て な お
指摘された場所を手直しする",,12,てなおし,23,pasasaayos,,手直し
,,,12,おす,42,pindutin,,押す
,"し ざ い つ あ
クレーンで資材を吊り上げる",,12,くれーん,20,crane,,クレーン
,"てっきん はいきん く み た
鉄筋はシングル配筋で組立てる",,12,しんぐる,35,single,,シングル
,,,12,のばす,43,pahabain / extend,,伸ばす
,,,12,"えーいーでぃーせっちば
しょ",18,May Nakahandang AED,,AED設置場所
,"か こ うはいきん ず どお く み た
加工配筋図通りに組立てる",,12,かこうはいきんず,32,spacer,,加工配筋図
,"はいめん そ じ し あ ふ つ うごうばん
背面は素地仕上げのため普通合板を
し よ う
使用する",,12,ふつうごうはん,26,normal plywood,,普通合板
,"き け こ すんぽう かたわく く み た
決められた蹴込み寸法で型枠を組立
てる",,12,けこみ,29,footboard,,蹴込み
,,,12,でぐち,12,labasan,,出口
,,,12,きゅうはっしん,40,biglaang pag-arangkada,,急発進
,,,12,あとかたづけ,13,pagliligpit pagkatapos,,後片付け
,,,12,げんいん,14,sanhi,,原因
,,,12,あーむ,38,arm,,アーム
,,,12,かさいほうちき,10,Fire alarm,,火災報知機
,,,12,ふかさ,44,lalim,,深さ
,,,12,ぶんべつ（する）,8,"Klasipikasyon
(Magbubukod)",,分別（する）
,,,12,かじ,1,Sunog,,火事
,,,12,たんとうしゃ,6,"Person in charge / Taong
namamahala",,担当者
,"い ど う しき し ざ い つ あ
移動式クレーンで資材を吊り上げる",,13,いどうしきくれーん,20,mobile crane,,移動式クレーン
,,,13,あつめる,42,kolektahin,,集める
,"かたわくない と つ
スタイロフォームを型枠内に取り付け
る",,13,すたいろふぉーむ,26,styrofoam,,スタイロフォーム
,"はいきんしょうさい ず どお くみ た
配筋詳細図通りに組立てる",,13,はいきんしょうさいず,32,rebar spacer (donut),,配筋詳細図
,,,13,ほごぼうちゃくよう,18,Magsuot ng Helmet,,保護帽着用
,"つらいち
面一にそろえる",,13,つらいち,23,flush,,面一
,"あんぜん はず
安全カバーを外す",,13,はずす,43,tanggalin,,外す
,,,13,とめて,2,I-off mo,,止めて
"Ito ang tawag kapag tinutukoy ang Health
insurance, Employees' pension insurance,
Nursing insurance, Employment insurance,
Worker's accident compensation
insurance. Minsan ito din ay tumutukoy
tungkol sa Health insurance at Employees'
pension insurance para sa mga empleyado.",,,13,しゃかいほけん,5,Labour insurance,,社会保険
,"はいきん
スラブはダブル配筋とする",,13,だぶる,35,doble,,ダブル
,,,13,もえないごみ,8,Basurang hindi sinusunog,,燃えないごみ
,,,13,ざんぎょうてあて,3,"Overtime work
pay",,残業手当
,,,13,じこ,1,Akisidente,,事故
,,,13,にげる,10,Tumakbo palayo,,逃げる
,,,13,ぶれーど（はいどばん）,38,blade,,ブレード（排土板）
,,,13,きゅうぶれーき,40,biglaang pagpreno,,急ブレーキ
,,,13,きゅうきゅうばこ,13,first-aid kit,,救急箱
