言語,PDFページ番号,PDF表番号,番号,単語,翻訳,読み方（ひらがな）,備考,例文,写真,標識
インドネシア語,5.0,1.0,13.0,社会保険,Asuransi sosial,しゃかいほけん,"Sebutan untuk gabungan dari Asuransi
kesehatan, Asuransi Pensiun, Asuransi
Perawatan, Asuransi ketenagakerjaan,
Asuransi kecelakaan kerja. Bisa juga
digunakan untuk asuransi yang pada
umumnya digunakan oleh para
pegawai, yaitu Asuransi kesehatan dan
Uang pensiun.",,,
インドネシア語,5.0,1.0,14.0,労災,Kecelakaan kerja,ろうさい,"ろうどうさいがい
Singkatan dari 「労働災害」""Kecelakaan
kerja"". Mengacu pada luka atau
penyakit yang disebabkan oleh
pekerjaan.",,,
インドネシア語,5.0,1.0,15.0,労災保険,"Asuransi kecelakaan
kerja",ろうさいほけん,"Uang asuransi yang diberikan apabila
pekerja mengalami kecelakaan saat
kerja yang menjamin pekerja untuk
mendapatkan perawatan, untuk tidak
bekerja dalam jangka waktu tertentu,
karena akibat yang ditimbulkan dari
kecelakaan tersebut seperti cacat dan
sebagainya.",,,
インドネシア語,6.0,1.0,1.0,遅刻（する）,"Keterlambatan
(Terlambat)",ちこく（する）,,,,
インドネシア語,6.0,1.0,2.0,早退（する）,"Kepulangan cepat
(Pulang cepat)",そうたい（する）,,,,
インドネシア語,6.0,1.0,3.0,休憩（する）,Istirahat (Beristirahat),きゅうけい（する）,,,,
インドネシア語,6.0,1.0,4.0,残業（する）,"Pekerjaan lembur
(Lembur)",ざんぎょう（する）,,,,
インドネシア語,6.0,1.0,5.0,定時,Tepat waktu,ていじ,"Waktu yang ditentukan. Umumnya
merujuk pada waktu pulang kerja
yang sudah ditentukan.","き ょ う ていじ かえ
今日は定時に帰る",,
インドネシア語,6.0,1.0,6.0,規則,Aturan,きそく,,,,
インドネシア語,6.0,1.0,7.0,休日,Hari libur,きゅうじつ,,,,
インドネシア語,6.0,1.0,8.0,始業時間,Jam mulai kerja,しぎょうじかん,,,,
インドネシア語,6.0,1.0,9.0,終業時間,Jam usai kerja,しゅうぎょうじかん,,,,
インドネシア語,6.0,1.0,10.0,指導員,Instruktur,しどういん,,,,
インドネシア語,6.0,1.0,11.0,生活指導員,"Pembimbing kehidupan
sehari-hari",せいかつしどういん,,,,
インドネシア語,6.0,1.0,12.0,担当者,Penanggungjawab,たんとうしゃ,,,,
インドネシア語,6.0,1.0,13.0,スイッチ入れるな,Jangan dinyalakan,すいっちいれるな,,,,
インドネシア語,6.0,1.0,14.0,スイッチ切るな,Jangan dimatikan,すいっちきるな,,,,
インドネシア語,6.0,1.0,15.0,使用禁止,Dilarang menggunakan,しようきんし,,,,
インドネシア語,7.0,1.0,1.0,5S,"5S (Di Indonesia 5R
:Ringkas, Rapi, Resik,
Rawat, Rajin)",ごえす,"Merupakan akronim dari 5 kata
yang dimulai dari huruf S: yang
dalam bahasa Jepang dikenal
dengan Seiri, Seiton, Seiso,
Seiketsu, Shitsuke. Kata ini
digunakan untuk meningkatkan
produktivitas kerja.",,,
インドネシア語,7.0,1.0,2.0,整理,Ringkas,せいり,"Merupakan kegiatan
menyingkirkan barang-barang
yang tidak diperlukan sehingga
segala barang yang ada di lokasi
kerja hanya ada barang yang
benar-benar dibutuhkan dalam
aktivitas kerja",,,
インドネシア語,7.0,1.0,3.0,整頓,Rapi,せいとん,"Menyimpan barang yang tepat
atau dalam tata letak yang benar
sehingga dapat dipergunakan saat
mendadak. Ini merupakan cara
untuk menghilangkan pemborosan
waktu dan tenaga dalam proses
pencarian",,,
インドネシア語,7.0,1.0,4.0,清掃,Resik,せいそう,"Merupakan kegiatan
membersihkan peralatan dan
tempat kerja hingga segala
peralatan kerja tetap terjaga dalam
kondisi yang baik. Secara konkrit,
seperti membuang sampah,
kotoran dan benda-benda asing
serta membersihkan segala
sesuatu.",,,
インドネシア語,8.0,1.0,5.0,清潔,Rawat,せいけつ,"Menjaga kondisi tetap baik setelah
melakukan Ringkas, Rapi, Resik.",,,
インドネシア語,8.0,1.0,6.0,しつけ,Rajin,しつけ,"Membiasakan diri menjalankan
sesuatu sesuai dengan yang telah
ditetapkan, untuk menciptakan
budaya kerja bersama.",,,
インドネシア語,8.0,1.0,7.0,掃除（する）,"Pembersihan
(Membersihkan)",そうじ（する）,,,,
インドネシア語,8.0,1.0,8.0,片づける,Membereskan,かたづける,,,,
インドネシア語,8.0,1.0,9.0,捨てる,Membuang,すてる,,,,
インドネシア語,8.0,1.0,10.0,汚い,Kotor,きたない,,,,
インドネシア語,8.0,1.0,11.0,汚れる,Kotor,よごれる,,,,
インドネシア語,8.0,1.0,12.0,分別（する）,"Pemisahan
(Memisahkan)",ぶんべつ（する）,,,,
インドネシア語,8.0,1.0,13.0,燃えないごみ,"Sampah tak mudah
terbakar",もえないごみ,,,,
インドネシア語,8.0,1.0,14.0,燃えるごみ,Sampah mudah terbakar,もえるごみ,,,,
インドネシア語,8.0,1.0,15.0,挟まれる,Terjepit,はさまれる,,"きかい て はさ
機械に手が挟まれた",,
インドネシア語,8.0,1.0,16.0,巻き込まれる,Terlilit,まきこまれる,,"きかい て ま こ
1)機械に手が巻き込まれる
てぶくろ ばん ま こ
2)手袋がフライス盤に巻き込まれる",,
インドネシア語,8.0,1.0,17.0,やけど（する）,Luka bakar (Terbakar),やけど（する）,,,,
インドネシア語,9.0,1.0,18.0,落ちる,Jatuh,おちる,,"かいだん お
階段から落ちる",,
インドネシア語,9.0,1.0,19.0,すべる,Terpeleset/Licin,すべる,,"ゆか
床がすべる",,
インドネシア語,9.0,1.0,20.0,転ぶ,Terjatuh,ころぶ,,"こうじょう ころ
工場ですべって転んだ",,
インドネシア語,9.0,1.0,21.0,濡れる,Basah,ぬれる,,,,
インドネシア語,9.0,1.0,22.0,衛生,Kebersihan,えいせい,,,,
インドネシア語,9.0,1.0,23.0,避難（する）,Evakuasi (Mengevakuasi),ひなん（する）,,,,
インドネシア語,9.0,1.0,24.0,救急車,Ambulans,きゅうきゅうしゃ,,,,
インドネシア語,9.0,1.0,25.0,災害,Bencana,さいがい,,,,
インドネシア語,9.0,1.0,26.0,地震,Gempa bumi,じしん,,"じ しん お
地震が起きる",,
インドネシア語,9.0,1.0,27.0,もぐる,Menyelinap,もぐる,,"じ しん つくえ した
地震だ！机の下にもぐれ！",,
インドネシア語,10.0,1.0,1.0,火気厳禁,"Dilarang menggunakan
api",かきげんきん,,,,
インドネシア語,10.0,1.0,2.0,開放厳禁,Dilarang membuka,かいほうげんきん,,,,
インドネシア語,10.0,1.0,3.0,標識,Tanda,ひょうしき,,,,
インドネシア語,10.0,1.0,4.0,気をつける,Berhati-hati,きをつける,,,,
インドネシア語,10.0,1.0,5.0,持ち込む,Membawa masuk,もちこむ,,"こうじょう けいたいでんわ も こ
工場に携帯電話を持ち込んではいけ
ない",,
インドネシア語,10.0,1.0,6.0,防ぐ,Mencegah,ふせぐ,,"あんぜんかくにん じ こ ふせ
安全確認して事故を防ぐ",,
インドネシア語,10.0,1.0,7.0,火,Api,ひ,,,,
インドネシア語,10.0,1.0,8.0,煙,Asap,けむり,,,,
インドネシア語,10.0,1.0,9.0,消火,Pemadam kebakaran,しょうか,,,,
インドネシア語,10.0,1.0,10.0,消火器,"Alat pemadam
kebakaran",しょうかき,,,,
インドネシア語,10.0,1.0,11.0,非常ベル,Bel darurat,ひじょうべる,,,,
インドネシア語,10.0,1.0,12.0,火災報知機,Alarm kebakaran,かさいほうちき,,,,
インドネシア語,10.0,1.0,13.0,逃げる,Melarikan diri,にげる,,,,
インドネシア語,10.0,1.0,14.0,現場,Tempat kerja/Pabrik,げんば,,,,
インドネシア語,10.0,1.0,15.0,作業,Pekerjaan,さぎょう,,,,
インドネシア語,10.0,1.0,16.0,ミーティング,Rapat/Meeting,みーてぃんぐ,"Rapat, Rapat Pagi, Rapat Akhir juga
disebut dengan rapat (meeting).",,,
インドネシア語,10.0,1.0,17.0,研修（する）,"Pelatihan/Training
(Berlatih)",けんしゅう（する）,,,,
インドネシア語,10.0,1.0,18.0,実習（する）,Pelatihan (Berlatih),じっしゅう（する）,,,,
インドネシア語,11.0,1.0,19.0,あいさつ,Salam,あいさつ,,,,
インドネシア語,11.0,1.0,20.0,確認（する）,"Konfirmasi
(Mengkonfirmasikan)",かくにん（する）,,,,
インドネシア語,11.0,1.0,21.0,報告（する）,Laporan (Melaporkan),ほうこく（する）,,,,
インドネシア語,11.0,1.0,22.0,連絡（する）,Kontak (Menghubungi),れんらく（する）,,,,
インドネシア語,11.0,1.0,23.0,相談（する）,"Konsultasi
(Berkonsultasi)",そうだん（する）,,,,
インドネシア語,11.0,1.0,24.0,渡す,Menyerahkan,わたす,"Digunakan ketika menyerahkan
sesuatu ke orang lain.",,,
インドネシア語,11.0,1.0,25.0,申請書,Surat permohonan,しんせいしょ,,,,
インドネシア語,11.0,1.0,26.0,寝坊（する）,"Kesiangan (Bangun
kesiangan)",ねぼう（する）,,,,
インドネシア語,12.0,1.0,1.0,技能,Keahlian,ぎのう,,,,
インドネシア語,12.0,1.0,2.0,技能検定試験,Ujian keahlian teknis,ぎのうけんていしけん,,,,
インドネシア語,12.0,1.0,3.0,受検（する）,Ujian,じゅけん（する）,,,,
インドネシア語,12.0,1.0,4.0,資格,Kualifikasi,しかく,,,,
インドネシア語,12.0,1.0,5.0,手当,Tunjangan,てあて,,,,
インドネシア語,12.0,1.0,6.0,社員,Pegawai,しゃいん,,,,
インドネシア語,12.0,1.0,7.0,部長,Kepala bidang,ぶちょう,,,,
インドネシア語,12.0,1.0,8.0,課長,Kepala Seksi,かちょう,,,,
インドネシア語,12.0,1.0,9.0,更衣室,Ruang ganti,こういしつ,,,,
インドネシア語,12.0,1.0,10.0,台車,Troli,だいしゃ,,,,
インドネシア語,12.0,1.0,11.0,床,Lantai,ゆか,,,,
インドネシア語,12.0,1.0,12.0,出口,Pintu keluar,でぐち,,,,
インドネシア語,12.0,1.0,13.0,電気,Listrik,でんき,,,,
インドネシア語,12.0,1.0,14.0,警報音,Bunyi peringatan,けいほうおん,,,,
インドネシア語,12.0,1.0,15.0,コンセント,Stop kontak,こんせんと,,,,
インドネシア語,12.0,1.0,16.0,作業場,Tempat kerja,さぎょうば,,,,
インドネシア語,12.0,1.0,17.0,作業台,Meja kerja,さぎょうだい,,,,
インドネシア語,12.0,1.0,18.0,工事現場,Lokasi kerja,こうじげんば,,,,
インドネシア語,12.0,1.0,19.0,職長,Pengawas kerja,しょくちょう,,"あしばくみたて しょくちょう し じ したが
足場組立は 職長の指示に従う",,
インドネシア語,12.0,1.0,20.0,作業責任者,Petugas kerja,さぎょうせきにんしゃ,,,,
インドネシア語,13.0,1.0,1.0,禁止,Pelarangan,きんし,,,,
インドネシア語,13.0,1.0,2.0,表示板,Papan pengumuman,ひょうじばん,,,,
インドネシア語,13.0,1.0,3.0,禁止事項,Larangan penggunaan,きんしじこう,,,,
インドネシア語,13.0,1.0,4.0,避難訓練,Latihan evakuasi,ひなんくんれん,,,,
インドネシア語,13.0,1.0,5.0,感電（する）,Tersengat listrik,かんでん（する）,,,,
インドネシア語,13.0,1.0,6.0,防止（する）,Mencegah,ぼうし（する）,,,,
インドネシア語,13.0,1.0,7.0,予防（する）,Mencegah,よぼう（する）,,,,
インドネシア語,13.0,1.0,8.0,転倒（する）,Jatuh,てんとう（する）,,,,
インドネシア語,13.0,1.0,9.0,挟まる,Terjepit,はさまる,,,,
インドネシア語,13.0,1.0,10.0,足元,Langkah kaki,あしもと,,,,
インドネシア語,13.0,1.0,11.0,不安定（な）,Tidak stabil,ふあんてい（な）,,,,
インドネシア語,13.0,1.0,12.0,後片付け,Pembenahan,あとかたづけ,,,,
インドネシア語,13.0,1.0,13.0,救急箱,Kotak P3K,きゅうきゅうばこ,,,,
インドネシア語,13.0,1.0,14.0,絆創膏,Plester,ばんそうこう,,,,
インドネシア語,13.0,1.0,15.0,体調,Kondisi badan,たいちょう,,,,
インドネシア語,13.0,1.0,16.0,血,Darah,ち,,,,
インドネシア語,13.0,1.0,17.0,熱中症,Dehidrasi,ねっちゅうしょう,,,,
インドネシア語,13.0,1.0,18.0,吐き気,Mual,はきけ,,,,
インドネシア語,13.0,1.0,19.0,嘔吐（する）,Muntah,おうと（する）,,,,
インドネシア語,13.0,1.0,20.0,足がつる,Kram,あしがつる,,,,
インドネシア語,13.0,1.0,21.0,気分が悪い,Tidak enak badan,きぶんがわるい,,,,
インドネシア語,13.0,1.0,22.0,寝不足,Kurang tidur,ねぶそく,,,,
インドネシア語,13.0,1.0,23.0,安全ネット,Jaring pengaman,あんぜんねっと,,,,
インドネシア語,13.0,1.0,24.0,安全点検,Pemeriksaan keselamatan,あんぜんてんけん,,,,
インドネシア語,14.0,1.0,1.0,KY活動（危険予知活動）,Kegiatan latihan prediksi bahaya,"けーわいかつどう（きけん
よちかつどう）",,,,
インドネシア語,14.0,1.0,2.0,危険,Bahaya,きけん,,,,
インドネシア語,14.0,1.0,3.0,ぶつかる,Tertabrak,ぶつかる,,"トラクタショベルのバケットにぶつかってけが
をした",,
インドネシア語,14.0,1.0,4.0,当たる,Kena,あたる,,"あ し ば お こ う ぐ からだ あ
足場から落ちてきた工具が体に当たってけが
をした",,
インドネシア語,14.0,1.0,5.0,下敷きになる,Terlindas,したじきになる,,"じゅうき し た じ
重機の下敷きになる",,
インドネシア語,14.0,1.0,6.0,打つ,Memukul,うつ,,"あやま て う
誤ってハンマーで手を打ってしまった",,
インドネシア語,14.0,1.0,7.0,バランスを崩す,Hilang keseimbangan,ばらんすをくずす,,"うえ くず てんらく
はしごの上でバランスを崩して転落した",,
インドネシア語,14.0,1.0,8.0,倒れる,Jatuh,たおれる,,"たお ねっちゅうしょう たお
はしごが倒れる、熱中症で倒れる",,
インドネシア語,14.0,1.0,9.0,転落（する）,Jatuh dari atas,てんらく（する）,,"うえ くず てんらく
はしごの上でバランスを崩して転落した",,
インドネシア語,14.0,1.0,10.0,指差呼称,"Aba-aba tunjuk pencegahan
bahaya",しさこしょう,,,,
インドネシア語,14.0,1.0,11.0,ヒヤリハット,Kondisi bahaya/Gerakan bahaya,ひやりはっと,,,,
インドネシア語,14.0,1.0,12.0,原因,Faktor/Penyebab,げんいん,,,,
インドネシア語,14.0,1.0,13.0,対策,Penanganan,たいさく,,,,
インドネシア語,14.0,1.0,14.0,落下（する）,Jatuh,らっか（する）,,"あしば こ う ぐ らっか
足場から工具が落下した",,
インドネシア語,14.0,1.0,15.0,墜落（する）,Terperosok,ついらく（する）,,"か い こ う ぶ ついらく
開口部から墜落した",,
インドネシア語,14.0,1.0,16.0,確認（する）,Konfirmasi,かくにん（する）,,"しゅうい あんぜん かくにん
周囲の安全を確認する",,
インドネシア語,16.0,1.0,16.0,業務,Kerja,ぎょうむ,,,,
インドネシア語,16.0,1.0,17.0,時間厳守,Disiplin waktu,じかんげんしゅ,,,,
インドネシア語,16.0,1.0,18.0,予定,Jadwal,よてい,,,,
インドネシア語,16.0,1.0,19.0,日付,"Tanggal, bulan dan tahun",ひづけ,,,,
インドネシア語,16.0,1.0,20.0,準備（する）,Persiapan,じゅんび（する）,,,,
インドネシア語,16.0,1.0,21.0,会議,"Rapat, pertemuan",かいぎ,,,,
インドネシア語,16.0,1.0,22.0,朝礼,Apel pagi,ちょうれい,,,,
インドネシア語,16.0,1.0,23.0,報告書,Surat laporan,ほうこくしょ,,,,
インドネシア語,16.0,1.0,24.0,マニュアル,Buku pedoman,まにゅある,,,,
インドネシア語,16.0,1.0,25.0,作業手順書,Lembaran prosedur kerja.,さぎょうてじゅんしょ,,,,
インドネシア語,16.0,1.0,26.0,調子,Kondisi,ちょうし,,,,
インドネシア語,17.0,1.0,1.0,立入禁止,Dilarang masuk,たちいりきんし,,,,
インドネシア語,17.0,1.0,2.0,禁煙,Dilarang merokok,きんえん,,,,
インドネシア語,17.0,1.0,3.0,火気厳禁,Dilarang menggunakan api,かきげんきん,,,,
インドネシア語,17.0,1.0,4.0,駐車禁止,Dilarang parkir,ちゅうしゃきんし,,,,
インドネシア語,17.0,1.0,5.0,足もと注意,Awas langkah kaki,あしもとちゅうい,,,,
インドネシア語,17.0,1.0,6.0,開口部注意,Awas ada lubang,かいこうぶちゅうい,,,,
インドネシア語,17.0,1.0,7.0,感電注意,"Awas bahaya sengatan
listrik",かんでんちゅうい,,,,
インドネシア語,17.0,1.0,8.0,堕落注意,Awas jatuh terpeleset,ついらくちゅうい,,,,
インドネシア語,17.0,1.0,9.0,頭上注意,Awas bagian atas kepala,ずじょうちゅうい,,,,
インドネシア語,17.0,1.0,10.0,警報設備,"Peralatan Tanda Bahaya
（Alarm）",けいほうせつび,,,,
インドネシア語,18.0,1.0,11.0,消火器,Alat Pemadam Kebakaran,しょうかき,,,,
インドネシア語,18.0,1.0,12.0,AED設置場所,"Tempat Instalasi peralatan
AED","えーいーでぃーせっちば
しょ",,,,
インドネシア語,18.0,1.0,13.0,保護帽着用,Gunakan topi pelindung,ほごぼうちゃくよう,,,,
インドネシア語,18.0,1.0,14.0,安全帯使用,Gunakan Sabuk Pengaman,あんぜんたいしよう,,,,
インドネシア語,18.0,1.0,15.0,昇降階段,Tangga naik turun,しょうこうかいだん,,,,
インドネシア語,18.0,1.0,16.0,休憩所,Tempat istirahat,きゅうけいじょ,,,,
インドネシア語,18.0,1.0,17.0,最大積載荷重,"Kapasitas berat beban
maksimum",さいだいせきさいかじゅう,,,,
インドネシア語,18.0,1.0,18.0,喫煙所,Dilarang merokok,きつえんじょ,,,,
インドネシア語,18.0,1.0,19.0,整理整頓,Rapikan dengan teratur,せいりせいとん,,,,
インドネシア語,18.0,1.0,20.0,安全通路,Jalur aman,あんぜんつうろ,,,,
インドネシア語,19.0,1.0,1.0,三連クランプ,Klam tripel.,さんれんくらんぷ,,"さんれん たんかん けつごう
三連クランプで単管を結合する",,
インドネシア語,19.0,1.0,2.0,"ベルトコンベア
（ベルコン）","Konveyor sabuk (Ban
berjalan)","べるとこんべあ
（べるこん）",,"つち こ う ん ぱ ん
ベルトコンベアで土を小運搬する",,
インドネシア語,19.0,1.0,3.0,かけや,Palu kayu berat,かけや,"Palu kayu berat. Juga dikenal
sebagai suara kencang atau
keras. Palu kayu berat yang
digunakan dengan kedua belah
tangan disebut “Kakeya”,
sedangkan palu kayu yang
digunakan dengan sebelah
tangan disebut “Konekiri”.","くい う こ
かけやで杭を打ち込む",,
インドネシア語,19.0,1.0,4.0,ランマ,Stamper kuda,らんま,Mesin Stamper kuda.,"じ ば ん し かた
ランマで地盤を締め固める",,
インドネシア語,19.0,1.0,5.0,自在クランプ,Klam universal,じざいくらんぷ,"Ini digunakan untuk mengikat
pipa tunggal satu dengan lainnya
menjadi satu dan untuk
menambah penguatan diagonal.
Pada perancah, tulangan
diagonal disebut sebagai "" Ikatan
diagonal"".","じ ざ い もち たんかん きんけつ
自在クランプを用いて単管を緊結する",,
インドネシア語,19.0,1.0,6.0,キャッチクランプ,Jepitan pancingan,きゃっちくらんぷ,,"もち たんかん てっこつ
キャッチクランプを用いて単管と鉄骨
きんけつ
を緊結する",,
インドネシア語,19.0,1.0,7.0,吊り上げ用クランプ,Lifting klam,つりあげようくらんぷ,,"つ あ よう もち きんけつ
吊り上げ用クランプを用いて緊結した
たんかん つ あ
単管を吊り上げる",,
インドネシア語,19.0,1.0,8.0,直交クランプ,Jepitan,ちょっこうくらんぷ,,"ちょっこう もち たんかん きんけつ
直交クランプを用いて単管を緊結す
る",,
インドネシア語,20.0,1.0,9.0,フック,Kait,ふっく,,ワイヤーロープをフックにかける,,
インドネシア語,20.0,1.0,10.0,ストレートシャックル,Mata-rantai lurus,すとれーとしゃっくる,,"ワイヤーをストレートシャックルにかけ
る",,
インドネシア語,20.0,1.0,11.0,滑車,Katrol/Puli,かっしゃ,,"かっしゃ ざいりょう つ あ
滑車で材料を吊り上げる",,
インドネシア語,20.0,1.0,12.0,クレーン,Kren,くれーん,,"し ざ い つ あ
クレーンで資材を吊り上げる",,
インドネシア語,20.0,1.0,13.0,移動式クレーン,Kren jalan,いどうしきくれーん,,"い ど う しき し ざ い つ あ
移動式クレーンで資材を吊り上げる",,
インドネシア語,20.0,1.0,14.0,介しゃくロープ,Tali teraju,かいしゃくろーぷ,,"かい に も つ ふ
介しゃくロープで荷物の振れをおさえ
る",,
インドネシア語,20.0,1.0,15.0,昇降階段,Tangga naik turun,しょうこうかいだん,,"あ し ばじょうそう のぼ しょうこうかいだん つか
足場上層に上るには昇降階段を使う",,
インドネシア語,20.0,1.0,16.0,筋かい止めピン,Tap ikatan diagonal,すじかいとめぴん,,"すじ と さ こ お ま
筋かい止めピンを差し込み折り曲げ
ておく",,
インドネシア語,20.0,1.0,17.0,脚柱ジョイント,Sambungan tiang kaki,きゃくちゅうじょいんと,,"きゃくちゅう さ い ご さ こ
脚柱ジョイントは最後まで差し込む",,
インドネシア語,20.0,1.0,18.0,連結ピン,Pena hubung,れんけつぴん,,"れんけつ さ い ご さ こ
連結ピンは最後まで差し込む",,
インドネシア語,21.0,1.0,19.0,ジョイント金具,"Alat logam
penyambung",じょいんとかなぐ,,"か な ぐ かくじつ さ い ご
ジョイント金具は確実に最後まではめ
る",,
インドネシア語,21.0,1.0,20.0,レバーブロック,Blok tuas,ればーぶろっく,,"し ざ い こ て い
レバーブロックで資材を固定する",,
